target_quality_label,row_count,min,max,mean_weight
CLEAN_REALIZED_DEMAND,434,0.85,1.0,0.9993087557603686
INSUFFICIENT_EVIDENCE,75,0.0,0.0,0.0
INVENTORY_INTEGRITY_CONTAMINATED,1,0.0,0.0,0.0
STOCK_CONSTRAINED_REPAIRED,6,0.5,0.5,0.5
