shadow_run_id,store_number,promotion_id,promotion_name,promotion_start_date,promotion_end_date,sku_number,sku_description,department,human_buyer_decision,human_order_units,human_decision_reason,human_override_flag,human_override_reason,human_confidence_score,human_reviewer,human_reviewed_at
phase5t01-20260623T023554Z,772,772|24919|2025-12-25|2026-01-14|772-24919-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,24919,0.0,SKINCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|90024|2026-03-05|2026-03-18|772-90024-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,90024,0.0,DIGESTIVE CARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|92214|2025-12-25|2026-01-14|772-92214-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,92214,0.0,SKINCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|190082|2026-02-19|2026-03-04|772-190082-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,190082,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|190093|2026-02-19|2026-03-04|772-190093-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,190093,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|8686|2026-03-26|2026-04-08|772-8686-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,unknown,2026-03-26,2026-04-08,8686,0.0,VITAMIN SUPPLEMENT,,,,,,,,
phase5t01-20260623T023554Z,772,772|185192|2025-12-25|2026-01-14|772-185192-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,185192,0.0,SUNCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|20866|2025-12-25|2026-01-14|772-20866-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,20866,0.0,HAIRCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|22069|2025-12-25|2026-01-14|772-22069-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,22069,0.0,VITAMIN SUPPLEMENT,,,,,,,,
phase5t01-20260623T023554Z,772,772|198756|2026-04-23|2026-05-06|772-198756-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,198756,0.0,DIGESTIVE CARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|388823|2025-12-25|2026-01-14|772-388823-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,388823,0.0,SKINCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|198934|2025-12-25|2026-01-14|772-198934-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,198934,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|306779|2025-12-25|2026-01-14|772-306779-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,306779,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|190082|2026-03-05|2026-03-18|772-190082-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,190082,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|94618|2026-04-23|2026-05-06|772-94618-20260423|Allocation Report - WK43&44 HEALTH & BEAUTY OFFERS,unknown,2026-04-23,2026-05-06,94618,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|195422|2025-12-11|2025-12-24|772-195422-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,unknown,2025-12-11,2025-12-24,195422,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|21072|2025-12-25|2026-01-14|772-21072-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,21072,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|51409|2025-12-25|2026-01-14|772-51409-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,51409,0.0,TANNING,,,,,,,,
phase5t01-20260623T023554Z,772,772|191176|2026-01-22|2026-02-04|772-191176-20260122|Allocation Report - WK30&31 HAIRCARE GOODY BAG,unknown,2026-01-22,2026-02-04,191176,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|190268|2026-02-19|2026-03-04|772-190268-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,190268,0.0,HAIR ACC BRUSHES,,,,,,,,
phase5t01-20260623T023554Z,772,772|318051|2026-03-05|2026-03-18|772-318051-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,318051,0.0,FAMILY PLANNING,,,,,,,,
phase5t01-20260623T023554Z,772,772|190135|2025-12-25|2026-01-14|772-190135-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,190135,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|199044|2025-12-25|2026-01-14|772-199044-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,199044,0.0,SUNCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|295000|2025-12-25|2026-01-14|772-295000-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,295000,0.0,HAIR REMOVAL,,,,,,,,
phase5t01-20260623T023554Z,772,772|36995|2025-12-25|2026-01-14|772-36995-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,36995,0.0,SUNCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|415278|2025-12-25|2026-01-14|772-415278-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,415278,0.0,HAIRCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|88789|2025-12-25|2026-01-14|772-88789-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,88789,0.0,NUTRITION WELLBEIN,,,,,,,,
phase5t01-20260623T023554Z,772,772|90103|2025-12-25|2026-01-14|772-90103-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,90103,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|191317|2026-02-19|2026-03-04|772-191317-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,191317,0.0,HAIRCARE,,,,,,,,
phase5t01-20260623T023554Z,772,772|190129|2026-03-05|2026-03-18|772-190129-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,190129,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|196472|2026-03-05|2026-03-18|772-196472-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,196472,0.0,BEAUTY ACCESSORIES,,,,,,,,
phase5t01-20260623T023554Z,772,772|88159|2026-03-26|2026-04-08|772-88159-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,unknown,2026-03-26,2026-04-08,88159,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|51070|2025-12-01|2025-12-13|772-51070-20251201|Allocation Report - OP15 12 DAYS OF CHRISTMAS,unknown,2025-12-01,2025-12-13,51070,0.0,COLOUR COSMETICS,,,,,,,,
phase5t01-20260623T023554Z,772,772|188146|2025-12-25|2026-01-14|772-188146-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,188146,0.0,SUNCARE,,,,,,,,
