store_number,promotion_id,sku_number,department,long_tail_sku_flag,mission_sku_flag,actual_units_sold_promo,model_expected_units_total_promo_raw,model_expected_units_total_promo_calibrated,segment_calibrated_expected_units,segment_bias_factor,segment_bias_factor_source,segment_calibration_eligible_flag,segment_calibration_allowed_flag,requires_human_approval_flag
772,772|192181|2025-11-13|2025-11-26|772-192181-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192181,SKINCARE,0.0,NO,0.0,0.006,0.010412,0.01718,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|192182|2025-11-13|2025-11-26|772-192182-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192182,SKINCARE,0.0,NO,1.0,0.933,1.619073,2.67147,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|192194|2025-11-13|2025-11-26|772-192194-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192194,SKINCARE,0.0,NO,1.0,0.933,1.619073,2.67147,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|192197|2025-11-13|2025-11-26|772-192197-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192197,SKINCARE,0.0,NO,0.0,0.032,0.055531,0.091626,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|192198|2025-11-13|2025-11-26|772-192198-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192198,SKINCARE,0.0,NO,5.0,0.933,1.619073,2.67147,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|192199|2025-11-13|2025-11-26|772-192199-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192199,SKINCARE,0.0,NO,0.0,0.053,0.091973,0.151755,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|192200|2025-11-13|2025-11-26|772-192200-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192200,SKINCARE,0.0,NO,0.0,0.933,1.619073,2.67147,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|192205|2025-11-13|2025-11-26|772-192205-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192205,SKINCARE,0.0,NO,10.0,1.4,2.429477,4.008637,1.65,phase6a_segment:SKINCARE|0.0,NO,NO,YES
772,772|192214|2025-11-13|2025-11-26|772-192214-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192214,SUNCARE,0.0,NO,3.0,0.519,1.129195,1.669105,1.478137,phase6a_segment:SUNCARE|0.0,NO,NO,YES
772,772|192218|2025-11-13|2025-11-26|772-192218-20251113|Allocation Report - WK20&21 XMAS PART 2 SKIN GOODY BAG,192218,SUNCARE,0.0,NO,2.0,0.933,2.02994,3.000529,1.478137,phase6a_segment:SUNCARE|0.0,NO,NO,YES
