promotion_row_key,source_training_slice,store_number,sku_number,promotion_name,department,category,inferred_supplier_number,realized_sales_units,target_actual_units_sold,sufficient_stock_demand_units_target,target_quality_label,target_weight,target_repair_basis,target_warning,stock_integrity_issue_flag
772|18571|2025-12-11|2025-12-24|772-18571-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,18571,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,HAIR ACC BRUSHES,HAIR BRUSHES,99999,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|185|2025-12-11|2025-12-24|772-185-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,185,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,BATH TOILETRIES,PERSONAL WASH,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186027|2025-12-11|2025-12-24|772-186027-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186027,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,MAKEUP REVOLUTION,99999,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186028|2025-12-11|2025-12-24|772-186028-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186028,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,MAKEUP REVOLUTION,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186040|2025-12-11|2025-12-24|772-186040-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186040,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,MAKEUP REVOLUTION,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186042|2025-12-11|2025-12-24|772-186042-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186042,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,MAKEUP REVOLUTION,99999,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186044|2025-12-11|2025-12-24|772-186044-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186044,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,MAKEUP REVOLUTION,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186045|2025-12-11|2025-12-24|772-186045-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186045,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,COLOUR COSMETICS,MAKEUP REVOLUTION,99999,1.0,1.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186090|2025-12-11|2025-12-24|772-186090-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186090,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SKINCARE,THERAPEUTIC,0,0.0,0.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
772|186091|2025-12-11|2025-12-24|772-186091-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,policy-measurement-envfix-recent5k-20260522,772,186091,Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,SKINCARE,THERAPEUTIC,99999,2.0,2.0,,INSUFFICIENT_EVIDENCE,0.0,,UNREPAIRABLE_STOCK_CONSTRAINT|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY,0
