segment_type,segment_value,row_count,actuals_available_count,actuals_missing_count,model_wape,model_mae,model_bias_pct,overforecast_rate,underforecast_rate,severe_underforecast_rate,severe_overforecast_rate,forecast_beats_baseline_rate,calibrated_bias_pct,bias_adjusted_bias_pct,stock_exit_error,basket_evidence_coverage,unknown_basket_evidence_count,long_tail_error_rate,mission_sku_error_rate,supplier_unknown_error_rate,high_wape_regime_count,dangerous_bias_regime_count,release_blocked_reason
department,PAPER COTTON,58,49,9,0.5167,2.3249655172413783,-36.8521,18.97,46.55,29.31,3.45,0.0,-25.382,-25.382,0.0,,0,,,0,0,0,model_bias_dangerously_negative
department,SKINCARE,8527,4700,3827,0.7561,1.5844706227278058,-65.1194,4.44,35.78,17.36,0.52,0.0,-25.382,-25.382,0.0016,,4,2.3314,,0,0,9,model_bias_dangerously_negative
department,SMOKING CESSATION,130,17,113,0.7193,0.11620000000000001,-1.9333,1.54,3.85,0.0,0.0,0.0,-25.382,-25.382,0.0,,0,,,0,0,0,monitor
department,SNACKS BEVERAGES,16,12,4,0.4185,0.8631875,13.6273,25.0,18.75,6.25,6.25,0.0,-25.382,-25.382,0.0,,0,,,0,0,0,monitor
department,SUNCARE,878,543,335,0.745,1.6265911161731206,-65.4408,4.78,41.12,18.79,0.46,0.0,-25.382,-25.382,0.0057,,3,,,0,0,0,model_bias_dangerously_negative
department,TANNING,771,293,478,0.614,0.45316212710765247,-41.7487,2.46,19.84,5.58,0.0,0.0,-25.382,-25.382,0.0013,,0,,,0,0,0,model_bias_dangerously_negative
department,VITAMIN SUPPLEMENT,2336,806,1530,0.6687,0.47235616438356165,-48.5114,2.18,18.11,4.67,0.09,0.0,-25.382,-25.382,0.0009,,3,0.6,,0,0,0,model_bias_dangerously_negative
long_tail_sku_flag,NO,82,81,1,0.4332,0.739670731707317,-15.8879,8.54,39.02,6.1,0.0,0.0,-25.382,-25.382,0.6761,,28,,,0,0,0,model_bias_dangerously_negative
long_tail_sku_flag,YES,18,18,0,0.568,1.5777222222222222,-48.798,0.0,66.67,33.33,0.0,0.0,-25.382,-25.382,1.0,,8,1.5777,,0,0,9,model_bias_dangerously_negative
basket_attachment_source_quality,HIGH,5,5,0,0.4836,0.8704000000000001,-12.5333,20.0,20.0,20.0,0.0,0.0,-25.382,-25.382,0.8,,0,,,0,0,0,monitor
basket_attachment_source_quality,LOW,36,36,0,0.4573,0.851111111111111,-23.0299,5.56,44.44,11.11,0.0,0.0,-25.382,-25.382,0.6667,,36,1.4312,,0,0,4,model_bias_dangerously_negative
basket_attachment_source_quality,MEDIUM,59,58,1,0.4742,0.9162711864406778,-26.3895,6.78,45.76,10.17,0.0,0.0,-25.382,-25.382,0.7702,,0,1.6949,,0,0,5,model_bias_dangerously_negative
shadow_candidate_class,SHADOW_TOP_100_CANDIDATE,50,49,1,0.4316,0.7164600000000001,-13.4277,10.0,38.0,6.0,0.0,0.0,-25.382,-25.382,0.6488,,17,,,0,0,0,monitor
shadow_candidate_class,SHADOW_TOP_50_CANDIDATE,50,50,0,0.4975,1.06458,-33.1748,4.0,50.0,16.0,0.0,0.0,-25.382,-25.382,0.82,,19,1.5777,,0,0,9,model_bias_dangerously_negative
decision_triage_class,HIGH_PRIORITY_BUY_REVIEW,31,31,0,0.4234,0.7102258064516128,-15.0865,6.45,38.71,6.45,0.0,0.0,-25.382,-25.382,0.6774,,17,,,0,0,0,model_bias_dangerously_negative
decision_triage_class,STANDARD_BUY_REVIEW,69,68,1,0.4858,0.9715217391304349,-28.1138,7.25,46.38,13.04,0.0,0.0,-25.382,-25.382,0.76,,19,1.5777,,0,0,9,model_bias_dangerously_negative
