store_number,promotion_id,promotion_name,promotion_start_date,promotion_end_date,sku_number,sku_description,department,decision,recommended_order_units,brain_validated_action_label,final_governed_action_label,final_governed_order_units,shadow_candidate_class,shadow_candidate_rank,lesson_learned_label,human_review_status,model_status,production_ordering_approved,customer_report_release_approved,advisory_label
772,772|195641|2026-02-19|2026-03-04|772-195641-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,195641,0.0,ORAL HEALTH,REVIEW,4.0,BUYER_REVIEW_REQUIRED,TOP_UP_TO_OPTIMAL,4.0,SHADOW_TOP_50_CANDIDATE,11,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|394289|2026-04-09|2026-04-22|772-394289-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,394289,0.0,BEAUTY ACCESSORIES,REVIEW,2.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,2.0,SHADOW_TOP_50_CANDIDATE,12,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|55584|2026-04-09|2026-04-22|772-55584-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,55584,0.0,HAIRCARE,REVIEW,3.0,BUYER_REVIEW_REQUIRED,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,13,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|399795|2026-02-19|2026-03-04|772-399795-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,399795,0.0,DIGESTIVE CARE,REVIEW,2.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,2.0,SHADOW_TOP_50_CANDIDATE,14,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|47021|2026-04-09|2026-04-22|772-47021-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,47021,0.0,SKINCARE,REVIEW,3.0,BUYER_REVIEW_REQUIRED,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,15,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|59330|2026-04-09|2026-04-22|772-59330-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,59330,0.0,SKINCARE,REVIEW,3.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,16,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|90865|2026-04-09|2026-04-22|772-90865-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,90865,0.0,SKINCARE,REVIEW,3.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,17,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|73950|2026-04-09|2026-04-22|772-73950-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,73950,0.0,SKINCARE,REVIEW,4.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,4.0,SHADOW_TOP_50_CANDIDATE,18,LONG_TAIL_PROTECTION_CONFIRMED,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|94922|2026-02-05|2026-02-18|772-94922-20260205|Allocation Report - WK32&33 BEAUTY BOX,unknown,2026-02-05,2026-02-18,94922,0.0,ORAL HEALTH,REVIEW,5.0,BLOCKED_UNSAFE,TOP_UP_TO_OPTIMAL,5.0,SHADOW_TOP_50_CANDIDATE,19,BOTH_WRONG,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
772,772|49493|2025-12-25|2026-01-14|772-49493-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,49493,0.0,BATH TOILETRIES,REVIEW,3.0,HOLD_FOR_REPLENISHMENT,TOP_UP_TO_OPTIMAL,3.0,SHADOW_TOP_50_CANDIDATE,20,GOVERNANCE_TOO_CONSERVATIVE,PENDING,SHADOW_NOT_PRODUCTION,NO,NO_RELEASE,INTERNAL_SHADOW_ADVISORY_ONLY
