sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,buyer_review_queue_rank,brain_action_label,final_governed_action_label,final_governed_order_units,optimal_stock_position_order_units,regime_adjusted_decision_value,expected_promo_uplift_units,leftover_units_above_optimal,missed_demand_penalty,calibrated_regime_conviction_score,conviction_downgrade_reason,decision_triage_reason,human_interpretation_summary
90113,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,25.0,321,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,8.813,0.714,0.0,0.0,37.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
90543,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,24.9,322,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,5.0,5.0,52.232,2.918,0.0,0.0,35.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 5 units; top drivers: cash, stock, supplier; constraints: none"
68101,0.0,VITAMIN SUPPLEMENT,unknown,HIGH_PRIORITY_BUY_REVIEW,24.9,323,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,24.8,1.76,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
87418,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.9,324,AGGRESSIVE_BUY,AGGRESSIVE_BUY,12.0,12.0,174.452,5.706,0.0,0.0,32.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes AGGRESSIVE_BUY for 12 units; top drivers: demand, promo, cash; constraints: none"
90115,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,24.9,325,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,5.008,0.925,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
90892,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.9,326,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,38.4,2.401,0.144,0.0,5.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: demand, promo, cash; constraints: none"
27981,0.0,MENS GROOMING,unknown,STANDARD_BUY_REVIEW,24.9,327,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,7.912,0.761,0.0,0.0,22.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
87761,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.8,328,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,22.113,1.429,0.857,0.0,32.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: demand, cash, promo; constraints: none"
91060,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,24.8,329,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,3.063,0.828,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: demand, cash, stock; constraints: none"
191176,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.8,330,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,7.736,1.039,0.0,0.0,35.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
87419,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.8,331,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,23.982,1.929,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
59858,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,24.8,332,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,61.497,2.429,0.0,0.0,35.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: cash, stock, supplier; constraints: none"
199379,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.8,333,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,5.146,1.882,0.857,0.0,32.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: demand, promo, cash; constraints: none"
668178,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.7,334,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,3.243,0.766,0.0,0.0,37.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
88302,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.6,335,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,1.28,0.79,0.0,0.0,37.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
24924,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,24.6,336,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,27.698,1.083,0.0,0.0,5.0,small_sample_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: cash, demand, stock; constraints: none"
193504,0.0,VITAMIN SUPPLEMENT,unknown,HIGH_PRIORITY_BUY_REVIEW,24.5,337,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,22.57,1.923,0.0,0.0,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: promo, demand, cash; constraints: none"
88753,0.0,FRAGRANCE,unknown,STANDARD_BUY_REVIEW,24.5,338,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,69.582,0.957,0.0,0.0,37.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
74656,0.0,VITAMIN SUPPLEMENT,unknown,HIGH_PRIORITY_BUY_REVIEW,24.5,339,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,18.374,1.491,0.0,10.66,35.0,high_wape_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: promo, demand, cash; constraints: none"
67700,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,24.5,340,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,3.713,0.748,0.0,0.0,37.0,model_bias_dangerously_negative_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: cash, demand, stock; constraints: none"
195046,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,24.5,341,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,3.0,3.0,7.649,1.429,0.0,0.0,12.0,small_sample_regime_cap,high_opportunity_controlled_risk_buy,"Brain proposes TOP_UP_TO_OPTIMAL for 3 units; top drivers: demand, cash, promo; constraints: none"
38417,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,24.5,342,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,4.0,4.0,31.159,1.096,0.0,0.0,32.0,high_wape_regime_cap,standard_buy_review,"Brain proposes TOP_UP_TO_OPTIMAL for 4 units; top drivers: cash, demand, stock; constraints: none"
