sku_number,sku_description,department,promotion_name,decision_triage_class,economic_priority_rank,economic_net_value_score,missed_sales_avoidance_value,brain_action_label,final_governed_action_label,current_soh,expected_soh_at_promo_start_before_order,long_tail_sku_flag,basket_completion_sku_flag,basket_attachment_score,basket_mission_importance_score,long_tail_stockout_risk_score,basket_loss_multiplier,long_tail_protection_value,basket_trust_convexity_value,long_tail_basket_protection_reason
69749,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,51,-9.338,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
65843,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,52,-3.756,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
65837,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,53,-9.299,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
188990,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,54,-12.426,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
199069,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,55,-11.667,8.16,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,58.7,1.0,0.0,0.0,standard_volume_protection
65607,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,56,-11.361,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
94496,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,57,-10.022,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
94217,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,58,-12.638,6.36,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,49.7,1.0,0.0,0.0,standard_volume_protection
483788,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,59,-7.454,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
90153,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,60,-6.235,14.923,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,70.0,1.0,0.0,0.0,standard_volume_protection
192118,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,61,-13.331,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
194018,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,62,142.085,49.158,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1.0,1.0,NO,NO,0.0,0.0,70.0,1.0,0.0,0.0,standard_volume_protection
199865,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,63,-6.701,0.0,AGGRESSIVE_BUY,AGGRESSIVE_BUY,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
72014,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,64,-3.463,0.0,AGGRESSIVE_BUY,AGGRESSIVE_BUY,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
190073,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_RUN_DOWN_REVIEW,65,-3.46,0.0,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,6.0,6.0,NO,NO,0.0,0.0,0.0,1.0,0.0,0.0,standard_volume_protection
198293,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,66,-16.265,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
400734,0.0,SKINCARE,unknown,STANDARD_RUN_DOWN_REVIEW,67,-10.468,0.0,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,6.0,6.0,NO,NO,0.0,0.0,0.0,1.0,0.0,0.0,standard_volume_protection
198293,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,68,-15.365,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
102088,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,69,-15.199,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,0.0,0.0,NO,NO,0.0,0.0,30.0,1.0,0.0,0.0,standard_volume_protection
