target_quality_label,row_count,min_units,median_units,max_units,mean_units
CLEAN_REALIZED_DEMAND,10,28.0,39.0,82.0,52.2
STOCK_CONSTRAINED_REPAIRED,6,72.0,86.0,93.0,83.66666666666667
