model_name,row_count,train_rows,test_rows,primary_metric,secondary_metric,baseline_metric,model_vs_baseline_delta,pass_fail,notes
uplift_model,52285,41828,10457,0.29809163686798745,0.6522566163682253,0.6522566163682253,0.35416497950023784,PASS,sklearn_hist_gradient
economic_value_model,52285,41828,10457,0.2863539745982489,11.557845854993865,11.557845854993865,11.271491880395615,PASS,sklearn_hist_gradient
stock_exit_model,52285,41828,10457,0.0394519018657574,0.9027708668131477,0.9027708668131477,0.8633189649473902,PASS,sklearn_hist_gradient
action_classifier,52285,41828,10457,0.9871856172898537,0.8793152911925026,0.8793152911925026,0.10787032609735103,PASS,sklearn_hist_gradient
