sku_number,sku_description,final_governed_action_label,brain_learned_action_label,brain_value_gap_vs_current,economic_net_value_score,brain_expected_economic_value,brain_expected_stock_exit_distance,long_tail_protection_value,basket_trust_convexity_value,stock_exit_gap,missed_demand_risk_gap,basket_trust_gap
18512,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,28.775,66.774,95.549,20.54,0.569,0.0,20.54,0.0,0.569
94663,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,27.438,44.684,72.122,2.188,30.695,1.952,2.188,0.0,32.647
87753,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,26.686,90.238,116.924,3.378,0.51,0.0,3.378,0.0,0.51
91442,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,26.553,172.413,198.966,9.325,0.186,0.0,9.325,0.0,0.186
340014,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,26.508,46.783,73.291,21.267,0.0,0.0,21.267,0.0,0.0
91441,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,26.381,20.772,47.153,0.976,0.0,0.0,0.976,0.0,0.0
193125,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,26.193,45.075,71.268,2.775,0.762,0.0,2.775,0.0,0.762
94509,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,25.976,-95.13,-69.154,2.86,0.0,0.0,2.86,0.0,0.0
27193,0.0,HOLD_FOR_REPLENISHMENT,BUYER_REVIEW_REQUIRED,24.359,115.644,140.003,19.942,0.0,0.0,19.942,0.0,0.0
199846,0.0,AGGRESSIVE_BUY,BUYER_REVIEW_REQUIRED,23.803,28.522,52.325,3.007,0.0,0.0,3.007,0.0,0.0
94903,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,22.831,253.28,276.111,4.149,0.0,0.0,4.149,0.0,0.0
195051,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,21.713,-109.779,-88.066,20.043,0.0,0.0,20.043,0.0,0.0
195051,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,21.202,-93.391,-72.189,1.754,0.0,0.0,1.754,0.0,0.0
194048,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,21.119,-96.381,-75.262,3.579,1.056,0.0,3.579,0.0,1.056
65560,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,21.098,77.807,98.905,1.988,7.49,12.483,1.988,0.0,19.973
94904,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,20.982,29.489,50.471,0.714,0.0,0.0,0.714,0.0,0.0
195051,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,20.638,32.226,52.864,9.672,0.0,0.0,9.672,0.0,0.0
65635,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,20.567,35.113,55.68,0.999,0.0,0.0,0.999,0.0,0.0
195051,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,20.5,-92.689,-72.189,5.301,0.0,0.0,5.301,0.0,0.0
654921,0.0,NO_BUY_RUN_DOWN,BLOCKED_UNSAFE,19.909,11.724,31.633,33.21,0.0,0.0,33.21,0.0,0.0
698520,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,19.822,-103.801,-83.979,14.271,0.0,0.0,14.271,0.0,0.0
50722,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,19.552,49.728,69.28,6.698,0.803,0.0,6.698,0.0,0.803
193268,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,19.45,27.935,47.385,1.993,0.0,0.0,1.993,0.0,0.0
195299,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,18.186,14.238,32.424,1.571,0.0,0.0,1.571,0.0,0.0
65610,0.0,BLOCKED_UNSAFE,HOLD_FOR_REPLENISHMENT,18.143,25.794,43.937,1.993,0.0,0.0,1.993,0.0,0.0
195102,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,17.998,27.938,45.936,0.849,0.0,0.0,0.849,0.0,0.0
188706,0.0,HOLD_FOR_REPLENISHMENT,BUYER_REVIEW_REQUIRED,17.949,59.36,77.309,31.457,0.188,0.0,31.457,0.0,0.188
188705,0.0,HOLD_FOR_REPLENISHMENT,BLOCKED_UNSAFE,17.938,16.875,34.813,26.304,0.0,0.0,26.304,0.0,0.0
87452,0.0,HOLD_FOR_REPLENISHMENT,BUYER_REVIEW_REQUIRED,17.86,95.241,113.101,4.194,0.614,0.0,4.194,0.0,0.614
194029,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,17.63,23.192,40.822,0.999,0.0,0.0,0.999,0.0,0.0
88081,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,17.56,55.654,73.214,4.894,0.659,0.0,4.894,0.0,0.659
184707,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,17.407,41.965,59.372,1.14,0.617,0.0,1.14,0.0,0.617
91439,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,17.172,234.914,252.086,15.697,0.259,0.0,15.697,0.0,0.259
387770,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,17.045,-99.101,-82.056,14.238,0.0,0.0,14.238,0.0,0.0
841250,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,16.897,-106.726,-89.829,17.243,0.0,0.0,17.243,0.0,0.0
65591,0.0,BLOCKED_UNSAFE,HOLD_FOR_REPLENISHMENT,16.105,25.962,42.067,1.14,0.0,0.0,1.14,0.0,0.0
64816,0.0,BLOCKED_UNSAFE,BUYER_REVIEW_REQUIRED,15.918,30.113,46.031,0.999,0.0,0.0,0.999,0.0,0.0
330442,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,15.779,45.663,61.442,0.008,8.472,14.12,0.008,0.0,22.592
65559,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,15.547,34.952,50.499,0.013,0.0,0.0,0.013,0.0,0.0
199957,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,14.962,-1.153,13.809,2.966,0.0,0.0,2.966,0.0,0.0
304565,0.0,TOP_UP_TO_OPTIMAL,HOLD_FOR_REPLENISHMENT,14.804,16.524,31.328,0.013,9.008,15.014,0.013,0.0,24.022
192046,0.0,NO_BUY_RUN_DOWN,BLOCKED_UNSAFE,14.736,-3.31,11.426,11.55,0.0,0.0,11.55,0.0,0.0
189272,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,14.68,27.973,42.653,1.993,11.472,3.749,1.993,0.0,15.221
39545,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,14.464,25.747,40.211,0.999,0.0,0.0,0.999,0.0,0.0
94457,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,14.394,30.989,45.383,0.994,9.846,16.409,0.994,0.0,26.255
68327,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,14.389,24.928,39.317,0.013,0.0,0.0,0.013,0.0,0.0
591904,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,14.36,-94.97,-80.61,14.418,0.0,0.0,14.418,0.0,0.0
65560,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,14.248,26.146,40.394,0.569,0.0,0.0,0.569,0.0,0.0
88080,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,13.92,8.379,22.299,1.975,0.0,0.0,1.975,0.0,0.0
194019,0.0,BLOCKED_UNSAFE,HOLD_FOR_REPLENISHMENT,13.803,23.546,37.349,0.999,0.0,0.0,0.999,0.0,0.0
44022,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,13.802,24.459,38.261,0.013,0.0,0.0,0.013,0.0,0.0
195074,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,13.58,29.138,42.718,1.993,0.0,0.0,1.993,0.0,0.0
194049,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,13.354,26.113,39.467,0.999,0.0,0.0,0.999,0.0,0.0
199901,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,13.319,25.218,38.537,0.013,0.0,0.0,0.013,0.0,0.0
92334,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,13.273,52.251,65.524,1.988,7.595,12.658,1.988,0.0,20.253
7682,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,12.652,37.348,50.0,1.988,6.126,10.21,1.988,0.0,16.336
91439,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,12.624,152.45,165.074,1.988,93.114,9.495,1.988,0.0,102.609
88081,0.0,NO_BUY_RUN_DOWN,BLOCKED_UNSAFE,12.425,12.633,25.058,0.999,0.0,0.0,0.999,0.0,0.0
188707,0.0,HOLD_FOR_REPLENISHMENT,BLOCKED_UNSAFE,12.284,14.76,27.044,25.488,0.0,0.0,25.488,0.0,0.0
194048,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,11.856,-86.946,-75.09,2.091,0.0,0.0,2.091,0.0,0.0
59210,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,11.721,-84.292,-72.571,7.823,0.0,0.0,7.823,0.0,0.0
199841,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,11.543,70.432,81.975,1.988,19.003,6.862,1.988,0.0,25.865
185219,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,11.536,-83.725,-72.189,2.17,0.0,0.0,2.17,0.0,0.0
88081,0.0,BLOCKED_UNSAFE,HOLD_FOR_REPLENISHMENT,11.372,41.362,52.734,2.411,0.0,0.0,2.411,0.0,0.0
95116,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,11.366,29.49,40.856,0.994,11.606,19.343,0.994,0.0,30.949
668680,0.0,NO_BUY_RUN_DOWN,BLOCKED_UNSAFE,11.285,5.24,16.525,11.099,0.0,0.0,11.099,0.0,0.0
188715,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,11.239,134.923,146.162,1.992,89.973,9.692,1.992,0.0,99.665
94039,0.0,NO_BUY_RUN_DOWN,BLOCKED_UNSAFE,11.234,45.708,56.942,0.999,0.0,0.0,0.999,0.0,0.0
199846,0.0,NO_BUY_RUN_DOWN,BLOCKED_UNSAFE,11.021,3.943,14.964,2.185,0.0,0.0,2.185,0.0,0.0
445650,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,10.509,-99.248,-88.739,16.078,0.0,0.0,16.078,0.0,0.0
90152,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,10.403,17.989,28.392,1.988,1.634,2.723,1.988,0.0,4.357
90015,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,10.156,56.226,66.382,1.988,0.0,0.0,1.988,0.0,0.0
73699,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,10.112,44.048,54.16,0.999,0.0,0.0,0.999,0.0,0.0
11494,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,9.909,94.003,103.912,1.881,0.506,0.0,1.881,0.0,0.506
65606,0.0,CONTROLLED_BUY,BUYER_REVIEW_REQUIRED,9.892,25.299,35.191,0.741,0.212,0.0,0.741,0.0,0.212
26780,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,9.871,1.958,11.829,0.959,0.0,0.0,0.959,0.0,0.0
65560,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,9.832,32.15,41.982,0.013,0.0,0.0,0.013,0.0,0.0
63392,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,9.716,-94.637,-84.921,11.829,0.0,0.0,11.829,0.0,0.0
192181,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,9.594,33.484,43.078,0.999,0.0,0.0,0.999,0.0,0.0
196288,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,9.51,183.215,192.725,9.394,0.0,0.0,9.394,0.0,0.0
688223,0.0,HOLD_FOR_REPLENISHMENT,BUYER_REVIEW_REQUIRED,9.5,11.301,20.801,6.703,0.0,0.0,6.703,0.0,0.0
195639,0.0,BLOCKED_UNSAFE,HOLD_FOR_REPLENISHMENT,9.266,31.927,41.193,0.013,0.0,0.0,0.013,0.0,0.0
38449,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,9.216,10.355,19.571,0.569,0.0,0.0,0.569,0.0,0.0
94996,0.0,CONTROLLED_BUY,HOLD_FOR_REPLENISHMENT,9.21,13.669,22.879,4.117,0.0,0.0,4.117,0.0,0.0
195106,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,9.19,-92.648,-83.458,18.258,0.0,0.0,18.258,0.0,0.0
196227,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,8.701,-81.891,-73.19,8.633,0.0,0.0,8.633,0.0,0.0
199803,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,8.653,19.888,28.541,1.988,2.069,3.448,1.988,0.0,5.517
11494,0.0,TOP_UP_TO_OPTIMAL,BUYER_REVIEW_REQUIRED,8.605,58.57,67.175,0.164,0.522,0.0,0.164,0.0,0.522
91442,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,8.514,-11.345,-2.831,0.855,0.0,0.0,0.855,0.0,0.0
91155,0.0,NO_BUY_RUN_DOWN,HOLD_FOR_REPLENISHMENT,8.059,26.339,34.398,0.013,0.0,0.0,0.013,0.0,0.0
192215,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,7.798,21.693,29.491,0.16,0.0,0.0,0.16,0.0,0.0
92332,0.0,BLOCKED_UNSAFE,BUYER_REVIEW_REQUIRED,7.795,26.543,34.338,0.013,0.0,0.0,0.013,0.0,0.0
44021,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,7.404,34.387,41.791,0.013,0.0,0.0,0.013,0.0,0.0
194021,0.0,BLOCKED_UNSAFE,BLOCKED_UNSAFE,7.377,14.886,22.263,2.126,0.0,0.0,2.126,0.0,0.0
195445,0.0,HOLD_FOR_REPLENISHMENT,HOLD_FOR_REPLENISHMENT,7.293,-82.383,-75.09,6.36,0.0,0.0,6.36,0.0,0.0
97775,0.0,BLOCKED_UNSAFE,BUYER_REVIEW_REQUIRED,7.277,89.337,96.614,2.171,0.0,0.0,2.171,0.0,0.0
195446,0.0,TOP_UP_TO_OPTIMAL,HOLD_FOR_REPLENISHMENT,7.262,55.638,62.9,9.352,0.0,0.0,9.352,0.0,0.0
65557,0.0,NO_BUY_RUN_DOWN,BLOCKED_UNSAFE,7.121,3.68,10.801,2.84,0.0,0.0,2.84,0.0,0.0
307831,0.0,NO_BUY_RUN_DOWN,BUYER_REVIEW_REQUIRED,7.069,111.568,118.637,1.986,80.698,1.727,1.986,0.0,82.425
367011,0.0,NO_BUY_RUN_DOWN,BLOCKED_UNSAFE,6.934,3.125,10.059,5.755,0.0,0.0,5.755,0.0,0.0
