SKU,description,department,decision_triage_class,brain_learned_action_label,brain_expected_economic_value,economic_net_value_score,brain_value_gap_vs_current,brain_top_feature_1,brain_top_feature_2,constraint_block_flag,promo_demand_source_quality,buyer_check,governance_block_reason
94663,0.0,SKINCARE,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,72.122,44.684,27.438,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
87753,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,116.924,90.238,26.686,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
91442,0.0,HAIRCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,198.966,172.413,26.553,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
340014,0.0,BATH TOILETRIES,AUTO_BLOCK_CAPITAL_RISK,HOLD_FOR_REPLENISHMENT,73.291,46.783,26.508,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
91441,0.0,HAIRCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,47.153,20.772,26.381,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
193125,0.0,COLOUR COSMETICS,WATCHLIST_ONLY,HOLD_FOR_REPLENISHMENT,71.268,45.075,26.193,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
94509,0.0,FRAGRANCE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,-69.154,-95.13,25.976,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
27193,0.0,SUNCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,140.003,115.644,24.359,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
199846,0.0,SKINCARE,HIGH_PRIORITY_BUY_REVIEW,BUYER_REVIEW_REQUIRED,52.325,28.522,23.803,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
94903,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,276.111,253.28,22.831,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
195051,0.0,SKINCARE,AUTO_BLOCK_UNSAFE,BLOCKED_UNSAFE,-88.066,-109.779,21.713,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
195051,0.0,SKINCARE,STANDARD_BUY_REVIEW,HOLD_FOR_REPLENISHMENT,-72.189,-93.391,21.202,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
194048,0.0,SKINCARE,STANDARD_BUY_REVIEW,HOLD_FOR_REPLENISHMENT,-75.262,-96.381,21.119,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
65560,0.0,SKINCARE,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,98.905,77.807,21.098,current_soh,promo_start_soh_resolved,YES,UNSAFE,Review brain vs economic queue gap,UNSAFE_blocked
94904,0.0,SKINCARE,STANDARD_RUN_DOWN_REVIEW,BUYER_REVIEW_REQUIRED,50.471,29.489,20.982,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
195051,0.0,SKINCARE,STANDARD_BUY_REVIEW,BUYER_REVIEW_REQUIRED,52.864,32.226,20.638,current_soh,promo_start_soh_resolved,NO,LOW,Review brain vs economic queue gap,
65635,0.0,SKINCARE,WATCHLIST_ONLY,BUYER_REVIEW_REQUIRED,55.68,35.113,20.567,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
195051,0.0,SKINCARE,STANDARD_BUY_REVIEW,HOLD_FOR_REPLENISHMENT,-72.189,-92.689,20.5,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
654921,0.0,SUNCARE,WATCHLIST_ONLY,BLOCKED_UNSAFE,31.633,11.724,19.909,current_soh,promo_start_soh_resolved,YES,LOW,Review brain vs economic queue gap,constraint_blocked
