segment_name,segment_value,total_rows,actuals_available,raw_bias_pct,calibrated_bias_pct,bias_adjusted_bias_pct,WAPE,MAE,underforecast_rate,severe_underforecast_rate,overforecast_rate,severe_overforecast_rate,missed_units_estimate,excess_units_estimate,net_economic_risk_estimate,release_blocker_status,predicted_units_total,actual_units_total
category,REMOVAL WAX CREAM,178,85,-37.1607,-25.382,-23.6277,0.5817,0.49018539325842686,28.09,5.06,5.62,0.0,71.5,15.76,0.0,model_bias_dangerously_negative,94.26,150.0
category,RESPIRATORY AND SL,2,0,,-25.382,-23.6277,,0.053,0.0,0.0,0.0,0.0,0.0,0.11,0.0,monitor,0.11,0.0
category,REVLON,2558,475,-29.8299,-25.382,-23.6277,0.6266,0.14674003127443314,9.38,0.47,0.12,0.0,277.02,98.34,0.0,model_bias_dangerously_negative,420.32,599.0
category,REVOLUTION PRO,67,12,-5.0733,-25.382,-23.6277,0.5618,0.12577611940298508,5.97,1.49,1.49,0.0,4.59,3.83,0.0,monitor,14.24,15.0
category,RIMMEL,2315,584,-29.7157,-25.382,-23.6277,0.5974,0.20902850971922243,11.19,1.43,0.86,0.04,362.3,121.6,0.0,model_bias_dangerously_negative,569.3,810.0
category,SALLY HANSEN,1060,300,-31.0955,-25.382,-23.6277,0.5603,0.2235981132075472,13.02,1.42,0.28,0.0,184.27,52.74,0.0,model_bias_dangerously_negative,291.47,423.0
category,SEASONAL,11,2,-43.8,-25.382,-23.6277,0.576,0.10472727272727274,18.18,0.0,0.0,0.0,1.01,0.14,0.0,model_bias_dangerously_negative,1.12,2.0
category,SEASONAL CONFEC,2,0,,-25.382,-23.6277,,0.018,0.0,0.0,0.0,0.0,0.0,0.04,0.0,monitor,0.04,0.0
category,SEXUAL HEALTH,46,24,-11.1,-25.382,-23.6277,0.4734,0.38076086956521743,17.39,4.35,6.52,0.0,10.81,6.7,0.0,monitor,32.89,37.0
category,SHAMPOO CONDITIONE,1809,852,-49.4713,-25.382,-23.6277,0.6385,0.6494693200663351,26.15,8.07,3.54,0.22,1042.58,132.31,4.82,model_bias_dangerously_negative,929.73,1840.0
category,SINGLES FEMALE,1283,206,-32.5443,-25.382,-23.6277,0.6476,0.15950116913484022,7.95,1.01,0.7,0.0,153.74,50.9,0.0,model_bias_dangerously_negative,213.16,316.0
category,SINGLES MALE,512,84,-26.9779,-25.382,-23.6277,0.65,0.143462890625,7.62,0.59,0.39,0.0,51.97,21.48,0.0,model_bias_dangerously_negative,82.51,113.0
category,SINUS,86,33,-31.4678,-25.382,-23.6277,0.5875,0.40302325581395343,18.6,4.65,2.33,0.0,26.61,8.05,0.0,model_bias_dangerously_negative,40.43,59.0
category,SMOKING GUM,66,7,-18.0556,-25.382,-23.6277,0.941,0.12831818181818183,4.55,0.0,0.0,0.0,5.05,3.42,0.0,model_bias_dangerously_negative,7.38,9.0
category,SMOKING LOZENGE,35,8,16.6111,-25.382,-23.6277,0.5266,0.1354,2.86,0.0,5.71,0.0,1.62,3.12,0.0,monitor,10.5,9.0
category,SMOKING PATCH,15,1,35.3,-25.382,-23.6277,0.453,0.0302,0.0,0.0,0.0,0.0,0.05,0.4,0.0,monitor,1.35,1.0
category,SMOKING SPRAY,14,1,-31.45,-25.382,-23.6277,0.7225,0.10321428571428569,7.14,0.0,0.0,0.0,1.04,0.41,0.0,model_bias_dangerously_negative,1.37,2.0
category,SNACKS,16,12,13.6273,-25.382,-23.6277,0.4185,0.8631875,18.75,6.25,25.0,6.25,4.66,9.15,0.0,monitor,37.5,33.0
category,SPORTS NUTRITION,34,16,-71.8764,-25.382,-23.6277,0.8265,1.337,29.41,11.76,2.94,0.0,42.5,2.96,0.0,model_bias_dangerously_negative,15.47,55.0
category,SUN PROTECTION,842,529,-65.8359,-25.382,-23.6277,0.7475,1.6806353919239907,42.16,19.36,4.99,0.48,1330.68,84.41,4.82,model_bias_dangerously_negative,646.73,1893.0
category,TAN APPLICATOR,80,47,-59.0204,-25.382,-23.6277,0.6593,1.37625,41.25,18.75,3.75,0.0,104.33,5.77,0.0,model_bias_dangerously_negative,68.44,167.0
category,TAN SET AND REMOVE,24,8,-35.4643,-25.382,-23.6277,0.7291,0.4252916666666667,20.83,4.17,8.33,0.0,7.59,2.62,0.0,model_bias_dangerously_negative,9.04,14.0
category,TANNING SKIN,667,238,-34.5415,-25.382,-23.6277,0.5904,0.34344977511244373,17.24,4.05,2.1,0.0,181.55,47.53,0.0,model_bias_dangerously_negative,253.98,388.0
category,THE QUICK FLICK,242,113,-49.9548,-25.382,-23.6277,0.6438,0.6118925619834712,30.99,9.09,2.89,0.0,131.49,16.59,0.0,model_bias_dangerously_negative,115.1,230.0
category,THERAPEUTIC,1068,665,-71.8517,-25.382,-23.6277,0.8408,2.5028333333333332,41.39,20.97,6.55,1.12,2478.6,194.43,1.0,model_bias_dangerously_negative,894.83,3179.0
category,THROAT TREATMENT,111,56,-18.0776,-25.382,-23.6277,0.4873,0.4301981981981982,23.42,2.7,8.11,0.9,32.73,15.02,0.0,model_bias_dangerously_negative,80.28,98.0
category,TOOTHBRUSHES,171,108,-69.9795,-25.382,-23.6277,0.8733,3.0642748538011695,37.43,17.54,6.43,0.58,471.93,52.06,9.64,model_bias_dangerously_negative,180.12,600.0
category,TOOTHPASTE,475,326,-52.3083,-25.382,-23.6277,0.6357,1.1228105263157895,42.95,20.84,5.89,0.0,486.1,47.23,4.82,model_bias_dangerously_negative,400.13,839.0
category,TRAVEL ACCESSORIES,95,50,-23.9748,-25.382,-23.6277,0.6132,0.6648631578947367,22.11,8.42,12.63,1.05,43.93,19.23,0.0,model_bias_dangerously_negative,78.31,103.0
category,TREATMENT,901,461,-58.543,-25.382,-23.6277,0.7001,1.1103584905660377,31.41,12.32,3.66,0.11,918.51,81.93,0.0,model_bias_dangerously_negative,592.42,1429.0
category,WEIGHT MANAGEMENT,64,15,-10.76,-25.382,-23.6277,0.4944,0.1545,7.81,0.0,0.0,0.0,6.02,3.87,4.82,monitor,17.85,20.0
category,WOMENS DEODORANT,374,260,-45.704,-25.382,-23.6277,0.5757,0.9944438502673796,40.91,15.78,5.88,0.0,333.59,38.34,0.0,model_bias_dangerously_negative,350.75,646.0
category,WOMENS ELEC HAIR R,43,15,-52.0321,-25.382,-23.6277,0.6937,0.4516976744186046,20.93,9.3,4.65,0.0,17.0,2.43,0.0,model_bias_dangerously_negative,13.43,28.0
category,WOMENS HEALTH SUPP,251,80,-41.8867,-25.382,-23.6277,0.5974,0.34035059760956177,17.13,3.59,1.2,0.0,72.66,12.77,0.0,model_bias_dangerously_negative,83.1,143.0
category,WOMENS SHAVING AID,267,140,-26.5836,-25.382,-23.6277,0.5238,0.417876404494382,20.97,4.12,4.49,0.37,84.1,27.48,0.0,model_bias_dangerously_negative,156.38,213.0
category,WOUNDCARE,190,99,-28.5977,-25.382,-23.6277,0.528,0.7225789473684212,27.37,8.95,8.42,1.58,105.82,31.47,0.0,model_bias_dangerously_negative,185.65,260.0
long_tail_sku_flag,NO,82,81,-15.8879,-25.382,-23.6277,0.4332,0.739670731707317,39.02,6.1,8.54,0.0,41.45,19.2,37.74,model_bias_dangerously_negative,117.76,140.0
long_tail_sku_flag,YES,18,18,-48.798,-25.382,-23.6277,0.568,1.5777222222222222,66.67,33.33,0.0,0.0,26.4,2.0,16.46,model_bias_dangerously_negative,25.6,50.0
mission_sku_flag,NO,52285,20196,-50.3291,-25.382,-23.6277,0.6729,0.628766089700679,21.14,6.93,2.95,0.2,28731.65,4143.39,54.2,model_bias_dangerously_negative,24266.74,48855.0
basket_attachment_source_quality,HIGH,5,5,-12.5333,-25.382,-23.6277,0.4836,0.8704000000000001,20.0,20.0,20.0,0.0,2.74,1.61,5.82,monitor,7.87,9.0
basket_attachment_source_quality,LOW,36,36,-23.0299,-25.382,-23.6277,0.4573,0.851111111111111,44.44,11.11,5.56,0.0,23.04,7.61,29.92,model_bias_dangerously_negative,51.57,67.0
basket_attachment_source_quality,MEDIUM,59,58,-26.3895,-25.382,-23.6277,0.4742,0.9162711864406778,45.76,10.17,6.78,0.0,42.07,11.99,18.46,model_bias_dangerously_negative,83.92,114.0
high_wape_regime,NO,52285,20196,-50.3291,-25.382,-23.6277,0.6729,0.628766089700679,21.14,6.93,2.95,0.2,28731.65,4143.39,54.2,model_bias_dangerously_negative,24266.74,48855.0
dangerous_bias_regime,NO,52276,20187,-50.3217,-25.382,-23.6277,0.6729,0.6284729512587037,21.13,6.92,2.95,0.2,28711.07,4142.99,47.38,model_bias_dangerously_negative,24253.92,48822.0
dangerous_bias_regime,YES,9,9,-61.1606,-25.382,-23.6277,0.6358,2.3314444444444447,88.89,55.56,0.0,0.0,20.58,0.4,6.82,model_bias_dangerously_negative,12.82,33.0
shadow_candidate_class,SHADOW_TOP_100_CANDIDATE,50,49,-13.4277,-25.382,-23.6277,0.4316,0.7164600000000001,38.0,6.0,10.0,0.0,23.48,12.34,26.1,monitor,71.86,83.0
shadow_candidate_class,SHADOW_TOP_50_CANDIDATE,50,50,-33.1748,-25.382,-23.6277,0.4975,1.06458,50.0,16.0,4.0,0.0,44.36,8.87,28.1,model_bias_dangerously_negative,71.5,107.0
decision_triage_class,HIGH_PRIORITY_BUY_REVIEW,31,31,-15.0865,-25.382,-23.6277,0.4234,0.7102258064516128,38.71,6.45,6.45,0.0,14.93,7.09,33.74,model_bias_dangerously_negative,44.15,52.0
decision_triage_class,STANDARD_BUY_REVIEW,69,68,-28.1138,-25.382,-23.6277,0.4858,0.9715217391304349,46.38,13.04,7.25,0.0,52.92,14.12,20.46,model_bias_dangerously_negative,99.2,138.0
