sku_number,selected_demand_units,total_expected_demand_units,order_units,raw_stock_gap_units,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,expected_units_total_promo,demand_evidence_label,demand_evidence_class,feature_signal_max,feature_exceeds_final_by
27193,1,1,0,0,0.03024,15.333333333333334,15.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,15.333333333333334,14.333333333333334
87418,1,1,0,0,0.0281866666666666,15.0,15.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,15.0,14.0
195445,1,1,0,0,0.03024,15.0,15.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,15.0,14.0
67690,1,113,0,15,14.0,0.5625,0.5625,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
91058,1,113,0,15,14.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
199846,1,1,0,0,0.0270666666666666,14.0,14.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
96617,1,113,0,15,14.0,2.5e-07,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
389404,1,113,0,15,14.0,2.5e-07,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
199053,1,113,0,15,14.0,1.625,1.625,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
88458,1,113,0,15,14.0,0.6363636363636364,0.6364,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
799718,1,113,0,15,14.0,1.0,1.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
192936,1,113,0,15,14.0,8.318181818181818,8.3182,1,LOW_NONZERO_DEMAND,low_nonzero_demand,14.0,13.0
43839,1,1,0,0,0.0012692592592592,13.625,13.625,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.625,12.625
195051,1,1,0,0,0.0208133333333333,13.333333333333334,13.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.333333333333334,12.333333333333334
184707,1,1,0,0,0.0094266666666666,13.0,13.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.0,12.0
188709,1,1,0,1,0.0083533333333333,6.56265,13.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.0,12.0
188720,1,1,0,0,0.0145599999999999,6.6092,13.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,13.0,12.0
478354,1,103,0,14,12.727272727272728,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,12.727272727272728,11.727272727272728
612448,1,1,0,0,0.01568,12.705882352941176,10.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,12.705882352941176,11.705882352941176
188996,1,1,0,1,0.0104066666666666,12.625,12.625,1,LOW_NONZERO_DEMAND,low_nonzero_demand,12.625,11.625
15789,1,1,0,0,0.0083533333333333,12.529411764705882,12.5294,1,LOW_NONZERO_DEMAND,low_nonzero_demand,12.529411764705882,11.529411764705882
580,1,1,0,0,0.0260866666666666,12.444444444444445,12.4444,1,LOW_NONZERO_DEMAND,low_nonzero_demand,12.444444444444445,11.444444444444445
63416,1,1,0,1,0.0145599999999999,12.333333333333334,12.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,12.333333333333334,11.333333333333334
199243,1,1,0,0,0.0052266666666666,6.0392,12.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,12.0,11.0
55533,1,1,0,1,0.0239866666666666,12.0,12.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,12.0,11.0
32861,1,1,0,0,0.01666,11.823529411764708,9.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.823529411764708,10.823529411764708
15792,1,1,0,0,0.0073266666666666,11.764705882352942,11.7647,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.764705882352942,10.764705882352942
63079,1,1,0,0,0.0145599999999999,11.705882352941176,11.7059,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.7059,10.7059
193203,1,1,0,0,0.01148,11.636363636363637,11.6364,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.6364,10.6364
49686,1,1,0,0,0.0083533333333333,11.5,11.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.5,10.5
90903,1,1,0,0,0.0,11.0000005,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.0000005,10.0000005
192050,1,1,0,0,0.0094266666666666,5.5707,11.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.0,10.0
94903,1,1,0,0,0.0145599999999999,11.0,11.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.0,10.0
188716,1,1,0,0,0.0041533333333333,5.53115,11.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.0,10.0
195091,1,1,0,0,0.0073266666666666,5.55495,11.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.0,10.0
87417,1,1,0,1,0.0082133333333333,5.5392,11.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,11.0,10.0
20798,1,1,0,1,0.01568,10.77777777777778,10.7778,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.7778,9.7778
188833,1,1,0,0,0.0425333333333333,10.666666666666666,10.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.6667,9.6667
90462,1,85,0,12,10.5,0.6666666666666666,0.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.5,9.5
93993,1,85,0,12,10.5,0.9090909090909092,0.9091,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.5,9.5
90432,1,85,0,12,10.5,0.4285714285714285,0.4286,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.5,9.5
90990,1,85,0,12,10.5,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.5,9.5
192032,1,1,0,0,0.0,10.5,1.8333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.5,9.5
192118,1,85,0,12,10.5,0.4230769230769231,0.4231,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.5,9.5
37987,1,1,0,0,0.0208133333333333,10.5,10.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.5,9.5
655035,1,1,0,0,0.03332,10.333333333333334,10.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.333333333333334,9.333333333333334
655084,1,1,0,0,0.0250133333333333,10.333333333333334,10.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.333333333333334,9.333333333333334
93339,1,1,0,0,0.0250133333333333,10.0,10.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.0,9.0
93335,1,1,0,1,0.0145599999999999,10.0,10.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.0,9.0
199841,1,1,0,0,0.0145599999999999,10.0,10.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,10.0,9.0
365033,1,79,0,11,9.8,1.9230769230769231,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.8,8.8
18512,1,1,0,0,0.0177333333333333,9.666666666666666,9.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.6667,8.6667
67700,1,76,0,11,9.333333333333332,1.125,1.125,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.333333333333332,8.333333333333332
193696,1,76,0,11,9.333333333333332,0.6666666666666666,0.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.333333333333332,8.333333333333332
94071,1,76,0,11,9.333333333333332,1.1428571428571428,1.1429,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.333333333333332,8.333333333333332
194014,1,76,0,11,9.333333333333332,2.5e-07,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.333333333333332,8.333333333333332
193204,1,1,0,1,0.0104066666666666,9.272727272727272,9.2727,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.272727272727272,8.272727272727272
195102,1,1,0,0,0.0,9.25,1.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.25,8.25
11838,1,1,0,0,0.01666,9.125,9.125,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.125,8.125
87753,1,1,0,0,0.0080399999999999,9.0000005,9.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.0000005,8.0000005
94904,1,1,0,0,0.01666,9.0000005,9.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.0000005,8.0000005
87758,1,1,0,0,0.0041533333333333,9.0000005,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.0000005,8.0000005
187118,1,1,0,0,0.0041533333333333,4.53115,9.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.0,8.0
187116,1,1,0,0,0.0041533333333333,4.53115,9.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.0,8.0
188719,1,1,0,0,0.0080399999999999,4.5469,9.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.0,8.0
46889,1,1,0,0,0.0052266666666666,9.0,9.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.0,8.0
90766,1,1,0,1,0.0052266666666666,9.0,5.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,9.0,8.0
198637,1,1,0,0,0.0052266666666666,8.75,8.75,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.75,7.75
96608,1,71,0,10,8.75,1.5,1.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.75,7.75
87755,1,1,0,0,0.0075933333333333,8.5000005,8.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.5000005,7.5000005000000005
390763,1,1,0,0,0.0083533333333333,8.4,8.4,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.4,7.4
193213,1,69,0,10,8.4,1.6363636363636365,1.6364,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.4,7.4
495891,1,1,0,1,0.0239866666666666,8.333333333333334,8.3333,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.333333333333334,7.333333333333334
189518,1,67,0,10,8.166666666666668,1.6470588235294117,1.6471,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.166666666666668,7.166666666666668
192838,1,1,0,0,0.01148,6.8,8.1429,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.1429,7.142899999999999
87748,1,1,0,0,0.0041533333333333,8.0,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.0,7.0
195446,1,1,0,0,0.0250133333333333,8.0,8.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.0,7.0
97057,1,65,0,9,8.0,1e-06,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.0,7.0
92853,1,1,0,0,0.0083733333333333,4.05495,8.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.0,7.0
198880,1,1,0,1,0.01568,8.0,8.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,8.0,7.0
674400,1,1,0,0,0.01358,7.928571428571429,0.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.928571428571429,6.928571428571429
321943,1,1,0,0,0.0198333333333333,7.823529411764706,5.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.823529411764706,6.823529411764706
193205,1,1,0,0,0.0104066666666666,7.818181818181818,7.8182,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.8182,6.8182
188857,1,1,0,0,0.0021,7.666666666666667,7.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.6667,6.6667
186369,1,1,0,0,0.0125066666666666,7.647058823529412,7.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.6667,6.6667
93336,1,1,0,0,0.0066999999999999,7.5000005,7.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.5000005,6.5000005
93951,1,1,0,0,0.0229133333333333,7.0,7.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.5,6.5
194048,1,1,0,0,0.0104066666666666,7.5,7.5,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.5,6.5
188848,1,1,0,0,0.0031733333333333,7.5,3.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.5,6.5
90935,1,1,0,1,0.0010733333333333,7.5,2.0,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.5,6.5
591904,1,1,0,0,0.0125066666666666,7.470588235294118,6.6667,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.470588235294118,6.470588235294118
200956,1,1,0,0,0.0041533333333333,7.428571428571429,7.4286,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.4286,6.4286
193212,1,1,0,0,0.0062533333333333,7.363636363636363,7.3636,1,LOW_NONZERO_DEMAND,low_nonzero_demand,7.363636363636363,6.363636363636363
