sku_number,expected_units_before_promo_start,expected_promo_demand,pre_minus_promo,pre_over_promo_ratio,projected_SOH_at_promo_start,current_soh,projected_stock_gap_units,days_to_promo_start,lead_days_to_promo_start,lead_up_demand_units,feature_pre_promo_baseline_daily_units,feature_pre_promo_rolling_demand_units
196343,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
93969,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
94687,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
195436,0,1,-1,0.0,3,3,0,1,1,0,0.0043,0.0602
94699,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
35083,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
54491,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
6828,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
94575,0,1,-1,0.0,3,3,0,1,1,0,0.0021,0.0294
27190,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
196551,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
88884,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
335592,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
33087,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
97237,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
40520,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
188519,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
610055,0,1,-1,0.0,18,18,0,1,1,0,1.0,14.0
378879,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
17082,0,1,-1,0.0,9,9,0,1,1,0,1.0,14.0
94682,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
88120,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
94935,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
70983,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
65437,0,1,-1,0.0,4,4,0,1,1,0,0.0,0.0
94938,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
199901,0,1,-1,0.0,3,0,0,1,1,0,1.0,14.0
94537,0,1,-1,0.0,5,5,0,1,1,0,0.0021,0.0294
94248,0,1,-1,0.0,3,3,0,1,1,0,0.0021,0.0294
94250,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
94887,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
195266,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
88909,0,1,-1,0.0,8,8,0,1,1,0,0.0043,0.0602
88082,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
88445,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
628826,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
297070,0,1,-1,0.0,10,10,0,1,1,0,1.0,14.0
192196,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
198294,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
97195,0,1,-1,0.0,4,4,0,1,1,0,1.2,16.8
94525,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
90759,0,1,-1,0.0,3,3,0,1,1,0,0.0021,0.0294
194029,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
36469,0,1,-1,0.0,11,11,0,1,1,0,1.5,21.0
196856,0,1,-1,0.0,5,5,0,1,1,0,0.0043,0.0602
92662,0,1,-1,0.0,7,7,0,1,1,0,0.0,0.0
93980,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
67096,0,1,-1,0.0,7,7,0,1,1,0,0.0021,0.0294
225215,0,1,-1,0.0,7,7,0,1,1,0,1.3333333333333333,18.666666666666664
192619,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
92660,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
192037,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
93846,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
97436,0,1,-1,0.0,3,3,0,1,1,0,0.0,0.0
88083,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
72544,0,1,-1,0.0,11,11,0,1,1,0,2.0,28.0
90270,0,1,-1,0.0,8,8,0,1,1,0,0.0021,0.0294
94538,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
56419,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
89663,0,1,-1,0.0,4,4,0,1,1,0,0.0,0.0
193127,0,1,-1,0.0,6,6,0,1,1,0,0.0021,0.0294
93551,0,1,-1,0.0,3,0,0,1,1,0,2.0,28.0
90041,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
33116,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
90015,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
195752,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
92831,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
192261,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
42894,0,1,-1,0.0,10,10,0,1,1,0,1.0,14.0
91585,0,1,-1,0.0,8,8,0,1,1,0,1.0,14.0
95577,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
94996,0,1,-1,0.0,5,5,0,1,1,0,1.1428571428571428,16.0
88110,0,1,-1,0.0,5,5,0,1,1,0,1.0,14.0
195107,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
199263,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
38425,0,1,-1,0.0,7,7,0,1,1,0,0.0,0.0
90171,0,1,-1,0.0,8,8,0,1,1,0,0.0043,0.0602
198909,0,1,-1,0.0,6,6,0,1,1,0,0.0,0.0
194427,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
194018,0,1,-1,0.0,3,3,0,1,1,0,1.3333333333333333,18.666666666666664
188520,0,1,-1,0.0,10,10,0,1,1,0,1.0,14.0
188848,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
20798,0,1,-1,0.0,5,5,0,1,1,0,1.1666666666666667,16.333333333333336
89022,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
38201,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
29850,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
94532,0,1,-1,0.0,4,4,0,1,1,0,0.0021,0.0294
57452,0,1,-1,0.0,4,4,0,1,1,0,1.0,14.0
193897,0,1,-1,0.0,3,3,0,1,1,0,1.0,14.0
192258,0,1,-1,0.0,7,7,0,1,1,0,1.0,14.0
191879,0,1,-1,0.0,5,5,0,1,1,0,0.0,0.0
13630,0,1,-1,0.0,5,5,0,1,1,0,2.0,28.0
11494,0,1,-1,0.0,3,3,0,1,1,0,1.5,21.0
194878,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
32861,0,1,-1,0.0,17,17,0,1,1,0,2.8,39.2
195754,0,1,-1,0.0,6,6,0,1,1,0,1.0,14.0
