sku_number,sku_description,priority_band,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,reason_short,audit_notes
198999,Esi Gel Co 40 Fairy Tailor,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=52; capital_risk=$0.56; risk_reward=0.58; sku_bias=NO_COMPARABLE_EVENTS
55585,Pantene Micel Rosewtr Cd 530Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,Governed discount conflicts with price-derived discount.,review=Governed discount conflicts with price-derived discount; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=52; capital_risk=$0.00; risk_reward=0.00; sku_bias=NO_COMPARABLE_EVENTS
97728,Ptn Rot Br Goldie 300Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$0.00; risk_reward=0.00; sku_bias=NO_COMPARABLE_EVENTS
97729,Ptn Cond Rep & Pro 290Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=23; capital_risk=$0.00; risk_reward=0.00; sku_bias=NO_COMPARABLE_EVENTS
97730,Ptn Cd Dam Rep 290Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=23; capital_risk=$0.00; risk_reward=0.00; sku_bias=NO_COMPARABLE_EVENTS
97731,Ptn Cd Dam Rep 800Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=23; capital_risk=$0.00; risk_reward=0.00; sku_bias=NO_COMPARABLE_EVENTS
97732,Ptn Cond U10 Rep & Pro 800Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=23; capital_risk=$0.00; risk_reward=0.00; sku_bias=NO_COMPARABLE_EVENTS
98077,Ptn Rot 180Ml Br D50 H199,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,3,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=57; capital_risk=$0.00; risk_reward=0.00; sku_bias=NO_COMPARABLE_EVENTS
92304,Ysl Libre L'Absolu Platine P90,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=68; capital_risk=$188.12; risk_reward=1.04; sku_bias=NO_COMPARABLE_EVENTS
92234,Lancome Lve Belle Elixir P100,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=68; capital_risk=$183.68; risk_reward=1.03; sku_bias=NO_COMPARABLE_EVENTS
627038,Lancome La Vie Est Belle 50Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=53; capital_risk=$164.78; risk_reward=0.72; sku_bias=NO_COMPARABLE_EVENTS
92294,Mugler Angel Rf Edp 100Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=69; capital_risk=$155.75; risk_reward=1.06; sku_bias=NO_COMPARABLE_EVENTS
92303,Mugler Angel Elixir Rf Edp 50M,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=68; capital_risk=$118.17; risk_reward=1.04; sku_bias=NO_COMPARABLE_EVENTS
192266,B.E Eilish No.2 Edp 100Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=27; capital_risk=$112.83; risk_reward=0.57; sku_bias=NO_COMPARABLE_EVENTS
94166,Jpg Classique Edt 100 2P Gs 25,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=54; capital_risk=$109.03; risk_reward=0.91; sku_bias=NO_COMPARABLE_EVENTS
92232,Yves Saint Laurent Paris P50,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=67; capital_risk=$106.75; risk_reward=1.03; sku_bias=NO_COMPARABLE_EVENTS
92233,G/A Si Passione Intense P50,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=68; capital_risk=$100.50; risk_reward=1.03; sku_bias=NO_COMPARABLE_EVENTS
94508,Rabanne 1 Million Edt 200Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=56; capital_risk=$86.24; risk_reward=1.15; sku_bias=NO_COMPARABLE_EVENTS
92393,Estee Beaut Magnolia Edp 100Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=67; capital_risk=$71.15; risk_reward=1.28; sku_bias=NO_COMPARABLE_EVENTS
195250,Guess B/Vita Edp 100Ml 4Pc,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=36; capital_risk=$69.15; risk_reward=0.65; sku_bias=NO_COMPARABLE_EVENTS
90237,G/A Si Epd Intense 30Ml R/F,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=56; capital_risk=$67.80; risk_reward=1.14; sku_bias=NO_COMPARABLE_EVENTS
92301,Ga Code For Men Edt 50Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=56; capital_risk=$67.73; risk_reward=1.14; sku_bias=NO_COMPARABLE_EVENTS
92296,Ralphs Lauren Ralphs Club P50,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=67; capital_risk=$65.40; risk_reward=1.27; sku_bias=NO_COMPARABLE_EVENTS
191352,Clinique Happy P/Spray 100Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=48; capital_risk=$52.31; risk_reward=0.96; sku_bias=NO_COMPARABLE_EVENTS
95207,Emily In Paris Edp 100Ml 3P Gs,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Governed discount conflicts with price-derived discount.,review=Governed discount conflicts with price-derived discount; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=50; capital_risk=$51.23; risk_reward=1.00; sku_bias=NO_COMPARABLE_EVENTS
92307,Ga Acqua Di Gio Edt 30Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=67; capital_risk=$49.32; risk_reward=1.24; sku_bias=NO_COMPARABLE_EVENTS
27851,E/Tay Whit Diamnd Edt 100 3P,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=30; capital_risk=$43.30; risk_reward=0.71; sku_bias=NO_COMPARABLE_EVENTS
96422,T/H Tommy New York Edt 100Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=64; capital_risk=$42.12; risk_reward=1.14; sku_bias=NO_COMPARABLE_EVENTS
96424,T/H Tommy Girl New York T100,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=64; capital_risk=$42.11; risk_reward=1.14; sku_bias=NO_COMPARABLE_EVENTS
194079,D/Off Cool Wtr Rebrn M Edp 100,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=49; capital_risk=$41.21; risk_reward=0.97; sku_bias=NO_COMPARABLE_EVENTS
27801,Coach Man Eau De Toilette 40Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=31; capital_risk=$40.86; risk_reward=0.72; sku_bias=NO_COMPARABLE_EVENTS
194527,Dkny P/P Lime Mojito Edt 50Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=51; capital_risk=$35.75; risk_reward=1.02; sku_bias=NO_COMPARABLE_EVENTS
226289,E/Tay White Diamonds T100Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=44; capital_risk=$35.74; risk_reward=0.90; sku_bias=NO_COMPARABLE_EVENTS
193657,Mrc Jcb Daisy Love Edt Drp 30,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=33; capital_risk=$34.32; risk_reward=0.74; sku_bias=NO_COMPARABLE_EVENTS
194526,Dkny P/P Bay Breeze Edt 50Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=54; capital_risk=$33.76; risk_reward=1.08; sku_bias=NO_COMPARABLE_EVENTS
963046,J/Choo Blossom Edp 40Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Governed discount conflicts with price-derived discount.,review=Governed discount conflicts with price-derived discount; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=50; capital_risk=$31.55; risk_reward=1.01; sku_bias=NO_COMPARABLE_EVENTS
88570,Biogaia Baby Probio + Vit D,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Forecast requires manager review.,review=Forecast requires manager review; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=29; capital_risk=$31.26; risk_reward=0.71; sku_bias=NO_COMPARABLE_EVENTS
190037,Scholl Plantar Fasciitis L,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=24; capital_risk=$28.74; risk_reward=0.66; sku_bias=NO_COMPARABLE_EVENTS
193656,Mrc Jcb Daisy Edt Drp 30,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=47; capital_risk=$27.03; risk_reward=0.95; sku_bias=NO_COMPARABLE_EVENTS
194846,Mrc Jcb Daisy Esf Edt Drp 30,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=48; capital_risk=$26.79; risk_reward=0.95; sku_bias=NO_COMPARABLE_EVENTS
194217,B/S Circus Fantasy Edp 100Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=52; capital_risk=$26.54; risk_reward=1.03; sku_bias=NO_COMPARABLE_EVENTS
62690,C/Counc Barton Black,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=36; capital_risk=$24.48; risk_reward=0.79; sku_bias=NO_COMPARABLE_EVENTS
188862,Avene Hyalyron Firm Crm 50Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=67; capital_risk=$23.27; risk_reward=1.49; sku_bias=NO_COMPARABLE_EVENTS
950572,C/Counc Bondi Black,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=28; capital_risk=$22.18; risk_reward=0.69; sku_bias=NO_COMPARABLE_EVENTS
194540,C/Counc Ascot Khaki,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=34; capital_risk=$20.21; risk_reward=0.76; sku_bias=NO_COMPARABLE_EVENTS
48923,C/Counc Bondi Matte Blk Blue,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=35; capital_risk=$19.96; risk_reward=0.77; sku_bias=NO_COMPARABLE_EVENTS
611038,Toppik Black Build Fiber 12G,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Governed discount conflicts with price-derived discount.,review=Governed discount conflicts with price-derived discount; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=49; capital_risk=$19.61; risk_reward=0.98; sku_bias=NO_COMPARABLE_EVENTS
94491,Bwy B&H Trial Kit,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$19.59; risk_reward=1.22; sku_bias=NO_COMPARABLE_EVENTS
192031,Avene Toler Int Recov Srm 30Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=68; capital_risk=$18.60; risk_reward=1.56; sku_bias=NO_COMPARABLE_EVENTS
196873,Herbs Of Gold Men'S Multi + 30,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=1; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$17.73; risk_reward=0.83; sku_bias=NO_COMPARABLE_EVENTS
36581,Nair Cream Sens Coconut 357G,REVIEW,REDUCE_HOLDING,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=2; provisional_units=0; final_units=0; confidence_pct=60; capital_risk=$16.84; risk_reward=0.62; sku_bias=NO_COMPARABLE_EVENTS
15707,Ralph Laur Ralph Edt 30Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=65; capital_risk=$15.80; risk_reward=1.42; sku_bias=NO_COMPARABLE_EVENTS
69756,Avene Toler Cleanser 200Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=51; capital_risk=$15.67; risk_reward=1.02; sku_bias=NO_COMPARABLE_EVENTS
38950,C/Counc L/Pilli Cryst Moss,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=52; capital_risk=$14.86; risk_reward=1.04; sku_bias=NO_COMPARABLE_EVENTS
62692,C/Counc Bright Green,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,2,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NEVER_SOLD_IN_PROMO; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=2; provisional_units=0; final_units=0; confidence_pct=52; capital_risk=$14.84; risk_reward=1.04; sku_bias=NO_COMPARABLE_EVENTS
