sku_number,sku_description,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,audit_notes
94529,No7 Es Palette Lights Camera,REDUCE_HOLDING,REVIEW,0,1,0,review=Forecast requires manager review; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=39; capital_risk=$17.70; risk_reward=0.82; sku_bias=NO_COMPARABLE_EVENTS
67914,Neut H/Boost Hyl/Acid Serum 30,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$17.67; risk_reward=0.84; sku_bias=NO_COMPARABLE_EVENTS
194046,Csc Clarifying Minipeel 30Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=36; capital_risk=$17.58; risk_reward=0.78; sku_bias=NO_COMPARABLE_EVENTS
33092,Sm Coconut & Hibiscus Sm 340G,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=27; capital_risk=$17.58; risk_reward=0.68; sku_bias=NO_COMPARABLE_EVENTS
63360,Avene Cicalfate+ Scar Gel 30Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=27; capital_risk=$17.57; risk_reward=0.69; sku_bias=NO_COMPARABLE_EVENTS
388815,Dv Ehg Soap-Free Wash 250Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=30; capital_risk=$17.38; risk_reward=0.36; sku_bias=NO_COMPARABLE_EVENTS
97287,Swisse U/B H/S Milk Thistle 60,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=43; capital_risk=$17.38; risk_reward=0.88; sku_bias=NO_COMPARABLE_EVENTS
96450,May Lift Ls Mte Hold Door 006,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=44; capital_risk=$17.20; risk_reward=0.45; sku_bias=NO_COMPARABLE_EVENTS
33089,Sm Manuka H&M Oil Hy Msq 340G,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=29; capital_risk=$17.12; risk_reward=0.70; sku_bias=NO_COMPARABLE_EVENTS
89626,Rim Thrill Lip Latex Majesty,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=43; capital_risk=$17.06; risk_reward=0.58; sku_bias=NO_COMPARABLE_EVENTS
73263,Thayers Rose Petal Toner 355Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$17.05; risk_reward=0.56; sku_bias=NO_COMPARABLE_EVENTS
32180,Garn Fruc H/Food Maca 390Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=39; capital_risk=$17.00; risk_reward=0.41; sku_bias=NO_COMPARABLE_EVENTS
56157,Epzen B/Lotion Relax 100Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=26; capital_risk=$16.95; risk_reward=0.34; sku_bias=NO_COMPARABLE_EVENTS
102080,Mf Lipfinity Hot,REDUCE_HOLDING,REVIEW,0,1,0,review=Forecast requires manager review; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=26; capital_risk=$16.94; risk_reward=0.68; sku_bias=NO_COMPARABLE_EVENTS
90731,Nature'S Way Mag+Sleep 60T,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=32; capital_risk=$16.82; risk_reward=0.73; sku_bias=NO_COMPARABLE_EVENTS
64557,Brilliance L43 Smouldering Red,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=29; capital_risk=$16.80; risk_reward=0.71; sku_bias=NO_COMPARABLE_EVENTS
94559,Cetaphil Gentle Skin Clns 473M,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=28; capital_risk=$16.80; risk_reward=0.70; sku_bias=NO_COMPARABLE_EVENTS
52120,Rexona M Apd Adv Sport 220Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$16.78; risk_reward=0.33; sku_bias=NO_COMPARABLE_EVENTS
252767,Mf M/Up Miracle Touch Cr Ivory,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$16.72; risk_reward=0.83; sku_bias=NO_COMPARABLE_EVENTS
194044,Csc Ap Bb Cream 50Ml Med,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=31; capital_risk=$16.46; risk_reward=0.72; sku_bias=NO_COMPARABLE_EVENTS
38424,Moogoo Eczema Psor Crm 120G,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=34; capital_risk=$16.42; risk_reward=0.51; sku_bias=NO_COMPARABLE_EVENTS
38457,Moogoo Scalp Cream 120G,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=33; capital_risk=$16.42; risk_reward=0.50; sku_bias=NO_COMPARABLE_EVENTS
520999,May L/S Superstay Timeless Tof,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$16.39; risk_reward=0.55; sku_bias=NO_COMPARABLE_EVENTS
68480,E/Care M/Kesh O&C/N Spoo 950Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=28; capital_risk=$16.38; risk_reward=0.47; sku_bias=NO_COMPARABLE_EVENTS
91103,Nude Radiance Drops 01 Brnze,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=43; capital_risk=$16.33; risk_reward=0.87; sku_bias=NO_COMPARABLE_EVENTS
560391,Ardell Lash Demi Black 110,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=41; capital_risk=$16.20; risk_reward=0.34; sku_bias=NO_COMPARABLE_EVENTS
645745,Olay Moist Sens Cream 100G,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$16.15; risk_reward=0.41; sku_bias=NO_COMPARABLE_EVENTS
96465,May Lifter Conceal 15,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=36; capital_risk=$16.15; risk_reward=0.52; sku_bias=NO_COMPARABLE_EVENTS
46888,May Fit Me Pwd Natl Buff,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$16.10; risk_reward=0.42; sku_bias=NO_COMPARABLE_EVENTS
75504,Got2B Glued 4 Brows&Edges 16Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=29; capital_risk=$16.06; risk_reward=0.70; sku_bias=NO_COMPARABLE_EVENTS
49091,Garn H/Bomb Mask Green Tea,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=29; capital_risk=$16.04; risk_reward=0.20; sku_bias=NO_COMPARABLE_EVENTS
350181,Mf Masc False Lash Wp Black,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=28; capital_risk=$15.96; risk_reward=0.69; sku_bias=NO_COMPARABLE_EVENTS
595381,Advil Ibuprofen 200Mg 24Tab,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=30; capital_risk=$15.92; risk_reward=0.20; sku_bias=NO_COMPARABLE_EVENTS
45578,Nude Travel Brush 10,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=41; capital_risk=$15.88; risk_reward=0.56; sku_bias=NO_COMPARABLE_EVENTS
94684,Rim K&F S/T Glow Rose Van,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$15.86; risk_reward=0.56; sku_bias=NO_COMPARABLE_EVENTS
193725,No7 Rad+ Vit C Moisturisr 50Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=Forecast requires manager review; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=26; capital_risk=$15.84; risk_reward=0.68; sku_bias=NO_COMPARABLE_EVENTS
795151,Band Aid Advanced Large 6,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=25; capital_risk=$15.77; risk_reward=0.33; sku_bias=NO_COMPARABLE_EVENTS
5908,Bondi/S Tanning Back Applicatr,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=39; capital_risk=$15.62; risk_reward=0.33; sku_bias=NO_COMPARABLE_EVENTS
94524,No7 Matte Muse Lipstick Rose C,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=41; capital_risk=$15.62; risk_reward=0.84; sku_bias=NO_COMPARABLE_EVENTS
196240,Mf Lipfinity Pearly Nude 001,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=32; capital_risk=$15.55; risk_reward=0.74; sku_bias=NO_COMPARABLE_EVENTS
196549,No7 Hydra+ Ha Serum 30Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=Forecast requires manager review; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=26; capital_risk=$15.53; risk_reward=0.68; sku_bias=NO_COMPARABLE_EVENTS
73205,Garn Micellar Vit C Water 400,REDUCE_HOLDING,REVIEW,0,1,0,review=Forecast requires manager review; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=37; capital_risk=$15.40; risk_reward=0.53; sku_bias=NO_COMPARABLE_EVENTS
65090,Got2B Modelling Wax 100Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=25; capital_risk=$15.33; risk_reward=0.44; sku_bias=NO_COMPARABLE_EVENTS
196930,Rim Better Filters Light,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=31; capital_risk=$15.27; risk_reward=0.73; sku_bias=NO_COMPARABLE_EVENTS
26236,Nude Flawless Con 03 Shel Beig,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=ZERO_SOH_RISK; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=31; capital_risk=$15.14; risk_reward=0.73; sku_bias=NO_COMPARABLE_EVENTS
984248,U By Kotex Sprt Ut Reg Wing 12,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=28; capital_risk=$15.05; risk_reward=0.23; sku_bias=NO_COMPARABLE_EVENTS
195017,Garn Pa Hyd Cleanser 250Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=25; capital_risk=$14.81; risk_reward=0.67; sku_bias=NO_COMPARABLE_EVENTS
45417,Scholl Pedi Mask Single Pouch,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=29; capital_risk=$14.76; risk_reward=0.24; sku_bias=NO_COMPARABLE_EVENTS
56555,Vicks 2 In 1 D+Ch Cough 200Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=33; capital_risk=$14.73; risk_reward=0.50; sku_bias=NO_COMPARABLE_EVENTS
55881,Avene Cleanance Starter Kit,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=41; capital_risk=$14.71; risk_reward=0.56; sku_bias=NO_COMPARABLE_EVENTS
186525,Bondi/S G/Tan S/Illum150Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$14.67; risk_reward=0.56; sku_bias=NO_COMPARABLE_EVENTS
885541,Tena For Men Level 2 10'S,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=39; capital_risk=$14.65; risk_reward=0.41; sku_bias=NO_COMPARABLE_EVENTS
343315,Nude Soft Focus Iluminatr 50Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=28; capital_risk=$14.63; risk_reward=0.70; sku_bias=NO_COMPARABLE_EVENTS
73656,Nude Absolute Vol Masc Black,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$14.59; risk_reward=0.84; sku_bias=NO_COMPARABLE_EVENTS
67880,Casting Crm Gls Mahogany 550,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=39; capital_risk=$14.53; risk_reward=0.82; sku_bias=NO_COMPARABLE_EVENTS
91270,Sm Coconut & Hib Masque 326G,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$14.53; risk_reward=0.83; sku_bias=NO_COMPARABLE_EVENTS
91121,Nude Lip Butter 01 Blush,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=41; capital_risk=$14.44; risk_reward=0.56; sku_bias=NO_COMPARABLE_EVENTS
88162,Nude Hydra Stick 03 Swt Peach,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=41; capital_risk=$14.41; risk_reward=0.85; sku_bias=NO_COMPARABLE_EVENTS
33552,Got2B Guard Ang H Prt Sp 200Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=38; capital_risk=$14.29; risk_reward=0.54; sku_bias=NO_COMPARABLE_EVENTS
89665,Nurofen Zavance Mini L/Cap 32,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=30; capital_risk=$14.27; risk_reward=0.71; sku_bias=NO_COMPARABLE_EVENTS
90170,Npmu Epic Ink El Shimmer Stch,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$14.26; risk_reward=0.55; sku_bias=NO_COMPARABLE_EVENTS
198733,May Sst Lumi Matte Fnd 128,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$14.17; risk_reward=0.83; sku_bias=NO_COMPARABLE_EVENTS
342491,Nivea Apd R/O B&W Clear 50Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=26; capital_risk=$14.09; risk_reward=0.15; sku_bias=NO_COMPARABLE_EVENTS
198727,May Sst Lumi Matte Fnd 98,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$14.07; risk_reward=0.84; sku_bias=NO_COMPARABLE_EVENTS
94868,Essano Vit C Facial Oil 20Ml,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=41; capital_risk=$14.02; risk_reward=0.84; sku_bias=NO_COMPARABLE_EVENTS
485861,U By Kotex Tamp Mini 16,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=41; capital_risk=$13.96; risk_reward=0.21; sku_bias=NO_COMPARABLE_EVENTS
96446,May Lift Ls Mte Maybe Its 002,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$13.90; risk_reward=0.56; sku_bias=NO_COMPARABLE_EVENTS
196931,Rim Better Filters Medium,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=37; capital_risk=$13.88; risk_reward=0.80; sku_bias=NO_COMPARABLE_EVENTS
94511,Cetaphil Gentle Skin Clns 118M,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=27; capital_risk=$13.75; risk_reward=0.34; sku_bias=NO_COMPARABLE_EVENTS
191288,U By Kotex Maxi O/Nght Wing 6,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=40; capital_risk=$13.74; risk_reward=0.28; sku_bias=NO_COMPARABLE_EVENTS
196244,Mf Lipfinity Glowing 016,REDUCE_HOLDING,REVIEW,0,1,0,review=policy_stock_gap_high; blocker=policy_stock_gap_high; demand=NO_DEMAND; availability=FLOOR_PROTECTED; capital=CAPITAL_DRAG_HIGH; raw_units=0; provisional_units=0; final_units=0; confidence_pct=41; capital_risk=$13.57; risk_reward=0.84; sku_bias=NO_COMPARABLE_EVENTS
