sku_number,sku_description,operator_decision,operator_action,order_units,expected_promo_demand,projected_stock_gap_units,audit_notes
195575,Jojoba Exfol Pha Tonic 125Ml,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=66; capital_risk=$57.62; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
196365,Pref Acidic Toner Pearly Boost,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$45.63; risk_reward=0.34; sku_bias=NO_COMPARABLE_EVENTS
196364,Pref Acidic Toner Platinum Ice,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=59; capital_risk=$45.34; risk_reward=0.34; sku_bias=NO_COMPARABLE_EVENTS
198076,Mf Mir Pure Eye Con Buff,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=64; capital_risk=$33.24; risk_reward=0.39; sku_bias=NO_COMPARABLE_EVENTS
782211,Sukin Rosehip Oil Cream 120,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; demand=NO_DEMAND; availability=FLOOR_PROTECTION_NEEDED; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=66; capital_risk=$31.31; risk_reward=0.35; sku_bias=NO_COMPARABLE_EVENTS
199767,Rim Mltitskr Wmu Fndn&Con Ivry,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=65; capital_risk=$25.27; risk_reward=0.48; sku_bias=NO_COMPARABLE_EVENTS
72603,Mf False Lash Effect Xxl Masc,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=64; capital_risk=$23.78; risk_reward=0.47; sku_bias=NO_COMPARABLE_EVENTS
88463,Mf Divine Lashes Blk Brwn,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=66; capital_risk=$23.23; risk_reward=0.49; sku_bias=NO_COMPARABLE_EVENTS
192996,Rim Lasting Matte Ls 200,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=65; capital_risk=$16.21; risk_reward=0.48; sku_bias=NO_COMPARABLE_EVENTS
195437,Npmu Duck Plmp Hall Of Fla,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,7,review=Forecast requires manager review; demand=NO_DEMAND; availability=BELOW_2_UNIT_FLOOR_RISK; capital=CAPITAL_DRAG_LOW; raw_units=6; provisional_units=0; final_units=0; confidence_pct=70; capital_risk=$14.11; risk_reward=0.56; sku_bias=NO_COMPARABLE_EVENTS
