sku_number,report_expected_promo_demand,order_units,projected_stock_gap_units,expected_promo_demand,expected_units_total_promo,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,feature_pre_promo_rolling_demand_units,demand_evidence_label,demand_evidence_class,feature_signal_max,final_minus_feature,feature_exceeds_final_by
252668,1,0,1,1,1,0.7000000000000001,1.6521739130434785,1.9091,14.0,NO_DEMAND,low_nonzero_demand,1.9091,-0.9091,0.9091
40167,1,0,2,1,1,0.7000000000000001,1.9090909090909092,1.75,14.0,NO_DEMAND,low_nonzero_demand,1.9090909090909092,-0.9090909090909092,0.9090909090909092
197891,1,0,3,1,1,1.2444444444444445,1.8999999999999997,1.9,23.333333333333336,NO_DEMAND,low_nonzero_demand,1.9,-0.8999999999999999,0.8999999999999999
66026,1,0,0,1,1,0.0020066666666666,1.8999999999999997,1.9,0.0602,NO_DEMAND,low_nonzero_demand,1.9,-0.8999999999999999,0.8999999999999999
62722,1,0,0,1,1,0.7000000000000001,1.9,1.6667,14.0,NO_DEMAND,low_nonzero_demand,1.9,-0.8999999999999999,0.8999999999999999
50382,1,0,1,1,1,0.7000000000000001,1.894736842105263,0.0,14.0,NO_DEMAND,low_nonzero_demand,1.894736842105263,-0.894736842105263,0.894736842105263
195079,1,0,0,1,1,1.1666666666666663,1.8888888888888888,1.8889,14.0,NO_DEMAND,low_nonzero_demand,1.8889,-0.8889,0.8889
68495,1,0,0,1,1,0.4666666666666667,1.8888888888888888,1.8889,14.0,NO_DEMAND,low_nonzero_demand,1.8889,-0.8889,0.8889
55696,1,0,2,1,1,0.4666666666666667,1.8888888888888888,1.8889,14.0,NO_DEMAND,low_nonzero_demand,1.8889,-0.8889,0.8889
185154,1,0,1,1,1,0.7777777777777778,1.8888888888888888,1.8889,23.333333333333336,NO_DEMAND,low_nonzero_demand,1.8889,-0.8889,0.8889
68451,1,0,1,1,1,0.4666666666666667,1.8888888888888888,1.8889,14.0,NO_DEMAND,low_nonzero_demand,1.8889,-0.8889,0.8889
55228,1,0,0,1,1,0.9333333333333332,1.8823529411764703,1.3333,14.0,NO_DEMAND,low_nonzero_demand,1.8823529411764703,-0.8823529411764703,0.8823529411764703
782327,1,0,0,1,1,0.7000000000000001,1.875,1.25,14.0,NO_DEMAND,low_nonzero_demand,1.875,-0.875,0.875
195591,1,0,0,1,1,1.4,1.875,1.5,28.0,NO_DEMAND,low_nonzero_demand,1.875,-0.875,0.875
55229,1,0,0,1,1,0.7000000000000001,1.875,1.3333,14.0,NO_DEMAND,low_nonzero_demand,1.875,-0.875,0.875
28286,1,0,0,1,1,1.8666666666666667,0.9166666666666666,0.9,56.0,NO_DEMAND,low_nonzero_demand,1.8666666666666667,-0.8666666666666667,0.8666666666666667
359289,1,0,0,1,1,1.8666666666666667,1.375,1.5714,14.0,NO_DEMAND,low_nonzero_demand,1.8666666666666667,-0.8666666666666667,0.8666666666666667
38391,1,0,0,1,1,0.7000000000000001,1.8636363636363635,1.8636,14.0,NO_DEMAND,low_nonzero_demand,1.8636363636363635,-0.8636363636363635,0.8636363636363635
90320,1,0,1,1,1,0.7000000000000001,1.8571428571428572,1.8571,14.0,NO_DEMAND,low_nonzero_demand,1.8571428571428572,-0.8571428571428572,0.8571428571428572
187996,1,0,1,1,1,0.4666666666666667,1.8571428571428572,1.4286,14.0,NO_DEMAND,low_nonzero_demand,1.8571428571428572,-0.8571428571428572,0.8571428571428572
91155,1,0,1,1,1,0.4666666666666667,1.8571428571428572,1.0,14.0,NO_DEMAND,low_nonzero_demand,1.8571428571428572,-0.8571428571428572,0.8571428571428572
90324,1,0,0,1,1,0.9333333333333332,1.857142857142857,1.8571,14.0,NO_DEMAND,low_nonzero_demand,1.857142857142857,-0.857142857142857,0.857142857142857
70357,1,0,3,1,1,0.9333333333333332,1.851851851851852,1.8,14.0,NO_DEMAND,low_nonzero_demand,1.851851851851852,-0.8518518518518521,0.8518518518518521
74313,1,0,1,1,1,0.0029866666666666,1.846153846153846,1.8462,0.0896,NO_DEMAND,low_nonzero_demand,1.8462,-0.8462000000000001,0.8462000000000001
43804,1,0,1,1,1,0.0029866666666666,1.846153846153846,1.8462,0.0896,NO_DEMAND,low_nonzero_demand,1.8462,-0.8462000000000001,0.8462000000000001
388718,1,0,0,1,1,0.7000000000000001,1.8421052631578947,1.6429,14.0,NO_DEMAND,low_nonzero_demand,1.8421052631578947,-0.8421052631578947,0.8421052631578947
350165,1,0,0,1,1,0.4666666666666667,1.84,1.3636,14.0,NO_DEMAND,low_nonzero_demand,1.84,-0.8400000000000001,0.8400000000000001
275859,1,0,1,1,1,0.4666666666666667,1.8333333333333333,1.8333,14.0,NO_DEMAND,low_nonzero_demand,1.8333333333333333,-0.8333333333333333,0.8333333333333333
4759,1,0,1,1,1,0.9333333333333332,1.8333333333333333,1.0,14.0,NO_DEMAND,low_nonzero_demand,1.8333333333333333,-0.8333333333333333,0.8333333333333333
63836,1,0,1,1,1,0.4666666666666667,1.8333333333333333,1.0,14.0,NO_DEMAND,low_nonzero_demand,1.8333333333333333,-0.8333333333333333,0.8333333333333333
185567,1,0,1,1,1,0.4666666666666667,1.8333333333333333,1.5,14.0,NO_DEMAND,low_nonzero_demand,1.8333333333333333,-0.8333333333333333,0.8333333333333333
22900,1,0,1,1,1,0.4666666666666667,1.8333333333333333,1.8333,14.0,NO_DEMAND,low_nonzero_demand,1.8333333333333333,-0.8333333333333333,0.8333333333333333
62718,1,0,0,1,1,0.9333333333333332,1.0,1.8333,28.0,NO_DEMAND,low_nonzero_demand,1.8333,-0.8332999999999999,0.8332999999999999
54963,1,0,0,1,1,0.9333333333333332,1.818181818181818,1.8182,14.0,NO_DEMAND,low_nonzero_demand,1.8182,-0.8182,0.8182
94002,1,0,1,1,1,0.4666666666666667,1.818181818181818,1.8182,14.0,NO_DEMAND,low_nonzero_demand,1.8182,-0.8182,0.8182
611053,1,0,1,1,1,0.9333333333333332,1.818181818181818,1.4286,14.0,NO_DEMAND,low_nonzero_demand,1.818181818181818,-0.8181818181818179,0.8181818181818179
195592,1,0,0,1,1,0.4666666666666667,1.8125,1.3333,14.0,NO_DEMAND,low_nonzero_demand,1.8125,-0.8125,0.8125
195774,1,0,0,1,1,0.4666666666666667,1.8125,1.3333,14.0,NO_DEMAND,low_nonzero_demand,1.8125,-0.8125,0.8125
554502,1,0,0,1,1,1.1666666666666663,1.8,1.8,14.0,NO_DEMAND,low_nonzero_demand,1.8,-0.8,0.8
726648,1,0,0,1,1,1.5555555555555554,1.8,1.8,18.666666666666664,NO_DEMAND,low_nonzero_demand,1.8,-0.8,0.8
189740,1,0,0,1,1,0.7000000000000001,1.8,0.5,14.0,NO_DEMAND,low_nonzero_demand,1.8,-0.8,0.8
189521,1,0,1,1,1,0.4666666666666667,1.7777777777777777,1.8,14.0,NO_DEMAND,low_nonzero_demand,1.8,-0.8,0.8
197703,1,0,1,1,1,0.4666666666666667,1.8,1.8,14.0,NO_DEMAND,low_nonzero_demand,1.8,-0.8,0.8
10433,1,0,0,1,1,0.7000000000000001,1.8,1.4444,14.0,NO_DEMAND,low_nonzero_demand,1.8,-0.8,0.8
62360,1,0,0,1,1,0.4666666666666667,1.6666666666666667,1.8,14.0,NO_DEMAND,low_nonzero_demand,1.8,-0.8,0.8
56483,1,0,1,1,1,0.9333333333333332,1.8,0.0,14.0,NO_DEMAND,low_nonzero_demand,1.8,-0.8,0.8
28101,1,0,0,1,1,0.4666666666666667,1.8,1.75,14.0,NO_DEMAND,low_nonzero_demand,1.8,-0.8,0.8
192805,1,0,1,1,1,0.7000000000000001,1.7916666666666667,0.5,14.0,NO_DEMAND,low_nonzero_demand,1.7916666666666667,-0.7916666666666667,0.7916666666666667
59316,1,0,0,1,1,0.00098,1.5833333333333333,1.7778,0.0294,NO_DEMAND,low_nonzero_demand,1.7778,-0.7778,0.7778
42952,1,0,1,1,1,0.4666666666666667,1.7777777777777777,1.7143,14.0,NO_DEMAND,low_nonzero_demand,1.7777777777777777,-0.7777777777777777,0.7777777777777777
189683,1,0,0,1,1,1.7697749999999997,0.1875,0.125,0.0,NO_DEMAND,low_nonzero_demand,1.7697749999999997,-0.7697749999999997,0.7697749999999997
