sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
94659,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.3,26.3,161,-22.325,-0.93,VERY_LOW,11.643,0.0,1.62,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-9,not_in_review_queue
94905,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,27.4,26.3,162,27.997,1.167,LOW,26.335,34.742,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,53,economic_roi_major_uplift
369403,0.0,INCONTINENCE,unknown,HIGH_PRIORITY_BUY_REVIEW,32.5,26.3,163,-18.041,-0.752,VERY_LOW,6.342,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-117,economic_value_major_downgrade
10434,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,29.7,26.3,164,-23.343,-0.973,VERY_LOW,5.484,0.0,1.087,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-23,economic_value_downgrade
199845,0.0,SKINCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,28.2,26.3,165,20.41,0.85,VERY_LOW,23.386,28.057,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,25,economic_value_uplift
89761,0.0,TANNING,unknown,STANDARD_RUN_DOWN_REVIEW,25.8,26.3,166,-12.829,-0.802,VERY_LOW,11.93,0.0,0.881,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,118,economic_roi_major_uplift
185497,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,29.6,26.2,167,-24.0,-1.0,VERY_LOW,0.0,-0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-25,economic_value_downgrade
199069,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,29.7,26.2,168,-24.0,-1.0,VERY_LOW,0.0,-0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-29,economic_value_downgrade
90153,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,29.6,26.2,169,-24.0,-1.0,VERY_LOW,0.0,-0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-26,economic_value_downgrade
94005,0.0,COLOUR COSMETICS,unknown,HIGH_PRIORITY_BUY_REVIEW,29.5,26.2,170,-24.0,-1.0,VERY_LOW,0.0,-0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,-20,economic_value_downgrade
