sku_number,sku_description,department,promotion_name,decision_triage_class,buyer_review_priority_score,triage_priority_score_v2,economic_priority_rank,economic_net_value_score,review_roi_score,review_roi_label,expected_gp_capture_value,missed_sales_avoidance_value,overstock_cash_release_value,brain_action_label,final_governed_action_label,priority_rank_change,priority_rank_change_reason
88893,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,3.6,18.0,2516,-39.296,-2.456,VERY_LOW,1.704,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1144,economic_roi_major_uplift
199060,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,6.2,18.9,2032,-14.373,-0.898,VERY_LOW,0.966,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1142,economic_roi_major_uplift
94457,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,0.0,16.7,3827,4.734,0.296,VERY_LOW,11.025,0.0,1.205,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1137,economic_roi_major_uplift
88551,0.0,COLOUR COSMETICS,unknown,STANDARD_BUY_REVIEW,4.9,18.4,2276,-14.788,-0.924,VERY_LOW,0.0,6.884,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1131,economic_roi_major_uplift
199846,0.0,SKINCARE,unknown,STANDARD_RUN_DOWN_REVIEW,14.7,25.6,233,3.943,0.246,VERY_LOW,53.641,0.0,1.636,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,1130,economic_roi_major_uplift
196489,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,3.4,17.9,2562,-22.633,-1.415,VERY_LOW,0.343,4.644,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1129,economic_roi_major_uplift
68592,0.0,HAIR REMOVAL,unknown,STANDARD_BUY_REVIEW,4.3,18.2,2377,-24.906,-1.557,VERY_LOW,1.109,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1127,economic_roi_major_uplift
196557,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,2.8,17.7,2672,-39.945,-2.497,VERY_LOW,1.345,0.0,0.096,CONTROLLED_BUY,CONTROLLED_BUY,1127,economic_roi_major_uplift
90325,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,4.0,18.1,2443,-37.868,-2.367,VERY_LOW,1.163,2.02,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1126,economic_roi_major_uplift
274526,0.0,VITAMIN SUPPLEMENT,unknown,STANDARD_BUY_REVIEW,2.4,17.6,2748,-21.29,-1.331,VERY_LOW,0.0,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1126,economic_roi_major_uplift
610055,0.0,TANNING,unknown,STANDARD_BUY_REVIEW,0.0,16.8,3751,-29.3,-1.831,VERY_LOW,0.0,0.0,0.0,CONTROLLED_BUY,HOLD_FOR_REPLENISHMENT,1126,economic_roi_major_uplift
73950,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,9.0,21.1,1209,-32.472,-2.03,VERY_LOW,8.672,0.0,2.065,CONTROLLED_BUY,CONTROLLED_BUY,1124,economic_roi_major_uplift
72672,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,5.1,18.4,2239,-36.964,-2.31,VERY_LOW,4.036,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1124,economic_roi_major_uplift
41543,0.0,ORAL HEALTH,unknown,STANDARD_BUY_REVIEW,3.4,17.9,2569,-40.128,-2.508,VERY_LOW,0.872,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1123,economic_roi_major_uplift
24552,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,5.3,18.5,2214,-14.464,-0.904,VERY_LOW,0.0,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1123,economic_roi_major_uplift
69693,0.0,HAIRCARE,unknown,STANDARD_BUY_REVIEW,0.1,17.1,3501,-17.76,-1.11,VERY_LOW,2.45,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1121,economic_roi_major_uplift
95485,0.0,DEODORANTS,unknown,STANDARD_BUY_REVIEW,3.7,18.0,2526,-39.766,-2.485,VERY_LOW,1.234,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1121,economic_roi_major_uplift
198633,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,0.0,16.8,3748,-5.203,-0.325,VERY_LOW,0.0,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1120,economic_roi_major_uplift
267341,0.0,ORAL HEALTH,unknown,HIGH_PRIORITY_BUY_REVIEW,7.7,20.0,1556,-46.381,-1.933,VERY_LOW,4.17,0.0,0.517,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1118,economic_roi_major_uplift
304565,0.0,VITAMIN SUPPLEMENT,unknown,STANDARD_RUN_DOWN_REVIEW,0.0,16.6,3903,-50.489,-3.156,VERY_LOW,0.0,0.0,3.163,NO_BUY_RUN_DOWN,NO_BUY_RUN_DOWN,1116,economic_roi_major_uplift
62119,0.0,HAIRCARE,unknown,HIGH_PRIORITY_BUY_REVIEW,5.0,18.4,2282,-47.302,-1.971,VERY_LOW,4.796,0.0,1.033,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1114,economic_roi_major_uplift
197221,0.0,BEAUTY ACCESSORIES,unknown,STANDARD_BUY_REVIEW,3.0,17.8,2655,-40.218,-2.514,VERY_LOW,0.782,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1112,economic_roi_major_uplift
186524,0.0,TANNING,unknown,STANDARD_BUY_REVIEW,6.0,18.7,2096,-12.92,-0.808,VERY_LOW,0.0,0.0,0.0,CONTROLLED_BUY,CONTROLLED_BUY,1111,economic_roi_major_uplift
735078,0.0,SKINCARE,unknown,STANDARD_BUY_REVIEW,5.4,18.5,2210,-9.504,-0.594,VERY_LOW,5.211,0.0,0.0,TOP_UP_TO_OPTIMAL,TOP_UP_TO_OPTIMAL,1110,economic_roi_major_uplift
11494,0.0,ORAL HEALTH,unknown,STANDARD_BUY_REVIEW,16.4,29.6,25,93.497,5.844,MEDIUM,72.087,0.0,2.297,CONTROLLED_BUY,CONTROLLED_BUY,1108,economic_roi_major_uplift
