series,min,p10,p25,p50,p75,p90,p95,p99,max,mean,sum
raw_predicted_units_sold,0.0,0.05278,0.05278,0.05278,0.05278,0.061625,0.114562,1.582837,28.950378,0.111024,392.02
calibrated_predicted_units_sold,0.0,0.001073,0.0021,0.01148,0.05278,0.05278,0.05278,0.061625,1.387368,0.027153,95.88
policy_adjusted_predicted_units_sold,0.0,0.001073,0.0021,0.005227,0.0301,0.036946,0.05278,0.05278,0.455797,0.015555,54.92
feature_probability_expected_units_consensus,0.0,1e-06,0.0392,0.555556,1.5,3.0,5.055556,13.575005,113.0,1.447015,5109.41
