sku_number,promotion_name,raw,calibrated,policy_adjusted,feature_consensus,ratio_cal_over_raw,ratio_pol_over_cal,ratio_pol_over_raw,policy_adjustment_reason,department,category,supplier,forecast_source_used,forecast_source_raw_units,selected_demand_units,promo_window_demand_units,feature_excess_over_pol
948829,Allocation Report - SE01 SKINCARE SALES EVENT,1.7160843529464225,0.0312666666666666,0.0312666666666666,16.333333333333332,0.01821977259624998,1.0,0.01821977259624998,weak_elasticity_uplift_restraint,SKINCARE,DERMA COS,0,required_implied_units,96.0001,1,1,16.302066666666665
199738,Allocation Report - SE01 SKINCARE SALES EVENT,0.1266007907840575,0.1266007907840575,0.0886205535488402,16.0,1.0,0.6999999999999996,0.6999999999999996,weak_elasticity_uplift_restraint,SKINCARE,DERMA COS,0,predicted_units_sold,0.0886205535488402,1,1,15.91137944645116
367011,Allocation Report - SE01 SKINCARE SALES EVENT,2.2342358006388134,0.0412982424242424,0.0336924545454545,15.5,0.01848428102908135,0.8158326497128788,0.015080079969992935,weak_elasticity_uplift_restraint,SKINCARE,LIP CARE,0,required_implied_units,59.99980000000001,1,1,15.466307545454546
1485,Allocation Report - SE01 SKINCARE SALES EVENT,0.4698238032406708,0.01148,0.01148,15.411764705882351,0.0244346921565387,1.0,0.0244346921565387,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,required_implied_units,45.9998,1,1,15.40028470588235
27193,Allocation Report - SE01 SKINCARE SALES EVENT,2.3397988964772747,0.03024,0.03024,15.333333333333334,0.012924187649429344,1.0,0.012924187649429344,weak_elasticity_uplift_restraint,SUNCARE,SUN PROTECTION,0,required_implied_units,80.00019999999999,1,1,15.303093333333335
188712,Allocation Report - SE01 SKINCARE SALES EVENT,2.0237369478852125,0.0083533333333333,0.0083533333333333,15.06265,0.004127677434590726,1.0,0.004127677434590726,weak_same_discount_and_uplift_cap,SKINCARE,THERAPEUTIC,0,required_implied_units,66.00019999999999,1,1,15.054296666666666
87418,Allocation Report - SE01 SKINCARE SALES EVENT,1.811620043476692,0.0281866666666666,0.0281866666666666,15.0,0.0155588180690325,1.0,0.0155588180690325,weak_elasticity_uplift_restraint,SKINCARE,DERMA COS,0,required_implied_units,89.9997,1,1,14.971813333333333
195445,Allocation Report - SE01 SKINCARE SALES EVENT,2.3397988964772747,0.03024,0.03024,15.0,0.012924187649429344,1.0,0.012924187649429344,weak_elasticity_uplift_restraint,SKINCARE,DERMA COS,0,required_implied_units,94.0002,1,1,14.96976
199846,Allocation Report - SE01 SKINCARE SALES EVENT,1.5893196426499645,0.0270666666666666,0.0270666666666666,14.0,0.01703034804347902,1.0,0.01703034804347902,weak_elasticity_uplift_restraint,SKINCARE,DERMA COS,0,required_implied_units,82.0001,1,1,13.972933333333334
43839,Allocation Report - SE01 SKINCARE SALES EVENT,1.4740763304326556,0.0012692592592592,0.0011712962962962,13.625,0.0008610539583704327,0.9228187919462759,0.0007945967736639617,weak_elasticity_uplift_restraint,SKINCARE,DERMA COS,0,required_implied_units,0.0161,1,1,13.623828703703703
188715,Allocation Report - SE01 SKINCARE SALES EVENT,1.9370092764490845,0.09366,0.0572366666666666,13.6561,0.0483528918207852,0.6111111111111105,0.02954898944603537,weak_elasticity_uplift_restraint,SKINCARE,THERAPEUTIC,0,required_implied_units,59.99980000000001,1,1,13.598863333333334
188711,Allocation Report - SE01 SKINCARE SALES EVENT,2.0234917393110954,0.0125066666666666,0.0125066666666666,13.5938,0.006180735223028159,1.0,0.006180735223028159,weak_same_discount_and_uplift_cap,SKINCARE,THERAPEUTIC,0,required_implied_units,59.99980000000001,1,1,13.581293333333333
188721,Allocation Report - SE01 SKINCARE SALES EVENT,2.0237369478852125,0.06048,0.03808,13.6176,0.02988530701245588,0.6296296296296297,0.01881667478562037,weak_elasticity_uplift_restraint,SKINCARE,THERAPEUTIC,0,required_implied_units,59.99980000000001,1,1,13.579519999999999
188710,Allocation Report - SE01 SKINCARE SALES EVENT,1.990521910258932,0.0041533333333333,0.0041533333333333,13.53115,0.002086554944171915,1.0,0.002086554944171915,weak_same_discount_and_uplift_cap,SKINCARE,THERAPEUTIC,0,required_implied_units,52.0002,1,1,13.526996666666667
195051,Allocation Report - SE01 SKINCARE SALES EVENT,1.8467977739836807,0.0208133333333333,0.0208133333333333,13.333333333333334,0.011269957992442986,1.0,0.011269957992442986,weak_elasticity_uplift_restraint,SKINCARE,DERMA COS,0,required_implied_units,0.3122,1,1,13.312520000000001
184707,Allocation Report - SE01 SKINCARE SALES EVENT,1.44303921644154,0.0094266666666666,0.0094266666666666,13.0,0.006532508998551178,1.0,0.006532508998551178,weak_elasticity_uplift_restraint,SUNCARE,SUN PROTECTION,0,required_implied_units,71.9999,1,1,12.990573333333334
612448,Allocation Report - SE01 SKINCARE SALES EVENT,1.1689060564039897,0.01568,0.01568,12.705882352941176,0.013414251653582655,1.0,0.013414251653582655,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,required_implied_units,12.0001,1,1,12.690202352941176
188996,Allocation Report - SE01 SKINCARE SALES EVENT,1.971312758261417,0.0104066666666666,0.0104066666666666,12.625,0.005279054083657773,1.0,0.005279054083657773,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,required_implied_units,80.00019999999999,1,1,12.614593333333334
15789,Allocation Report - SE01 SKINCARE SALES EVENT,1.3761469473820491,0.0083533333333333,0.0083533333333333,12.529411764705882,0.006070088190236146,1.0,0.006070088190236146,weak_elasticity_uplift_restraint,COLOUR COSMETICS,NYX,0,required_implied_units,17.9998,1,1,12.521058431372548
580,Allocation Report - SE01 SKINCARE SALES EVENT,1.5677113242491572,0.0260866666666666,0.0260866666666666,12.444444444444445,0.016639968253824154,1.0,0.016639968253824154,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,required_implied_units,29.999900000000004,1,1,12.418357777777778
63416,Allocation Report - SE01 SKINCARE SALES EVENT,1.426894183783834,0.0145599999999999,0.0145599999999999,12.333333333333334,0.010203980200823113,1.0,0.010203980200823113,weak_elasticity_uplift_restraint,SKINCARE,DERMA COS,0,required_implied_units,84.0,1,1,12.318773333333334
55533,Allocation Report - SE01 SKINCARE SALES EVENT,1.8113579389242784,0.0239866666666666,0.0239866666666666,12.0,0.013242367039234499,1.0,0.013242367039234499,weak_elasticity_uplift_restraint,SKINCARE,DERMA COS,0,required_implied_units,78.0003,1,1,11.976013333333334
32861,Allocation Report - SE01 SKINCARE SALES EVENT,0.4698238032406708,0.01666,0.01666,11.823529411764708,0.035460102032050064,1.0,0.035460102032050064,weak_elasticity_uplift_restraint,SKINCARE,EVERYDAY SKIN,0,required_implied_units,47.9997,1,1,11.806869411764708
15792,Allocation Report - SE01 SKINCARE SALES EVENT,1.3674742037698575,0.0073266666666666,0.0073266666666666,11.764705882352942,0.005357809782786703,1.0,0.005357809782786703,weak_elasticity_uplift_restraint,COLOUR COSMETICS,NYX,0,required_implied_units,17.9998,1,1,11.757379215686276
63079,Allocation Report - SE01 SKINCARE SALES EVENT,1.453257156339746,0.0145599999999999,0.0145599999999999,11.705882352941176,0.01001887376675407,1.0,0.01001887376675407,weak_elasticity_uplift_restraint,COLOUR COSMETICS,NYX,0,required_implied_units,26.9997,1,1,11.691322352941176
193203,Allocation Report - SE01 SKINCARE SALES EVENT,1.3285563705943968,0.01148,0.01148,11.636363636363637,0.00864095815133824,1.0,0.00864095815133824,weak_elasticity_uplift_restraint,COLOUR COSMETICS,MAYBELLINE,0,required_implied_units,12.0001,1,1,11.624883636363636
92846,Allocation Report - SE01 SKINCARE SALES EVENT,1.937715216320574,0.01148,0.01148,11.5861,0.005924503200113571,1.0,0.005924503200113571,weak_same_discount_and_uplift_cap,SKINCARE,THERAPEUTIC,0,required_implied_units,50.0003,1,1,11.57462
