policy_adjustment_reason,row_count,raw_p50,cal_p50,pol_p50,median_cal_over_raw,median_pol_over_raw
weak_elasticity_uplift_restraint,2427,0.0527796386427607,0.0041533333333333,0.0041533333333333,0.06045599023857673,0.060124195900847784
sparse_history_multi_driver_baseline_only,884,0.0527796386427607,0.0527796386427607,0.0062533333333333,1.0,0.11305689974452912
weak_same_discount_and_uplift_cap,184,0.0527796386427607,0.0052266666666666,0.0052266666666666,0.060124195900847784,0.060124195900847784
falling_base_launch_conflict_review,21,0.0527796386427607,0.0527796386427607,0.0527796386427607,1.0,1.0
stock_gap_high_review_cap,13,0.0527796386427607,0.0031733333333333,0.0031733333333333,0.05149421569911326,0.05149421569911326
no_policy_adjustment,2,0.0527796386427607,0.0527796386427607,0.0527796386427607,1.0,1.0
