logic_variant,row_count,missed_sales_units,leftover_units,end_stock_success_rate,clean_exit_rate,controlled_residual_rate,overstock_rate,cash_tied_up_cost_proxy,gp_captured_proxy,gp_missed_proxy,net_value_proxy,wape,bias_pct,start_soh_compliance_rate,stage
baseline,52285,127.68,55135.52,5.908004207707756,2.128717605431768,3.7792866022759872,3.107965955819069,265753.17600000004,235559.63999999998,563.0279999999999,-26995.884000000005,1.0825491556647222,2.7058254016989065,100.0,phase5h_before_repair
bias_adjusted,52285,132.51999999999998,39010.36,6.097351056708425,2.7579611743329826,3.339389882375442,2.918619106818399,188029.91,235559.63999999998,579.942,50710.46800000001,0.6750660935421146,-23.62235185753761,100.0,phase5h_before_repair
current_model,52285,22716.073,18980.994,0.0,0.0,0.0,0.0,91482.13800000002,235559.63999999998,108732.838,39105.350999999995,0.6705042144304575,-25.381964871558697,100.0,phase5h_before_repair
stock_outcome,52285,132.51999999999998,39010.36,6.097351056708425,2.7579611743329826,3.339389882375442,2.918619106818399,188029.91,235559.63999999998,579.942,50710.46800000001,0.6750660935421146,-23.62235185753761,100.0,phase5h_before_repair
baseline,52285,7573.0,142556.0,5.345701444008798,1.7614994740365306,3.584201969972267,3.6702687195180257,687119.92,235559.63999999998,31772.739999999998,-479572.33999999997,1.0825491556647222,2.7058254016989065,9.997131108348475,repaired_stock_truth
bias_adjusted,52285,7609.0,128748.0,5.605814287080425,2.0828153390073636,3.5229989480730612,3.4101558764463995,620565.36,235559.63999999998,31414.15,-412659.19000000006,0.6750660935421146,-23.62235185753761,9.997131108348475,repaired_stock_truth
current_model,52285,19976.073,43314.994000000006,3.9954097733575598,0.830065984507985,3.165343788849574,5.020560390169265,208772.018,235559.63999999998,95757.43800000001,-65209.129,0.6705042144304575,-25.381964871558697,100.0,repaired_stock_truth
stock_outcome,52285,7609.0,128748.0,5.605814287080425,2.0828153390073636,3.5229989480730612,3.4101558764463995,620565.36,235559.63999999998,31414.15,-412659.19000000006,0.6750660935421146,-23.62235185753761,9.997131108348475,repaired_stock_truth
