feature_name,risk_type,risk_level,reason,allowed_use,model_input_allowed_flag,diagnostics_allowed_flag,report_allowed_flag
feature_probability_bayesian_poisson_posterior_rate,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
feature_units_above_trust_target,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
feature_expected_leftover_above_trust_floor_units,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
feature_capital_tied_above_trust_target,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
feature_capital_deployment_posture,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
feature_realised_during_promo_instability,POST_PROMO_ACTUAL,HIGH,Post-promo or backtest outcome,DIAGNOSTIC_ONLY,NO,YES,YES
leftover_risk_penalty,LEAKAGE_KEYWORD,MEDIUM,Leakage keyword match,DIAGNOSTIC_ONLY,NO,YES,YES
final_decision_score,POST_PROMO_ACTUAL,HIGH,Post-promo or backtest outcome,DIAGNOSTIC_ONLY,NO,YES,YES
final_confidence_score,POST_PROMO_ACTUAL,HIGH,Post-promo or backtest outcome,DIAGNOSTIC_ONLY,NO,YES,YES
actual_units_sold_promo,POST_PROMO_ACTUAL,HIGH,Post-promo or backtest outcome,DIAGNOSTIC_ONLY,NO,YES,YES
