segment_key,segment_level,row_count,actual_units_total,forecast_units_total,raw_factor,shrunk_factor,factor_applied,sample_size_ok_flag,bias_before_pct,estimated_bias_after_pct,notes
VITAMIN SUPPLEMENT|0-10|long,department+discount+promo_duration,24,58.0,40.826,1.420663,1.433047,1.4330470604823204,NO,-29.6103,0.8717,insufficient_sample_or_zero_totals
VITAMIN SUPPLEMENT|0-10|standard,department+discount+promo_duration,165,362.0,260.444,1.389934,1.389934,1.3899341125155502,YES,-28.0541,0.0,
ACHE PAIN SUPPORT|0-10,department+discount,13,23.0,19.662,1.169769,1.34703,1.3470297940520413,NO,-14.513,15.1535,insufficient_sample_or_zero_totals
ALLERGY|0-10,department+discount,14,45.0,36.129999999999995,1.245502,1.371945,1.3719448798726745,NO,-19.7111,10.1519,insufficient_sample_or_zero_totals
ANALGESICS|0-10,department+discount,20,36.0,42.276999999999994,0.851527,1.061879,1.0618785870222591,NO,17.4361,24.7029,insufficient_sample_or_zero_totals
ANTI FUNGAL VIRAL|0-10,department+discount,4,6.0,5.606999999999999,1.070091,1.427583,1.4275832734238212,NO,-6.55,33.4077,insufficient_sample_or_zero_totals
BABY CARE|0-10,department+discount,14,21.0,22.279,0.942592,1.230587,1.2305865651743677,NO,6.0905,30.5535,insufficient_sample_or_zero_totals
BATH TOILETRIES|0-10,department+discount,72,172.0,147.247,1.168105,1.168105,1.1681052924677582,YES,-14.3913,0.0,
BEAUTY ACCESSORIES|0-10,department+discount,443,888.0,754.112,1.177544,1.177544,1.1775439192056354,YES,-15.0775,0.0,
BEAUTY ELECTRICAL|0-10,department+discount,20,30.0,29.403999999999993,1.020269,1.174374,1.1743735978133467,NO,-1.9867,15.1043,insufficient_sample_or_zero_totals
COLOUR COSMETICS|0-10,department+discount,1657,3062.0,2630.4080000000004,1.164078,1.164078,1.1640779681327003,YES,-14.0951,0.0,
COUGH COLD|0-10,department+discount,42,87.0,68.646,1.267372,1.267372,1.2673717332401013,YES,-21.0966,0.0,
DEODORANTS|0-10,department+discount,137,392.0,227.094,1.726157,1.726157,1.7261574502188521,YES,-42.0679,0.0,
DIGESTIVE CARE|0-10,department+discount,76,129.0,120.86500000000002,1.067306,1.067306,1.0673064989864722,YES,-6.3062,0.0,
EYES EARS|0-10,department+discount,15,25.0,24.969000000000005,1.001242,1.241912,1.2419118153658224,NO,-0.124,24.0372,insufficient_sample_or_zero_totals
FAMILY PLANNING|0-10,department+discount,14,18.0,21.164999999999996,0.850461,1.187592,1.1875920928760368,NO,17.5833,39.641,insufficient_sample_or_zero_totals
FEMININE CARE|0-10,department+discount,122,420.0,236.03,1.779435,1.779435,1.779434817607931,YES,-43.8024,0.0,
FIRSTAID WOUNDCARE|0-10,department+discount,52,150.0,115.666,1.296837,1.296837,1.2968374457489669,YES,-22.8893,0.0,
FOOTCARE|0-10,department+discount,37,63.0,59.33899999999999,1.061696,1.061696,1.0616963548425151,YES,-5.8111,-0.0,
FRAGRANCE|0-10,department+discount,27,54.0,41.12799999999999,1.312974,1.329935,1.3299349257143684,NO,-23.837,1.2918,insufficient_sample_or_zero_totals
GIFTING|0-10,department+discount,6,17.0,8.283,2.052396,1.596545,1.5965449679195698,NO,-51.2765,-22.2107,insufficient_sample_or_zero_totals
HAIR ACC BRUSHES|0-10,department+discount,161,374.0,291.74699999999996,1.281933,1.281933,1.2819326334118262,YES,-21.9928,0.0,
HAIR REMOVAL|0-10,department+discount,61,119.0,90.90700000000001,1.30903,1.30903,1.3090301076924769,YES,-23.6076,0.0,
HAIRCARE|0-10,department+discount,567,1349.0,901.158,1.496963,1.496963,1.4969627967570613,YES,-33.1981,0.0,
INCONTINENCE|0-10,department+discount,32,92.0,55.114999999999995,1.669237,1.669237,1.6692370498049534,YES,-40.0924,0.0,
MENS GROOMING|0-10,department+discount,40,58.0,58.063,0.998915,0.998915,0.9989149716687047,YES,0.1086,0.0,
NUTRITION WELLBEIN|0-10,department+discount,10,46.0,14.28,3.221289,2.062151,2.062150899283824,NO,-68.9565,-35.9837,insufficient_sample_or_zero_totals
ORAL HEALTH|0-10,department+discount,233,1034.0,409.509,2.524975,2.524975,2.5,YES,-60.3956,-0.9891,
PAPER COTTON|0-10,department+discount,21,129.0,70.37100000000001,1.833141,1.727974,1.727973672427972,NO,-45.4488,-5.737,insufficient_sample_or_zero_totals
SKINCARE|0-10,department+discount,1322,4635.0,2630.026,1.76234,1.76234,1.762339992076124,YES,-43.2573,0.0,
SMOKING CESSATION|0-10,department+discount,4,5.0,6.619,0.755401,1.385625,1.3856246281254543,NO,32.38,83.429,insufficient_sample_or_zero_totals
SNACKS BEVERAGES|0-10,department+discount,8,25.0,28.866999999999997,0.866041,1.318171,1.3181710823213773,NO,15.468,52.2066,insufficient_sample_or_zero_totals
SUNCARE|0-10,department+discount,155,536.0,267.897,2.000769,2.000769,2.0007689522465726,YES,-50.0192,0.0,
TANNING|0-10,department+discount,84,178.0,137.17500000000004,1.297613,1.297613,1.2976125387279018,YES,-22.9354,-0.0,
VITAMIN SUPPLEMENT|0-10,department+discount,189,420.0,301.27000000000004,1.394098,1.394098,1.394098317124174,YES,-28.269,0.0,
ACHE PAIN SUPPORT,department,13,23.0,19.662,1.169769,1.34703,1.3470297940520413,NO,-14.513,15.1535,insufficient_sample_or_zero_totals
ALLERGY,department,14,45.0,36.129999999999995,1.245502,1.371945,1.3719448798726745,NO,-19.7111,10.1519,insufficient_sample_or_zero_totals
ANALGESICS,department,20,36.0,42.276999999999994,0.851527,1.061879,1.0618785870222591,NO,17.4361,24.7029,insufficient_sample_or_zero_totals
ANTI FUNGAL VIRAL,department,4,6.0,5.606999999999999,1.070091,1.427583,1.4275832734238212,NO,-6.55,33.4077,insufficient_sample_or_zero_totals
BABY CARE,department,14,21.0,22.279,0.942592,1.230587,1.2305865651743677,NO,6.0905,30.5535,insufficient_sample_or_zero_totals
BATH TOILETRIES,department,72,172.0,147.247,1.168105,1.168105,1.1681052924677582,YES,-14.3913,0.0,
BEAUTY ACCESSORIES,department,443,888.0,754.112,1.177544,1.177544,1.1775439192056354,YES,-15.0775,0.0,
BEAUTY ELECTRICAL,department,20,30.0,29.403999999999993,1.020269,1.174374,1.1743735978133467,NO,-1.9867,15.1043,insufficient_sample_or_zero_totals
COLOUR COSMETICS,department,1657,3062.0,2630.4080000000004,1.164078,1.164078,1.1640779681327003,YES,-14.0951,0.0,
COUGH COLD,department,42,87.0,68.646,1.267372,1.267372,1.2673717332401013,YES,-21.0966,0.0,
DEODORANTS,department,137,392.0,227.094,1.726157,1.726157,1.7261574502188521,YES,-42.0679,0.0,
DIGESTIVE CARE,department,76,129.0,120.86500000000002,1.067306,1.067306,1.0673064989864722,YES,-6.3062,0.0,
EYES EARS,department,15,25.0,24.969000000000005,1.001242,1.241912,1.2419118153658224,NO,-0.124,24.0372,insufficient_sample_or_zero_totals
FAMILY PLANNING,department,14,18.0,21.164999999999996,0.850461,1.187592,1.1875920928760368,NO,17.5833,39.641,insufficient_sample_or_zero_totals
FEMININE CARE,department,122,420.0,236.03,1.779435,1.779435,1.779434817607931,YES,-43.8024,0.0,
FIRSTAID WOUNDCARE,department,52,150.0,115.666,1.296837,1.296837,1.2968374457489669,YES,-22.8893,0.0,
FOOTCARE,department,37,63.0,59.33899999999999,1.061696,1.061696,1.0616963548425151,YES,-5.8111,-0.0,
FRAGRANCE,department,27,54.0,41.12799999999999,1.312974,1.329935,1.3299349257143684,NO,-23.837,1.2918,insufficient_sample_or_zero_totals
GIFTING,department,6,17.0,8.283,2.052396,1.596545,1.5965449679195698,NO,-51.2765,-22.2107,insufficient_sample_or_zero_totals
HAIR ACC BRUSHES,department,161,374.0,291.74699999999996,1.281933,1.281933,1.2819326334118262,YES,-21.9928,0.0,
HAIR REMOVAL,department,61,119.0,90.90700000000001,1.30903,1.30903,1.3090301076924769,YES,-23.6076,0.0,
HAIRCARE,department,567,1349.0,901.158,1.496963,1.496963,1.4969627967570613,YES,-33.1981,0.0,
INCONTINENCE,department,32,92.0,55.114999999999995,1.669237,1.669237,1.6692370498049534,YES,-40.0924,0.0,
MENS GROOMING,department,40,58.0,58.063,0.998915,0.998915,0.9989149716687047,YES,0.1086,0.0,
NUTRITION WELLBEIN,department,10,46.0,14.28,3.221289,2.062151,2.062150899283824,NO,-68.9565,-35.9837,insufficient_sample_or_zero_totals
ORAL HEALTH,department,233,1034.0,409.509,2.524975,2.524975,2.5,YES,-60.3956,-0.9891,
PAPER COTTON,department,21,129.0,70.37100000000001,1.833141,1.727974,1.727973672427972,NO,-45.4488,-5.737,insufficient_sample_or_zero_totals
SKINCARE,department,1322,4635.0,2630.026,1.76234,1.76234,1.762339992076124,YES,-43.2573,0.0,
SMOKING CESSATION,department,4,5.0,6.619,0.755401,1.385625,1.3856246281254543,NO,32.38,83.429,insufficient_sample_or_zero_totals
SNACKS BEVERAGES,department,8,25.0,28.866999999999997,0.866041,1.318171,1.3181710823213773,NO,15.468,52.2066,insufficient_sample_or_zero_totals
SUNCARE,department,155,536.0,267.897,2.000769,2.000769,2.0007689522465726,YES,-50.0192,0.0,
TANNING,department,84,178.0,137.17500000000004,1.297613,1.297613,1.2976125387279018,YES,-22.9354,-0.0,
VITAMIN SUPPLEMENT,department,189,420.0,301.27000000000004,1.394098,1.394098,1.394098317124174,YES,-28.269,0.0,
