source_file,column_name,present_count,min,mean,median,p75,p90,p99,max,unique_count,inferred_time_window,inferred_unit_basis,safe_for_promo_period_forecast_yes_no,rejection_reason,selected_in_5b11_yes_no
allocation_report,order_units,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rolling_history,order_units,NO,flat_placeholder_detected,NO
allocation_report,expected_units_before_promo_start,3531,0.0,5.207873123760974,0.0,0.0,0.0,56.0,240.0,24,promotion_period,promo_period_total,NO,not_in_governed_selection_contract,NO
allocation_report,projected_SOH_at_promo_start,3531,0.0,3.092608326253186,3.0,4.0,6.0,12.0,98.0,29,promotion_period,promo_period_total,NO,not_in_governed_selection_contract,NO
allocation_report,target_SOH_at_promo_start,3531,2.0,3.4808836023789294,3.0,3.0,3.0,8.0,31.0,15,promotion_period,promo_period_total,NO,not_in_governed_selection_contract,NO
allocation_report,floor_units_required,3531,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,rolling_history,historical_promo_window,NO,not_in_governed_selection_contract,NO
allocation_report,expected_promo_demand,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,2,promotion_period,promo_period_total,NO,flat_placeholder_detected,YES
allocation_report,projected_stock_gap_units,3531,0.0,1.3540073633531577,0.0,2.0,3.0,8.0,31.0,17,rolling_history,historical_promo_window,NO,not_in_governed_selection_contract,NO
operator_audit,order_units,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rolling_history,order_units,NO,flat_placeholder_detected,NO
operator_audit,demand_evidence_label,0,,,,,,,,0,rolling_history,historical_promo_window,NO,flat_placeholder_detected,NO
operator_audit,raw_model_order_units,3531,0.0,0.7037666383460776,0.0,0.0,2.0,7.0,24.0,18,rolling_history,order_units,NO,order_units_not_promo_demand,NO
operator_audit,provisional_review_order_units,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rolling_history,historical_promo_window,NO,flat_placeholder_detected,NO
operator_audit,final_store_order_units,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rolling_history,historical_promo_window,NO,flat_placeholder_detected,NO
operator_audit,low_soh_policy_final_order_units,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rolling_history,historical_promo_window,NO,flat_placeholder_detected,NO
operator_audit,low_soh_policy_shadow_order_units,3531,0.0,0.014443500424808835,0.0,0.0,0.0,1.0,1.0,2,rolling_history,historical_promo_window,NO,flat_placeholder_detected,NO
operator_audit,shadow_policy_order_units,3531,0.0,0.014443500424808835,0.0,0.0,0.0,1.0,1.0,2,rolling_history,historical_promo_window,NO,flat_placeholder_detected,NO
operator_audit,shadow_policy_expected_reason,0,,,,,,,,0,rolling_history,historical_promo_window,NO,flat_placeholder_detected,NO
operator_audit,recommended_order_units,3531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,rolling_history,order_units,NO,flat_placeholder_detected,NO
operator_audit,projected_on_hand_at_promo_start,3531,0.0,3.092608326253186,3.0,4.0,6.0,12.0,98.0,29,promotion_period,promo_period_total,NO,not_in_governed_selection_contract,NO
operator_audit,minimum_launch_stock_units,3531,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,rolling_history,historical_promo_window,NO,not_in_governed_selection_contract,NO
operator_audit,floor_units_required,3531,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,rolling_history,historical_promo_window,NO,not_in_governed_selection_contract,NO
operator_audit,promo_allocated_units,3531,0.0,1.2778249787595581,0.0,0.0,3.0,24.0,349.0,43,promotion_period,promo_period_total,NO,not_in_governed_selection_contract,NO
operator_audit,expected_promo_demand,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,2,promotion_period,promo_period_total,NO,flat_placeholder_detected,YES
operator_audit,target_stock_day_one_units,3531,2.0,3.4808836023789294,3.0,3.0,3.0,8.0,31.0,15,rolling_history,historical_promo_window,NO,not_in_governed_selection_contract,NO
operator_audit,projected_stock_gap_units,3531,0.0,1.3540073633531577,0.0,2.0,3.0,8.0,31.0,17,rolling_history,historical_promo_window,NO,not_in_governed_selection_contract,NO
operator_audit,days_to_promo_start,3531,56.0,56.0,56.0,56.0,56.0,56.0,56.0,1,promotion_period,promo_period_total,YES,,YES
operator_audit,lead_up_demand_units,3531,0.0,5.207873123760974,0.0,0.0,0.0,56.0,240.0,24,lead_up_to_promo_start,lead_up_window,YES,,YES
operator_audit,expected_units_before_promo_start,3531,0.0,5.207873123760974,0.0,0.0,0.0,56.0,240.0,24,promotion_period,promo_period_total,NO,not_in_governed_selection_contract,NO
operator_audit,expected_units_first_7_days,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,2,rolling_history,historical_promo_window,NO,flat_placeholder_detected,YES
operator_audit,promotion_period_days,3531,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,promotion_period,promo_period_total,NO,not_in_governed_selection_contract,NO
operator_audit,expected_units_per_period,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,2,promotion_period,promo_period_total,NO,flat_placeholder_detected,YES
operator_audit,expected_units_per_day,3531,0.0,0.14273811951288587,0.1429,0.1429,0.1429,0.1429,0.1429,2,rolling_history,daily_rate,NO,flat_placeholder_detected,YES
operator_audit,projected_promotional_units,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,2,promotion_period,promo_period_total,NO,flat_placeholder_detected,YES
operator_audit,expected_units_total_promo,3531,0.0,0.9988671764372699,1.0,1.0,1.0,1.0,1.0,2,promotion_period,promo_period_total,NO,flat_placeholder_detected,YES
operator_audit,promotion_id,0,,,,,,,,0,promotion_period,promo_period_total,NO,flat_placeholder_detected,NO
operator_audit,promotion_name,0,,,,,,,,0,promotion_period,promo_period_total,NO,flat_placeholder_detected,NO
operator_audit,promotion_start_date,0,,,,,,,,0,promotion_period,promo_period_total,NO,flat_placeholder_detected,NO
operator_audit,promotion_end_date,0,,,,,,,,0,promotion_period,promo_period_total,NO,flat_placeholder_detected,NO
