sku_number,sku_description,promo_units_expected_to_sell,promo_period_demand_source,promo_period_demand_fallback_flag,promo_demand_unsafe_flag,promo_demand_model_source,model_promo_forecast_units,same_discount_promo_units,baseline_period_demand_units,unsafe_or_fallback_reason,available_alternative_sources,recommended_remediation
94252,C/Beauty Cleansing Cloths 90Pk,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
31676,Dr Lew R/Derm Cel Regen Cr 30G,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
199944,Hey Bud Firming Serum 30Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
97543,Cetaphil Pro Red F/Wash 236Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
199330,Bondi Magenta Tech Face 50Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
94692,Rim K&F S/T Glow Gldn Bge,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
197167,Rim Wonder Bond Masc Blk Brwn,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
74064,Bio Oil Skincare Oil Nat 60Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
193174,Esi Pencil Me In,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
184840,Hey Bud Starter Pack,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
90767,Hey Bud Acne Kit,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
70363,Npmu Bwm Sr N Calm Conc Mocha,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
191184,May Superstay Glow Tint 78,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
189252,May Inst Perfect Glow Med/Deep,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
199945,Hey Bud Aha Toner 150Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
97131,Rim Thrl Skr Shmr Shk El F/C,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
98025,Rim Thrl Skr Lip Ltx Mindful,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
97997,Rim Wndrbnd Brw Tnt L/Brwn,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
97998,Rim Wndrbnd Brw Tnt M/Brwn,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
97999,Rim Wndrbnd Brw Tnt D/Brwn,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
98000,Rim Wndrbnd Brw Tnt Blk/Brwn,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
98035,Rim Oh My Gls Lip Btr Pmp Spc,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
94773,Rim M/T Trbochrgd Glw Spln Tea,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
98011,Rim Mt Trbchrgd Glw Mn Chrctr,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
94687,Rim K&F S/T Glow Mocha,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
98001,Rim Omg Lip Oil Pink Sugar,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
98009,Rim Omg Lip Oil Shade Shifter,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
94101,Esi 991 New Day New Ba,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
198652,Gem Face Sunscreen Fluid 30Ml,0.0,missing_promo_period_demand,YES,YES,"flat_placeholder:expected_units_total_promo,projected_promotional_units,expected_units_per_period,expected_promo_demand",0.0,0.0,0.0,no_credible_promo_period_demand,none,phase_5c_upstream_model_or_history_repair
