check,expected_units_total_promo_unique,expected_promo_demand_unique,diagnosis,overwritten_by_fallback_in_report,lost_during_stage11,confused_with_raw_model_order_units,unique_count
model_fields_flat,2.0,2.0,genuinely_flat_in_source,NO,NO,NO,
raw_model_order_units,,,order_units_not_promo_period_demand,N_A,N_A,YES_if_used_as_demand,18.0
