sku_number,sku_description,decision,decision_quality_label,confidence_score,data_quality_score,demand_evidence_strength,promo_period_demand_source,promo_units_expected_to_sell,recommended_order_units,commercial_coverage_ratio,remaining_promo_sales_stock_gap,remaining_end_stock_gap,execution_ready_flag,execution_blocker,proposed_action_tier
32861,Neut H/B Gel Mask 30G,REVIEW,REVIEW_STOCK_GAP,24,94.0,MODERATE,same_discount_history,9.667,0,0.0,1,41,NO,,tier_3_review_evidence_gap
193204,May Ls Sky High Wtp,REVIEW,REVIEW_STOCK_GAP,26,100.0,MODERATE,same_discount_history,9.273,0,0.0,9,40,NO,,tier_3_review_evidence_gap
94071,Npmu Smushy Mte Lb Swipe 2 Sm,REVIEW,REVIEW_STOCK_GAP,67,62.0,CONFLICTING,baseline_period_demand,9.25,9,0.191,0,38,NO,,tier_3_review_evidence_gap
67700,Rim Lst Fin L/L Epic Brgnd,REVIEW,REVIEW_STOCK_GAP,67,62.0,CONFLICTING,baseline_period_demand,9.25,9,0.184,0,40,NO,,tier_3_review_evidence_gap
193696,Mf 2000 Cal Pro Masc Black,REVIEW,REVIEW_STOCK_GAP,57,62.0,CONFLICTING,baseline_period_demand,9.25,9,0.188,0,39,NO,,tier_3_review_evidence_gap
194014,Csc Dly Clarifying Soln 100Ml,REVIEW,REVIEW_STOCK_GAP,54,77.0,MODERATE,baseline_period_demand,9.25,8,0.17,0,39,NO,,tier_3_review_evidence_gap
11838,Avene Cicalfate Rest Skin Crm,REVIEW,REVIEW_STOCK_GAP,56,100.0,MODERATE,same_discount_history,9.125,2,0.049,0,39,NO,,tier_3_review_evidence_gap
46889,May Fs Set Spray 100 Lst Fx,REVIEW,REVIEW_STOCK_GAP,63,100.0,MODERATE,same_discount_history,9.0,2,0.049,0,39,NO,,tier_3_review_evidence_gap
87753,Innisfree Grn T Hyal Crm 50Ml,REVIEW,REVIEW_STOCK_GAP,57,100.0,MODERATE,same_discount_history,9.0,6,0.133,0,39,NO,,tier_3_review_evidence_gap
188719,Cerave Hyal Acid Serum 30Ml,REVIEW,REVIEW_STOCK_GAP,40,94.0,MODERATE,same_discount_history,9.0,0,0.0,6,39,NO,,tier_3_review_evidence_gap
187118,G/Mane Hair Growth Spray 100Ml,REVIEW,REVIEW_STOCK_GAP,39,94.0,MODERATE,same_discount_history,9.0,0,0.0,7,39,NO,,tier_3_review_evidence_gap
187116,G/Mane 10 Min Hair Mask 220Ml,REVIEW,REVIEW_STOCK_GAP,35,94.0,MODERATE,same_discount_history,9.0,0,0.0,7,39,NO,,tier_3_review_evidence_gap
94904,Lrp Hyalu Face Cream 50Ml,REVIEW,REVIEW_STOCK_GAP,30,94.0,MODERATE,same_discount_history,9.0,0,0.0,3,39,NO,,tier_3_review_evidence_gap
96608,Npmu Make Em Wndr Fdn Nude,REVIEW,REVIEW_STOCK_GAP,63,62.0,CONFLICTING,baseline_period_demand,8.75,8,0.178,0,37,NO,,tier_3_review_evidence_gap
198637,Avene Fluid Spf 50+ 50Ml,REVIEW,REVIEW_STOCK_GAP,56,100.0,MODERATE,same_discount_history,8.75,4,0.095,0,38,NO,,tier_3_review_evidence_gap
87755,Innisfree Grn T Hyal Srm 80Ml,REVIEW,REVIEW_STOCK_GAP,56,100.0,MODERATE,same_discount_history,8.5,2,0.053,0,36,NO,,tier_3_review_evidence_gap
390763,U By Kotex U/T Reg Wing 14,REVIEW,REVIEW_STOCK_GAP,27,94.0,MODERATE,same_discount_history,8.4,0,0.0,4,36,NO,,tier_3_review_evidence_gap
193213,May Ls Sky High Primer,REVIEW,REVIEW_STOCK_GAP,67,62.0,CONFLICTING,baseline_period_demand,8.375,8,0.186,0,35,NO,,tier_3_review_evidence_gap
495891,Lrp Cicaplast Lips 7.5Ml,REVIEW,REVIEW_STOCK_GAP,25,100.0,MODERATE,same_discount_history,8.333,0,0.0,8,36,NO,,tier_3_review_evidence_gap
189518,Npmu Butter Lg Bit Of Honey,REVIEW,REVIEW_STOCK_GAP,67,62.0,CONFLICTING,baseline_period_demand,8.25,8,0.195,0,33,NO,,tier_3_review_evidence_gap
192838,Blistex Lip Cond 4.25G Spf30,REVIEW,REVIEW_STOCK_GAP,62,100.0,MODERATE,same_discount_history,8.143,0,0.0,0,26,NO,,tier_3_review_evidence_gap
97057,Wafgi Sen S/Screen Spf50 200Ml,REVIEW,REVIEW_STOCK_GAP,63,77.0,MODERATE,baseline_period_demand,8.0,7,0.212,0,26,NO,,tier_3_review_evidence_gap
90933,Cetaphil Pro S&Rep Crm 226G,REVIEW,REVIEW_STOCK_GAP,44,77.0,MODERATE,baseline_period_demand,8.0,7,0.171,0,34,NO,,tier_3_review_evidence_gap
198880,Lrp Mela B3 Cleanser 200Ml,REVIEW,REVIEW_STOCK_GAP,28,100.0,MODERATE,same_discount_history,8.0,0,0.0,7,34,NO,,tier_3_review_evidence_gap
92853,Cerave Blem Control Clns 473Ml,REVIEW,REVIEW_STOCK_GAP,26,94.0,MODERATE,same_discount_history,8.0,0,0.0,5,34,NO,,tier_3_review_evidence_gap
195446,Lrp Effaclar +M F/Clnsr 400Ml,REVIEW,REVIEW_STOCK_GAP,26,94.0,MODERATE,same_discount_history,8.0,0,0.0,5,34,NO,,tier_3_review_evidence_gap
193205,May Ls Sky High Cosmic Blk,REVIEW,REVIEW_STOCK_GAP,27,94.0,MODERATE,same_discount_history,7.818,0,0.0,4,34,NO,,tier_3_review_evidence_gap
188857,Bioderma A/Derm Shower Oil 1L,REVIEW,REVIEW_STOCK_GAP,58,100.0,MODERATE,same_discount_history,7.667,6,0.154,0,33,NO,,tier_3_review_evidence_gap
186369,Neut H/B Ha Water Gel Rfl 50G,REVIEW,REVIEW_STOCK_GAP,24,94.0,MODERATE,same_discount_history,7.667,0,0.0,6,33,NO,,tier_3_review_evidence_gap
93336,Lrp Anth A/C Tint Spf50 50Ml,REVIEW,REVIEW_STOCK_GAP,26,94.0,MODERATE,same_discount_history,7.5,0,0.0,4,32,NO,,tier_3_review_evidence_gap
93951,Fraim Soft Wide Headbands 5Pk,REVIEW,REVIEW_STOCK_GAP,26,94.0,MODERATE,same_discount_history,7.5,0,0.0,0,24,NO,,tier_3_review_evidence_gap
194048,Csc Moisture+ Sheet Mask 1Pc,REVIEW,REVIEW_STOCK_GAP,25,94.0,MODERATE,same_discount_history,7.5,0,0.0,2,32,NO,,tier_3_review_evidence_gap
200956,B/Bees Ultra L/Balm 4.25G Hang,REVIEW,REVIEW_STOCK_GAP,52,100.0,MODERATE,same_discount_history,7.429,2,0.059,0,32,NO,,tier_3_review_evidence_gap
193212,May Ls Sky High Brown,REVIEW,REVIEW_STOCK_GAP,27,94.0,MODERATE,same_discount_history,7.364,0,0.0,5,32,NO,,tier_3_review_evidence_gap
88081,Bwy Hydrating Milk Serum 80Ml,REVIEW,REVIEW_STOCK_GAP,34,94.0,MODERATE,same_discount_history,7.333,0,0.0,2,31,NO,,tier_3_review_evidence_gap
28287,Npmu Epic Ink Lnr Black,REVIEW,REVIEW_STOCK_GAP,27,94.0,MODERATE,same_discount_history,7.059,0,0.0,4,30,NO,,tier_3_review_evidence_gap
68266,Coco&Eve Bronze Foam Medium,REVIEW,REVIEW_STOCK_GAP,72,62.0,CONFLICTING,baseline_period_demand,7.0,7,0.2,0,28,NO,,tier_3_review_evidence_gap
68268,Coco&Eve Bronze Foam Ult/Dark,REVIEW,REVIEW_STOCK_GAP,72,62.0,CONFLICTING,baseline_period_demand,7.0,7,0.194,0,29,NO,,tier_3_review_evidence_gap
192839,Coco&Eve Face Tan M/Mist 75Ml,REVIEW,REVIEW_STOCK_GAP,72,62.0,CONFLICTING,baseline_period_demand,7.0,7,0.189,0,30,NO,,tier_3_review_evidence_gap
90794,Antipodes Menopause Cream 60Ml,REVIEW,REVIEW_STOCK_GAP,69,62.0,CONFLICTING,baseline_period_demand,7.0,7,0.194,0,29,NO,,tier_3_review_evidence_gap
62854,Olay Luminous Hyaluronic Serum,REVIEW,REVIEW_STOCK_GAP,69,62.0,CONFLICTING,baseline_period_demand,7.0,7,0.189,0,30,NO,,tier_3_review_evidence_gap
191180,May Superstay Glow Tint 05,REVIEW,REVIEW_STOCK_GAP,69,62.0,CONFLICTING,baseline_period_demand,7.0,7,0.2,0,28,NO,,tier_3_review_evidence_gap
1227,May Fit Me Mte Pore Fdn Ivry,REVIEW,REVIEW_STOCK_GAP,69,62.0,CONFLICTING,baseline_period_demand,7.0,7,0.194,0,29,NO,,tier_3_review_evidence_gap
