sku_number,sku_description,model_promo_forecast_units,same_discount_promo_units,baseline_daily_rate_units,baseline_daily_source_days,baseline_period_demand_units,selected_promo_period_demand_units_before,selected_promo_period_demand_units_after,demand_evidence_strength,demand_conflict_flag,demand_selection_reason,best_seller_floor_applied_flag,best_seller_escalation_flag
15847,Npmu Lg Butter Ginger Snap,0.0,1.765,0.2521,56,1.765,1.765,1.765,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
69352,Plunk Superfade D/P Moistr,0.0,1.0,0.142857,56,1.0,1.0,1.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
67693,Rim Wndr'Full Brow Gel Clr,0.0,1.0,0.142857,56,1.0,1.0,1.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
15841,Npmu Lg Butter Angel Food Cke,0.0,0.824,0.117643,56,0.824,0.824,0.824,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
483621,Antip Hos C/Plump W/Ser 30Ml,0.0,0.652,0.093171,56,0.652,0.652,0.652,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
193457,Embryolisse Lcreme Fluid 75Ml,0.0,0.25,0.035714,56,0.25,0.25,0.25,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
193286,Rim Lastfin 35Hr Fndn True Iv,0.0,0.214,0.030614,56,0.214,0.214,0.214,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
194821,Dv Hair+Scalp Ex Hyd Cond500Ml,0.0,0.2,0.028571,56,0.2,0.2,0.2,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
192046,Lrp Cicaplast Baume B5+ 100Ml,0.0,73.0,0.035714,56,0.25,73.0,73.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
192083,Cerave Renew Peptide Crm 48G,0.0,35.0,5.0,56,35.0,35.0,35.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
92632,Avene Cica+ Mlt P&R Crm Spf50+,0.0,5.0,4.285714,56,30.0,30.0,30.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
188712,Cerave Moist Cream 340G,0.0,30.0,4.285714,56,30.0,30.0,30.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188711,Cerave Moist Cream 177Ml,0.0,27.0,3.857143,56,27.0,27.0,27.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188710,Cerave Moist Lotion 473Ml,0.0,27.0,3.857143,56,27.0,27.0,27.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188721,Cerave Sa Smooth Clns 473Ml,0.0,27.0,3.857143,56,27.0,27.0,27.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188715,Cerave Moist Pm 52Ml,0.0,27.0,3.857143,56,27.0,27.0,27.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
654921,Lrp Anth Fluid Spf50 50Ml,0.0,27.0,0.017857,56,0.125,27.0,27.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
189553,Lrp Cicaplast Baume B5 40Ml,0.0,26.667,0.017857,56,0.125,26.667,26.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
94902,Lrp Hyaluron Serum 50Ml,0.0,26.0,3.714286,56,26.0,26.0,26.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
52115,Rexona W Apd Adv Shwr/F 220Ml,0.0,2.091,3.5,56,24.5,24.5,24.5,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
92846,Cerave Foaming Cleanser Refill,0.0,23.0,3.285714,56,23.0,23.0,23.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188713,Cerave Eye Repair Cream 14Ml,0.0,22.0,3.142857,56,22.0,22.0,22.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
16859,Lrp Anth Xl Ult Crm Spf50 50Ml,0.0,21.667,3.095243,56,21.667,21.667,21.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
195412,Npmu Pro Fix Stick Cocoa,0.0,0.235,3.0,56,21.0,21.0,21.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
195518,Mf Fcefnty Cmpct 001,0.0,0.364,3.0,56,21.0,21.0,21.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
90912,Cerave Face Moist Lotion Spf50,0.0,21.0,3.0,56,21.0,21.0,21.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
91149,Col Tp Adv Wht Baking Soda 180,0.0,0.0,3.0,56,21.0,21.0,21.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188699,Cerave Hydrating Clns 473Ml,0.0,20.0,2.857143,56,20.0,20.0,20.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
92847,Cerave Hydrating Cleans Refill,0.0,20.0,2.857143,56,20.0,20.0,20.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
87550,Lrp Xl Wet Skin Spf 50+ 200Ml,0.0,19.0,2.714286,56,19.0,19.0,19.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188704,Cerave Foaming Cleanser 473Ml,0.0,18.0,2.571429,56,18.0,18.0,18.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
88414,Es Lashes To Impress 03,0.0,0.0,2.5,56,17.5,17.5,17.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
698571,Bioderma Sensibio H20 500Ml,0.0,16.818,2.4026,56,16.818,16.818,16.818,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
948829,Lrp Soothing Lotion 200Ml,0.0,16.333,2.333329,56,16.333,16.333,16.333,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
90914,Cerave Int Moist Lotion 473,0.0,16.0,2.285714,56,16.0,16.0,16.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
92848,Cerave Moist Cream Refill,0.0,16.0,2.285714,56,16.0,16.0,16.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
92849,Cerave Moist Lotion Refill,0.0,16.0,2.285714,56,16.0,16.0,16.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
367011,Lanolips 101 O/Ment Balm 15G,0.0,15.5,2.214286,56,15.5,15.5,15.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
27193,Lrp Anth D/T Spf50+ 50Ml,0.0,15.333,2.190471,56,15.333,15.333,15.333,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
87418,Lrp Vitamin C12 Serum 30Ml,0.0,15.0,2.142857,56,15.0,15.0,15.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
195445,Lrp Effaclar Duo+M 40Ml,0.0,15.0,2.142857,56,15.0,15.0,15.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
799718,Rosehip By Essano Oil 45Ml,0.0,1.0,2.0,56,14.0,14.0,14.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
96617,Npmu Make Em Wndr Fdn Medium,0.0,0.0,2.0,56,14.0,14.0,14.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
199053,Npmu Wondr Stck Dual Medium,0.0,1.625,2.0,56,14.0,14.0,14.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
91058,Catr Allround Masc Ult Blk 010,0.0,0.0,2.0,56,14.0,14.0,14.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
67690,Rim Btw Pro Pncl Ash Brown,0.0,0.562,2.0,56,14.0,14.0,14.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
389404,Nivea Men Apd C/Kick 250Ml,0.0,0.0,2.0,56,14.0,14.0,14.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
192936,May Eye Makeup Remover 70Ml,0.0,8.318,2.0,56,14.0,14.0,14.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
88458,Mf Divine Lashes Rich Blk,0.0,0.636,2.0,56,14.0,14.0,14.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
199846,Lrp Cicaplast Mask 5Pk,0.0,14.0,2.0,56,14.0,14.0,14.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
43839,Avene Xeracalm Replen Balm 400,0.0,13.625,1.946429,56,13.625,13.625,13.625,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
195051,Lrp Mela B3 Serum 30Ml,0.0,13.333,1.904757,56,13.333,13.333,13.333,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188720,Cerave Sa Smooth Cream 177Ml,0.0,13.0,1.857143,56,13.0,13.0,13.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188709,Cerave Moist Lotion 236Ml,0.0,13.0,1.857143,56,13.0,13.0,13.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
184707,Lrp Anth Inv/Spray Spf50+ 200M,0.0,13.0,1.857143,56,13.0,13.0,13.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
478354,Es Long Lasting Eye Pencil 01,0.0,0.0,1.821429,56,12.75,12.75,12.75,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
445650,Neut Mur Wipes Night Calm 25,0.0,12.667,1.809529,56,12.667,12.667,12.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188996,Garn H/Bomb Vit C Msk,0.0,12.625,1.803571,56,12.625,12.625,12.625,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
15789,Npmu Setting Spray Dewy,0.0,12.529,1.789914,56,12.529,12.529,12.529,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
580,Garn Micellar Sol 125Ml,0.0,12.444,1.777771,56,12.444,12.444,12.444,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
63416,Lrp Cicaplast Hand Crm 100Ml,0.0,12.333,1.7619,56,12.333,12.333,12.333,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
55245,Garn Micellar Water Rose 400Ml,0.0,3.0,1.714286,56,12.0,12.0,12.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
323608,Cetaphil Eczema Bdy Mst 295Ml,0.0,0.4,1.714286,56,12.0,12.0,12.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
55533,Lrp Retinol B3 A/A Serum 30Ml,0.0,12.0,1.714286,56,12.0,12.0,12.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
90934,Cetaphil Gen Ex Sa Lot 236M,0.0,1.5,1.714286,56,12.0,12.0,12.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
199243,Cerave Rep Balm 88Ml,0.0,12.0,1.714286,56,12.0,12.0,12.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
15792,Npmu Setting Spray Matte,0.0,11.765,1.680671,56,11.765,11.765,11.765,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
63079,Npmu Brow Glue Stick,0.0,11.706,1.672271,56,11.706,11.706,11.706,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
193203,May Ls Sky High Wsh,0.0,11.636,1.662343,56,11.636,11.636,11.636,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
49686,Avene Thermal S/Water 300Ml,0.0,11.5,1.642857,56,11.5,11.5,11.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
87417,Cerave Oil Control Gel 52Ml,0.0,11.0,1.571429,56,11.0,11.0,11.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
192050,Cerave Renewing Vitamin C 30Ml,0.0,11.0,1.571429,56,11.0,11.0,11.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
195091,Cerave Blem Cntrl Ret Srm 30Ml,0.0,11.0,1.571429,56,11.0,11.0,11.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
94903,Lrp Hyaluron Serum 30Ml,0.0,11.0,1.571429,56,11.0,11.0,11.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188716,Cerave Renew Sa Foot Crm 88Ml,0.0,11.0,1.571429,56,11.0,11.0,11.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
20798,Garn Micellar Water 700Ml,0.0,10.778,1.539686,56,10.778,10.778,10.778,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188833,B/Lab Neck Firm Srm 30Ml,0.0,10.667,1.523814,56,10.667,10.667,10.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
612448,Neut Mur Wipes Regular 25,0.0,10.667,1.523814,56,10.667,10.667,10.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
192118,Olay Hyaluron Cream 50G,0.0,0.423,1.5,56,10.5,10.5,10.5,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
93993,May Face Lift Stix 65 Nu Int,0.0,0.909,1.5,56,10.5,10.5,10.5,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
90990,Catr Slmmtc Wp Brow Pen 050,0.0,0.0,1.5,56,10.5,10.5,10.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
90432,Rim Wonder'Ink Liner Chestnut,0.0,0.429,1.5,56,10.5,10.5,10.5,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
90462,Mf Mp Wow Liner Emerald Green,0.0,0.667,1.5,56,10.5,10.5,10.5,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
37987,Garn H/Bomb Eye Mask Orng Juic,0.0,10.5,1.5,56,10.5,10.5,10.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
655035,Lrp Tol Sens 40Ml,0.0,10.333,1.476186,56,10.333,10.333,10.333,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
655084,Lrp Tol Dermo Cleanser 200Ml,0.0,10.333,1.476186,56,10.333,10.333,10.333,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
199841,Tbh Rebound Toner 100Ml,0.0,10.0,1.428571,56,10.0,10.0,10.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
93339,Lrp Mela B Serum 50Ml,0.0,10.0,1.428571,56,10.0,10.0,10.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
16527,Loreal R/Lift Eye/Fl Tub 15Ml,0.0,1.25,1.428571,56,10.0,10.0,10.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
73263,Thayers Rose Petal Toner 355Ml,0.0,1.0,1.428571,56,10.0,10.0,10.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
93335,Lrp Cicaplast B5 Spray 100Ml,0.0,10.0,1.428571,56,10.0,10.0,10.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
365033,Palmol Lhw Foam Pump Lime 250,0.0,0.0,1.410714,56,9.875,9.875,9.875,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
18512,Lrp Anth Fluid Tint Spf50 50Ml,0.0,9.667,1.380957,56,9.667,9.667,9.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
32861,Neut H/B Gel Mask 30G,0.0,9.667,1.380957,56,9.667,9.667,9.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
193204,May Ls Sky High Wtp,0.0,9.273,1.324671,56,9.273,9.273,9.273,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
94071,Npmu Smushy Mte Lb Swipe 2 Sm,0.0,1.143,1.321429,56,9.25,9.25,9.25,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
67700,Rim Lst Fin L/L Epic Brgnd,0.0,1.125,1.321429,56,9.25,9.25,9.25,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
193696,Mf 2000 Cal Pro Masc Black,0.0,0.667,1.321429,56,9.25,9.25,9.25,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
194014,Csc Dly Clarifying Soln 100Ml,0.0,0.0,1.321429,56,9.25,9.25,9.25,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
11838,Avene Cicalfate Rest Skin Crm,0.0,9.125,1.303571,56,9.125,9.125,9.125,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
46889,May Fs Set Spray 100 Lst Fx,0.0,9.0,1.285714,56,9.0,9.0,9.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
87753,Innisfree Grn T Hyal Crm 50Ml,0.0,9.0,1.285714,56,9.0,9.0,9.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188719,Cerave Hyal Acid Serum 30Ml,0.0,9.0,1.285714,56,9.0,9.0,9.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
187118,G/Mane Hair Growth Spray 100Ml,0.0,9.0,1.285714,56,9.0,9.0,9.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
187116,G/Mane 10 Min Hair Mask 220Ml,0.0,9.0,1.285714,56,9.0,9.0,9.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
94904,Lrp Hyalu Face Cream 50Ml,0.0,9.0,1.285714,56,9.0,9.0,9.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
96608,Npmu Make Em Wndr Fdn Nude,0.0,1.5,1.25,56,8.75,8.75,8.75,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
198637,Avene Fluid Spf 50+ 50Ml,0.0,8.75,1.25,56,8.75,8.75,8.75,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
87755,Innisfree Grn T Hyal Srm 80Ml,0.0,8.5,1.214286,56,8.5,8.5,8.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
390763,U By Kotex U/T Reg Wing 14,0.0,8.4,1.2,56,8.4,8.4,8.4,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
193213,May Ls Sky High Primer,0.0,1.636,1.196429,56,8.375,8.375,8.375,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
495891,Lrp Cicaplast Lips 7.5Ml,0.0,8.333,1.190471,56,8.333,8.333,8.333,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
189518,Npmu Butter Lg Bit Of Honey,0.0,1.647,1.178571,56,8.25,8.25,8.25,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
192838,Blistex Lip Cond 4.25G Spf30,0.0,8.143,1.163271,56,8.143,8.143,8.143,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
97057,Wafgi Sen S/Screen Spf50 200Ml,0.0,0.0,1.142857,56,8.0,8.0,8.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
90933,Cetaphil Pro S&Rep Crm 226G,0.0,0.0,1.142857,56,8.0,8.0,8.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
198880,Lrp Mela B3 Cleanser 200Ml,0.0,8.0,1.142857,56,8.0,8.0,8.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
92853,Cerave Blem Control Clns 473Ml,0.0,8.0,1.142857,56,8.0,8.0,8.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
195446,Lrp Effaclar +M F/Clnsr 400Ml,0.0,8.0,1.142857,56,8.0,8.0,8.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
193205,May Ls Sky High Cosmic Blk,0.0,7.818,1.116886,56,7.818,7.818,7.818,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
188857,Bioderma A/Derm Shower Oil 1L,0.0,7.667,1.095243,56,7.667,7.667,7.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
186369,Neut H/B Ha Water Gel Rfl 50G,0.0,7.667,1.095243,56,7.667,7.667,7.667,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
93336,Lrp Anth A/C Tint Spf50 50Ml,0.0,7.5,1.071429,56,7.5,7.5,7.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
93951,Fraim Soft Wide Headbands 5Pk,0.0,7.5,1.071429,56,7.5,7.5,7.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
194048,Csc Moisture+ Sheet Mask 1Pc,0.0,7.5,1.071429,56,7.5,7.5,7.5,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
200956,B/Bees Ultra L/Balm 4.25G Hang,0.0,7.429,1.061229,56,7.429,7.429,7.429,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
193212,May Ls Sky High Brown,0.0,7.364,1.051943,56,7.364,7.364,7.364,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
88081,Bwy Hydrating Milk Serum 80Ml,0.0,7.333,1.047614,56,7.333,7.333,7.333,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
28287,Npmu Epic Ink Lnr Black,0.0,7.059,1.0084,56,7.059,7.059,7.059,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
68266,Coco&Eve Bronze Foam Medium,0.0,0.571,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
68268,Coco&Eve Bronze Foam Ult/Dark,0.0,0.714,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
192839,Coco&Eve Face Tan M/Mist 75Ml,0.0,0.429,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
90794,Antipodes Menopause Cream 60Ml,0.0,0.364,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
62854,Olay Luminous Hyaluronic Serum,0.0,0.538,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
191180,May Superstay Glow Tint 05,0.0,0.546,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
1227,May Fit Me Mte Pore Fdn Ivry,0.0,0.652,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
98024,Rim Thrl Skr Lip Ltx Cap,0.0,0.0,1.0,56,7.0,7.0,7.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
199055,Npmu Wondr Stk Blush Lt Peach,0.0,0.538,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
94766,Rim M/T Trbochrgd Glw Chls Glw,0.0,0.333,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
195443,Npmu Buttermelt Butta Than U,0.0,0.231,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
90458,Rim M.T Brnzcntrsclpt Medium,0.0,0.222,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
94684,Rim K&F S/T Glow Rose Van,0.0,0.5,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
62911,Rim Scndl Eye Def Intense Blck,0.0,1.375,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
57316,Olay Regen Ret Night Eye 15Ml,0.0,0.536,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
91912,Catr Glw Eye&Chk Pal,0.0,0.0,1.0,56,7.0,7.0,7.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
24420,May Fm Mpore Fdn Light Beige,0.0,0.435,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
198714,May Sunkisser Blush 06 Sizzle,0.0,0.778,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
521179,May L/S Superstay Infinite Pet,0.0,0.333,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
193291,Rim Lastfin 35Hr Fndn Clas Bge,0.0,0.125,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
96467,May Lifter Conceal 25,0.0,0.25,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
96499,May Cloud Mte 03 Divin Crimson,0.0,0.25,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
96500,May Cloud Mte 04 Pink Daydream,0.0,0.25,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
195433,Npmu Duck Plmp Brick Of Ti,0.0,0.882,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
94677,Rim K&F Lash Ldr Masc Abrgine,0.0,0.2,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
192935,May Ct Eye Stix I Am Fearless,0.0,0.5,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
199746,Rim Kind&Free Lsh Ldr Masc B/B,0.0,0.417,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
38393,May Fit Me Loose Pwd Medium,0.0,0.364,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
67692,Rim Wndr'Care Serum L&B Ser,0.0,0.182,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
90160,Npmu Fat Oil Click Going Live,0.0,0.375,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
49794,Rim Wndr Lx Vol Mas Brwn,0.0,0.154,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
189517,Npmu Fat Oil Follow Back,0.0,1.4,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
93987,May Super Lock Brow Glue Black,0.0,0.546,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
93985,May Spr Lock Brw Glue Med Brwn,0.0,1.091,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
94069,Npmu Smushy Mte Lb Soft Smile,0.0,0.429,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
94066,Npmu Smushy Mte Lb Sweet Smac,0.0,0.571,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
974412,Rim Oh My Gloss 500 Ohh La La,0.0,0.25,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
15009,Rim Lg Oh My Gloss Eternity,0.0,0.625,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
40169,Npmu Suede Matte Ll Berry,0.0,0.429,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
88392,Es Drop Of Sunshine Brnz Drops,0.0,0.0,1.0,56,7.0,7.0,7.0,MODERATE,NO,flat_model_placeholder_rejected,NO,NO
67696,Rim Lst Fin L/L Eastnd Pnk,0.0,1.0,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
67689,Rim Btw Pro Pncl Blnd,0.0,0.562,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
194501,Rim 60 Sec N/P 140 Choc Ecl,0.0,0.25,1.0,56,7.0,7.0,7.0,CONFLICTING,YES,same_discount_suppressed_by_credible_baseline,NO,NO
