sku_number,sku_description,baseline_period_demand_units,same_discount_promo_units,selected_before,selected_after,decision_before,decision_after,recommended_order_before,recommended_order_after,reason
191380,Mf Mstrpce 2In1 Lash Wow Masc,7.0,0.071,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
62977,Mf Ff Pwd Bronzer Lght Brnz,7.0,0.273,7.0,7.0,REVIEW,REVIEW,6,7,same_discount_suppressed_by_credible_baseline
41596,May Mc Met Hl Mlten Rse Gld,7.0,0.429,7.0,7.0,REVIEW,REVIEW,6,7,same_discount_suppressed_by_credible_baseline
193697,Mf 2000 Cal Pro Masc Blk Brown,7.0,0.429,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
196050,Mf 2000 Cal Gloss Guava Flr,7.0,0.364,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
974390,Rim Oh My Gloss 330 Snog,7.0,0.625,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
974463,Rim Oh My Gloss 800 Crs Clear,7.0,1.0,7.0,7.0,REVIEW,REVIEW,6,7,same_discount_suppressed_by_credible_baseline
188025,Rim 60Sec N/P Under The Palms,7.0,0.364,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
350165,Mf Masc False Lash Black,7.0,2.214,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
102634,Mf Kohl Pencil Brown,7.0,0.364,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
54481,Mf Clr Elix Kiss Simply Nude,7.0,0.5,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
188037,Mf False Lash Effect Serum,7.0,0.143,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
54486,Mf Clr Elix Kiss Ruby Tsdy,7.0,0.273,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
193079,Mf Facefinity Universal Primer,7.0,0.091,7.0,7.0,REVIEW,REVIEW,6,7,same_discount_suppressed_by_credible_baseline
195519,Mf Fcefnty Cmpct 002,7.0,0.091,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
71548,Mf Divine Lash Masc Wp,7.0,0.786,7.0,7.0,REVIEW,REVIEW,6,7,same_discount_suppressed_by_credible_baseline
34109,Rim E/Liner Kohl Jet Black,7.0,1.375,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
184615,Ariana Cloud Body Mist 236Ml,7.0,0.429,7.0,7.0,REVIEW,REVIEW,6,7,same_discount_suppressed_by_credible_baseline
188943,Ariana Moonlight B/Mist 236Ml,7.0,0.143,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
194020,Csc Brightening Serum 30Ml,7.0,0.5,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
194133,Aeropostale Berries&Cream 237,7.0,0.111,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
194050,Csc Brightening Eye Cream 15Ml,7.0,1.0,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
194045,Csc Spot Treament 10Ml,7.0,2.0,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
37411,Nivea Body Chry&Jojo Oil 400Ml,7.0,1.556,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
194049,Csc Moisture+ Eye Gel 15Ml,7.0,2.0,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
46574,Tena Pants Disc Super Lge 8Pk,7.0,0.091,7.0,7.0,REVIEW,REVIEW,6,6,same_discount_suppressed_by_credible_baseline
43878,Clairol Rtu Powder Light Brown,7.0,0.467,7.0,7.0,REVIEW,REVIEW,5,5,same_discount_suppressed_by_credible_baseline
199946,Loreal Brght Dark Spt Exf Peel,6.0,1.6,6.0,6.0,REVIEW,REVIEW,5,5,same_discount_suppressed_by_credible_baseline
95025,Essano Coll Night Cream 50Ml,6.0,1.667,6.0,6.0,REVIEW,REVIEW,5,5,same_discount_suppressed_by_credible_baseline
55881,Avene Cleanance Starter Kit,6.0,1.625,6.0,6.0,REVIEW,REVIEW,5,5,same_discount_suppressed_by_credible_baseline
66821,Olay Regen Coll Pep24 Srm 30Ml,6.0,0.643,6.0,6.0,REVIEW,REVIEW,5,5,same_discount_suppressed_by_credible_baseline
92214,Olay Retinol Body Lotion 502Ml,6.0,3.714,6.0,6.0,REVIEW,REVIEW,4,4,same_discount_suppressed_by_credible_baseline
90936,Cetaphil Pro Itch Rel Gel 59M,4.0,0.5,4.0,4.0,REVIEW,REVIEW,3,3,same_discount_suppressed_by_credible_baseline
65837,No7 Rad+ Vitamin C Toner 200Ml,4.0,0.667,4.0,4.0,REVIEW,REVIEW,3,3,same_discount_suppressed_by_credible_baseline
193143,Npmu Bwm Calm Conclr Med Gold,3.5,0.214,3.5,3.5,REVIEW,REVIEW,4,4,same_discount_suppressed_by_credible_baseline
94063,Npmu Bmelt Brnz Butta'D Down,3.5,1.0,3.5,3.5,REVIEW,REVIEW,4,4,same_discount_suppressed_by_credible_baseline
63360,Avene Cicalfate+ Scar Gel 30Ml,3.0,0.625,3.0,3.0,REVIEW,REVIEW,3,3,same_discount_suppressed_by_credible_baseline
90346,Loreal B/R Spf50 Fld Lght 50Ml,2.0,0.875,0.0,0.0,REVIEW,REVIEW,2,0,no_credible_promo_demand_evidence
259519,Olay T/Eff+ Norm Spf Moist 50G,2.0,0.88,0.0,0.0,REVIEW,REVIEW,2,0,no_credible_promo_demand_evidence
