sku_number,sku_description,baseline_period_demand_units,same_discount_promo_units,selected_before,selected_after,decision_before,decision_after,recommended_order_before,recommended_order_after,reason
96467,May Lifter Conceal 25,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96499,May Cloud Mte 03 Divin Crimson,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96500,May Cloud Mte 04 Pink Daydream,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
195433,Npmu Duck Plmp Brick Of Ti,7.0,0.882,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94677,Rim K&F Lash Ldr Masc Abrgine,7.0,0.2,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
192935,May Ct Eye Stix I Am Fearless,7.0,0.5,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
199746,Rim Kind&Free Lsh Ldr Masc B/B,7.0,0.417,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
38393,May Fit Me Loose Pwd Medium,7.0,0.364,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
67692,Rim Wndr'Care Serum L&B Ser,7.0,0.182,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
90160,Npmu Fat Oil Click Going Live,7.0,0.375,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
49794,Rim Wndr Lx Vol Mas Brwn,7.0,0.154,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
189517,Npmu Fat Oil Follow Back,7.0,1.4,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93987,May Super Lock Brow Glue Black,7.0,0.546,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93985,May Spr Lock Brw Glue Med Brwn,7.0,1.091,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94069,Npmu Smushy Mte Lb Soft Smile,7.0,0.429,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94066,Npmu Smushy Mte Lb Sweet Smac,7.0,0.571,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
974412,Rim Oh My Gloss 500 Ohh La La,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
15009,Rim Lg Oh My Gloss Eternity,7.0,0.625,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
40169,Npmu Suede Matte Ll Berry,7.0,0.429,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
67696,Rim Lst Fin L/L Eastnd Pnk,7.0,1.0,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
67689,Rim Btw Pro Pncl Blnd,7.0,0.562,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
194501,Rim 60 Sec N/P 140 Choc Ecl,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
730,Rim 60Sec N/P 703 Wht Hot Love,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96517,May Babylips Love Pink Lolita,7.0,0.5,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
193126,Npmu Ult Es Pal I Know Tha,7.0,1.529,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
198728,May Sst Lumi Matte Fnd 108,7.0,0.571,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
198735,May Sst Lumi Matte Fnd 140,7.0,0.8,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96475,May Face Lifter Fdn 102,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96484,May Face Lifter Fdn 123,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96486,May Face Lifter Fdn 220,7.0,0.25,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93992,May Face Lift Stix 55 Nu Int,7.0,0.454,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93995,May Face Lift Stix 75 Nu Int,7.0,0.454,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
70394,Npmu Plumping Primer 01,7.0,3.176,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96615,Npmu Make Em Wndr Fdn Class Ta,7.0,0.5,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96614,Npmu Make Em Wndr Fdn Gold Lgh,7.0,0.5,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
39394,May Fitme Matte Pore Fdn Fporc,7.0,0.826,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
196930,Rim Better Filters Light,7.0,0.529,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
36223,May Fitme M+P Fd Fair Ivory,7.0,0.381,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
39403,May Fitme Matte Pore Fdn Wnude,7.0,0.294,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93973,May Sunkisser Highlight 21 Int,7.0,0.273,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93967,May Sunkisser Original 05 As X,7.0,0.091,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
192940,May Vinyl Ink Nude Captivated,7.0,1.091,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93971,May Sunkisser Mate Ext 34 As X,7.0,0.273,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93974,May Sunkisser Highlight 22 Int,7.0,0.182,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93968,May Sunkiser Mat Ext 30 Pnk Mr,7.0,0.273,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
189239,May Ss Vinyl Ink Cheeky,7.0,3.0,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
70359,Npmu Bwm Sr N Calm Conc Golden,7.0,1.588,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
521195,May L/S Superstay Timeless Ros,7.0,0.591,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
55218,May Ss Matte Ink Pinks Savant,7.0,0.478,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
30537,May Ss Matte Ink Lover,7.0,1.261,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
46754,May Ls Matte Ink Grande Bre,7.0,1.087,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
57928,May Iar Eraser Dk Circ Sand,7.0,1.261,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
57612,May Iar Eraser Dk Circ Neutral,7.0,1.158,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
96502,May Cloud Mte 07 Moonlit Rose,7.0,0.5,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
30540,May Ss Matte Ink Romantic,7.0,0.652,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94055,Npmu Lft Snat Brw Tint Brunett,7.0,0.286,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93981,May Es.Color Tattoo I Am Cozy,7.0,0.182,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
93982,May Es.Color Tat I Am Unapolog,7.0,0.182,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
192929,May Ct Eye Stix I Am Inspired,7.0,0.2,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
192931,May Ct Eye Stix I Am Corageous,7.0,0.55,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94696,Rim K&F S/T Blur Vanilla,7.0,0.111,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94688,Rim K&F S/T Glow Tre Beige,7.0,0.125,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94685,Rim K&F S/T Glow Gldn Ivry,7.0,0.125,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
90169,Npmu Epic Ink El Midnight Rise,7.0,0.125,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
66928,Npmu Lip Ling Xxl 14 Bust Ed,7.0,0.353,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
57933,May Lifter Gloss 005 Petal,7.0,1.632,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
94005,May Lift Gloss 014 Heat As X,7.0,0.818,7.0,7.0,REVIEW,REVIEW,7,7,same_discount_suppressed_by_credible_baseline
