sku_number,pre_promo_demand_units,promo_window_demand_units,total_expected_demand_units,pre_minus_promo,days_until_promo_start,promo_window_days
195994,56.0,7.0,63.0,49.0,63,7
90149,56.0,7.0,63.0,49.0,63,7
521310,56.0,7.0,63.0,49.0,63,7
37411,56.0,7.0,63.0,49.0,63,7
196050,56.0,7.0,63.0,49.0,63,7
193697,56.0,7.0,63.0,49.0,63,7
67686,56.0,7.0,63.0,49.0,63,7
974331,56.0,7.0,63.0,49.0,63,7
95495,56.0,7.0,63.0,49.0,63,7
195435,56.0,7.0,63.0,49.0,63,7
95494,56.0,7.0,63.0,49.0,63,7
95886,56.0,7.0,63.0,49.0,63,7
52116,56.0,7.0,63.0,49.0,63,7
52118,56.0,7.0,63.0,49.0,63,7
94696,56.0,7.0,63.0,49.0,63,7
43878,56.0,7.0,63.0,49.0,63,7
46574,56.0,7.0,63.0,49.0,63,7
40732,56.0,7.0,63.0,49.0,63,7
87885,56.0,7.0,63.0,49.0,63,7
91151,56.0,7.0,63.0,49.0,63,7
88301,56.0,7.0,63.0,49.0,63,7
727,56.0,7.0,63.0,49.0,63,7
188025,56.0,7.0,63.0,49.0,63,7
34109,56.0,7.0,63.0,49.0,63,7
341556,56.0,7.0,63.0,49.0,63,7
95840,56.0,7.0,63.0,49.0,63,7
93344,56.0,7.0,63.0,49.0,63,7
19966,56.0,7.0,63.0,49.0,63,7
41596,56.0,7.0,63.0,49.0,63,7
195436,56.0,7.0,63.0,49.0,63,7
731188,56.0,7.0,63.0,49.0,63,7
67911,56.0,7.0,63.0,49.0,63,7
196932,56.0,7.0,63.0,49.0,63,7
196240,56.0,7.0,63.0,49.0,63,7
190137,56.0,7.0,63.0,49.0,63,7
102282,56.0,7.0,63.0,49.0,63,7
90980,56.0,7.0,63.0,49.0,63,7
73217,56.0,7.0,63.0,49.0,63,7
38393,56.0,7.0,63.0,49.0,63,7
94874,56.0,7.0,63.0,49.0,63,7
94869,56.0,7.0,63.0,49.0,63,7
90447,56.0,7.0,63.0,49.0,63,7
191380,56.0,7.0,63.0,49.0,63,7
193054,56.0,7.0,63.0,49.0,63,7
188037,56.0,7.0,63.0,49.0,63,7
193079,56.0,7.0,63.0,49.0,63,7
194045,56.0,7.0,63.0,49.0,63,7
71548,56.0,7.0,63.0,49.0,63,7
194133,56.0,7.0,63.0,49.0,63,7
196931,56.0,7.0,63.0,49.0,63,7
95024,56.0,7.0,63.0,49.0,63,7
199751,56.0,7.0,63.0,49.0,63,7
521120,56.0,7.0,63.0,49.0,63,7
54487,56.0,7.0,63.0,49.0,63,7
32866,56.0,7.0,63.0,49.0,63,7
195432,56.0,7.0,63.0,49.0,63,7
310832,56.0,7.0,63.0,49.0,63,7
54481,56.0,7.0,63.0,49.0,63,7
521213,56.0,7.0,63.0,49.0,63,7
102634,56.0,7.0,63.0,49.0,63,7
90439,56.0,7.0,63.0,49.0,63,7
54486,56.0,7.0,63.0,49.0,63,7
94872,56.0,7.0,63.0,49.0,63,7
15769,56.0,7.0,63.0,49.0,63,7
26154,56.0,7.0,63.0,49.0,63,7
1226,56.0,7.0,63.0,49.0,63,7
