sku_number,selected_demand_units,total_expected_demand_units,order_units,raw_stock_gap_units,feature_expected_total_units_first_7_days,feature_probability_expected_units_consensus,historical_units_same_discount_avg,expected_units_total_promo,demand_evidence_label,demand_evidence_class,feature_signal_max,feature_exceeds_final_by
94286,0.0616,0.9505,0,0,0.0,5.666666666666667,5.6667,0.0616,LOW_NONZERO_DEMAND,low_nonzero_demand,5.6667,5.605099999999999
94233,0.0161,0.0161,0,0,0.0010733333333333,5.50805,0.0,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,5.50805,5.49195
1236,0.0623,0.0623,0,0,0.0041533333333333,5.521739130434782,5.5217,0.0623,LOW_NONZERO_DEMAND,low_nonzero_demand,5.521739130434782,5.459439130434783
247596,0.0623,0.0623,0,0,0.0041533333333333,5.5,5.5,0.0623,LOW_NONZERO_DEMAND,low_nonzero_demand,5.5,5.4377
610055,0.0938,0.0938,0,0,0.0062533333333333,5.5,5.5,0.0938,LOW_NONZERO_DEMAND,low_nonzero_demand,5.5,5.4062
15736,0.0623,0.0623,0,0,0.0041533333333333,5.294117647058823,5.2941,0.0623,LOW_NONZERO_DEMAND,low_nonzero_demand,5.294117647058823,5.231817647058824
390941,0.1561,0.1561,0,0,0.0104066666666666,5.214285714285714,5.2143,0.1561,LOW_NONZERO_DEMAND,low_nonzero_demand,5.2143,5.058199999999999
187118,3.9998,3.9998,0,3,0.0041533333333333,4.53115,9.0,3.9998,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,9.0,5.0001999999999995
187116,3.9998,3.9998,0,3,0.0041533333333333,4.53115,9.0,3.9998,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,9.0,5.0001999999999995
259519,1.9999,17.9999,4,4,7.0,0.88,0.88,1.9999,CREDIBLE_PROMO_DEMAND,healthy_nonzero_demand,7.0,5.0001
191888,0.0476,0.0476,1,1,0.0031733333333333,2.5238,5.0,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,5.0,4.9524
372722,0.0927,0.9816,0,0,0.0,2.5000005,5.0,0.0927,LOW_NONZERO_DEMAND,low_nonzero_demand,5.0,4.9073
49093,0.1722,0.1722,0,0,0.01148,5.0,5.0,0.1722,LOW_NONZERO_DEMAND,low_nonzero_demand,5.0,4.8278
188031,0.1722,0.1722,0,0,0.2444564705882352,5.0,5.0,0.1722,LOW_NONZERO_DEMAND,low_nonzero_demand,5.0,4.8278
37986,0.0476,0.0476,0,0,0.0031733333333333,4.875,4.875,0.0476,LOW_NONZERO_DEMAND,low_nonzero_demand,4.875,4.8274
24383,0.1414,0.1414,0,0,0.0094266666666666,4.956521739130435,4.9565,0.1414,LOW_NONZERO_DEMAND,low_nonzero_demand,4.956521739130435,4.815121739130435
49091,0.2037,0.2037,0,0,0.01358,5.0,5.0,0.2037,LOW_NONZERO_DEMAND,low_nonzero_demand,5.0,4.7963000000000005
190066,0.1099,0.1099,0,0,0.0073266666666666,4.888888888888889,0.0,0.1099,LOW_NONZERO_DEMAND,low_nonzero_demand,4.888888888888889,4.77898888888889
60949,0.3122,0.3122,0,0,0.0208133333333333,5.0,5.0,0.3122,LOW_NONZERO_DEMAND,low_nonzero_demand,5.0,4.6878
192186,0.0161,0.0161,0,0,0.0010733333333333,4.666666666666667,0.0,0.0161,LOW_NONZERO_DEMAND,low_nonzero_demand,4.666666666666667,4.650566666666667
