target_repair_basis,row_count
REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,4681
REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,445
REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,319
