promotion_row_key,realized_sales_units,sufficient_stock_demand_units_target,stock_basis_units,demand_reference_units,target_repair_basis,target_warning
772|184791|2026-03-05|2026-03-18|772-184791-20260305|Allocation Report - OP21 FEMALE FOUNDERS,4.0,4.0,4.0,0.0322,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184851|2026-03-05|2026-03-18|772-184851-20260305|Allocation Report - OP21 FEMALE FOUNDERS,4.0,4.0,3.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184852|2026-03-05|2026-03-18|772-184852-20260305|Allocation Report - OP21 FEMALE FOUNDERS,5.0,5.0,3.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184853|2026-03-05|2026-03-18|772-184853-20260305|Allocation Report - OP21 FEMALE FOUNDERS,8.0,8.0,2.0,0.0322,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184854|2026-03-05|2026-03-18|772-184854-20260305|Allocation Report - OP21 FEMALE FOUNDERS,8.0,8.0,2.0,9.333333333333332,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|184|2026-03-05|2026-03-18|772-184-20260305|Allocation Report - OP21 FEMALE FOUNDERS,1.0,1.0,1.0,0.0322,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|185061|2026-03-05|2026-03-18|772-185061-20260305|Allocation Report - OP21 FEMALE FOUNDERS,1.0,1.0,1.0,0.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|185558|2026-03-05|2026-03-18|772-185558-20260305|Allocation Report - OP21 FEMALE FOUNDERS,3.0,3.0,1.0,0.9996,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|18614|2026-03-05|2026-03-18|772-18614-20260305|Allocation Report - OP21 FEMALE FOUNDERS,1.0,1.0,1.0,0.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|186358|2026-03-05|2026-03-18|772-186358-20260305|Allocation Report - OP21 FEMALE FOUNDERS,3.0,3.0,2.0,14.0,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
