promotion_row_key,realized_sales_units,sufficient_stock_demand_units_target,stock_basis_units,demand_reference_units,target_repair_basis,target_warning
772|185154|2026-02-05|2026-02-18|772-185154-20260205|Allocation Report - WK32&33 BEAUTY BOX,5.0,5.0,1.0,0.9996,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|185219|2026-02-05|2026-02-18|772-185219-20260205|Allocation Report - WK32&33 BEAUTY BOX,7.0,7.0,1.0,16.333333333333336,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|185295|2026-02-05|2026-02-18|772-185295-20260205|Allocation Report - WK32&33 BEAUTY BOX,2.0,2.0,1.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|186369|2026-02-05|2026-02-18|772-186369-20260205|Allocation Report - WK32&33 BEAUTY BOX,9.0,9.0,6.0,26.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|186416|2026-02-05|2026-02-18|772-186416-20260205|Allocation Report - WK32&33 BEAUTY BOX,1.0,1.0,1.0,0.063,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|187645|2026-02-05|2026-02-18|772-187645-20260205|Allocation Report - WK32&33 BEAUTY BOX,6.0,6.0,3.0,28.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|187749|2026-02-05|2026-02-18|772-187749-20260205|Allocation Report - WK32&33 BEAUTY BOX,2.0,2.0,2.0,0.0322,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188026|2026-02-05|2026-02-18|772-188026-20260205|Allocation Report - WK32&33 BEAUTY BOX,2.0,2.0,2.0,0.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188258|2026-02-05|2026-02-18|772-188258-20260205|Allocation Report - WK32&33 BEAUTY BOX,2.0,2.0,1.0,14.0,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188698|2026-02-05|2026-02-18|772-188698-20260205|Allocation Report - WK32&33 BEAUTY BOX,9.0,9.0,6.0,101.81818181818181,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
772|188711|2026-02-05|2026-02-18|772-188711-20260205|Allocation Report - WK32&33 BEAUTY BOX,5.0,5.0,3.0,45.111111111111114,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,REPAIR_STOCK_DEMAND_CEILING_APPLIED|REPAIR_CEILING_BELOW_REALIZED_USED_REALIZED|FEATURE_CONSENSUS_DIAGNOSTIC_ONLY
