sku_number,raw_total_promo_units,calibrated_total_promo_units,policy_adj_total_promo_units,final_daily_x_promo_days,baseline_x_promo_days,feature_consensus_total,feature_first7_total,promo_days,selected_demand_units,promo_window_demand_units,demand_forecast_basis,rounds_to_0or1,anti_collapse_floor_applied,feature_signal_max,feature_exceeds_final_by,collapse_category
15840,0.431,0.008,0.008,0.008,0.113,3.0588235294117645,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,3.0588235294117645,2.0588235294117645,anti_collapse_repair_to_1
44022,0.369,0.008,0.008,0.008,0.113,1.0,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,1.0,0.0,anti_collapse_repair_to_1
193068,0.369,0.369,0.259,0.259,0.0,4.545454545454545e-08,0.0,7.0,1,1,MODEL_PREDICTION,True,True,4.545454545454545e-08,0.0,anti_collapse_repair_to_1
196933,0.369,0.369,0.259,0.259,0.0,0.1176470588235294,0.0,7.0,1,1,MODEL_PREDICTION,True,True,0.1176470588235294,0.0,anti_collapse_repair_to_1
184834,0.369,0.008,0.008,0.008,0.113,1.3333333333333333,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,1.3333333333333333,0.33333333333333326,anti_collapse_repair_to_1
97870,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97869,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97868,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97867,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97866,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97865,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
97864,0.369,0.369,0.129,0.129,0.0,1e-06,0.0,7.0,1,1,MODEL_PREDICTION,True,True,1e-06,0.0,anti_collapse_repair_to_1
92951,0.369,0.008,0.008,0.008,0.113,1.3,0.0010733333333333,7.0,1,1,MODEL_PREDICTION,True,True,1.3,0.30000000000000004,anti_collapse_repair_to_1
