regime_field,regime_value,row_count,avg_opportunity_score,avg_risk_score,avg_decision_value
store_sales_regime,HIGH_TRAFFIC,13072,26.02044063647491,17.936811505507954,8.370078641370869
store_sales_regime,LOW_TRAFFIC,16554,15.027352905642138,15.459103539929925,2.262617735894648
store_sales_regime,NORMAL,22659,32.01199082042455,13.570766582814775,2.8439958074054457
store_traffic_regime,HIGH_TRAFFIC,13072,26.02044063647491,17.936811505507954,8.370078641370869
store_traffic_regime,LOW_TRAFFIC,16554,15.027352905642138,15.459103539929925,2.262617735894648
store_traffic_regime,NORMAL,22659,32.01199082042455,13.570766582814775,2.8439958074054457
store_conversion_regime,HIGH_CONVERSION,22254,25.79884964500764,15.270063808753482,4.2550976903028666
store_conversion_regime,LOW_CONVERSION,30031,24.645669474875966,15.252905331157804,3.883260597382704
store_gp_regime,HIGH_GP_PRESSURE,22721,24.288684476915627,15.630474010826989,6.511832533779324
store_gp_regime,NORMAL,29564,25.788069949939114,14.975646056014071,2.1430048707887974
store_operational_regime,NORMAL,52285,25.136496126996263,15.260208472793344,4.041525160179784
store_visibility_regime,NORMAL,52285,25.136496126996263,15.260208472793344,4.041525160179784
customer_loyalty_regime,LOYALTY_HIGH,13077,26.497277663072566,17.74642502102929,8.493952741454462
customer_loyalty_regime,LOYALTY_LOW,39208,24.68263619669455,14.43098347276066,2.5565120128545193
customer_price_sensitivity_regime,NORMAL,52285,25.136496126996263,15.260208472793344,4.041525160179784
customer_basket_trust_regime,BASKET_TRUST_RISK,8481,12.665935620799432,14.780096686711472,1.595448649923358
customer_basket_trust_regime,BASKET_TRUST_STRONG,43804,27.550951967856815,15.353164094603233,4.515116039631083
customer_repeat_behaviour_regime,WEAK_REPEAT_SIGNAL,52285,25.136496126996263,15.260208472793344,4.041525160179784
sku_demand_regime,INTERMITTENT_LOW_VOLUME,33738,23.946641768925247,14.415347679174818,2.4108736736024663
sku_demand_regime,STABLE_BASE_DEMAND,18547,27.300905806869032,16.797056127675635,7.007768749663018
department_demand_regime,INTERMITTENT_LOW_VOLUME,45752,24.860974383633504,14.898692953313516,3.9144775310368947
department_demand_regime,STABLE_BASE_DEMAND,6533,27.06603398132557,17.791979182611357,4.93126695239553
recent_momentum_regime,FALLING_MOMENTUM,27751,24.149861266260675,15.157291629130482,3.394989405787179
recent_momentum_regime,RISING_MOMENTUM,23473,26.169151791419928,15.318024964853235,4.531030460529118
recent_momentum_regime,STABLE,1061,28.096512723845425,16.672950047125354,10.122444863336474
promo_response_regime,HIGH_PROMO_CONVEXITY,4031,63.734606797320765,14.368643016621185,10.103161746464897
promo_response_regime,LOW_PROMO_RESPONSE,45621,20.96958199074987,15.321452839701015,3.1796414808969553
promo_response_regime,NORMAL,2633,38.24314470186099,15.56399544246107,9.694976832510445
stock_position_regime,OPTIMAL,899,27.50812013348165,20.14460511679644,8.462906562847607
stock_position_regime,OPTIMAL_LOW_VOLUME,412,24.298786407766986,22.65776699029126,5.458861650485438
stock_position_regime,OVERSTOCKED,983,39.36042726347914,18.18413021363174,8.748839267548322
stock_position_regime,SEVERELY_OVERSTOCKED,1093,43.6751143641354,18.2708142726441,5.7321363220494055
stock_position_regime,UNDERSTOCKED,48898,24.399619616344225,14.982003353920406,3.8158739621252398
stock_constraint_regime,CENSORED_DEMAND_RISK,1720,31.031569767441862,50.69767441860465,21.400176744186048
stock_constraint_regime,NORMAL,50565,24.935971521803616,14.054780974982696,3.4510598042124
capital_drag_regime,CAPITAL_DRAG_HIGH,1016,40.953641732283465,19.40452755905512,9.43613779527559
capital_drag_regime,NORMAL,51269,24.82304706547816,15.178080321441806,3.934619887261308
promo_start_stock_regime,OPTIMAL,899,27.50812013348165,20.14460511679644,8.462906562847607
promo_start_stock_regime,OPTIMAL_LOW_VOLUME,412,24.298786407766986,22.65776699029126,5.458861650485438
promo_start_stock_regime,OVERSTOCKED,983,39.36042726347914,18.18413021363174,8.748839267548322
promo_start_stock_regime,SEVERELY_OVERSTOCKED,1093,43.6751143641354,18.2708142726441,5.7321363220494055
promo_start_stock_regime,UNDERSTOCKED,48898,24.399619616344225,14.982003353920406,3.8158739621252398
promo_exit_stock_regime,NEAR_OPTIMAL,44174,24.483673654185715,14.766604790148051,2.916161995744103
promo_exit_stock_regime,OVERSTOCKED,813,37.02644526445264,14.88929889298893,-4.13180688806888
promo_exit_stock_regime,UNDERSTOCKED,7298,27.76341463414634,18.289257330775555,11.763738284461496
supplier_replenishment_regime,LONG_LEAD_COSMETICS,34690,24.871591236667626,13.497117324877486,4.074871663303546
supplier_replenishment_regime,OVERNIGHT_REPLENISHMENT,2433,28.057788738183316,1.2659268392930538,3.007692560624743
supplier_replenishment_regime,UNKNOWN_REPLENISHMENT,15162,25.27381611924548,21.539704524469066,4.131125774963725
supplier_risk_regime,LONG_LEAD_COSMETICS,12968,26.115090993214064,0.7611042566317088,3.4910610734114744
supplier_risk_regime,OVERNIGHT_REPLENISHMENT,2433,28.057788738183316,1.2659268392930538,3.007692560624743
supplier_risk_regime,UNKNOWN_SUPPLIER,36884,24.599734302136422,21.281043270794925,4.303257428695369
supplier_flexibility_regime,LOW_FLEXIBILITY,52285,25.136496126996263,15.260208472793344,4.041525160179784
promo_discount_regime,SHALLOW_DISCOUNT,52285,25.136496126996263,15.260208472793344,4.041525160179784
promo_event_regime,STANDARD,52285,25.136496126996263,15.260208472793344,4.041525160179784
promo_duration_regime,FORTNIGHT_PROMO,40872,25.70139949109415,15.206131336856528,4.065110491289881
promo_duration_regime,SHORT_EVENT,11413,23.113475860860426,15.453868395689126,3.9570618592832734
