sku_number,decision,optimal_order_units_to_reach_day_one_stock,recommended_order_units,remaining_gap_after_recommended_order_units,recommendation_coverage_ratio,recommendation_constraint_reason,stock_gap_units
90152,REVIEW,6,0,6,0.0,review_required,5.771
31831,REVIEW,6,0,6,0.0,review_required,5.771
190114,REVIEW,3,0,3,0.0,review_required,2.651
43540,REVIEW,7,0,7,0.0,review_required,6.651
380675,REVIEW,7,0,7,0.0,review_required,6.604
186490,REVIEW,4,0,4,0.0,review_required,4.5
65489,REVIEW,4,0,4,0.0,review_required,3.5
282995,REVIEW,6,0,6,0.0,review_required,5.5
41315,REVIEW,6,0,6,0.0,review_required,6.5
92333,REVIEW,4,0,4,0.0,review_required,4.5
90155,REVIEW,6,0,6,0.0,review_required,5.5
63475,REVIEW,6,0,6,0.0,review_required,6.409
69802,REVIEW,3,0,3,0.0,review_required,3.306
415278,REVIEW,5,0,5,0.0,review_required,5.306
94059,REVIEW,6,0,6,0.0,review_required,6.306
184852,REVIEW,5,0,5,0.0,review_required,5.306
95025,REVIEW,25,5,20,0.2,review_required,25.238
67327,REVIEW,5,0,5,0.0,review_required,5.048
260851,REVIEW,2,0,2,0.0,review_required,2.048
205729,REVIEW,6,0,6,0.0,review_required,6.048
190113,REVIEW,4,0,4,0.0,review_required,4.048
190840,REVIEW,1,0,1,0.0,review_required,1.048
643335,REVIEW,5,0,5,0.0,review_required,4.883
55881,REVIEW,25,5,20,0.2,review_required,25.196
22490,REVIEW,6,0,6,0.0,review_required,5.821
188862,REVIEW,6,0,6,0.0,review_required,5.821
199946,REVIEW,25,5,20,0.2,review_required,25.171
27982,REVIEW,6,0,6,0.0,review_required,5.686
396176,REVIEW,6,0,6,0.0,review_required,5.53
192807,REVIEW,6,0,6,0.0,review_required,5.53
195988,REVIEW,4,0,4,0.0,review_required,4.414
90934,REVIEW,53,9,44,0.17,review_required,52.643
188032,REVIEW,4,0,4,0.0,review_required,4.143
188636,REVIEW,5,0,5,0.0,review_required,5.143
96597,REVIEW,2,0,2,0.0,review_required,2.143
93925,REVIEW,1,0,1,0.0,review_required,1.143
94647,REVIEW,5,0,5,0.0,review_required,5.143
38417,REVIEW,3,0,3,0.0,review_required,3.143
65635,REVIEW,5,0,5,0.0,review_required,5.143
93915,REVIEW,0,0,0,,none_gap_closed,0.143
51409,REVIEW,1,0,1,0.0,review_required,1.143
735752,REVIEW,5,0,5,0.0,review_required,5.143
666842,REVIEW,5,0,5,0.0,review_required,5.143
94279,REVIEW,4,0,4,0.0,review_required,4.143
62855,REVIEW,4,0,4,0.0,review_required,3.935
894710,REVIEW,5,0,5,0.0,review_required,4.84
667915,REVIEW,5,0,5,0.0,review_required,4.84
55511,REVIEW,5,0,5,0.0,review_required,4.84
189359,REVIEW,5,0,5,0.0,review_required,4.756
191880,REVIEW,4,0,4,0.0,review_required,3.6
191997,REVIEW,4,0,4,0.0,review_required,3.6
42830,REVIEW,2,0,2,0.0,review_required,1.517
90163,REVIEW,4,0,4,0.0,review_required,4.464
24924,REVIEW,4,0,4,0.0,review_required,4.367
199069,REVIEW,3,0,3,0.0,review_required,3.237
7235,REVIEW,4,0,4,0.0,review_required,4.237
94287,REVIEW,2,0,2,0.0,review_required,2.237
584258,REVIEW,4,0,4,0.0,review_required,4.237
321338,REVIEW,1,0,1,0.0,review_required,1.237
197809,REVIEW,0,0,0,,none_gap_closed,0.237
188739,REVIEW,4,0,4,0.0,review_required,4.237
31522,REVIEW,3,0,3,0.0,review_required,3.237
193722,REVIEW,3,0,3,0.0,review_required,3.237
192861,REVIEW,2,0,2,0.0,review_required,2.237
342491,REVIEW,3,0,3,0.0,review_required,3.237
20842,REVIEW,3,0,3,0.0,review_required,3.237
199949,REVIEW,3,0,3,0.0,review_required,3.237
57314,REVIEW,4,0,4,0.0,review_required,4.173
72982,REVIEW,4,0,4,0.0,review_required,4.125
380790,REVIEW,3,0,3,0.0,review_required,3.099
94056,REVIEW,3,0,3,0.0,review_required,2.98
57315,REVIEW,4,0,4,0.0,review_required,3.98
369403,REVIEW,3,0,3,0.0,review_required,2.909
185192,REVIEW,3,0,3,0.0,review_required,2.877
199068,REVIEW,3,0,3,0.0,review_required,2.877
16527,REVIEW,43,8,35,0.186,review_required,42.536
186512,REVIEW,7,2,5,0.286,review_required,6.607
65481,REVIEW,0,0,0,,none_gap_closed,-0.214
26141,REVIEW,4,0,4,0.0,review_required,3.786
96150,REVIEW,4,0,4,0.0,review_required,3.786
400734,REVIEW,2,0,2,0.0,review_required,1.635
189601,REVIEW,4,0,4,0.0,review_required,3.635
544795,REVIEW,2,0,2,0.0,review_required,1.514
307459,REVIEW,3,0,3,0.0,review_required,2.514
459844,REVIEW,4,0,4,0.0,review_required,3.514
234931,REVIEW,2,0,2,0.0,review_required,2.416
38201,REVIEW,2,0,2,0.0,review_required,2.334
298352,REVIEW,2,0,2,0.0,review_required,2.334
197810,REVIEW,2,0,2,0.0,review_required,2.334
67025,REVIEW,0,0,0,,none_gap_closed,0.334
38392,REVIEW,8,2,6,0.25,review_required,7.993
195075,REVIEW,2,0,2,0.0,review_required,2.107
192176,REVIEW,8,2,6,0.25,review_required,7.968
668566,REVIEW,3,0,3,0.0,review_required,3.032
90426,REVIEW,3,0,3,0.0,review_required,3.032
199957,REVIEW,2,0,2,0.0,review_required,1.748
66820,REVIEW,3,0,3,0.0,review_required,2.623
73263,REVIEW,42,8,34,0.19,review_required,42.286
90851,REVIEW,8,2,6,0.25,review_required,7.857
90849,REVIEW,5,2,3,0.4,review_required,5.286
194043,REVIEW,2,0,2,0.0,review_required,2.429
97993,REVIEW,1,0,1,0.0,review_required,1.429
192805,REVIEW,0,0,0,,none_gap_closed,0.429
102088,REVIEW,2,0,2,0.0,review_required,2.429
186092,REVIEW,2,0,2,0.0,review_required,2.429
55887,REVIEW,2,0,2,0.0,review_required,2.429
31821,REVIEW,2,0,2,0.0,review_required,2.429
721417,REVIEW,3,1,2,0.333,review_required,3.429
20469,REVIEW,2,0,2,0.0,review_required,2.429
95497,REVIEW,5,2,3,0.4,review_required,5.286
30554,REVIEW,1,0,1,0.0,review_required,1.429
92466,REVIEW,0,0,0,,none_gap_closed,-1.571
90015,REVIEW,2,0,2,0.0,review_required,2.429
798177,REVIEW,2,0,2,0.0,review_required,2.429
93334,REVIEW,0,0,0,,none_gap_closed,0.429
190119,REVIEW,0,0,0,,none_gap_closed,-2.571
94491,REVIEW,0,0,0,,none_gap_closed,-0.571
194046,REVIEW,2,0,2,0.0,review_required,2.429
5908,REVIEW,0,0,0,,none_gap_closed,0.429
97992,REVIEW,2,0,2,0.0,review_required,2.429
20841,REVIEW,1,0,1,0.0,review_required,1.429
194044,REVIEW,2,0,2,0.0,review_required,2.429
90435,REVIEW,0,0,0,,none_gap_closed,-0.571
61294,REVIEW,0,0,0,,none_gap_closed,-0.571
186524,REVIEW,0,0,0,,none_gap_closed,0.429
216755,REVIEW,0,0,0,,none_gap_closed,0.429
59860,REVIEW,2,0,2,0.0,review_required,2.429
198287,REVIEW,2,0,2,0.0,review_required,2.429
32159,REVIEW,2,0,2,0.0,review_required,2.429
94278,REVIEW,2,0,2,0.0,review_required,2.429
192930,REVIEW,1,0,1,0.0,review_required,1.126
195096,REVIEW,5,2,3,0.4,review_required,4.863
298522,REVIEW,0,0,0,,none_gap_closed,-0.023
71410,REVIEW,5,2,3,0.4,review_required,4.826
65583,REVIEW,5,2,3,0.4,review_required,4.757
28179,REVIEW,2,0,2,0.0,review_required,1.826
190124,REVIEW,0,0,0,,none_gap_closed,-2.174
11608,REVIEW,2,0,2,0.0,review_required,1.826
195434,REVIEW,1,0,1,0.0,review_required,0.79
259519,REVIEW,8,2,6,0.25,review_required,7.737
90346,REVIEW,8,2,6,0.25,review_required,7.732
195044,REVIEW,1,0,1,0.0,review_required,0.652
67094,REVIEW,0,0,0,,none_gap_closed,-0.477
63083,REVIEW,0,0,0,,none_gap_closed,0.471
93999,REVIEW,1,0,1,0.0,review_required,1.442
385409,REVIEW,1,0,1,0.0,review_required,1.343
191996,REVIEW,1,0,1,0.0,review_required,1.343
87764,REVIEW,1,0,1,0.0,review_required,1.343
65610,REVIEW,1,0,1,0.0,review_required,1.222
298085,REVIEW,1,0,1,0.0,review_required,1.222
185329,REVIEW,0,0,0,,none_gap_closed,-1.929
96151,REVIEW,1,0,1,0.0,review_required,1.071
185183,REVIEW,0,0,0,,none_gap_closed,0.071
67859,REVIEW,0,0,0,,none_gap_closed,0.071
92209,REVIEW,4,2,2,0.5,review_required,3.775
90462,REVIEW,46,9,37,0.196,review_required,45.667
65837,REVIEW,15,3,12,0.2,review_required,15.381
71550,REVIEW,1,0,1,0.0,review_required,0.619
37429,REVIEW,0,0,0,,none_gap_closed,-0.381
198716,REVIEW,1,0,1,0.0,review_required,0.619
93758,REVIEW,4,2,2,0.5,review_required,3.524
67326,REVIEW,0,0,0,,none_gap_closed,-0.381
190118,REVIEW,0,0,0,,none_gap_closed,-0.381
198462,REVIEW,1,0,1,0.0,review_required,0.619
242950,REVIEW,1,0,1,0.0,review_required,0.619
195097,REVIEW,1,0,1,0.0,review_required,0.54
15842,REVIEW,0,0,0,,none_gap_closed,-0.488
66821,REVIEW,25,5,20,0.2,review_required,25.214
88458,REVIEW,60,12,48,0.2,review_required,59.636
63360,REVIEW,11,3,8,0.273,review_required,10.911
193725,REVIEW,0,0,0,,none_gap_closed,-3.607
192244,REVIEW,0,0,0,,none_gap_closed,0.257
75791,REVIEW,0,0,0,,none_gap_closed,0.257
67690,REVIEW,60,12,48,0.2,review_required,59.562
90440,REVIEW,0,0,0,,none_gap_closed,0.016
71225,REVIEW,3,2,1,0.667,review_required,2.937
668228,REVIEW,0,0,0,,none_gap_closed,0.016
65617,REVIEW,0,0,0,,none_gap_closed,0.016
102031,REVIEW,0,0,0,,none_gap_closed,-0.038
16529,REVIEW,0,0,0,,none_gap_closed,-0.105
90936,REVIEW,16,3,13,0.188,review_required,16.214
655791,REVIEW,0,0,0,,none_gap_closed,-0.286
196197,REVIEW,0,0,0,,none_gap_closed,-1.286
752,REVIEW,0,0,0,,none_gap_closed,-0.286
330663,REVIEW,0,0,0,,none_gap_closed,-1.286
339358,REVIEW,0,0,0,,none_gap_closed,-0.286
38322,REVIEW,0,0,0,,none_gap_closed,-0.286
610798,REVIEW,0,0,0,,none_gap_closed,-0.286
45396,REVIEW,0,0,0,,none_gap_closed,-0.286
60791,REVIEW,0,0,0,,none_gap_closed,-2.286
194015,REVIEW,0,0,0,,none_gap_closed,-0.286
55218,REVIEW,30,7,23,0.233,review_required,30.478
1226,REVIEW,29,7,22,0.241,review_required,29.478
729841,REVIEW,29,7,22,0.241,review_required,29.467
43878,REVIEW,30,5,25,0.167,review_required,30.467
93992,REVIEW,28,7,21,0.25,review_required,28.454
93995,REVIEW,28,7,21,0.25,review_required,28.454
94011,REVIEW,30,7,23,0.233,review_required,30.454
67694,REVIEW,30,7,23,0.233,review_required,30.444
43539,REVIEW,0,0,0,,none_gap_closed,-1.493
24420,REVIEW,29,7,22,0.241,review_required,29.435
90432,REVIEW,45,10,35,0.222,review_required,44.929
192839,REVIEW,30,7,23,0.233,review_required,30.429
94069,REVIEW,27,7,20,0.259,review_required,27.429
40169,REVIEW,28,7,21,0.25,review_required,28.429
41596,REVIEW,30,6,24,0.2,review_required,30.429
193697,REVIEW,28,6,22,0.214,review_required,28.429
184615,REVIEW,30,6,24,0.2,review_required,30.429
63078,REVIEW,0,0,0,,none_gap_closed,-0.51
192118,REVIEW,45,10,35,0.222,review_required,44.923
653048,REVIEW,29,7,22,0.241,review_required,29.421
199746,REVIEW,28,7,21,0.25,review_required,28.417
549193,REVIEW,0,0,0,,none_gap_closed,-0.523
323608,REVIEW,52,9,43,0.173,review_required,51.543
806463,REVIEW,29,7,22,0.241,review_required,29.4
36223,REVIEW,30,7,23,0.233,review_required,30.381
90160,REVIEW,28,7,21,0.25,review_required,28.375
14083,REVIEW,28,7,21,0.25,review_required,28.375
66788,REVIEW,28,7,21,0.25,review_required,28.375
67894,REVIEW,0,0,0,,none_gap_closed,-1.571
50674,REVIEW,0,0,0,,none_gap_closed,-0.571
309146,REVIEW,0,0,0,,none_gap_closed,-0.571
195518,REVIEW,90,18,72,0.2,review_required,90.364
90794,REVIEW,29,7,22,0.241,review_required,29.364
38393,REVIEW,30,7,23,0.233,review_required,30.364
196050,REVIEW,28,6,22,0.214,review_required,28.364
188025,REVIEW,29,6,23,0.207,review_required,29.364
102634,REVIEW,29,6,23,0.207,review_required,29.364
66928,REVIEW,29,7,22,0.241,review_required,29.353
94766,REVIEW,29,7,22,0.241,review_required,29.333
521179,REVIEW,28,7,21,0.25,review_required,28.333
94869,REVIEW,29,7,22,0.241,review_required,29.333
95024,REVIEW,28,7,21,0.25,review_required,28.333
94872,REVIEW,29,7,22,0.241,review_required,29.333
195101,REVIEW,0,0,0,,none_gap_closed,-1.619
199952,REVIEW,0,0,0,,none_gap_closed,-0.619
199405,REVIEW,0,0,0,,none_gap_closed,-0.619
195603,REVIEW,0,0,0,,none_gap_closed,-2.619
388815,REVIEW,0,0,0,,none_gap_closed,-2.619
17082,REVIEW,0,0,0,,none_gap_closed,-1.619
40520,REVIEW,0,0,0,,none_gap_closed,-2.619
90846,REVIEW,0,0,0,,none_gap_closed,-0.619
727,REVIEW,28,7,21,0.25,review_required,28.312
18258,REVIEW,27,7,20,0.259,review_required,27.308
39403,REVIEW,29,7,22,0.241,review_required,29.294
94055,REVIEW,28,7,21,0.25,review_required,28.286
87610,REVIEW,30,7,23,0.233,review_required,30.286
75419,REVIEW,0,0,0,,none_gap_closed,-0.673
93973,REVIEW,30,7,23,0.233,review_required,30.273
93971,REVIEW,28,7,21,0.25,review_required,28.273
93968,REVIEW,28,7,21,0.25,review_required,28.273
93997,REVIEW,26,7,19,0.269,review_required,26.273
196240,REVIEW,28,7,21,0.25,review_required,28.273
62977,REVIEW,30,6,24,0.2,review_required,30.273
54486,REVIEW,28,6,22,0.214,review_required,28.273
65607,REVIEW,0,0,0,,none_gap_closed,-1.688
41206,REVIEW,28,7,21,0.25,review_required,28.269
192994,REVIEW,28,7,21,0.25,review_required,28.267
96467,REVIEW,26,7,19,0.269,review_required,26.25
96499,REVIEW,26,7,19,0.269,review_required,26.25
96500,REVIEW,26,7,19,0.269,review_required,26.25
974412,REVIEW,27,7,20,0.259,review_required,27.25
194501,REVIEW,30,7,23,0.233,review_required,30.25
730,REVIEW,28,7,21,0.25,review_required,28.25
96475,REVIEW,27,7,20,0.259,review_required,27.25
96484,REVIEW,27,7,20,0.259,review_required,27.25
96486,REVIEW,29,7,22,0.241,review_required,29.25
30162,REVIEW,30,7,23,0.233,review_required,30.25
96154,REVIEW,27,7,20,0.259,review_required,27.25
54487,REVIEW,29,7,22,0.241,review_required,29.25
64539,REVIEW,0,0,0,,none_gap_closed,-3.714
96516,REVIEW,0,0,0,,none_gap_closed,-1.714
67698,REVIEW,0,0,0,,none_gap_closed,-1.714
195412,REVIEW,90,18,72,0.2,review_required,90.235
195443,REVIEW,28,7,21,0.25,review_required,28.231
90458,REVIEW,28,7,21,0.25,review_required,28.222
73871,REVIEW,0,0,0,,none_gap_closed,-0.746
252726,REVIEW,0,0,0,,none_gap_closed,-0.746
193143,REVIEW,14,4,10,0.286,review_required,13.714
94677,REVIEW,28,7,21,0.25,review_required,28.2
192929,REVIEW,30,7,23,0.233,review_required,30.2
67963,REVIEW,0,0,0,,none_gap_closed,-0.771
67692,REVIEW,30,7,23,0.233,review_required,30.182
93974,REVIEW,28,7,21,0.25,review_required,28.182
93981,REVIEW,29,7,22,0.241,review_required,29.182
93982,REVIEW,27,7,20,0.259,review_required,27.182
93972,REVIEW,30,7,23,0.233,review_required,30.182
196931,REVIEW,28,7,21,0.25,review_required,28.176
90463,REVIEW,0,0,0,,none_gap_closed,-0.809
49794,REVIEW,30,7,23,0.233,review_required,30.154
192991,REVIEW,30,7,23,0.233,review_required,30.143
94074,REVIEW,28,7,21,0.25,review_required,28.143
90447,REVIEW,30,7,23,0.233,review_required,30.143
188037,REVIEW,28,6,22,0.214,review_required,28.143
188943,REVIEW,28,6,22,0.214,review_required,28.143
49268,REVIEW,0,0,0,,none_gap_closed,-0.837
75415,REVIEW,0,0,0,,none_gap_closed,-0.837
193291,REVIEW,28,7,21,0.25,review_required,28.125
94688,REVIEW,27,7,20,0.259,review_required,27.125
94685,REVIEW,30,7,23,0.233,review_required,30.125
90169,REVIEW,27,7,20,0.259,review_required,27.125
193318,REVIEW,29,7,22,0.241,review_required,29.125
96257,REVIEW,0,0,0,,none_gap_closed,-5.857
94696,REVIEW,23,7,16,0.304,review_required,23.111
102282,REVIEW,28,7,21,0.25,review_required,28.111
194133,REVIEW,29,6,23,0.207,review_required,29.111
93967,REVIEW,27,7,20,0.259,review_required,27.091
93978,REVIEW,28,7,21,0.25,review_required,28.091
193079,REVIEW,30,6,24,0.2,review_required,30.091
195519,REVIEW,28,6,22,0.214,review_required,28.091
46574,REVIEW,29,6,23,0.207,review_required,29.091
43901,REVIEW,0,0,0,,none_gap_closed,-1.896
191380,REVIEW,28,6,22,0.214,review_required,28.071
196932,REVIEW,30,7,23,0.233,review_required,30.059
94274,REVIEW,2,0,2,0.0,review_required,2.0
199941,REVIEW,2,0,2,0.0,review_required,2.0
94493,REVIEW,0,0,0,,none_gap_closed,0.0
97860,REVIEW,2,0,2,0.0,review_required,2.0
97862,REVIEW,2,0,2,0.0,review_required,2.0
97863,REVIEW,2,0,2,0.0,review_required,2.0
97861,REVIEW,2,0,2,0.0,review_required,2.0
89561,REVIEW,2,0,2,0.0,review_required,2.0
89563,REVIEW,2,0,2,0.0,review_required,2.0
88781,REVIEW,2,0,2,0.0,review_required,2.0
91458,REVIEW,2,0,2,0.0,review_required,2.0
91462,REVIEW,2,0,2,0.0,review_required,2.0
97856,REVIEW,2,0,2,0.0,review_required,2.0
97857,REVIEW,2,0,2,0.0,review_required,2.0
97858,REVIEW,2,0,2,0.0,review_required,2.0
97859,REVIEW,2,0,2,0.0,review_required,2.0
167940,REVIEW,2,0,2,0.0,review_required,2.0
167941,REVIEW,2,0,2,0.0,review_required,2.0
167942,REVIEW,2,0,2,0.0,review_required,2.0
89770,REVIEW,2,0,2,0.0,review_required,2.0
167329,REVIEW,2,0,2,0.0,review_required,2.0
167335,REVIEW,2,0,2,0.0,review_required,2.0
96490,REVIEW,2,0,2,0.0,review_required,2.0
96492,REVIEW,2,0,2,0.0,review_required,2.0
96493,REVIEW,2,0,2,0.0,review_required,2.0
96494,REVIEW,2,0,2,0.0,review_required,2.0
96495,REVIEW,2,0,2,0.0,review_required,2.0
96496,REVIEW,2,0,2,0.0,review_required,2.0
96497,REVIEW,2,0,2,0.0,review_required,2.0
94170,REVIEW,2,0,2,0.0,review_required,2.0
94171,REVIEW,2,0,2,0.0,review_required,2.0
91074,REVIEW,2,0,2,0.0,review_required,2.0
96505,REVIEW,2,0,2,0.0,review_required,2.0
96506,REVIEW,2,0,2,0.0,review_required,2.0
91042,REVIEW,2,0,2,0.0,review_required,2.0
91060,REVIEW,2,0,2,0.0,review_required,2.0
91936,REVIEW,2,0,2,0.0,review_required,2.0
95832,REVIEW,2,0,2,0.0,review_required,2.0
91004,REVIEW,2,0,2,0.0,review_required,2.0
91009,REVIEW,2,0,2,0.0,review_required,2.0
193458,REVIEW,0,0,0,,none_gap_closed,0.0
167333,REVIEW,2,0,2,0.0,review_required,2.0
94173,REVIEW,2,0,2,0.0,review_required,2.0
88364,REVIEW,2,0,2,0.0,review_required,2.0
97161,REVIEW,2,0,2,0.0,review_required,2.0
187639,REVIEW,2,0,2,0.0,review_required,2.0
65469,REVIEW,2,0,2,0.0,review_required,2.0
94107,REVIEW,0,0,0,,none_gap_closed,0.0
62311,REVIEW,0,0,0,,none_gap_closed,0.0
199080,REVIEW,0,0,0,,none_gap_closed,0.0
88447,REVIEW,2,0,2,0.0,review_required,2.0
190016,REVIEW,1,0,1,0.0,review_required,1.0
88067,REVIEW,0,0,0,,none_gap_closed,0.0
985465,REVIEW,1,0,1,0.0,review_required,1.0
89161,REVIEW,0,0,0,,none_gap_closed,0.0
97554,REVIEW,2,0,2,0.0,review_required,2.0
97572,REVIEW,2,0,2,0.0,review_required,2.0
98136,REVIEW,2,0,2,0.0,review_required,2.0
98117,REVIEW,2,0,2,0.0,review_required,2.0
95875,REVIEW,2,0,2,0.0,review_required,2.0
98118,REVIEW,2,0,2,0.0,review_required,2.0
167101,REVIEW,2,0,2,0.0,review_required,2.0
167145,REVIEW,2,0,2,0.0,review_required,2.0
98138,REVIEW,2,0,2,0.0,review_required,2.0
167133,REVIEW,2,0,2,0.0,review_required,2.0
350699,REVIEW,1,0,1,0.0,review_required,1.0
451096,REVIEW,1,0,1,0.0,review_required,1.0
74442,REVIEW,1,0,1,0.0,review_required,1.0
60996,REVIEW,1,0,1,0.0,review_required,1.0
940194,REVIEW,1,0,1,0.0,review_required,1.0
91543,REVIEW,0,0,0,,none_gap_closed,0.0
97201,REVIEW,2,0,2,0.0,review_required,2.0
97947,REVIEW,2,0,2,0.0,review_required,2.0
97576,REVIEW,2,0,2,0.0,review_required,2.0
95114,REVIEW,2,0,2,0.0,review_required,2.0
167572,REVIEW,2,0,2,0.0,review_required,2.0
167548,REVIEW,2,0,2,0.0,review_required,2.0
58111,REVIEW,1,0,1,0.0,review_required,1.0
38463,REVIEW,1,0,1,0.0,review_required,1.0
97677,REVIEW,2,0,2,0.0,review_required,2.0
167947,REVIEW,2,0,2,0.0,review_required,2.0
167102,REVIEW,2,0,2,0.0,review_required,2.0
529263,REVIEW,0,0,0,,none_gap_closed,0.0
97434,REVIEW,2,0,2,0.0,review_required,2.0
97847,REVIEW,2,0,2,0.0,review_required,2.0
97849,REVIEW,2,0,2,0.0,review_required,2.0
167570,REVIEW,2,0,2,0.0,review_required,2.0
197610,REVIEW,0,0,0,,none_gap_closed,0.0
91081,REVIEW,1,0,1,0.0,review_required,1.0
52720,REVIEW,1,0,1,0.0,review_required,1.0
184,REVIEW,1,0,1,0.0,review_required,1.0
96065,REVIEW,2,0,2,0.0,review_required,2.0
96066,REVIEW,2,0,2,0.0,review_required,2.0
96067,REVIEW,2,0,2,0.0,review_required,2.0
67711,REVIEW,1,0,1,0.0,review_required,1.0
185346,REVIEW,0,0,0,,none_gap_closed,0.0
93817,REVIEW,0,0,0,,none_gap_closed,0.0
89157,REVIEW,1,0,1,0.0,review_required,1.0
92850,REVIEW,0,0,0,,none_gap_closed,0.0
19985,REVIEW,0,0,0,,none_gap_closed,0.0
88057,REVIEW,2,0,2,0.0,review_required,2.0
89158,REVIEW,1,0,1,0.0,review_required,1.0
190064,REVIEW,0,0,0,,none_gap_closed,-4.0
198145,REVIEW,0,0,0,,none_gap_closed,-4.0
92938,REVIEW,2,0,2,0.0,review_required,2.0
97577,REVIEW,0,0,0,,none_gap_closed,-1.0
478255,REVIEW,0,0,0,,none_gap_closed,-2.0
167330,REVIEW,2,0,2,0.0,review_required,2.0
167332,REVIEW,2,0,2,0.0,review_required,2.0
92939,REVIEW,2,0,2,0.0,review_required,2.0
92940,REVIEW,2,0,2,0.0,review_required,2.0
574210,REVIEW,1,0,1,0.0,review_required,1.0
97578,REVIEW,0,0,0,,none_gap_closed,-3.0
190068,REVIEW,0,0,0,,none_gap_closed,-8.0
190089,REVIEW,0,0,0,,none_gap_closed,-5.0
167331,REVIEW,2,0,2,0.0,review_required,2.0
94802,REVIEW,2,0,2,0.0,review_required,2.0
167326,REVIEW,2,0,2,0.0,review_required,2.0
167328,REVIEW,2,0,2,0.0,review_required,2.0
167325,REVIEW,2,0,2,0.0,review_required,2.0
167327,REVIEW,2,0,2,0.0,review_required,2.0
88097,REVIEW,0,0,0,,none_gap_closed,-2.0
87748,REVIEW,0,0,0,,none_gap_closed,-2.0
94803,REVIEW,2,0,2,0.0,review_required,2.0
190069,REVIEW,0,0,0,,none_gap_closed,-2.0
230685,REVIEW,0,0,0,,none_gap_closed,-5.0
96354,REVIEW,2,0,2,0.0,review_required,2.0
49493,REVIEW,0,0,0,,none_gap_closed,-2.0
97710,REVIEW,2,0,2,0.0,review_required,2.0
97711,REVIEW,2,0,2,0.0,review_required,2.0
97712,REVIEW,2,0,2,0.0,review_required,2.0
97713,REVIEW,2,0,2,0.0,review_required,2.0
55227,REVIEW,2,0,2,0.0,review_required,2.0
88280,REVIEW,0,0,0,,none_gap_closed,-3.0
41542,REVIEW,0,0,0,,none_gap_closed,-10.0
199079,REVIEW,0,0,0,,none_gap_closed,0.0
194422,REVIEW,0,0,0,,none_gap_closed,-14.0
88342,REVIEW,0,0,0,,none_gap_closed,-3.0
190088,REVIEW,0,0,0,,none_gap_closed,-3.0
95848,REVIEW,0,0,0,,none_gap_closed,-2.0
20571,REVIEW,0,0,0,,none_gap_closed,-6.0
87952,REVIEW,0,0,0,,none_gap_closed,-1.0
72537,REVIEW,0,0,0,,none_gap_closed,-3.0
188698,REVIEW,0,0,0,,none_gap_closed,-66.0
194013,REVIEW,0,0,0,,none_gap_closed,-1.0
67880,REVIEW,0,0,0,,none_gap_closed,-1.0
197220,REVIEW,0,0,0,,none_gap_closed,-7.0
197211,REVIEW,0,0,0,,none_gap_closed,-6.0
95864,REVIEW,0,0,0,,none_gap_closed,-1.0
92149,REVIEW,0,0,0,,none_gap_closed,-1.0
190061,REVIEW,0,0,0,,none_gap_closed,-4.0
190079,REVIEW,0,0,0,,none_gap_closed,-4.0
92177,REVIEW,0,0,0,,none_gap_closed,-2.0
190091,REVIEW,0,0,0,,none_gap_closed,-2.0
188707,REVIEW,0,0,0,,none_gap_closed,-47.0
92176,REVIEW,0,0,0,,none_gap_closed,-2.0
197214,REVIEW,0,0,0,,none_gap_closed,-3.0
701580,REVIEW,0,0,0,,none_gap_closed,-1.0
51564,REVIEW,2,0,2,0.0,review_required,2.0
94892,REVIEW,2,0,2,0.0,review_required,2.0
94524,REVIEW,2,0,2,0.0,review_required,2.0
92812,REVIEW,2,0,2,0.0,review_required,2.0
188700,REVIEW,0,0,0,,none_gap_closed,-96.0
94810,REVIEW,0,0,0,,none_gap_closed,-1.0
478362,REVIEW,0,0,0,,none_gap_closed,-3.0
190092,REVIEW,0,0,0,,none_gap_closed,-1.0
669326,REVIEW,2,0,2,0.0,review_required,2.0
668664,REVIEW,2,0,2,0.0,review_required,2.0
73699,REVIEW,0,0,0,,none_gap_closed,-2.0
94536,REVIEW,0,0,0,,none_gap_closed,-1.0
87758,REVIEW,0,0,0,,none_gap_closed,-9.0
87766,REVIEW,0,0,0,,none_gap_closed,-3.0
647883,REVIEW,0,0,0,,none_gap_closed,-5.0
31486,REVIEW,0,0,0,,none_gap_closed,-3.0
94895,REVIEW,0,0,0,,none_gap_closed,0.0
94809,REVIEW,0,0,0,,none_gap_closed,-1.0
94885,REVIEW,0,0,0,,none_gap_closed,-1.0
94891,REVIEW,0,0,0,,none_gap_closed,-1.0
94233,REVIEW,0,0,0,,none_gap_closed,-1.0
94808,REVIEW,0,0,0,,none_gap_closed,-1.0
57227,REVIEW,0,0,0,,none_gap_closed,-4.0
342513,REVIEW,0,0,0,,none_gap_closed,-3.0
88795,REVIEW,2,0,2,0.0,review_required,2.0
94890,REVIEW,0,0,0,,none_gap_closed,-2.0
94280,REVIEW,0,0,0,,none_gap_closed,-2.0
97053,REVIEW,0,0,0,,none_gap_closed,-1.0
14742,REVIEW,0,0,0,,none_gap_closed,-8.0
347302,REVIEW,2,0,2,0.0,review_required,2.0
21183,REVIEW,0,0,0,,none_gap_closed,-2.0
87767,REVIEW,0,0,0,,none_gap_closed,-4.0
190135,REVIEW,0,0,0,,none_gap_closed,-2.0
