sku_number,decision,optimal_order_units_to_reach_day_one_stock,recommended_order_units,remaining_gap_after_recommended_order_units,recommendation_coverage_ratio,recommendation_constraint_reason,stock_gap_units
193213,BUY,36,8,28,0.222,insufficient_demand_evidence,35.725
52116,BUY,24,7,17,0.292,insufficient_demand_evidence,23.636
57933,BUY,30,7,23,0.233,insufficient_demand_evidence,29.632
199053,BUY,61,12,49,0.197,insufficient_demand_evidence,60.625
70359,BUY,29,7,22,0.241,insufficient_demand_evidence,28.588
37411,BUY,31,6,25,0.194,insufficient_demand_evidence,30.556
193126,BUY,30,7,23,0.233,insufficient_demand_evidence,29.529
96608,BUY,37,8,29,0.216,insufficient_demand_evidence,37.25
52118,BUY,25,7,18,0.28,insufficient_demand_evidence,25.454
189517,BUY,28,7,21,0.25,insufficient_demand_evidence,28.4
62911,BUY,28,7,21,0.25,insufficient_demand_evidence,28.375
34109,BUY,29,6,23,0.207,insufficient_demand_evidence,29.375
189519,BUY,30,7,23,0.233,insufficient_demand_evidence,30.294
198704,BUY,29,7,22,0.241,insufficient_demand_evidence,29.263
30537,BUY,28,7,21,0.25,insufficient_demand_evidence,28.261
57928,BUY,30,7,23,0.233,insufficient_demand_evidence,30.261
195431,BUY,27,7,20,0.259,insufficient_demand_evidence,27.235
15769,BUY,31,7,24,0.226,insufficient_demand_evidence,31.235
57612,BUY,31,7,24,0.226,insufficient_demand_evidence,31.158
94071,BUY,38,9,29,0.237,insufficient_demand_evidence,38.107
67700,BUY,40,9,31,0.225,insufficient_demand_evidence,40.089
645745,BUY,27,7,20,0.259,insufficient_demand_evidence,27.125
93985,BUY,31,7,24,0.226,insufficient_demand_evidence,31.091
192940,BUY,29,7,22,0.241,insufficient_demand_evidence,29.091
46754,BUY,29,7,22,0.241,insufficient_demand_evidence,29.087
1229,BUY,31,7,24,0.226,insufficient_demand_evidence,31.087
799718,BUY,61,13,48,0.213,insufficient_demand_evidence,61.0
67696,BUY,29,7,22,0.241,insufficient_demand_evidence,29.0
90838,BUY,30,7,23,0.233,insufficient_demand_evidence,30.0
310832,BUY,30,7,23,0.233,insufficient_demand_evidence,30.0
32866,BUY,29,7,22,0.241,insufficient_demand_evidence,29.0
679208,BUY,31,7,24,0.226,insufficient_demand_evidence,31.0
19966,BUY,29,7,22,0.241,insufficient_demand_evidence,29.0
90149,BUY,29,7,22,0.241,insufficient_demand_evidence,29.0
974463,BUY,31,6,25,0.194,insufficient_demand_evidence,31.0
194050,BUY,29,6,23,0.207,insufficient_demand_evidence,29.0
94063,BUY,14,4,10,0.286,insufficient_demand_evidence,13.5
69352,BUY,5,2,3,0.4,insufficient_demand_evidence,5.286
67693,BUY,5,2,3,0.4,insufficient_demand_evidence,5.286
93993,BUY,46,10,36,0.217,insufficient_demand_evidence,45.909
731188,BUY,29,7,22,0.241,insufficient_demand_evidence,28.905
195433,BUY,30,7,23,0.233,insufficient_demand_evidence,29.882
195435,BUY,29,7,22,0.241,insufficient_demand_evidence,28.882
29850,BUY,26,7,19,0.269,insufficient_demand_evidence,25.833
39394,BUY,29,7,22,0.241,insufficient_demand_evidence,28.826
15841,BUY,4,2,2,0.5,insufficient_demand_evidence,4.353
94005,BUY,28,7,21,0.25,insufficient_demand_evidence,27.818
67697,BUY,30,7,23,0.233,insufficient_demand_evidence,29.812
198735,BUY,31,7,24,0.226,insufficient_demand_evidence,30.8
199751,BUY,31,7,24,0.226,insufficient_demand_evidence,30.786
71548,BUY,31,6,25,0.194,insufficient_demand_evidence,30.786
198714,BUY,30,7,23,0.233,insufficient_demand_evidence,29.778
95495,BUY,30,7,23,0.233,insufficient_demand_evidence,29.75
95494,BUY,30,7,23,0.233,insufficient_demand_evidence,29.75
68268,BUY,30,7,23,0.233,insufficient_demand_evidence,29.714
87603,BUY,31,7,24,0.226,insufficient_demand_evidence,30.714
34113,BUY,31,7,24,0.226,insufficient_demand_evidence,30.688
193696,BUY,39,9,30,0.231,insufficient_demand_evidence,38.631
90439,BUY,30,7,23,0.233,insufficient_demand_evidence,29.667
1227,BUY,30,7,23,0.233,insufficient_demand_evidence,29.652
30540,BUY,30,7,23,0.233,insufficient_demand_evidence,29.652
483621,BUY,3,2,1,0.667,insufficient_demand_evidence,3.447
195436,BUY,29,7,22,0.241,insufficient_demand_evidence,28.647
195432,BUY,30,7,23,0.233,insufficient_demand_evidence,29.647
974331,BUY,30,7,23,0.233,insufficient_demand_evidence,29.636
73217,BUY,30,7,23,0.233,insufficient_demand_evidence,29.636
15009,BUY,31,7,24,0.226,insufficient_demand_evidence,30.625
974390,BUY,30,6,24,0.2,insufficient_demand_evidence,29.625
190137,BUY,30,7,23,0.233,insufficient_demand_evidence,29.6
192359,BUY,29,7,22,0.241,insufficient_demand_evidence,28.6
521195,BUY,30,7,23,0.233,insufficient_demand_evidence,29.591
195439,BUY,28,7,21,0.25,insufficient_demand_evidence,27.588
67686,BUY,30,7,23,0.233,insufficient_demand_evidence,29.579
68266,BUY,29,7,22,0.241,insufficient_demand_evidence,28.571
94066,BUY,30,7,23,0.233,insufficient_demand_evidence,29.571
198728,BUY,27,7,20,0.259,insufficient_demand_evidence,26.571
67689,BUY,31,7,24,0.226,insufficient_demand_evidence,30.562
67699,BUY,31,7,24,0.226,insufficient_demand_evidence,30.562
341556,BUY,30,7,23,0.233,insufficient_demand_evidence,29.562
192931,BUY,29,7,22,0.241,insufficient_demand_evidence,28.55
191180,BUY,29,7,22,0.241,insufficient_demand_evidence,28.546
93987,BUY,31,7,24,0.226,insufficient_demand_evidence,30.546
195994,BUY,31,7,24,0.226,insufficient_demand_evidence,30.546
62854,BUY,31,7,24,0.226,insufficient_demand_evidence,30.538
199055,BUY,29,7,22,0.241,insufficient_demand_evidence,28.538
57316,BUY,28,7,21,0.25,insufficient_demand_evidence,27.536
196930,BUY,29,7,22,0.241,insufficient_demand_evidence,28.529
94684,BUY,28,7,21,0.25,insufficient_demand_evidence,27.5
192935,BUY,30,7,23,0.233,insufficient_demand_evidence,30.5
96517,BUY,28,7,21,0.25,insufficient_demand_evidence,28.5
96615,BUY,26,7,19,0.269,insufficient_demand_evidence,26.5
96614,BUY,30,7,23,0.233,insufficient_demand_evidence,29.5
96502,BUY,28,7,21,0.25,insufficient_demand_evidence,27.5
94874,BUY,30,7,23,0.233,insufficient_demand_evidence,29.5
96153,BUY,30,7,23,0.233,insufficient_demand_evidence,29.5
521120,BUY,30,7,23,0.233,insufficient_demand_evidence,30.5
54481,BUY,28,6,22,0.214,insufficient_demand_evidence,28.5
194020,BUY,28,6,22,0.214,insufficient_demand_evidence,28.5
193457,BUY,2,2,0,1.0,none_gap_closed,2.25
193286,BUY,2,2,0,1.0,none_gap_closed,2.214
194821,BUY,2,2,0,1.0,none_gap_closed,2.2
192046,REVIEW,68,0,68,0.0,review_required,68.036
192083,REVIEW,182,0,182,0.0,review_required,182.0
188710,REVIEW,140,0,140,0.0,review_required,139.571
188721,REVIEW,143,0,143,0.0,review_required,142.571
188715,REVIEW,140,0,140,0.0,review_required,139.571
189553,REVIEW,21,0,21,0.0,review_required,20.685
16859,REVIEW,114,0,114,0.0,review_required,113.619
87550,REVIEW,100,0,100,0.0,review_required,100.143
698571,REVIEW,76,0,76,0.0,review_required,76.299
948829,REVIEW,72,0,72,0.0,review_required,71.666
92848,REVIEW,85,2,83,0.024,review_required,84.571
92849,REVIEW,82,0,82,0.0,review_required,81.857
27193,REVIEW,76,0,76,0.0,review_required,76.237
87418,REVIEW,78,0,78,0.0,review_required,78.429
195445,REVIEW,65,0,65,0.0,review_required,65.429
199846,REVIEW,71,0,71,0.0,review_required,71.0
184707,REVIEW,64,0,64,0.0,review_required,63.571
445650,REVIEW,56,0,56,0.0,review_required,55.763
15789,REVIEW,64,0,64,0.0,review_required,64.016
580,REVIEW,63,0,63,0.0,review_required,62.555
199243,REVIEW,57,0,57,0.0,review_required,57.143
15792,REVIEW,61,0,61,0.0,review_required,60.866
63079,REVIEW,60,0,60,0.0,review_required,59.546
193203,REVIEW,60,0,60,0.0,review_required,60.168
49686,REVIEW,52,0,52,0.0,review_required,52.429
195091,REVIEW,57,0,57,0.0,review_required,56.714
94903,REVIEW,57,0,57,0.0,review_required,56.714
188716,REVIEW,55,0,55,0.0,review_required,54.714
612448,REVIEW,54,0,54,0.0,review_required,53.905
37987,REVIEW,54,0,54,0.0,review_required,54.0
655035,REVIEW,53,0,53,0.0,review_required,53.095
655084,REVIEW,49,0,49,0.0,review_required,49.095
93339,REVIEW,51,0,51,0.0,review_required,51.286
18512,REVIEW,38,0,38,0.0,review_required,38.477
32861,REVIEW,42,0,42,0.0,review_required,42.477
188719,REVIEW,45,0,45,0.0,review_required,44.857
187118,REVIEW,46,0,46,0.0,review_required,45.857
187116,REVIEW,46,0,46,0.0,review_required,45.857
94904,REVIEW,42,0,42,0.0,review_required,41.857
390763,REVIEW,40,0,40,0.0,review_required,39.6
90933,REVIEW,41,7,34,0.171,review_required,41.429
92853,REVIEW,39,0,39,0.0,review_required,39.429
195446,REVIEW,39,0,39,0.0,review_required,39.429
193205,REVIEW,37,0,37,0.0,review_required,37.442
186369,REVIEW,39,0,39,0.0,review_required,38.619
93336,REVIEW,36,0,36,0.0,review_required,35.714
93951,REVIEW,24,0,24,0.0,review_required,23.714
194048,REVIEW,34,0,34,0.0,review_required,33.714
193212,REVIEW,37,0,37,0.0,review_required,36.974
88081,REVIEW,34,0,34,0.0,review_required,33.809
28287,REVIEW,34,0,34,0.0,review_required,34.319
947520,REVIEW,30,0,30,0.0,review_required,30.0
90330,REVIEW,34,0,34,0.0,review_required,34.0
94511,REVIEW,35,0,35,0.0,review_required,35.0
63823,REVIEW,32,0,32,0.0,review_required,32.0
463027,REVIEW,27,0,27,0.0,review_required,27.449
655050,REVIEW,33,0,33,0.0,review_required,33.191
31874,REVIEW,22,0,22,0.0,review_required,22.191
591904,REVIEW,33,0,33,0.0,review_required,33.191
475114,REVIEW,24,0,24,0.0,review_required,24.062
798169,REVIEW,30,0,30,0.0,review_required,29.964
491852,REVIEW,33,0,33,0.0,review_required,32.964
490563,REVIEW,23,0,23,0.0,review_required,22.898
75453,REVIEW,31,0,31,0.0,review_required,31.381
188766,REVIEW,23,0,23,0.0,review_required,23.381
184706,REVIEW,31,0,31,0.0,review_required,31.381
62768,REVIEW,30,0,30,0.0,review_required,29.571
188714,REVIEW,28,0,28,0.0,review_required,27.571
90374,REVIEW,30,0,30,0.0,review_required,29.571
94234,REVIEW,25,0,25,0.0,review_required,24.571
483036,REVIEW,26,0,26,0.0,review_required,25.968
195078,REVIEW,22,0,22,0.0,review_required,21.893
193713,REVIEW,27,0,27,0.0,review_required,27.486
458074,REVIEW,28,0,28,0.0,review_required,28.486
2839,REVIEW,28,0,28,0.0,review_required,28.214
1485,REVIEW,22,0,22,0.0,review_required,21.763
321943,REVIEW,26,0,26,0.0,review_required,25.763
11822,REVIEW,22,0,22,0.0,review_required,21.857
193196,REVIEW,27,0,27,0.0,review_required,26.857
93914,REVIEW,16,0,16,0.0,review_required,15.857
92857,REVIEW,23,0,23,0.0,review_required,22.857
390771,REVIEW,22,0,22,0.0,review_required,22.314
71227,REVIEW,20,0,20,0.0,review_required,19.952
698520,REVIEW,23,0,23,0.0,review_required,22.952
195050,REVIEW,24,0,24,0.0,review_required,23.952
93976,REVIEW,25,0,25,0.0,review_required,24.623
390941,REVIEW,24,0,24,0.0,review_required,24.306
41313,REVIEW,21,0,21,0.0,review_required,21.229
195444,REVIEW,23,0,23,0.0,review_required,22.782
188031,REVIEW,24,0,24,0.0,review_required,24.143
63415,REVIEW,21,0,21,0.0,review_required,21.143
49685,REVIEW,12,0,12,0.0,review_required,12.143
11895,REVIEW,21,0,21,0.0,review_required,21.143
60949,REVIEW,19,0,19,0.0,review_required,19.143
93919,REVIEW,22,0,22,0.0,review_required,22.143
93916,REVIEW,22,0,22,0.0,review_required,22.143
396133,REVIEW,21,0,21,0.0,review_required,20.591
11831,REVIEW,14,0,14,0.0,review_required,14.334
688223,REVIEW,21,0,21,0.0,review_required,21.334
15733,REVIEW,22,0,22,0.0,review_required,21.907
33269,REVIEW,13,0,13,0.0,review_required,12.816
94457,REVIEW,21,0,21,0.0,review_required,20.816
688355,REVIEW,15,0,15,0.0,review_required,15.429
636886,REVIEW,17,0,17,0.0,review_required,17.429
346268,REVIEW,19,0,19,0.0,review_required,18.886
94132,REVIEW,23,2,21,0.087,review_required,22.904
186358,REVIEW,16,0,16,0.0,review_required,15.523
65557,REVIEW,16,0,16,0.0,review_required,15.523
61548,REVIEW,21,0,21,0.0,review_required,20.523
22904,REVIEW,21,0,21,0.0,review_required,20.523
458104,REVIEW,21,0,21,0.0,review_required,20.523
56278,REVIEW,16,0,16,0.0,review_required,16.41
33264,REVIEW,17,0,17,0.0,review_required,17.265
304956,REVIEW,17,0,17,0.0,review_required,16.92
193714,REVIEW,20,0,20,0.0,review_required,19.8
191663,REVIEW,20,0,20,0.0,review_required,19.701
984248,REVIEW,19,0,19,0.0,review_required,19.166
24552,REVIEW,19,0,19,0.0,review_required,18.714
194021,REVIEW,19,0,19,0.0,review_required,18.714
187119,REVIEW,19,0,19,0.0,review_required,18.714
96595,REVIEW,15,0,15,0.0,review_required,14.714
195560,REVIEW,14,0,14,0.0,review_required,13.714
96598,REVIEW,11,0,11,0.0,review_required,10.714
360759,REVIEW,17,0,17,0.0,review_required,16.714
188708,REVIEW,18,0,18,0.0,review_required,17.714
199244,REVIEW,11,0,11,0.0,review_required,10.714
90915,REVIEW,17,0,17,0.0,review_required,16.714
96599,REVIEW,13,0,13,0.0,review_required,12.714
16316,REVIEW,19,0,19,0.0,review_required,18.714
188717,REVIEW,18,0,18,0.0,review_required,17.714
51645,REVIEW,16,3,13,0.188,review_required,15.589
10974,REVIEW,12,0,12,0.0,review_required,11.938
63822,REVIEW,16,0,16,0.0,review_required,15.938
15653,REVIEW,14,0,14,0.0,review_required,14.437
15186,REVIEW,17,0,17,0.0,review_required,17.357
92214,REVIEW,29,4,25,0.138,review_required,29.428
33266,REVIEW,14,0,14,0.0,review_required,14.163
67324,REVIEW,14,0,14,0.0,review_required,13.905
984256,REVIEW,16,0,16,0.0,review_required,15.905
653586,REVIEW,17,0,17,0.0,review_required,16.905
190842,REVIEW,16,0,16,0.0,review_required,15.905
198461,REVIEW,14,0,14,0.0,review_required,13.905
33267,REVIEW,11,0,11,0.0,review_required,10.775
10432,REVIEW,17,0,17,0.0,review_required,16.543
93920,REVIEW,15,0,15,0.0,review_required,15.0
90140,REVIEW,16,0,16,0.0,review_required,16.0
36119,REVIEW,16,0,16,0.0,review_required,15.882
33265,REVIEW,16,0,16,0.0,review_required,15.613
56157,REVIEW,16,0,16,0.0,review_required,15.613
735078,REVIEW,12,0,12,0.0,review_required,12.457
195049,REVIEW,18,2,16,0.111,review_required,17.619
88080,REVIEW,14,0,14,0.0,review_required,14.095
188861,REVIEW,12,0,12,0.0,review_required,12.095
184704,REVIEW,14,0,14,0.0,review_required,14.095
948845,REVIEW,8,0,8,0.0,review_required,8.095
521286,REVIEW,15,0,15,0.0,review_required,15.013
958840,REVIEW,5,0,5,0.0,review_required,4.837
94057,REVIEW,14,0,14,0.0,review_required,13.837
94458,REVIEW,14,0,14,0.0,review_required,13.837
200980,REVIEW,13,0,13,0.0,review_required,13.062
11035,REVIEW,13,0,13,0.0,review_required,13.062
15844,REVIEW,13,0,13,0.0,review_required,12.924
54862,REVIEW,11,0,11,0.0,review_required,10.888
60840,REVIEW,12,0,12,0.0,review_required,11.625
55245,REVIEW,51,10,41,0.196,review_required,51.143
97989,REVIEW,13,0,13,0.0,review_required,13.286
188848,REVIEW,13,0,13,0.0,review_required,13.286
192049,REVIEW,13,0,13,0.0,review_required,13.286
95868,REVIEW,11,3,8,0.273,review_required,11.286
194018,REVIEW,13,0,13,0.0,review_required,13.286
65913,REVIEW,12,0,12,0.0,review_required,12.286
34855,REVIEW,13,0,13,0.0,review_required,13.286
277772,REVIEW,13,0,13,0.0,review_required,13.286
