sku_number,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,formula_before,projected_stock_on_hand_at_promo_start_before_order_units,before_mismatch
195435,3,0,1.0,2.0,2.0,0.0
29850,6,0,1.0,5.0,5.0,0.0
39394,3,0,1.0,2.0,2.0,0.0
15841,0,0,0.118,0.0,0.0,0.0
94005,4,0,1.0,3.0,3.0,0.0
67697,2,0,1.0,1.0,1.0,0.0
198735,1,0,1.0,0.0,0.0,0.0
199751,1,0,1.0,0.0,0.0,0.0
71548,1,0,1.0,0.0,0.0,0.0
198714,2,0,1.0,1.0,1.0,0.0
95495,2,0,1.0,1.0,1.0,0.0
95494,2,0,1.0,1.0,1.0,0.0
68268,2,0,1.0,1.0,1.0,0.0
87603,1,0,1.0,0.0,0.0,0.0
34113,1,0,1.0,0.0,0.0,0.0
193696,3,0,1.321,1.679,1.679,0.0
90439,2,0,1.0,1.0,1.0,0.0
1227,2,0,1.0,1.0,1.0,0.0
30540,2,0,1.0,1.0,1.0,0.0
483621,0,0,0.093,0.0,0.0,0.0
195436,3,0,1.0,2.0,2.0,0.0
195432,2,0,1.0,1.0,1.0,0.0
974331,2,0,1.0,1.0,1.0,0.0
73217,2,0,1.0,1.0,1.0,0.0
15009,1,0,1.0,0.0,0.0,0.0
974390,2,0,1.0,1.0,1.0,0.0
190137,2,0,1.0,1.0,1.0,0.0
192359,3,0,1.0,2.0,2.0,0.0
521195,2,0,1.0,1.0,1.0,0.0
195439,4,0,1.0,3.0,3.0,0.0
67686,2,0,1.0,1.0,1.0,0.0
68266,3,0,1.0,2.0,2.0,0.0
94066,2,0,1.0,1.0,1.0,0.0
198728,5,0,1.0,4.0,4.0,0.0
67689,1,0,1.0,0.0,0.0,0.0
67699,1,0,1.0,0.0,0.0,0.0
341556,2,0,1.0,1.0,1.0,0.0
192931,3,0,1.0,2.0,2.0,0.0
191180,3,0,1.0,2.0,2.0,0.0
93987,1,0,1.0,0.0,0.0,0.0
195994,1,0,1.0,0.0,0.0,0.0
62854,1,0,1.0,0.0,0.0,0.0
199055,3,0,1.0,2.0,2.0,0.0
57316,4,0,1.0,3.0,3.0,0.0
196930,3,0,1.0,2.0,2.0,0.0
94684,4,0,1.0,3.0,3.0,0.0
192935,1,0,1.0,0.0,0.0,0.0
96517,3,0,1.0,2.0,2.0,0.0
96615,5,0,1.0,4.0,4.0,0.0
96614,2,0,1.0,1.0,1.0,0.0
96502,4,0,1.0,3.0,3.0,0.0
94874,2,0,1.0,1.0,1.0,0.0
96153,2,0,1.0,1.0,1.0,0.0
521120,1,0,1.0,0.0,0.0,0.0
54481,3,0,1.0,2.0,2.0,0.0
194020,3,0,1.0,2.0,2.0,0.0
193457,0,0,0.036,0.0,0.0,0.0
193286,0,0,0.031,0.0,0.0,0.0
194821,0,0,0.029,0.0,0.0,0.0
192046,7,0,0.036,6.964,6.964,0.0
192083,8,0,5.0,3.0,3.0,0.0
188710,7,0,3.857,3.143,3.143,0.0
188721,4,0,3.857,0.143,0.143,0.0
188715,7,0,3.857,3.143,3.143,0.0
189553,8,0,0.018,7.982,7.982,0.0
16859,4,0,3.095,0.905,0.905,0.0
87550,3,0,2.714,0.286,0.286,0.0
698571,15,0,2.403,12.597,12.597,0.0
948829,17,0,2.333,14.667,14.667,0.0
92848,0,0,2.286,0.0,0.0,0.0
92849,5,0,2.286,2.714,2.714,0.0
27193,7,0,2.19,4.81,4.81,0.0
87418,3,0,2.143,0.857,0.857,0.0
195445,16,0,2.143,13.857,13.857,0.0
