sku_number,decision,recommended_order_units,reason_order,human_review_required,production_ordering_approved
93968,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
93997,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
196240,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
62977,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
54486,REVIEW,6,Potential order quantity shown for review; not approved automatically,YES,NO
41206,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
192994,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
96467,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
96499,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
96500,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
974412,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
194501,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
730,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
96475,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
96484,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
96486,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
30162,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
96154,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
54487,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
195412,REVIEW,18,Potential order quantity shown for review; not approved automatically,YES,NO
195443,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
90458,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
193143,REVIEW,4,Potential order quantity shown for review; not approved automatically,YES,NO
94677,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
192929,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
67692,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
93974,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
93981,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
93982,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
93972,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
196931,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
49794,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
192991,REVIEW,7,Potential order quantity shown for review; not approved automatically,YES,NO
