source_id,source_type,target_id,target_type,edge_type,weight
SKU:187986,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:187986,SKU,PROMOTION:772|187986|2025-12-11|2025-12-24|772-187986-20251211|Allocation Report - WK24&25 XMAS PT4 MAJOR VITAMINS,PROMOTION,IN_PROMOTION,1.0
SKU:91966,SKU,DEPARTMENT:COLOUR COSMETICS,DEPARTMENT,MEMBER_OF,1.0
SKU:91966,SKU,CATEGORY:CATRICE,CATEGORY,MEMBER_OF,1.0
SKU:91966,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:91966,SKU,PROMOTION:772|91966|2025-12-02|2025-12-10|772-91966-20251202|Allocation Report - WK23 CHRISTMAS PART 3,PROMOTION,IN_PROMOTION,1.0
SKU:195978,SKU,DEPARTMENT:HAIRCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:195978,SKU,CATEGORY:SHAMPOO CONDITIONE,CATEGORY,MEMBER_OF,1.0
SKU:195978,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:195978,SKU,PROMOTION:772|195978|2026-02-08|2026-02-14|772-195978-20260208|Allocation Report - SE07 VALENTINES DAY FRAGRANCE,PROMOTION,IN_PROMOTION,1.0
SKU:74389,SKU,DEPARTMENT:HAIRCARE,DEPARTMENT,MEMBER_OF,1.0
SKU:74389,SKU,CATEGORY:COLOURANTS,CATEGORY,MEMBER_OF,1.0
SKU:74389,SKU,SUPPLIER_REGIME:UNKNOWN,SUPPLIER_REGIME,SUPPLIED_BY,1.0
SKU:74389,SKU,PROMOTION:772|74389|2026-04-09|2026-04-22|772-74389-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,PROMOTION,IN_PROMOTION,1.0
SKU:93338,SKU,DEPARTMENT:SKINCARE,DEPARTMENT,MEMBER_OF,1.0
