promotion_row_key,sku_number,sku_description,promo_type,legacy_expected_demand,expected_promo_demand,final_order_units,legacy_order_units,stock_basis_units,demand_reference_units,realized_sales_units,target_quality_label,target_repair_basis,target_weight,buy_change,raw_stock_gap_units,pack_size,action_reason_short,over_stock_basis
772|186415|2026-02-19|2026-03-04|772-186415-20260219|Allocation Report - WK34&35 AUTUMN PART 1,186415,Rim Thrill Sker Masc Blk Brwn,normal catalogue,1.5982911983687147,3.3714369385539666,6,3,3.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,4,3.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190080|2026-03-26|2026-04-08|772-190080-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,190080,Pl Nail File Shaper 2Pk,normal catalogue,1.9787933459597156,4.496988787881202,6,0,5.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190120|2026-02-19|2026-03-04|772-190120-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190120,E/Pure Buffing Foot File,normal catalogue,0.033981980615967744,5.778480988631524,6,0,5.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|189774|2026-03-19|2026-03-25|772-189774-20260319|Allocation Report - SE08 MAKE UP CATEGORY SALES EVENT,189774,Colg T/B Gentle Cmfrt 2Pk Soft,sales event,2.1083249606218675,2.3451666249481944,6,6,6.0,8.4,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,1,6.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|185330|2026-02-19|2026-03-04|772-185330-20260219|Allocation Report - WK34&35 AUTUMN PART 1,185330,Sundae Pom Fizz Foam 265Ml,normal catalogue,0.05889389988255775,3.0625140376013475,6,0,3.0,21.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|10179|2026-03-05|2026-03-18|772-10179-20260305|Allocation Report - OP21 FEMALE FOUNDERS,10179,Nat/Way Gummies Adult Hsn 60S,online promotion,1.7588188748214317,2.961039760492743,6,3,3.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,4,3.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190121|2026-02-19|2026-03-04|772-190121-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190121,E/Pure Buffing Body Mitt,normal catalogue,1.9806036756668948,4.530774341732102,6,0,4.0,14.0,4.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|105822|2026-03-05|2026-03-18|772-105822-20260305|Allocation Report - OP21 FEMALE FOUNDERS,105822,Cenovis Mega C 1000 Vp 60 Tab,online promotion,2.9292367265755055,3.7467617602799006,6,6,1.0,4.666666666666666,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,5,3.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|188970|2026-03-26|2026-04-08|772-188970-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,188970,Sukin Act Hydrating Serum 25Ml,normal catalogue,0.03038354938581221,3.951081014060819,6,0,5.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|10953|2026-03-05|2026-03-18|772-10953-20260305|Allocation Report - OP21 FEMALE FOUNDERS,10953,B/Bees Cd Tint Balm Hibiscus,online promotion,0.07229662920215382,1.9288533772168979,6,0,3.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|11035|2026-03-05|2026-03-18|772-11035-20260305|Allocation Report - OP21 FEMALE FOUNDERS,11035,B/Bees Cd Tint Balm Rose,online promotion,2.4236725600834257,3.678311327417058,6,0,4.0,28.0,3.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|188973|2026-02-19|2026-03-04|772-188973-20260219|Allocation Report - WK34&35 AUTUMN PART 1,188973,Sukin Act O/N Reset Oil 25Ml,normal catalogue,0.07229662920215382,3.28212971516859,6,0,3.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|98188|2026-03-24|2026-04-22|772-98188-20260324|Allocation Report - New Line 26 WK38,98188,H/Ess Petal Soft Rose Sp 400Ml,newlines,0.013913954866543211,1.1555233484947838,6,6,6.0,12.0,0.0,INSUFFICIENT_EVIDENCE,,0.0,unchanged,3,6.0,STOCK_GAP_ORDER,0
772|190061|2026-03-26|2026-04-08|772-190061-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,190061,Pl Cosmetic Blending Sponge,normal catalogue,2.0119012863501187,5.687061297331382,6,0,4.0,14.0,3.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,4,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190063|2026-03-26|2026-04-08|772-190063-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,190063,Pl Cosmetic Sponge Wedges 16Pk,normal catalogue,0.01771177709651205,4.524281774470432,6,0,5.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|186719|2026-04-09|2026-04-22|772-186719-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,186719,Barrym Body Glitter 9 Midnight,normal catalogue,1.113667439678939,2.8681372583719438,6,6,2.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|186738|2026-04-09|2026-04-22|772-186738-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,186738,Barrym Fresh Set Spray Fxtion,normal catalogue,0.0,3.3933116516329656,6,0,3.0,14.0,4.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_SATURATED_SELLTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|190066|2026-02-19|2026-03-04|772-190066-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190066,Pl Cosmetic Blend Sponge Flat,normal catalogue,0.07433260090223444,4.14451921256456,6,0,4.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190063|2026-02-19|2026-03-04|772-190063-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190063,Pl Cosmetic Sponge Wedges 16Pk,normal catalogue,1.8872950643416058,4.409688253424151,6,0,5.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|186740|2026-04-09|2026-04-22|772-186740-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,186740,Barrym Fresh Set Spray Matte,normal catalogue,1.113667439678939,2.932088368103477,6,6,2.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190067|2026-02-19|2026-03-04|772-190067-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190067,Pl Dual-Ended Brow Brush,normal catalogue,0.008058060430400752,4.153995027454159,6,0,5.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190061|2026-02-19|2026-03-04|772-190061-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190061,Pl Cosmetic Blending Sponge,normal catalogue,1.9697082814460842,4.193049916614705,6,0,4.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|11607|2026-03-05|2026-03-18|772-11607-20260305|Allocation Report - OP21 FEMALE FOUNDERS,11607,Aveeno D/Moist Lotion 1L,online promotion,2.9314397589579952,4.146788331282639,6,0,5.0,28.0,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190068|2026-02-19|2026-03-04|772-190068-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190068,Pl Dual-Ended Eyeshadow Brush,normal catalogue,1.796065249767908,3.937122483170033,6,0,4.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|186753|2026-04-09|2026-04-22|772-186753-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,186753,Barrym Gelly Np 65 Grape Soda,normal catalogue,1.0048671549984107,3.7576116368128996,6,0,4.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190073|2026-03-26|2026-04-08|772-190073-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,190073,Pl Contour & Highlight Brush,normal catalogue,1.5340706714840844,4.980833622686875,6,6,3.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,4,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|98189|2026-03-24|2026-04-22|772-98189-20260324|Allocation Report - New Line 26 WK38,98189,H/Ess Petal Soft Rose Cd 400Ml,newlines,0.013913954866543211,1.1555233484947838,6,6,6.0,12.0,0.0,INSUFFICIENT_EVIDENCE,,0.0,unchanged,3,6.0,STOCK_GAP_ORDER,0
772|186769|2026-04-09|2026-04-22|772-186769-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,186769,Barrym Kohl Pen Kp2 Brown,normal catalogue,1.7659802083360137,3.864443623529449,6,0,4.0,21.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|189774|2026-02-19|2026-03-04|772-189774-20260219|Allocation Report - WK34&35 AUTUMN PART 1,189774,Colg T/B Gentle Cmfrt 2Pk Soft,normal catalogue,2.6392443451469245,4.404393174627283,6,6,3.0,21.0,4.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|186774|2026-04-09|2026-04-22|772-186774-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,186774,Barrym Lip Rehab Grapefrt Mask,normal catalogue,1.6605865907820974,4.217027814929067,6,0,4.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|189731|2026-02-19|2026-03-04|772-189731-20260219|Allocation Report - WK34&35 AUTUMN PART 1,189731,Colg Ribbon Mint 100M,normal catalogue,2.8461495377568666,4.315260557104225,6,0,6.0,14.0,7.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,0
772|190071|2026-02-19|2026-03-04|772-190071-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190071,Pl Powder Brush,normal catalogue,0.009415393978570226,4.137287788722468,6,0,5.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190073|2026-02-19|2026-03-04|772-190073-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190073,Pl Contour & Highlight Brush,normal catalogue,1.7836228346499465,3.57901401847518,6,6,3.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|186783|2026-04-09|2026-04-22|772-186783-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,186783,Barrym Clear Nail Paint 54,normal catalogue,1.2514037807923992,2.9690297413253326,6,6,2.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190076|2026-02-19|2026-03-04|772-190076-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190076,Pl Eyelash Curler,normal catalogue,0.07365396275032329,3.7677734294772343,6,0,4.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190068|2026-03-26|2026-04-08|772-190068-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,190068,Pl Dual-Ended Eyeshadow Brush,normal catalogue,1.7606614089131487,3.895291524903588,6,0,4.0,14.0,1.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190066|2026-03-26|2026-04-08|772-190066-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,190066,Pl Cosmetic Blend Sponge Flat,normal catalogue,0.0,4.112227766906486,6,0,4.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190064|2026-03-26|2026-04-08|772-190064-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,190064,Pl Cosmetic Sponge Wedges 36Pk,normal catalogue,0.0,2.7206125637390692,6,0,2.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|190060|2026-02-19|2026-03-04|772-190060-20260219|Allocation Report - WK34&35 AUTUMN PART 1,190060,Pl Foam Eyeshadow Applic 10Pk,normal catalogue,0.014295699388016997,3.255572582033887,6,0,4.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,1,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|10434|2026-02-19|2026-03-04|772-10434-20260219|Allocation Report - WK34&35 AUTUMN PART 1,10434,Lor Magic Ret Brown,normal catalogue,0.04820981400435726,5.8712734193283636,6,0,6.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,2,6.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|11822|2026-03-05|2026-03-18|772-11822-20260305|Allocation Report - OP21 FEMALE FOUNDERS,11822,Lanolips Tint Balm Nude 12.5G,online promotion,2.597977550219073,5.359740181993769,6,6,4.0,14.0,8.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_POST14_FOLLOWTHROUGH|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|STOCKOUT_RISK|REPAIRED_TARGET_CONTEXT,1
772|184838|2026-03-05|2026-03-18|772-184838-20260305|Allocation Report - OP21 FEMALE FOUNDERS,184838,Hey Bud Exfoliator 100G,online promotion,0.789190286169497,4.3244843160064494,6,3,0.0,21.0,0.0,INSUFFICIENT_EVIDENCE,,0.0,unchanged,6,1.0,STOCK_GAP_ORDER|STOCKOUT_RISK,0
772|11838|2026-03-26|2026-04-08|772-11838-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,11838,Avene Cicalfate Rest Skin Crm,normal catalogue,3.2563742403928115,15.045474254527209,6,0,15.0,30.0006,3.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,6,3.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|188402|2026-03-05|2026-03-18|772-188402-20260305|Allocation Report - OP21 FEMALE FOUNDERS,188402,Natio For Men Travel Set,online promotion,0.07229662920215382,0.9782079607322692,6,6,6.0,14.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,2,6.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|12042|2026-03-26|2026-04-08|772-12042-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,12042,Colg Tb Opt/Wh Plat Sft 2 Pk,normal catalogue,0.008058060430400752,0.12375130667461129,6,6,0.0,0.0644,0.0,INSUFFICIENT_EVIDENCE,,0.0,unchanged,2,6.0,STOCK_GAP_ORDER|OVER_2X_DEMAND_REF|STOCKOUT_RISK,0
772|12677|2026-03-26|2026-04-08|772-12677-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,12677,R/Tech Mrclcomp Spng 2Pk,normal catalogue,1.7056812557374155,5.751658737684599,6,6,6.0,14.0,4.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,unchanged,5,6.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|13296|2026-03-26|2026-04-08|772-13296-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,13296,Kiss Sal Acr Nd Nails Brthtkng,normal catalogue,0.0,8.013699338018519,6,0,6.0,70.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,4,6.0,STOCK_GAP_ORDER|REPAIRED_TARGET_CONTEXT,0
772|13872|2026-03-26|2026-04-08|772-13872-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,13872,Nude Highlight Palette,normal catalogue,1.4768635698782009,7.907324387144336,6,0,4.0,56.0,0.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,6,3.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
772|14739|2026-03-26|2026-04-08|772-14739-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,14739,Palmol Lhw Cherry Blossm 250Ml,normal catalogue,3.144011212383569,5.893630457516216,6,0,5.0,14.0,2.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,shadow_added_buy,3,6.0,STOCK_GAP_ORDER|OVER_STOCK_BASIS|REPAIRED_TARGET_CONTEXT,1
