promotion_row_key,sku_number,sku_description,store_action,expected_promo_demand,uncapped_order_units,order_units,stock_basis_units,demand_reference_units,action_cap_applied_flag,action_cap_basis,action_cap_units_removed,action_cap_review_flag,realized_exceeds_action_cap_flag,manager_action_summary
772|15827|2026-03-26|2026-04-08|772-15827-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,15827,Npmu Lg Butter Vanilla Crmpie,HOLD,0.2588674954707906,0,0,3.0,0.0322,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 0.3
772|15834|2026-03-26|2026-04-08|772-15834-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,15834,Npmu Ep Jumbo Milk,HOLD,6.22323847043709,0,0,9.0,16.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 6.2
772|15839|2026-03-26|2026-04-08|772-15839-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,15839,Npmu Lg Butter Madeleine,HOLD,3.0870278611239814,0,0,3.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 3.1
772|15840|2026-03-26|2026-04-08|772-15840-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,15840,Npmu Ep Jumbo Cota Cheese,HOLD,5.127378700326844,0,0,6.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 5.1
772|15841|2026-03-26|2026-04-08|772-15841-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,15841,Npmu Lg Butter Angel Food Cke,BUY,9.067474874400636,9,3,3.0,42.0,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,6,1,0,BUY 3 units (demand 9.1) [CAP APPLIED]
772|15842|2026-03-26|2026-04-08|772-15842-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,15842,Npmu Ep Jumbo French Fries,BUY,2.973289578197042,3,3,3.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 3 units (demand 3.0)
772|15844|2026-03-26|2026-04-08|772-15844-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,15844,Npmu Lg Butter Praline,HOLD,4.386476945217611,0,0,7.0,15.75,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 4.4
772|15845|2026-03-26|2026-04-08|772-15845-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,15845,Npmu Ep Jumbo Yoghurt,HOLD,2.9813043736471734,0,0,3.0,14.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 3.0
772|15847|2026-03-26|2026-04-08|772-15847-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,15847,Npmu Lg Butter Ginger Snap,HOLD,4.985635400276454,0,0,7.0,28.0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 5.0
772|16014|2026-03-26|2026-04-08|772-16014-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,16014,Eth/Nut Mega Magnesium 240T,BUY,3.4559297257561683,3,2,2.0,14.0,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,BUY 2 units (demand 3.5) [CAP APPLIED]
772|16963|2026-03-26|2026-04-08|772-16963-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,16963,J/Choo Illicit Flower Edt 40Ml,BUY,0.5460745203874651,2,1,1.0,14.0,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,BUY 1 units (demand 0.5) [CAP APPLIED]
772|17266|2026-03-26|2026-04-08|772-17266-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,17266,Ostelin Kids Vit D & Calc 90T,BUY,3.3882963548856417,3,2,2.0,14.0,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,BUY 2 units (demand 3.4) [CAP APPLIED]
