promotion_row_key,store_action_legacy,order_units_legacy,store_action_shadow,order_units_shadow,manager_reason_short,manager_action_summary,change
772|186753|2026-04-09|2026-04-22|772-186753-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,4,,BUY 4 units (demand 3.8) [CAP APPLIED],shadow_added_buy
772|186769|2026-04-09|2026-04-22|772-186769-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,4,,BUY 4 units (demand 3.9) [CAP APPLIED],shadow_added_buy
772|186774|2026-04-09|2026-04-22|772-186774-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,4,,BUY 4 units (demand 4.2) [CAP APPLIED],shadow_added_buy
772|187067|2026-04-09|2026-04-22|772-187067-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,DO_NOT_BUY,0,BUY,1,,BUY 1 units (demand 1.0),shadow_added_buy
772|187208|2026-04-09|2026-04-22|772-187208-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 1.4),shadow_added_buy
772|187768|2026-04-09|2026-04-22|772-187768-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 1.3),shadow_added_buy
772|187769|2026-04-09|2026-04-22|772-187769-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 1.1),shadow_added_buy
772|187772|2026-04-09|2026-04-22|772-187772-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 1.2),shadow_added_buy
772|188363|2026-04-09|2026-04-22|772-188363-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,4,,BUY 4 units (demand 3.9),shadow_added_buy
772|188368|2026-04-09|2026-04-22|772-188368-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,3,,BUY 3 units (demand 3.2) [CAP APPLIED],shadow_added_buy
772|188374|2026-04-09|2026-04-22|772-188374-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,DO_NOT_BUY,0,BUY,2,,BUY 2 units (demand 1.3) [CAP APPLIED],shadow_added_buy
772|188716|2026-04-09|2026-04-22|772-188716-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,3,,BUY 3 units (demand 4.3),shadow_added_buy
772|188736|2026-04-09|2026-04-22|772-188736-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 4.8),shadow_added_buy
772|188737|2026-04-09|2026-04-22|772-188737-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 3.9),shadow_added_buy
772|188744|2026-04-09|2026-04-22|772-188744-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 1.0),shadow_added_buy
772|188799|2026-04-09|2026-04-22|772-188799-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 1.1),shadow_added_buy
772|188802|2026-04-09|2026-04-22|772-188802-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,DO_NOT_BUY,0,BUY,1,,BUY 1 units (demand 1.1),shadow_added_buy
772|188805|2026-04-09|2026-04-22|772-188805-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 3.1),shadow_added_buy
772|188811|2026-04-09|2026-04-22|772-188811-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,3,,BUY 3 units (demand 3.9),shadow_added_buy
772|188831|2026-04-09|2026-04-22|772-188831-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,3,,BUY 3 units (demand 3.1) [CAP APPLIED],shadow_added_buy
772|188851|2026-04-09|2026-04-22|772-188851-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 3.2),shadow_added_buy
772|188954|2026-04-09|2026-04-22|772-188954-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 3.1),shadow_added_buy
772|189009|2026-04-09|2026-04-22|772-189009-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,DO_NOT_BUY,0,BUY,3,,BUY 3 units (demand 2.7),shadow_added_buy
772|189221|2026-04-09|2026-04-22|772-189221-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,6,,BUY 6 units (demand 4.8),shadow_added_buy
772|189359|2026-04-09|2026-04-22|772-189359-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,4,,BUY 4 units (demand 3.9),shadow_added_buy
772|189385|2026-04-09|2026-04-22|772-189385-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,1,,BUY 1 units (demand 1.3),shadow_added_buy
772|189572|2026-04-09|2026-04-22|772-189572-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,2,,BUY 2 units (demand 1.0) [CAP APPLIED],shadow_added_buy
772|189573|2026-04-09|2026-04-22|772-189573-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,HOLD,0,BUY,3,,BUY 3 units (demand 3.4),shadow_added_buy
772|101099|2026-03-26|2026-04-08|772-101099-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,3,,BUY 3 units (demand 2.6),shadow_added_buy
772|102031|2026-03-26|2026-04-08|772-102031-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,3,,BUY 3 units (demand 3.4),shadow_added_buy
772|102088|2026-03-26|2026-04-08|772-102088-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,DO_NOT_BUY,0,BUY,2,,BUY 2 units (demand 1.7) [CAP APPLIED],shadow_added_buy
772|103652|2026-03-26|2026-04-08|772-103652-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,6,,BUY 6 units (demand 12.2),shadow_added_buy
772|105861|2026-03-26|2026-04-08|772-105861-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,2,,BUY 2 units (demand 1.0),shadow_added_buy
772|10748|2026-03-26|2026-04-08|772-10748-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,2,,BUY 2 units (demand 1.0) [CAP APPLIED],shadow_added_buy
772|10750|2026-03-26|2026-04-08|772-10750-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,3,,BUY 3 units (demand 3.6),shadow_added_buy
772|108524|2026-03-26|2026-04-08|772-108524-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,3,,BUY 3 units (demand 4.5),shadow_added_buy
772|115892|2026-03-26|2026-04-08|772-115892-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,HOLD,0,BUY,1,,BUY 1 units (demand 1.0),shadow_added_buy
772|116646|2026-03-26|2026-04-08|772-116646-20260326|Allocation Report - WK39&40 AUTUMN PART 3 MAJOR VITAMIN,DO_NOT_BUY,0,BUY,2,,BUY 2 units (demand 1.1),shadow_added_buy
