report_mode,variant,promotion_row_key,sku_number,sku_description,department,category,store_action,expected_promo_demand,order_units,stock_basis_units,demand_reference_units,target_quality_label,target_repair_basis,target_weight,uncapped_order_units,action_cap_applied_flag,action_cap_basis,action_cap_units_removed,action_cap_review_flag,realized_exceeds_action_cap_flag,manager_action_summary,manager_reason_short
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186766|2026-03-05|2026-03-18|772-186766-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186766,Barrym El Hi Vis Bw 4 Strobe,COLOUR COSMETICS,BARRY M,HOLD,1.8043162745030177,0,7.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 1.8,
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186767|2026-03-05|2026-03-18|772-186767-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186767,Barrym El Hi Vis Bw 5 Danger,COLOUR COSMETICS,BARRY M,HOLD,0.058034022460857655,0,2.0,0.0322,CLEAN_REALIZED_DEMAND,CLEAN_REALIZED,1.0,0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 0.1,
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186769|2026-03-05|2026-03-18|772-186769-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186769,Barrym Kohl Pen Kp2 Brown,COLOUR COSMETICS,BARRY M,BUY,4.327105529586737,4,4.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,6,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,2,1,0,BUY 4 units (demand 4.3) [CAP APPLIED],
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186770|2026-03-05|2026-03-18|772-186770-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186770,Barrym Ll 38 Pencil Peony,COLOUR COSMETICS,BARRY M,HOLD,1.3171884449801639,0,2.0,0.0322,CLEAN_REALIZED_DEMAND,CLEAN_REALIZED,1.0,6,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,6,1,1,HOLD — stock covers demand 1.3 [CAP APPLIED],
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186771|2026-03-05|2026-03-18|772-186771-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186771,Barrym Ll 39 Pencil Sugar,COLOUR COSMETICS,BARRY M,BUY,0.1171903648745289,6,1.0,0.0,CLEAN_REALIZED_DEMAND,CLEAN_REALIZED,1.0,6,0,,0,0,0,BUY 6 units (demand 0.1),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186774|2026-03-05|2026-03-18|772-186774-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186774,Barrym Lip Rehab Grapefrt Mask,COLOUR COSMETICS,BARRY M,HOLD,1.6362443981829538,0,3.0,0.0322,CLEAN_REALIZED_DEMAND,CLEAN_REALIZED,1.0,6,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,6,1,1,HOLD — stock covers demand 1.6 [CAP APPLIED],
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186778|2026-03-05|2026-03-18|772-186778-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186778,Barrym Lip Scrb 13 Grapefrt,COLOUR COSMETICS,BARRY M,HOLD,1.6291830081199217,0,6.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 1.6,
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186780|2026-03-05|2026-03-18|772-186780-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186780,Barrym Np Matte Top Coat,COLOUR COSMETICS,BARRY M,BUY,4.192809732349456,5,5.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,6,1,MIN_STOCK_BASIS_DEMAND_REFERENCE,1,1,0,BUY 5 units (demand 4.2) [CAP APPLIED],
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186782|2026-03-05|2026-03-18|772-186782-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186782,Barrym Np 372 Fortune Teller,COLOUR COSMETICS,BARRY M,HOLD,1.3502673390009212,0,6.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 1.4,
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186783|2026-03-05|2026-03-18|772-186783-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186783,Barrym Clear Nail Paint 54,COLOUR COSMETICS,BARRY M,HOLD,0.11620987413885876,0,2.0,0.0322,CLEAN_REALIZED_DEMAND,CLEAN_REALIZED,1.0,0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 0.1,
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|186786|2026-03-05|2026-03-18|772-186786-20260305|Allocation Report - OP21 FEMALE FOUNDERS,186786,Barrym Plumpy Top Coat,COLOUR COSMETICS,BARRY M,HOLD,1.3502673390009212,0,6.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,0,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,HOLD — stock covers demand 1.4,
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|187064|2026-03-05|2026-03-18|772-187064-20260305|Allocation Report - OP21 FEMALE FOUNDERS,187064,St Tropez Tan Tonic Drops 30Ml,TANNING,TANNING SKIN,BUY,0.3742730282027218,1,1.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,1,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 1 units (demand 0.4),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|187066|2026-03-05|2026-03-18|772-187066-20260305|Allocation Report - OP21 FEMALE FOUNDERS,187066,St Tropez W/Mln Grad Ltn 200Ml,TANNING,TANNING SKIN,BUY,0.37343431820508327,1,1.0,14.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,1,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 1 units (demand 0.4),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|187067|2026-03-05|2026-03-18|772-187067-20260305|Allocation Report - OP21 FEMALE FOUNDERS,187067,St Tropez Ig B/Brnz M/D 100Ml,TANNING,TANNING SKIN,BUY,0.8436205163546512,1,2.0,28.0,STOCK_CONSTRAINED_REPAIRED,REPAIR_UNDERALLOCATION|CEILING_MIN_DEMAND_STOCK,0.2,1,0,MIN_STOCK_BASIS_DEMAND_REFERENCE,0,0,0,BUY 1 units (demand 0.8),
SHADOW_NOT_PRODUCTION,shadow_4b11_capped,772|187071|2026-03-05|2026-03-18|772-187071-20260305|Allocation Report - OP21 FEMALE FOUNDERS,187071,St Tropez Grad Tint Ltn 200Ml,TANNING,TANNING SKIN,BUY,1.501953043759185,4,0.0,14.0,INSUFFICIENT_EVIDENCE,,0.0,4,0,,0,0,0,BUY 4 units (demand 1.5),
