sku_number,sku_description,promo_units_expected_to_sell,stock_needed_to_finish_with_target_cover,target_day_one_soh_units,promo_demand_share_of_target_day_one,target_end_stock_share_of_target_day_one,full_target_order_units,recommended_order_units,remaining_day_one_shortfall_units,classification
93977,May Poreless Jelly Primer Int,2.182,9.351,11.533,0.189,0.811,9,0,9,base_stock_gap
626503,Jerg Nat Glow Firm Mt 221Ml,2.167,9.286,11.453,0.189,0.811,9,0,9,base_stock_gap
30633,Bondi Aero Exdark Mousse 200G,2.167,9.286,11.453,0.189,0.811,4,0,4,base_stock_gap
626449,Jerg Nat Glow Firm Fm 221Ml,2.167,9.286,11.453,0.189,0.811,9,0,9,base_stock_gap
20868,Ogx Coconut Mir Pent Oil 100Ml,2.167,9.286,11.453,0.189,0.811,10,0,10,base_stock_gap
195081,Avene Tolerance Ctl Fluid 40Ml,2.143,9.184,11.327,0.189,0.811,8,0,8,base_stock_gap
34860,Epzen Mag Bth Slts 900G Soothe,2.143,9.184,11.327,0.189,0.811,9,0,9,base_stock_gap
57931,May Lifter Gloss 003 Moon,2.13,9.13,11.26,0.189,0.811,9,0,9,base_stock_gap
188995,Garn Vit C Foam Wash 100Ml,2.125,9.107,11.232,0.189,0.811,9,0,9,base_stock_gap
7682,Bioderma A/Derm Intens Bm 200,2.125,9.107,11.232,0.189,0.811,8,0,8,base_stock_gap
195423,Npmu Fat Oil Slick No Filter,2.118,9.075,11.193,0.189,0.811,6,0,6,base_stock_gap
45302,Garn Micellar Sens Water 400Ml,2.111,9.048,11.159,0.189,0.811,8,0,8,base_stock_gap
190116,E/Pure Nail Brush & P/Stone,2.111,9.048,11.159,0.189,0.811,6,0,6,base_stock_gap
195172,Palmer'S S/Butter B/Oil 250Ml,2.111,9.048,11.159,0.189,0.811,10,0,10,base_stock_gap
52115,Rexona W Apd Adv Shwr/F 220Ml,2.091,105.0,107.091,0.02,0.98,106,22,84,base_stock_gap
521310,May Fit Me Concealer Medium,2.087,30.0,32.087,0.065,0.935,30,7,23,base_stock_gap
36233,May Ss Matte Ink Seductress,2.087,8.944,11.031,0.189,0.811,9,0,9,base_stock_gap
189238,May Ss Vinyl Ink Coy,2.087,8.944,11.031,0.189,0.811,8,0,8,base_stock_gap
49295,Tena Liner Ultra Long 22,2.083,8.928,11.011,0.189,0.811,5,0,5,base_stock_gap
745049,Sukin Foam Facial Clnse 125Ml,2.077,8.901,10.978,0.189,0.811,9,0,9,base_stock_gap
189516,Npmu Fat Oil Supermodel,2.059,8.823,10.882,0.189,0.811,6,0,6,base_stock_gap
193206,May Great Lash Wtp V Blk,2.046,8.766,10.812,0.189,0.811,10,0,10,base_stock_gap
63031,May Ssmi Spiced Ed Exhilarator,2.0,30.0,32.0,0.062,0.938,31,7,24,base_stock_gap
194045,Csc Spot Treament 10Ml,2.0,30.0,32.0,0.062,0.938,30,6,24,base_stock_gap
194049,Csc Moisture+ Eye Gel 15Ml,2.0,30.0,32.0,0.062,0.938,30,6,24,base_stock_gap
94668,Jojoba Ultimate Serum 50Ml,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
93551,Avene Dermab Night Crm 40Ml,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
94283,Bioderma Aderm Creme Ultra 500,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
89020,Ahc Colla Juve D+N Balm 50Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
94247,Jojoba Boost Skin Barrier Sup,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
96636,Npmu Jelly Job Jelly Kiss'D,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
92259,Epzen Sensitive Bw 400Ml,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
197584,Sundae Bday Ck Foam 265Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
67330,B/Lab Vit C Bright Serum 30Ml,2.0,8.571,10.571,0.189,0.811,4,0,4,base_stock_gap
24358,Jojoba Ult Youth Potion 50Ml,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
189515,Npmu Fat Oil Newsfeed,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
96634,Npmu Jelly Job Honey It Jelly,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
50927,Npmu On The Rise Liftscara,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
195979,G/Mane Hair Growth Serum 30Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
187203,G/Mane Scalp Scrub 150Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
195440,Npmu Buttermelt All Buttad Up,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
192343,Neut Ult Gen Daily Moist 100Ml,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
94218,Skin Control G/S Coll Mask,2.0,8.571,10.571,0.189,0.811,0,0,0,covered_or_low
98014,Rim Mt Blsh Brsh Stk Nrly Sde,2.0,8.571,10.571,0.189,0.811,6,0,6,base_stock_gap
89018,Ahc P/S Colla Juv Serum 40Ml,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
52120,Rexona M Apd Adv Sport 220Ml,2.0,8.571,10.571,0.189,0.811,2,0,2,covered_or_low
98013,Rim Mt Blsh Brsh Stk Cherry,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
615951,Bio Oil 60Ml,2.0,8.571,10.571,0.189,0.811,6,0,6,base_stock_gap
64816,Jp Gaultier Le Male Edt 75Ml,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
15238,Sun Bum Spray Spf30 177Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
345016,Nivea D/E Rich Night Cream 50,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
24167,Nivea D/E Sens Micellwtr 400Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
94213,Neut H/Boost Micell Wtr 400Ml,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
71222,Palmers C/Butter Hand Crm 96G,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
87752,Innisfree Grn Tea Eye Srm 10Ml,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
62934,Lanolips 101 Watermelon 10G,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
68377,Q+A Vitamin C Serum 30Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
38424,Moogoo Eczema Psor Crm 120G,2.0,8.571,10.571,0.189,0.811,5,0,5,base_stock_gap
626376,Jerg Nat Glow Moist Mt 221Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
68376,Q+A Hyaluronic Face Mist 100Ml,2.0,8.571,10.571,0.189,0.811,5,0,5,base_stock_gap
228192,Ego Qv Bar Twin Pack 2X100G,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
91460,Hf H24 Peptide Blnd Cd 300Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
92855,Og Lymphatc Bst Body Oil 100Ml,2.0,8.571,10.571,0.189,0.811,4,0,4,base_stock_gap
194041,Csc Lighten Cream 50G,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
24554,Jojoba Bead Facial Clnsr 125Ml,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
90768,Hey Bud Pimple Patch Variety,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
4661,Ogx Hy Rp Mor Ex Str Sp 385Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
94273,Tbh Pocket Patches Pop Prncss,2.0,8.571,10.571,0.189,0.811,5,0,5,base_stock_gap
73683,White Glo Tp Profess 115G,2.0,8.571,10.571,0.189,0.811,4,0,4,base_stock_gap
90765,Hey Bud Pigmentation Treatment,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
90154,Npmu Lip Iv Drippin' In Rose,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
97991,Rim Lst Fnsh Ll Rose Mauve,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
27980,Urbane Mess Hair Sty/Fibre 85G,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
92919,Uj Cleansing Balm 75Ml,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
192258,Moogoo Foaming Face Cleanser,2.0,8.571,10.571,0.189,0.811,6,0,6,base_stock_gap
958824,Ogx Mini Coconut Milk Cd 88.7M,2.0,8.571,10.571,0.189,0.811,6,0,6,base_stock_gap
199842,Tbh Rebound Tp T/Ment 10G,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
27194,Lrp Anth D/T Tint Spf50 50Ml,2.0,8.571,10.571,0.189,0.811,0,0,0,covered_or_low
199845,Boost Lab Ngt Recov Cream 50Ml,2.0,8.571,10.571,0.189,0.811,6,0,6,base_stock_gap
94507,Bl Collagen Plmp Eye Crm 15Ml,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
199865,Boost Lab Dislv Collagen Boost,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
189272,Frank Clearing Face Wash 140Ml,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
90850,Frank Body Clearing Body Scrub,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
65916,Batiste Eden Dry Shampoo 350Ml,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
189278,Frank Nourish Body Wash 360Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
92467,U By Kotex Zero Sup Wing 10 Pk,2.0,8.571,10.571,0.189,0.811,3,0,3,base_stock_gap
10433,Lor Magic Ret Brown 3,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
54777,Moogoo Sunscreen Tint Spf40,2.0,8.571,10.571,0.189,0.811,6,0,6,base_stock_gap
191670,Rexona M R/O Adv Sport 50Ml,2.0,8.571,10.571,0.189,0.811,5,0,5,base_stock_gap
94641,You G/Hour Body Wsh 350Ml,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
10434,Lor Magic Ret Brown,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
797588,C/Counc Kids Spf50+ 110Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
188810,Avene Hyalyron Nt Crm 40Ml,2.0,8.571,10.571,0.189,0.811,5,0,5,base_stock_gap
199060,Npmu Epic Ink El Mlk Chocolate,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
88082,Bwy Hydrating Cleanser 150Ml,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
40167,Npmu Suede Matte Ll Shade 55N,2.0,8.571,10.571,0.189,0.811,11,2,9,base_stock_gap
71228,Lrp Tol Derm Eye Cream 20Ml,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
70356,Npmu Bwm Sr N Calm Conc Fair,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
87763,Innisfree Vitamin C Mask 25Ml,2.0,8.571,10.571,0.189,0.811,6,0,6,base_stock_gap
195354,Q+A Retinol 0.2% Serum 30Ml,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
97996,Rim Lst Fnsh Ll Cap Lght,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
90935,Cetaphil Gen Ex Sa Cleanse 236,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
371246,Nivea D/Cont Res Roll On 50Ml,2.0,8.571,10.571,0.189,0.811,8,0,8,base_stock_gap
60343,Lrp L/Kar Body Milk 400Ml,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
96510,May Sculp Stix 015 Smoth Espre,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
11896,Lrp Serozinc 150Ml,2.0,8.571,10.571,0.189,0.811,6,0,6,base_stock_gap
96640,Npmu Wndr Pwd Sugar Serve,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
481130,Loreal R/Lift Laser Night,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
616311,Ego Qv Cream Tube 100G,2.0,8.571,10.571,0.189,0.811,9,0,9,base_stock_gap
96641,Npmu Wndr Pwd Cheeky Cherry,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
186518,Bondi Face Spf50+ Fluid 50Ml,2.0,8.571,10.571,0.189,0.811,7,0,7,base_stock_gap
97994,Rim Lst Fnsh Ll Chai Latte,2.0,8.571,10.571,0.189,0.811,6,0,6,base_stock_gap
87470,Thayers Aha Toner 355Ml,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
43395,Nivea Q10 Pwr Eye Cream 15Ml,2.0,8.571,10.571,0.189,0.811,10,0,10,base_stock_gap
250753,May Masc Define-A-Lash V/Blk .,1.954,8.376,10.33,0.189,0.811,7,0,7,base_stock_gap
192921,May Colossal Masc Classic Blk,1.954,8.376,10.33,0.189,0.811,8,0,8,base_stock_gap
189250,May Inst Perfect Glow Light,1.954,8.376,10.33,0.189,0.811,9,0,9,base_stock_gap
198697,May Lasting Drama El Mdnt Blck,1.947,8.346,10.293,0.189,0.811,8,0,8,base_stock_gap
63081,Npmu Ew Gel Liner Chocolate,1.941,8.319,10.26,0.189,0.811,8,0,8,base_stock_gap
185498,Npmu Mcro Brw Pncl Cl Ash Brwn,1.941,8.319,10.26,0.189,0.811,4,0,4,base_stock_gap
67656,Rim Lst Fin L/L Rose Addict,1.938,8.304,10.242,0.189,0.811,6,0,6,base_stock_gap
341140,Rim P/Powder Transparent,1.938,8.304,10.242,0.189,0.811,8,0,8,base_stock_gap
199059,Npmu Brow Glue Dk Brown,1.929,8.265,10.194,0.189,0.811,6,0,6,base_stock_gap
192941,May Vinyl Ink Nude Peppy,1.909,8.182,10.091,0.189,0.811,5,0,5,base_stock_gap
65589,No7 R&R Serum 30Ml,1.9,8.143,10.043,0.189,0.811,5,0,5,base_stock_gap
198937,Illi Sil Nipple Covrs Light 1P,1.9,8.143,10.043,0.189,0.811,3,0,3,base_stock_gap
198938,Illi Sat Nipple Covrs Light 5P,1.9,8.143,10.043,0.189,0.811,5,0,5,base_stock_gap
72014,No7 Pure Ret Eye Cream 15Ml,1.9,8.143,10.043,0.189,0.811,7,0,7,base_stock_gap
197891,May Super Lock Brow Glue,1.9,8.143,10.043,0.189,0.811,2,0,2,covered_or_low
265969,Palmers Body C/B Grd Tan 400Ml,1.889,8.095,9.984,0.189,0.811,8,0,8,base_stock_gap
70977,No7 L&L Night Cream 50Ml,1.889,8.095,9.984,0.189,0.811,4,0,4,base_stock_gap
192198,Bioderma Sensibio Oil Clns 150,1.889,8.095,9.984,0.189,0.811,5,0,5,base_stock_gap
195079,Garn Vit C Micell Water 125Ml,1.889,8.095,9.984,0.189,0.811,8,0,8,base_stock_gap
70357,Npmu Bwm Sr N Calm Conc Light,1.882,8.067,9.949,0.189,0.811,6,0,6,base_stock_gap
90146,Npmu Duck Plump Ll Nude Flip,1.875,8.036,9.911,0.189,0.811,8,0,8,base_stock_gap
356859,Rexona M Apd Clin Sport 45Ml,1.875,8.036,9.911,0.189,0.811,7,0,7,base_stock_gap
36996,Can/C Bb Crm Spf50+ Light 50Ml,1.867,8.0,9.867,0.189,0.811,8,0,8,base_stock_gap
38391,May Fit Me Loose Pwd Light,1.864,7.987,9.851,0.189,0.811,5,0,5,base_stock_gap
958816,Ogx Mini Coconut Milk Sp 88.7M,1.857,7.959,9.816,0.189,0.811,6,0,6,base_stock_gap
55681,Batiste Bare Dry Spoo 200Ml,1.857,7.959,9.816,0.189,0.811,6,0,6,base_stock_gap
33268,Tom Org Mini Tampons 16 Pk,1.857,7.959,9.816,0.189,0.811,6,0,6,base_stock_gap
22514,Rexona M Apd Clin Cln/Sct 45Ml,1.857,7.959,9.816,0.189,0.811,8,0,8,base_stock_gap
192032,Avene E/Care Clns Foam 150Ml,1.833,7.857,9.69,0.189,0.811,2,0,2,covered_or_low
37850,Jerg Oil Coconut Moist 496Ml,1.833,7.857,9.69,0.189,0.811,8,0,8,base_stock_gap
22900,U By Kotex Sport Tampons Reg16,1.833,7.857,9.69,0.189,0.811,0,0,0,covered_or_low
63111,Npmu Pore Filler Prim 01,1.824,7.815,9.639,0.189,0.811,7,0,7,base_stock_gap
94002,May Colossal Bubble Wtp Nu,1.818,7.792,9.61,0.189,0.811,7,0,7,base_stock_gap
199052,Npmu Wondr Stck Dual Light,1.813,7.768,9.581,0.189,0.811,4,0,4,base_stock_gap
199057,Npmu Brow Glue Taupe,1.8,7.714,9.514,0.189,0.811,9,0,9,base_stock_gap
90543,No7 Future Renew Repair Spf,1.8,7.714,9.514,0.189,0.811,2,0,2,covered_or_low
437883,Benzac Daily Foam Clnsr 130Ml,1.8,7.714,9.514,0.189,0.811,7,0,7,base_stock_gap
67048,C/Counc Fluid Matt Spf50+ 50Ml,1.8,7.714,9.514,0.189,0.811,8,0,8,base_stock_gap
90152,Npmu Lip Iv Mocha Me Wet,1.8,7.714,9.514,0.189,0.811,6,0,6,base_stock_gap
31831,Loreal R/Lift Lsr Spf Crm 50Ml,1.8,7.714,9.514,0.189,0.811,6,0,6,base_stock_gap
887455,Aveeno D/Moist Lotion 225Ml,1.778,7.619,9.397,0.189,0.811,7,0,7,base_stock_gap
75006,Bioderma H2O Eye Remover 125Ml,1.778,7.619,9.397,0.189,0.811,3,0,3,base_stock_gap
190114,E/Pure Massaging Body Brush,1.778,7.619,9.397,0.189,0.811,3,0,3,base_stock_gap
11607,Aveeno D/Moist Lotion 1L,1.778,7.619,9.397,0.189,0.811,8,0,8,base_stock_gap
43540,Aveeno S/Rel Moist Repair 311G,1.778,7.619,9.397,0.189,0.811,7,0,7,base_stock_gap
380675,Sukin Hydrat Mist Toner 125Ml,1.769,7.582,9.351,0.189,0.811,7,0,7,base_stock_gap
189521,Npmu Butter Lg Brownie Drip,1.765,7.563,9.328,0.189,0.811,9,0,9,base_stock_gap
15182,Sun Bum Lotion Spf30 177Ml,1.75,7.5,9.25,0.189,0.811,6,0,6,base_stock_gap
195353,Q+A Niacinamide Serum 30Ml,1.75,7.5,9.25,0.189,0.811,8,0,8,base_stock_gap
92334,No7 Mnp Firm & Bright Eye 15Ml,1.75,7.5,9.25,0.189,0.811,0,0,0,covered_or_low
192065,Q+A Aha Exfoliator Body Scrub,1.75,7.5,9.25,0.189,0.811,8,0,8,base_stock_gap
186490,Avene Xeracalm Clns Oil 400Ml,1.75,7.5,9.25,0.189,0.811,4,0,4,base_stock_gap
65489,Q+A Niacinamide Toner 100Ml,1.75,7.5,9.25,0.189,0.811,4,0,4,base_stock_gap
282995,Tena Extra Long Liner 24Pk,1.75,7.5,9.25,0.189,0.811,6,0,6,base_stock_gap
41315,Rexona M Clin R/O Sport 50Ml,1.75,7.5,9.25,0.189,0.811,6,0,6,base_stock_gap
32161,Lor Magic Ret 8 Cool Drk Brn,1.75,7.5,9.25,0.189,0.811,9,0,9,base_stock_gap
92333,No7 Mnp Nrsh Night Cream 50Ml,1.75,7.5,9.25,0.189,0.811,4,0,4,base_stock_gap
90155,Npmu Lip Iv Blush Rush,1.75,7.5,9.25,0.189,0.811,6,0,6,base_stock_gap
57930,May Lifter Gloss 002 Ice,1.739,7.453,9.192,0.189,0.811,5,0,5,base_stock_gap
242845,Olay Comp Uv Def 30+ Sens Ltn,1.739,7.453,9.192,0.189,0.811,7,0,7,base_stock_gap
63475,Loreal R/Lift Lsr Retin 30Ml,1.733,7.428,9.161,0.189,0.811,6,0,6,base_stock_gap
192920,May Colossal Masc Glam Blk,1.727,7.403,9.13,0.189,0.811,5,0,5,base_stock_gap
198720,May Lifter Liner 006 Leader,1.722,7.381,9.103,0.189,0.811,6,0,6,base_stock_gap
69802,Batiste Div Dark Dry Sp 350Ml,1.714,7.347,9.061,0.189,0.811,3,0,3,base_stock_gap
415278,Batiste Dry Spoo Medium 200Ml,1.714,7.347,9.061,0.189,0.811,5,0,5,base_stock_gap
42952,Epzen Mag Bth Slts 900G Sleep,1.714,7.347,9.061,0.189,0.811,8,0,8,base_stock_gap
94059,Npmu Bmelt Blsh Buta With Time,1.714,7.347,9.061,0.189,0.811,6,0,6,base_stock_gap
184852,Epzen Bathing Bubbles 500Ml,1.714,7.347,9.061,0.189,0.811,5,0,5,base_stock_gap
92211,Olay N/Mide Body Wash 591Ml,1.714,7.347,9.061,0.189,0.811,8,0,8,base_stock_gap
193125,Npmu Ult Es Pal Warm Neutr,1.706,7.311,9.017,0.189,0.811,7,0,7,base_stock_gap
65835,No7 P&P Mask,1.7,7.286,8.986,0.189,0.811,7,0,7,base_stock_gap
36234,May Ss Matte Ink Ext Ruler,1.696,7.267,8.963,0.189,0.811,8,0,8,base_stock_gap
36237,May Ss Matte Ink Ext Amazonian,1.684,7.218,8.902,0.189,0.811,7,0,7,base_stock_gap
521213,Rosehip By Essano 20Ml,1.667,30.0,31.667,0.053,0.947,30,7,23,base_stock_gap
95025,Essano Coll Night Cream 50Ml,1.667,25.714,27.381,0.061,0.939,25,5,20,base_stock_gap
24361,Jojoba Pigmentation Oil 30Ml,1.667,7.143,8.81,0.189,0.811,7,0,7,base_stock_gap
57451,Weleda Skin Body Butter 150Ml,1.667,7.143,8.81,0.189,0.811,8,0,8,base_stock_gap
93519,Garn Aha+Bha Char Serum Mask,1.667,7.143,8.81,0.189,0.811,6,0,6,base_stock_gap
192194,Jojoba Vit C Glow Potion,1.667,7.143,8.81,0.189,0.811,6,0,6,base_stock_gap
650609,Rexona W Apd Classic 250Ml,1.667,7.143,8.81,0.189,0.811,2,0,2,covered_or_low
60772,Garn Micellar Eco Pads 3 Pack,1.667,7.143,8.81,0.189,0.811,8,0,8,base_stock_gap
280607,Rexona Men Dry Quant 250Ml,1.667,7.143,8.81,0.189,0.811,0,0,0,covered_or_low
55497,Cetaphil Eg Daily Scrub 178Ml,1.667,7.143,8.81,0.189,0.811,5,0,5,base_stock_gap
186282,Moogoo Argireline 5% Serum 25M,1.667,7.143,8.81,0.189,0.811,5,0,5,base_stock_gap
67327,B/Lab Retinol Night 30Ml,1.667,7.143,8.81,0.189,0.811,5,0,5,base_stock_gap
260851,Neut O/F Emur 112Ml,1.667,7.143,8.81,0.189,0.811,2,0,2,covered_or_low
405922,Rexona W Apd Dry Ct/Frsh 250Ml,1.667,7.143,8.81,0.189,0.811,8,0,8,base_stock_gap
650242,Nivea Apd R/O Pure Inv 50Ml,1.667,7.143,8.81,0.189,0.811,7,0,7,base_stock_gap
205729,C/Counc Activ Spf50+ 110Ml,1.667,7.143,8.81,0.189,0.811,6,0,6,base_stock_gap
190113,E/Pure Exfoliating Body Mitt,1.667,7.143,8.81,0.189,0.811,4,0,4,base_stock_gap
190840,Lrp Eff Peeling Gel 400Ml,1.667,7.143,8.81,0.189,0.811,1,0,1,covered_or_low
490797,Ogx Mrccn Argan Pnt Oil 100,1.667,7.143,8.81,0.189,0.811,7,0,7,base_stock_gap
16828,Lrp L/Kar Wash Crm 400Ml,1.667,7.143,8.81,0.189,0.811,7,0,7,base_stock_gap
189518,Npmu Butter Lg Bit Of Honey,1.647,35.357,37.004,0.045,0.955,35,8,27,base_stock_gap
193213,May Ls Sky High Primer,1.636,35.893,37.529,0.044,0.956,36,8,28,base_stock_gap
52116,Rexona W Apd Adv Inv/P 220Ml,1.636,30.0,31.636,0.052,0.948,24,7,17,base_stock_gap
52119,Rexona W Apd A/B Bouquet 220Ml,1.636,7.013,8.649,0.189,0.811,2,0,2,covered_or_low
54856,Ogx Ext Strngth Pen Oil 100Ml,1.636,7.013,8.649,0.189,0.811,8,0,8,base_stock_gap
643335,Bioderma Sebium 500Ml,1.636,7.013,8.649,0.189,0.811,5,0,5,base_stock_gap
65606,No7 Inst Result Hydration Mask,1.636,7.013,8.649,0.189,0.811,8,0,8,base_stock_gap
57933,May Lifter Gloss 005 Petal,1.632,30.0,31.632,0.052,0.948,30,7,23,base_stock_gap
199053,Npmu Wondr Stck Dual Medium,1.625,60.0,61.625,0.026,0.974,61,12,49,base_stock_gap
55881,Avene Cleanance Starter Kit,1.625,25.714,27.339,0.059,0.941,25,5,20,base_stock_gap
55493,Avene Cleanance Comedomed 30Ml,1.625,6.964,8.589,0.189,0.811,6,0,6,base_stock_gap
189005,Garn Vit C Srm Crm 50Ml,1.625,6.964,8.589,0.189,0.811,7,0,7,base_stock_gap
630497,Olay Moist Cream 100G,1.625,6.964,8.589,0.189,0.811,6,0,6,base_stock_gap
22490,Avene Hydrance Aq Crm-Gel 50Ml,1.625,6.964,8.589,0.189,0.811,6,0,6,base_stock_gap
188862,Avene Hyalyron Firm Crm 50Ml,1.625,6.964,8.589,0.189,0.811,6,0,6,base_stock_gap
198718,May Lifter Liner 004 Out Line,1.611,6.905,8.516,0.189,0.811,8,0,8,base_stock_gap
57927,May Tat El Gel Pncl Deep Onyx,1.609,6.894,8.503,0.189,0.811,8,0,8,base_stock_gap
199946,Loreal Brght Dark Spt Exf Peel,1.6,25.714,27.314,0.059,0.941,25,5,20,base_stock_gap
63699,Nivea Aa Hand Cream 100Ml,1.6,6.857,8.457,0.189,0.811,5,0,5,base_stock_gap
32160,Lor Magic Ret 10 G Brown,1.6,6.857,8.457,0.189,0.811,7,0,7,base_stock_gap
73076,Benzac Ph Cntrl Ab Fwash 150Ml,1.6,6.857,8.457,0.189,0.811,5,0,5,base_stock_gap
51154,Bondi Face Spf50+ Lotion 75Ml,1.6,6.857,8.457,0.189,0.811,4,0,4,base_stock_gap
186552,Cetaphil Baby Bath&Wash 400Ml,1.6,6.857,8.457,0.189,0.811,0,0,0,covered_or_low
27982,Urbane Mess Hair Groom/Wax 85G,1.6,6.857,8.457,0.189,0.811,6,0,6,base_stock_gap
193210,May Falsies Lash Lift Ult Blk,1.591,6.818,8.409,0.189,0.811,8,0,8,base_stock_gap
70359,Npmu Bwm Sr N Calm Conc Golden,1.588,30.0,31.588,0.05,0.95,29,7,22,base_stock_gap
15820,Npmu Lg Butter Tiramisu,1.588,6.807,8.395,0.189,0.811,7,0,7,base_stock_gap
192200,Loreal R/Lift Clin Vitc Clns,1.571,6.735,8.306,0.189,0.811,2,0,2,covered_or_low
396176,Batiste Dry Spoo Tropical 120G,1.571,6.735,8.306,0.189,0.811,6,0,6,base_stock_gap
65915,Batiste Blush Dry Shampoo 350,1.571,6.735,8.306,0.189,0.811,7,0,7,base_stock_gap
195740,Wht Gl Prpl Tth Toner Tthpaste,1.571,6.735,8.306,0.189,0.811,8,0,8,base_stock_gap
192807,White Glo Stainx5 T/Paste 115G,1.571,6.735,8.306,0.189,0.811,6,0,6,base_stock_gap
57932,May Lifter Gloss 004 Silk,1.565,6.708,8.273,0.189,0.811,5,0,5,base_stock_gap
37411,Nivea Body Chry&Jojo Oil 400Ml,1.556,30.0,31.556,0.049,0.951,31,6,25,base_stock_gap
2941,Nivea Bdy Q10 Rich Ltn 400Ml,1.556,6.667,8.223,0.189,0.811,8,0,8,base_stock_gap
886149,Aveeno D/Moist Body Wash 354Ml,1.556,6.667,8.223,0.189,0.811,6,0,6,base_stock_gap
195988,May Tat Liner Gel Penc Brown,1.55,6.643,8.193,0.189,0.811,4,0,4,base_stock_gap
195986,May Tat Liner Gel Penc Black,1.546,6.624,8.17,0.189,0.811,5,0,5,base_stock_gap
745103,Sukin Hydrat Body Lotion 500Ml,1.539,6.594,8.133,0.189,0.811,6,0,6,base_stock_gap
632950,Loreal R/Lift Laser Day 50Ml,1.533,6.571,8.104,0.189,0.811,3,0,3,base_stock_gap
