sku_number,sku_description,promo_units_expected_to_sell,stock_needed_to_finish_with_target_cover,target_day_one_soh_units,promo_demand_share_of_target_day_one,target_end_stock_share_of_target_day_one,full_target_order_units,recommended_order_units,remaining_day_one_shortfall_units,classification
55533,Lrp Retinol B3 A/A Serum 30Ml,12.0,51.429,63.429,0.189,0.811,63,0,63,promo_cover_gap
199243,Cerave Rep Balm 88Ml,12.0,51.429,63.429,0.189,0.811,57,0,57,promo_cover_gap
15792,Npmu Setting Spray Matte,11.765,50.42,62.185,0.189,0.811,60,0,60,promo_cover_gap
63079,Npmu Brow Glue Stick,11.706,50.168,61.874,0.189,0.811,59,0,59,promo_cover_gap
193203,May Ls Sky High Wsh,11.636,49.87,61.506,0.189,0.811,60,0,60,promo_cover_gap
49686,Avene Thermal S/Water 300Ml,11.5,49.286,60.786,0.189,0.811,52,0,52,promo_cover_gap
87417,Cerave Oil Control Gel 52Ml,11.0,47.143,58.143,0.189,0.811,58,0,58,promo_cover_gap
192050,Cerave Renewing Vitamin C 30Ml,11.0,47.143,58.143,0.189,0.811,54,0,54,promo_cover_gap
195091,Cerave Blem Cntrl Ret Srm 30Ml,11.0,47.143,58.143,0.189,0.811,57,0,57,promo_cover_gap
94903,Lrp Hyaluron Serum 30Ml,11.0,47.143,58.143,0.189,0.811,57,0,57,promo_cover_gap
188716,Cerave Renew Sa Foot Crm 88Ml,11.0,47.143,58.143,0.189,0.811,55,0,55,promo_cover_gap
20798,Garn Micellar Water 700Ml,10.778,46.191,56.969,0.189,0.811,56,0,56,promo_cover_gap
188833,B/Lab Neck Firm Srm 30Ml,10.667,45.714,56.381,0.189,0.811,52,0,52,promo_cover_gap
612448,Neut Mur Wipes Regular 25,10.667,45.714,56.381,0.189,0.811,54,0,54,promo_cover_gap
90990,Catr Slmmtc Wp Brow Pen 050,10.5,45.0,55.5,0.189,0.811,54,10,44,base_stock_gap
37987,Garn H/Bomb Eye Mask Orng Juic,10.5,45.0,55.5,0.189,0.811,54,0,54,promo_cover_gap
655035,Lrp Tol Sens 40Ml,10.333,44.286,54.619,0.189,0.811,53,0,53,promo_cover_gap
655084,Lrp Tol Dermo Cleanser 200Ml,10.333,44.286,54.619,0.189,0.811,49,0,49,promo_cover_gap
199841,Tbh Rebound Toner 100Ml,10.0,42.857,52.857,0.189,0.811,48,0,48,promo_cover_gap
93339,Lrp Mela B Serum 50Ml,10.0,42.857,52.857,0.189,0.811,51,0,51,promo_cover_gap
93335,Lrp Cicaplast B5 Spray 100Ml,10.0,42.857,52.857,0.189,0.811,52,0,52,promo_cover_gap
365033,Palmol Lhw Foam Pump Lime 250,9.875,42.321,52.196,0.189,0.811,47,8,39,base_stock_gap
18512,Lrp Anth Fluid Tint Spf50 50Ml,9.667,41.429,51.096,0.189,0.811,38,0,38,base_stock_gap
32861,Neut H/B Gel Mask 30G,9.667,41.429,51.096,0.189,0.811,42,0,42,base_stock_gap
