sku_number,baseline_daily_rate_units,baseline_daily_source_days,baseline_7_day_units,historical_units_same_discount_avg,current_predicted_promo_period_sales_units,proposed_promo_period_sales_units,promo_demand_floor_reason
91068,1.0,56,7.0,0.0,0.0,7.0,
91067,1.0,56,7.0,0.0,0.0,7.0,
96469,1.0,56,7.0,0.0,0.0,7.0,
96473,1.0,56,7.0,0.0,0.0,7.0,
90457,1.0,56,7.0,0.0,0.0,7.0,
91037,1.0,56,7.0,0.0,0.0,7.0,
91874,1.0,56,7.0,0.0,0.0,7.0,
97132,1.0,56,7.0,0.0,0.0,7.0,
91950,1.0,56,7.0,0.0,0.0,7.0,
192363,1.0,56,7.0,0.0,0.0,7.0,
91013,1.0,56,7.0,0.0,0.0,7.0,
91903,1.0,56,7.0,0.0,0.0,7.0,
91073,1.0,56,7.0,0.0,0.0,7.0,
91051,1.0,56,7.0,0.0,0.0,7.0,
91901,1.0,56,7.0,0.0,0.0,7.0,
91011,1.0,56,7.0,0.0,0.0,7.0,
91056,1.0,56,7.0,0.0,0.0,7.0,
91900,1.0,56,7.0,0.0,0.0,7.0,
91029,1.0,56,7.0,0.0,0.0,7.0,
91941,1.0,56,7.0,0.0,0.0,7.0,
91882,1.0,56,7.0,0.0,0.0,7.0,
90999,1.0,56,7.0,0.0,0.0,7.0,
91063,1.0,56,7.0,0.0,0.0,7.0,
91953,1.0,56,7.0,0.0,0.0,7.0,
91866,1.0,56,7.0,0.0,0.0,7.0,
91952,1.0,56,7.0,0.0,0.0,7.0,
95886,1.0,56,7.0,0.0,0.0,7.0,
92155,1.0,56,7.0,0.0,0.0,7.0,
95879,1.0,56,7.0,0.0,0.0,7.0,
91864,1.0,56,7.0,0.0,0.0,7.0,
95877,1.0,56,7.0,0.0,0.0,7.0,
95888,1.0,56,7.0,0.0,0.0,7.0,
92157,1.0,56,7.0,0.0,0.0,7.0,
91079,1.0,56,7.0,0.0,0.0,7.0,
91036,1.0,56,7.0,0.0,0.0,7.0,
92147,1.0,56,7.0,0.0,0.0,7.0,
95834,1.0,56,7.0,0.0,0.0,7.0,
91855,1.0,56,7.0,0.0,0.0,7.0,
91015,1.0,56,7.0,0.0,0.0,7.0,
91885,1.0,56,7.0,0.0,0.0,7.0,
91025,1.0,56,7.0,0.0,0.0,7.0,
21964,1.0,56,7.0,0.0,0.0,7.0,
67911,1.0,56,7.0,0.0,0.0,7.0,
93344,1.0,56,7.0,0.0,0.0,7.0,
88301,1.0,56,7.0,0.0,0.0,7.0,
97058,1.0,56,7.0,0.0,0.0,7.0,
97120,1.0,56,7.0,0.0,0.0,7.0,
97059,1.0,56,7.0,0.0,0.0,7.0,
193054,1.0,56,7.0,0.0,0.0,7.0,
90980,1.0,56,7.0,0.0,0.0,7.0,
95840,1.0,56,7.0,0.0,0.0,7.0,
94537,1.0,56,7.0,0.0,0.0,7.0,
94889,1.0,56,7.0,0.0,0.0,7.0,
87885,1.0,56,7.0,0.0,0.0,7.0,
57452,1.0,56,7.0,7.0,0.0,7.0,
194017,1.0,56,7.0,0.0,0.0,7.0,
94807,1.0,56,7.0,0.0,0.0,7.0,
94532,1.0,56,7.0,0.0,0.0,7.0,
42110,1.0,56,7.0,7.0,0.0,7.0,
91151,1.0,56,7.0,0.0,0.0,7.0,
40732,1.0,56,7.0,0.0,0.0,7.0,
195978,1.0,56,7.0,7.0,0.0,7.0,
947520,1.0,56,7.0,7.0,0.0,7.0,
90330,1.0,56,7.0,7.0,0.0,7.0,
94511,1.0,56,7.0,7.0,0.0,7.0,
63823,1.0,56,7.0,7.0,0.0,7.0,
62765,0.976186,56,6.833,6.833,0.0,6.833,
463027,0.959186,56,6.714,6.714,0.0,6.714,
655050,0.952386,56,6.667,6.667,0.0,6.667,
31874,0.952386,56,6.667,6.667,0.0,6.667,
591904,0.952386,56,6.667,6.667,0.0,6.667,
475114,0.948986,56,6.643,6.643,0.0,6.643,
798169,0.946429,56,6.625,6.625,0.0,6.625,
491852,0.946429,56,6.625,6.625,0.0,6.625,
49087,0.928571,56,6.5,6.5,0.0,6.5,
93337,0.928571,56,6.5,6.5,0.0,6.5,
490563,0.918371,56,6.429,6.429,0.0,6.429,
75453,0.904757,56,6.333,6.333,0.0,6.333,
188766,0.904757,56,6.333,6.333,0.0,6.333,
184706,0.904757,56,6.333,6.333,0.0,6.333,
188852,0.892857,56,6.25,6.25,0.0,6.25,
62768,0.857143,56,6.0,6.0,0.0,6.0,
188714,0.857143,56,6.0,6.0,0.0,6.0,
90374,0.857143,56,6.0,6.0,0.0,6.0,
94234,0.857143,56,6.0,6.0,0.0,6.0,
483036,0.841271,56,5.889,5.889,0.0,5.889,
252999,0.839286,56,5.875,5.875,0.0,5.875,
195078,0.839286,56,5.875,5.875,0.0,5.875,
194887,0.833329,56,5.833,5.833,0.0,5.833,
193713,0.828571,56,5.8,5.8,0.0,5.8,
458074,0.828571,56,5.8,5.8,0.0,5.8,
2839,0.821429,56,5.75,5.75,0.0,5.75,
94286,0.809529,56,5.667,5.667,0.0,5.667,
57419,0.809529,56,5.667,5.667,0.0,5.667,
192218,0.809529,56,5.667,5.667,0.0,5.667,
1485,0.809529,56,5.667,5.667,0.0,5.667,
321943,0.809529,56,5.667,5.667,0.0,5.667,
94039,0.809529,56,5.667,5.667,0.0,5.667,
55054,0.795029,56,5.565,5.565,0.0,5.565,
1236,0.788814,56,5.522,5.522,0.0,5.522,
247596,0.785714,56,5.5,5.5,0.0,5.5,
610055,0.785714,56,5.5,5.5,0.0,5.5,
11822,0.785714,56,5.5,5.5,0.0,5.5,
193196,0.785714,56,5.5,5.5,0.0,5.5,
93914,0.785714,56,5.5,5.5,0.0,5.5,
92857,0.785714,56,5.5,5.5,0.0,5.5,
390771,0.771429,56,5.4,5.4,0.0,5.4,
198638,0.767857,56,5.375,5.375,0.0,5.375,
