sku_number,promo_cover_order_units,base_stock_replenishment_units,full_target_order_units_after,raw_model_order_units,commercial_recommended_order_units_after,recommended_promo_cover_order_units,recommended_base_stock_order_units,remaining_promo_cover_gap_units,remaining_base_stock_gap_units,decision,commercial_recommended_order_units_before,full_target_order_units_before
192619,0,10,10,0,0,0,0,0,10,REVIEW,0,10
51156,0,12,12,0,0,0,0,0,12,REVIEW,0,12
26779,1,12,13,0,0,0,0,1,12,REVIEW,0,13
807680,1,12,13,0,0,0,0,1,12,REVIEW,0,13
366773,0,10,10,0,0,0,0,0,10,REVIEW,0,10
897272,0,9,9,0,0,0,0,0,9,REVIEW,0,9
11833,0,11,11,0,0,0,0,0,11,REVIEW,0,11
65467,0,9,9,0,0,0,0,0,9,REVIEW,0,9
65836,3,12,15,2,2,2,0,1,12,REVIEW,2,15
16306,1,12,13,0,0,0,0,1,12,REVIEW,0,13
191881,0,10,10,0,0,0,0,0,10,REVIEW,0,10
93466,1,12,13,0,0,0,0,1,12,REVIEW,0,13
88551,1,12,13,0,0,0,0,1,12,REVIEW,0,13
958859,0,4,4,0,0,0,0,0,4,REVIEW,0,4
396168,0,9,9,0,0,0,0,0,9,REVIEW,0,9
94078,1,12,13,0,0,0,0,1,12,REVIEW,0,13
92213,3,12,15,2,2,2,0,1,12,REVIEW,2,15
426784,0,12,12,0,0,0,0,0,12,REVIEW,0,12
15777,0,10,10,0,0,0,0,0,10,REVIEW,0,10
690783,0,0,0,0,0,0,0,0,0,REVIEW,0,0
199904,0,5,5,0,0,0,0,0,5,REVIEW,0,5
626309,0,8,8,0,0,0,0,0,8,REVIEW,0,8
199903,0,11,11,0,0,0,0,0,11,REVIEW,0,11
5909,0,2,2,0,0,0,0,0,2,REVIEW,0,2
190136,0,10,10,0,0,0,0,0,10,REVIEW,0,10
390860,0,2,2,0,0,0,0,0,2,REVIEW,0,2
7237,0,11,11,0,0,0,0,0,11,REVIEW,0,11
195048,3,11,14,2,2,2,0,1,11,REVIEW,2,14
655159,0,8,8,0,0,0,0,0,8,REVIEW,0,8
199839,0,10,10,0,0,0,0,0,10,REVIEW,0,10
184705,0,10,10,0,0,0,0,0,10,REVIEW,0,10
42784,1,11,12,0,0,0,0,1,11,REVIEW,0,12
26155,0,10,10,0,0,0,0,0,10,REVIEW,0,10
195088,0,11,11,0,0,0,0,0,11,REVIEW,0,11
49092,0,10,10,0,0,0,0,0,10,REVIEW,0,10
63369,0,9,9,0,0,0,0,0,9,REVIEW,0,9
651836,1,11,12,0,0,0,0,1,11,REVIEW,0,12
199901,0,6,6,0,0,0,0,0,6,REVIEW,0,6
92633,0,11,11,0,0,0,0,0,11,REVIEW,0,11
26780,0,8,8,0,0,0,0,0,8,REVIEW,0,8
189237,0,11,11,0,0,0,0,0,11,REVIEW,0,11
24382,0,7,7,0,0,0,0,0,7,REVIEW,0,7
234915,0,10,10,0,0,0,0,0,10,REVIEW,0,10
67986,0,11,11,0,0,0,0,0,11,REVIEW,0,11
67581,0,9,9,0,0,0,0,0,9,REVIEW,0,9
24384,1,11,12,0,0,0,0,1,11,REVIEW,0,12
26154,0,30,30,7,7,0,7,0,23,REVIEW,7,30
521302,1,11,12,0,0,0,0,1,11,REVIEW,0,12
69756,0,9,9,0,0,0,0,0,9,REVIEW,0,9
21210,1,11,12,0,0,0,0,1,11,REVIEW,0,12
90848,1,11,12,0,0,0,0,1,11,REVIEW,0,12
87452,0,11,11,0,0,0,0,0,11,REVIEW,0,11
271543,1,11,12,0,0,0,0,1,11,REVIEW,0,12
69724,0,11,11,0,0,0,0,0,11,REVIEW,0,11
92332,0,9,9,0,0,0,0,0,9,REVIEW,0,9
194016,0,10,10,0,0,0,0,0,10,REVIEW,0,10
93917,0,2,2,0,0,0,0,0,2,REVIEW,0,2
199844,1,11,12,0,0,0,0,1,11,REVIEW,0,12
94217,0,7,7,0,0,0,0,0,7,REVIEW,0,7
94276,0,11,11,0,0,0,0,0,11,REVIEW,0,11
87751,2,11,13,0,0,0,0,2,11,REVIEW,0,13
201057,0,10,10,0,0,0,0,0,10,REVIEW,0,10
94272,0,6,6,0,0,0,0,0,6,REVIEW,0,6
384240,0,9,9,0,0,0,0,0,9,REVIEW,0,9
94471,1,11,12,0,0,0,0,1,11,REVIEW,0,12
197473,1,11,12,0,0,0,0,1,11,REVIEW,0,12
189513,0,30,30,7,7,0,7,0,23,REVIEW,7,30
54863,0,8,8,0,0,0,0,0,8,REVIEW,0,8
94070,0,8,8,0,0,0,0,0,8,REVIEW,0,8
65630,0,10,10,0,0,0,0,0,10,REVIEW,0,10
390798,0,8,8,0,0,0,0,0,8,REVIEW,0,8
66125,0,10,10,0,0,0,0,0,10,REVIEW,0,10
60844,0,10,10,0,0,0,0,0,10,REVIEW,0,10
193712,0,1,1,0,0,0,0,0,1,REVIEW,0,1
388718,0,8,8,0,0,0,0,0,8,REVIEW,0,8
22488,0,5,5,0,0,0,0,0,5,REVIEW,0,5
188811,0,9,9,0,0,0,0,0,9,REVIEW,0,9
90105,0,9,9,0,0,0,0,0,9,REVIEW,0,9
46886,1,10,11,0,0,0,0,1,10,REVIEW,0,11
18699,1,10,11,0,0,0,0,1,10,REVIEW,0,11
431745,0,10,10,0,0,0,0,0,10,REVIEW,0,10
41572,0,9,9,0,0,0,0,0,9,REVIEW,0,9
51157,1,10,11,0,0,0,0,1,10,REVIEW,0,11
55458,1,10,11,0,0,0,0,1,10,REVIEW,0,11
59859,0,10,10,0,0,0,0,0,10,REVIEW,0,10
198463,0,9,9,0,0,0,0,0,9,REVIEW,0,9
688304,0,9,9,0,0,0,0,0,9,REVIEW,0,9
298034,0,9,9,0,0,0,0,0,9,REVIEW,0,9
298018,0,10,10,0,0,0,0,0,10,REVIEW,0,10
233048,0,7,7,0,0,0,0,0,7,REVIEW,0,7
342483,0,9,9,0,0,0,0,0,9,REVIEW,0,9
23449,0,10,10,0,0,0,0,0,10,REVIEW,0,10
190121,0,8,8,0,0,0,0,0,8,REVIEW,0,8
42901,0,9,9,0,0,0,0,0,9,REVIEW,0,9
933619,0,10,10,0,0,0,0,0,10,REVIEW,0,10
42806,1,10,11,0,0,0,0,1,10,REVIEW,0,11
198932,0,4,4,0,0,0,0,0,4,REVIEW,0,4
195424,0,29,29,7,7,0,7,0,22,REVIEW,7,29
43716,2,10,12,0,0,0,0,2,10,REVIEW,0,12
65914,1,10,11,0,0,0,0,1,10,REVIEW,0,11
67890,1,10,11,0,0,0,0,1,10,REVIEW,0,11
184733,1,10,11,0,0,0,0,1,10,REVIEW,0,11
90014,0,2,2,0,0,0,0,0,2,REVIEW,0,2
191662,0,5,5,0,0,0,0,0,5,REVIEW,0,5
36997,1,10,11,0,0,0,0,1,10,REVIEW,0,11
198703,0,9,9,0,0,0,0,0,9,REVIEW,0,9
56483,1,10,11,0,0,0,0,1,10,REVIEW,0,11
96504,0,6,6,0,0,0,0,0,6,REVIEW,0,6
64536,0,9,9,0,0,0,0,0,9,REVIEW,0,9
94105,1,10,11,0,0,0,0,1,10,REVIEW,0,11
65466,0,8,8,0,0,0,0,0,8,REVIEW,0,8
196196,0,8,8,0,0,0,0,0,8,REVIEW,0,8
189276,0,5,5,0,0,0,0,0,5,REVIEW,0,5
94281,1,10,11,0,0,0,0,1,10,REVIEW,0,11
188951,0,7,7,2,2,0,2,0,5,REVIEW,2,7
15727,1,10,11,0,0,0,0,1,10,REVIEW,0,11
71223,1,10,11,0,0,0,0,1,10,REVIEW,0,11
65559,0,6,6,0,0,0,0,0,6,REVIEW,0,6
30538,1,10,11,0,0,0,0,1,10,REVIEW,0,11
350165,0,30,30,6,6,0,6,0,24,REVIEW,6,30
60845,0,8,8,0,0,0,0,0,8,REVIEW,0,8
75790,0,9,9,0,0,0,0,0,9,REVIEW,0,9
87762,1,9,10,0,0,0,0,1,9,REVIEW,0,10
93977,0,9,9,0,0,0,0,0,9,REVIEW,0,9
626503,0,9,9,0,0,0,0,0,9,REVIEW,0,9
30633,0,4,4,0,0,0,0,0,4,REVIEW,0,4
626449,0,9,9,0,0,0,0,0,9,REVIEW,0,9
20868,1,9,10,0,0,0,0,1,9,REVIEW,0,10
195081,0,8,8,0,0,0,0,0,8,REVIEW,0,8
34860,0,9,9,0,0,0,0,0,9,REVIEW,0,9
57931,0,9,9,0,0,0,0,0,9,REVIEW,0,9
188995,0,9,9,0,0,0,0,0,9,REVIEW,0,9
7682,0,8,8,0,0,0,0,0,8,REVIEW,0,8
195423,0,6,6,0,0,0,0,0,6,REVIEW,0,6
45302,0,8,8,0,0,0,0,0,8,REVIEW,0,8
190116,0,6,6,0,0,0,0,0,6,REVIEW,0,6
195172,1,9,10,0,0,0,0,1,9,REVIEW,0,10
52115,1,105,106,22,22,1,21,0,84,REVIEW,22,106
521310,0,30,30,7,7,0,7,0,23,REVIEW,7,30
36233,0,9,9,0,0,0,0,0,9,REVIEW,0,9
189238,0,8,8,0,0,0,0,0,8,REVIEW,0,8
49295,0,5,5,0,0,0,0,0,5,REVIEW,0,5
745049,0,9,9,0,0,0,0,0,9,REVIEW,0,9
189516,0,6,6,0,0,0,0,0,6,REVIEW,0,6
193206,1,9,10,0,0,0,0,1,9,REVIEW,0,10
63031,1,30,31,7,7,1,6,0,24,REVIEW,7,31
194045,0,30,30,6,6,0,6,0,24,REVIEW,6,30
194049,0,30,30,6,6,0,6,0,24,REVIEW,6,30
94668,0,8,8,0,0,0,0,0,8,REVIEW,0,8
93551,0,8,8,0,0,0,0,0,8,REVIEW,0,8
94283,0,7,7,0,0,0,0,0,7,REVIEW,0,7
89020,0,9,9,0,0,0,0,0,9,REVIEW,0,9
94247,0,9,9,0,0,0,0,0,9,REVIEW,0,9
96636,0,7,7,0,0,0,0,0,7,REVIEW,0,7
92259,0,7,7,0,0,0,0,0,7,REVIEW,0,7
197584,0,9,9,0,0,0,0,0,9,REVIEW,0,9
67330,0,4,4,0,0,0,0,0,4,REVIEW,0,4
24358,0,8,8,0,0,0,0,0,8,REVIEW,0,8
189515,0,7,7,0,0,0,0,0,7,REVIEW,0,7
96634,0,8,8,0,0,0,0,0,8,REVIEW,0,8
50927,1,9,10,0,0,0,0,1,9,REVIEW,0,10
195979,0,9,9,0,0,0,0,0,9,REVIEW,0,9
187203,0,9,9,0,0,0,0,0,9,REVIEW,0,9
195440,0,8,8,0,0,0,0,0,8,REVIEW,0,8
192343,0,8,8,0,0,0,0,0,8,REVIEW,0,8
94218,0,0,0,0,0,0,0,0,0,REVIEW,0,0
98014,0,6,6,0,0,0,0,0,6,REVIEW,0,6
89018,1,9,10,0,0,0,0,1,9,REVIEW,0,10
52120,0,2,2,0,0,0,0,0,2,REVIEW,0,2
98013,0,7,7,0,0,0,0,0,7,REVIEW,0,7
615951,0,6,6,0,0,0,0,0,6,REVIEW,0,6
64816,1,9,10,0,0,0,0,1,9,REVIEW,0,10
15238,0,9,9,0,0,0,0,0,9,REVIEW,0,9
345016,0,9,9,0,0,0,0,0,9,REVIEW,0,9
24167,0,9,9,0,0,0,0,0,9,REVIEW,0,9
94213,0,8,8,0,0,0,0,0,8,REVIEW,0,8
71222,0,7,7,0,0,0,0,0,7,REVIEW,0,7
87752,0,7,7,0,0,0,0,0,7,REVIEW,0,7
62934,1,9,10,0,0,0,0,1,9,REVIEW,0,10
68377,0,9,9,0,0,0,0,0,9,REVIEW,0,9
38424,0,5,5,0,0,0,0,0,5,REVIEW,0,5
626376,0,9,9,0,0,0,0,0,9,REVIEW,0,9
68376,0,5,5,0,0,0,0,0,5,REVIEW,0,5
228192,0,9,9,0,0,0,0,0,9,REVIEW,0,9
91460,0,9,9,0,0,0,0,0,9,REVIEW,0,9
92855,0,4,4,0,0,0,0,0,4,REVIEW,0,4
194041,0,8,8,0,0,0,0,0,8,REVIEW,0,8
24554,0,8,8,0,0,0,0,0,8,REVIEW,0,8
90768,0,7,7,0,0,0,0,0,7,REVIEW,0,7
4661,0,9,9,0,0,0,0,0,9,REVIEW,0,9
94273,0,5,5,0,0,0,0,0,5,REVIEW,0,5
73683,0,4,4,0,0,0,0,0,4,REVIEW,0,4
90765,0,9,9,0,0,0,0,0,9,REVIEW,0,9
90154,0,8,8,0,0,0,0,0,8,REVIEW,0,8
97991,0,7,7,0,0,0,0,0,7,REVIEW,0,7
27980,0,7,7,0,0,0,0,0,7,REVIEW,0,7
92919,1,9,10,0,0,0,0,1,9,REVIEW,0,10
192258,0,6,6,0,0,0,0,0,6,REVIEW,0,6
958824,0,6,6,0,0,0,0,0,6,REVIEW,0,6
199842,1,9,10,0,0,0,0,1,9,REVIEW,0,10
27194,0,0,0,0,0,0,0,0,0,REVIEW,0,0
199845,0,6,6,0,0,0,0,0,6,REVIEW,0,6
94507,1,9,10,0,0,0,0,1,9,REVIEW,0,10
199865,1,9,10,0,0,0,0,1,9,REVIEW,0,10
189272,0,7,7,0,0,0,0,0,7,REVIEW,0,7
90850,0,9,9,0,0,0,0,0,9,REVIEW,0,9
65916,0,7,7,0,0,0,0,0,7,REVIEW,0,7
189278,0,9,9,0,0,0,0,0,9,REVIEW,0,9
92467,0,3,3,0,0,0,0,0,3,REVIEW,0,3
10433,0,9,9,0,0,0,0,0,9,REVIEW,0,9
54777,0,6,6,0,0,0,0,0,6,REVIEW,0,6
191670,0,5,5,0,0,0,0,0,5,REVIEW,0,5
94641,1,9,10,0,0,0,0,1,9,REVIEW,0,10
10434,0,9,9,0,0,0,0,0,9,REVIEW,0,9
797588,0,9,9,0,0,0,0,0,9,REVIEW,0,9
188810,0,5,5,0,0,0,0,0,5,REVIEW,0,5
199060,0,7,7,0,0,0,0,0,7,REVIEW,0,7
88082,0,9,9,0,0,0,0,0,9,REVIEW,0,9
40167,2,9,11,2,2,2,0,0,9,REVIEW,2,11
71228,0,7,7,0,0,0,0,0,7,REVIEW,0,7
70356,0,8,8,0,0,0,0,0,8,REVIEW,0,8
87763,0,6,6,0,0,0,0,0,6,REVIEW,0,6
195354,1,9,10,0,0,0,0,1,9,REVIEW,0,10
97996,1,9,10,0,0,0,0,1,9,REVIEW,0,10
90935,0,9,9,0,0,0,0,0,9,REVIEW,0,9
371246,0,8,8,0,0,0,0,0,8,REVIEW,0,8
60343,1,9,10,0,0,0,0,1,9,REVIEW,0,10
96510,0,9,9,0,0,0,0,0,9,REVIEW,0,9
11896,0,6,6,0,0,0,0,0,6,REVIEW,0,6
96640,0,7,7,0,0,0,0,0,7,REVIEW,0,7
481130,0,9,9,0,0,0,0,0,9,REVIEW,0,9
616311,0,9,9,0,0,0,0,0,9,REVIEW,0,9
96641,0,7,7,0,0,0,0,0,7,REVIEW,0,7
186518,0,7,7,0,0,0,0,0,7,REVIEW,0,7
97994,0,6,6,0,0,0,0,0,6,REVIEW,0,6
87470,1,9,10,0,0,0,0,1,9,REVIEW,0,10
43395,1,9,10,0,0,0,0,1,9,REVIEW,0,10
250753,0,7,7,0,0,0,0,0,7,REVIEW,0,7
192921,0,8,8,0,0,0,0,0,8,REVIEW,0,8
189250,1,8,9,0,0,0,0,1,8,REVIEW,0,9
198697,0,8,8,0,0,0,0,0,8,REVIEW,0,8
63081,0,8,8,0,0,0,0,0,8,REVIEW,0,8
185498,0,4,4,0,0,0,0,0,4,REVIEW,0,4
67656,0,6,6,0,0,0,0,0,6,REVIEW,0,6
341140,0,8,8,0,0,0,0,0,8,REVIEW,0,8
199059,0,6,6,0,0,0,0,0,6,REVIEW,0,6
192941,0,5,5,0,0,0,0,0,5,REVIEW,0,5
65589,0,5,5,0,0,0,0,0,5,REVIEW,0,5
198937,0,3,3,0,0,0,0,0,3,REVIEW,0,3
198938,0,5,5,0,0,0,0,0,5,REVIEW,0,5
72014,0,7,7,0,0,0,0,0,7,REVIEW,0,7
197891,0,2,2,0,0,0,0,0,2,REVIEW,0,2
265969,0,8,8,0,0,0,0,0,8,REVIEW,0,8
70977,0,4,4,0,0,0,0,0,4,REVIEW,0,4
192198,0,5,5,0,0,0,0,0,5,REVIEW,0,5
195079,0,8,8,0,0,0,0,0,8,REVIEW,0,8
70357,0,6,6,0,0,0,0,0,6,REVIEW,0,6
90146,0,8,8,0,0,0,0,0,8,REVIEW,0,8
356859,0,7,7,0,0,0,0,0,7,REVIEW,0,7
36996,0,8,8,0,0,0,0,0,8,REVIEW,0,8
38391,0,5,5,0,0,0,0,0,5,REVIEW,0,5
958816,0,6,6,0,0,0,0,0,6,REVIEW,0,6
55681,0,6,6,0,0,0,0,0,6,REVIEW,0,6
33268,0,6,6,0,0,0,0,0,6,REVIEW,0,6
22514,0,8,8,0,0,0,0,0,8,REVIEW,0,8
192032,0,2,2,0,0,0,0,0,2,REVIEW,0,2
37850,0,8,8,0,0,0,0,0,8,REVIEW,0,8
22900,0,0,0,0,0,0,0,0,0,REVIEW,0,0
63111,0,7,7,0,0,0,0,0,7,REVIEW,0,7
94002,0,7,7,0,0,0,0,0,7,REVIEW,0,7
199052,0,4,4,0,0,0,0,0,4,REVIEW,0,4
199057,1,8,9,0,0,0,0,1,8,REVIEW,0,9
90543,0,2,2,0,0,0,0,0,2,REVIEW,0,2
437883,0,7,7,0,0,0,0,0,7,REVIEW,0,7
67048,0,8,8,0,0,0,0,0,8,REVIEW,0,8
90152,0,6,6,0,0,0,0,0,6,REVIEW,0,6
31831,0,6,6,0,0,0,0,0,6,REVIEW,0,6
887455,0,7,7,0,0,0,0,0,7,REVIEW,0,7
75006,0,3,3,0,0,0,0,0,3,REVIEW,0,3
190114,0,3,3,0,0,0,0,0,3,REVIEW,0,3
11607,0,8,8,0,0,0,0,0,8,REVIEW,0,8
43540,0,7,7,0,0,0,0,0,7,REVIEW,0,7
380675,0,7,7,0,0,0,0,0,7,REVIEW,0,7
189521,1,8,9,0,0,0,0,1,8,REVIEW,0,9
15182,0,6,6,0,0,0,0,0,6,REVIEW,0,6
195353,0,8,8,0,0,0,0,0,8,REVIEW,0,8
92334,0,0,0,0,0,0,0,0,0,REVIEW,0,0
192065,0,8,8,0,0,0,0,0,8,REVIEW,0,8
186490,0,4,4,0,0,0,0,0,4,REVIEW,0,4
65489,0,4,4,0,0,0,0,0,4,REVIEW,0,4
282995,0,6,6,0,0,0,0,0,6,REVIEW,0,6
41315,0,6,6,0,0,0,0,0,6,REVIEW,0,6
32161,1,8,9,0,0,0,0,1,8,REVIEW,0,9
92333,0,4,4,0,0,0,0,0,4,REVIEW,0,4
90155,0,6,6,0,0,0,0,0,6,REVIEW,0,6
57930,0,5,5,0,0,0,0,0,5,REVIEW,0,5
242845,0,7,7,0,0,0,0,0,7,REVIEW,0,7
63475,0,6,6,0,0,0,0,0,6,REVIEW,0,6
192920,0,5,5,0,0,0,0,0,5,REVIEW,0,5
198720,0,6,6,0,0,0,0,0,6,REVIEW,0,6
69802,0,3,3,0,0,0,0,0,3,REVIEW,0,3
415278,0,5,5,0,0,0,0,0,5,REVIEW,0,5
42952,1,7,8,0,0,0,0,1,7,REVIEW,0,8
94059,0,6,6,0,0,0,0,0,6,REVIEW,0,6
184852,0,5,5,0,0,0,0,0,5,REVIEW,0,5
92211,1,7,8,0,0,0,0,1,7,REVIEW,0,8
193125,0,7,7,0,0,0,0,0,7,REVIEW,0,7
65835,0,7,7,0,0,0,0,0,7,REVIEW,0,7
36234,1,7,8,0,0,0,0,1,7,REVIEW,0,8
36237,0,7,7,0,0,0,0,0,7,REVIEW,0,7
521213,0,30,30,7,7,0,7,0,23,REVIEW,7,30
95025,0,25,25,5,5,0,5,0,20,REVIEW,5,25
24361,0,7,7,0,0,0,0,0,7,REVIEW,0,7
57451,1,7,8,0,0,0,0,1,7,REVIEW,0,8
93519,0,6,6,0,0,0,0,0,6,REVIEW,0,6
192194,0,6,6,0,0,0,0,0,6,REVIEW,0,6
650609,0,2,2,0,0,0,0,0,2,REVIEW,0,2
60772,1,7,8,0,0,0,0,1,7,REVIEW,0,8
280607,0,0,0,0,0,0,0,0,0,REVIEW,0,0
55497,0,5,5,0,0,0,0,0,5,REVIEW,0,5
186282,0,5,5,0,0,0,0,0,5,REVIEW,0,5
67327,0,5,5,0,0,0,0,0,5,REVIEW,0,5
260851,0,2,2,0,0,0,0,0,2,REVIEW,0,2
405922,1,7,8,0,0,0,0,1,7,REVIEW,0,8
650242,0,7,7,0,0,0,0,0,7,REVIEW,0,7
205729,0,6,6,0,0,0,0,0,6,REVIEW,0,6
190113,0,4,4,0,0,0,0,0,4,REVIEW,0,4
190840,0,1,1,0,0,0,0,0,1,REVIEW,0,1
490797,0,7,7,0,0,0,0,0,7,REVIEW,0,7
16828,0,7,7,0,0,0,0,0,7,REVIEW,0,7
189518,0,35,35,8,8,0,8,0,27,REVIEW,8,35
193213,0,36,36,8,8,0,8,0,28,REVIEW,8,36
52116,0,24,24,7,7,0,7,0,17,REVIEW,7,24
52119,0,2,2,0,0,0,0,0,2,REVIEW,0,2
54856,1,7,8,0,0,0,0,1,7,REVIEW,0,8
643335,0,5,5,0,0,0,0,0,5,REVIEW,0,5
65606,1,7,8,0,0,0,0,1,7,REVIEW,0,8
57933,0,30,30,7,7,0,7,0,23,REVIEW,7,30
199053,1,60,61,12,12,1,11,0,49,REVIEW,12,61
55881,0,25,25,5,5,0,5,0,20,REVIEW,5,25
55493,0,6,6,0,0,0,0,0,6,REVIEW,0,6
189005,0,7,7,0,0,0,0,0,7,REVIEW,0,7
630497,0,6,6,0,0,0,0,0,6,REVIEW,0,6
22490,0,6,6,0,0,0,0,0,6,REVIEW,0,6
188862,0,6,6,0,0,0,0,0,6,REVIEW,0,6
198718,1,7,8,0,0,0,0,1,7,REVIEW,0,8
57927,1,7,8,0,0,0,0,1,7,REVIEW,0,8
199946,0,25,25,5,5,0,5,0,20,REVIEW,5,25
63699,0,5,5,0,0,0,0,0,5,REVIEW,0,5
32160,0,7,7,0,0,0,0,0,7,REVIEW,0,7
73076,0,5,5,0,0,0,0,0,5,REVIEW,0,5
51154,0,4,4,0,0,0,0,0,4,REVIEW,0,4
186552,0,0,0,0,0,0,0,0,0,REVIEW,0,0
27982,0,6,6,0,0,0,0,0,6,REVIEW,0,6
193210,1,7,8,0,0,0,0,1,7,REVIEW,0,8
70359,0,29,29,7,7,0,7,0,22,REVIEW,7,29
15820,0,7,7,0,0,0,0,0,7,REVIEW,0,7
192200,0,2,2,0,0,0,0,0,2,REVIEW,0,2
396176,0,6,6,0,0,0,0,0,6,REVIEW,0,6
65915,0,7,7,0,0,0,0,0,7,REVIEW,0,7
195740,1,7,8,0,0,0,0,1,7,REVIEW,0,8
192807,0,6,6,0,0,0,0,0,6,REVIEW,0,6
57932,0,5,5,0,0,0,0,0,5,REVIEW,0,5
37411,1,30,31,6,6,1,5,0,25,REVIEW,6,31
2941,1,7,8,0,0,0,0,1,7,REVIEW,0,8
886149,0,6,6,0,0,0,0,0,6,REVIEW,0,6
195988,0,4,4,0,0,0,0,0,4,REVIEW,0,4
195986,0,5,5,0,0,0,0,0,5,REVIEW,0,5
745103,0,6,6,0,0,0,0,0,6,REVIEW,0,6
632950,0,3,3,0,0,0,0,0,3,REVIEW,0,3
193126,0,30,30,7,7,0,7,0,23,REVIEW,7,30
57936,0,5,5,0,0,0,0,0,5,REVIEW,0,5
90934,1,51,52,9,9,1,8,0,43,REVIEW,9,52
96608,0,37,37,8,8,0,8,0,29,REVIEW,8,37
195102,0,1,1,0,0,0,0,0,1,REVIEW,0,1
87757,0,6,6,0,0,0,0,0,6,REVIEW,0,6
826960,0,3,3,0,0,0,0,0,3,REVIEW,0,3
89065,1,6,7,0,0,0,0,1,6,REVIEW,0,7
69211,0,6,6,0,0,0,0,0,6,REVIEW,0,6
54475,0,1,1,0,0,0,0,0,1,REVIEW,0,1
96633,0,3,3,0,0,0,0,0,3,REVIEW,0,3
31685,0,6,6,0,0,0,0,0,6,REVIEW,0,6
87761,0,3,3,0,0,0,0,0,3,REVIEW,0,3
96501,0,2,2,0,0,0,0,0,2,REVIEW,0,2
192922,0,5,5,0,0,0,0,0,5,REVIEW,0,5
67701,0,5,5,0,0,0,0,0,5,REVIEW,0,5
192033,0,4,4,0,0,0,0,0,4,REVIEW,0,4
389196,0,5,5,0,0,0,0,0,5,REVIEW,0,5
199854,0,4,4,0,0,0,0,0,4,REVIEW,0,4
273694,0,6,6,0,0,0,0,0,6,REVIEW,0,6
51770,0,1,1,0,0,0,0,0,1,REVIEW,0,1
65486,0,6,6,0,0,0,0,0,6,REVIEW,0,6
94439,0,3,3,0,0,0,0,0,3,REVIEW,0,3
51690,0,5,5,0,0,0,0,0,5,REVIEW,0,5
93922,0,0,0,0,0,0,0,0,0,REVIEW,0,0
308978,1,6,7,0,0,0,0,1,6,REVIEW,0,7
89753,0,6,6,0,0,0,0,0,6,REVIEW,0,6
194047,0,5,5,0,0,0,0,0,5,REVIEW,0,5
60950,0,2,2,0,0,0,0,0,2,REVIEW,0,2
50382,0,6,6,0,0,0,0,0,6,REVIEW,0,6
194012,0,4,4,0,0,0,0,0,4,REVIEW,0,4
90772,0,6,6,0,0,0,0,0,6,REVIEW,0,6
194019,0,5,5,0,0,0,0,0,5,REVIEW,0,5
194040,0,5,5,0,0,0,0,0,5,REVIEW,0,5
282413,0,6,6,0,0,0,0,0,6,REVIEW,0,6
94216,0,0,0,0,0,0,0,0,0,REVIEW,0,0
90153,0,5,5,0,0,0,0,0,5,REVIEW,0,5
188032,0,4,4,0,0,0,0,0,4,REVIEW,0,4
188636,0,5,5,0,0,0,0,0,5,REVIEW,0,5
94640,0,6,6,0,0,0,0,0,6,REVIEW,0,6
96597,0,2,2,0,0,0,0,0,2,REVIEW,0,2
93925,0,1,1,0,0,0,0,0,1,REVIEW,0,1
616532,0,6,6,0,0,0,0,0,6,REVIEW,0,6
87637,1,6,7,0,0,0,0,1,6,REVIEW,0,7
87807,1,6,7,0,0,0,0,1,6,REVIEW,0,7
96498,0,6,6,0,0,0,0,0,6,REVIEW,0,6
94647,0,5,5,0,0,0,0,0,5,REVIEW,0,5
38417,0,3,3,0,0,0,0,0,3,REVIEW,0,3
50655,0,6,6,0,0,0,0,0,6,REVIEW,0,6
65635,0,5,5,0,0,0,0,0,5,REVIEW,0,5
90811,0,6,6,0,0,0,0,0,6,REVIEW,0,6
94510,0,6,6,0,0,0,0,0,6,REVIEW,0,6
93915,0,0,0,0,0,0,0,0,0,REVIEW,0,0
192064,0,6,6,0,0,0,0,0,6,REVIEW,0,6
51409,0,1,1,0,0,0,0,0,1,REVIEW,0,1
735752,0,5,5,0,0,0,0,0,5,REVIEW,0,5
90145,0,6,6,0,0,0,0,0,6,REVIEW,0,6
666842,0,5,5,0,0,0,0,0,5,REVIEW,0,5
94279,0,4,4,0,0,0,0,0,4,REVIEW,0,4
189241,0,4,4,0,0,0,0,0,4,REVIEW,0,4
62855,0,4,4,0,0,0,0,0,4,REVIEW,0,4
193194,0,5,5,0,0,0,0,0,5,REVIEW,0,5
188954,0,6,6,0,0,0,0,0,6,REVIEW,0,6
52118,0,25,25,7,7,0,7,0,18,REVIEW,7,25
46906,0,6,6,0,0,0,0,0,6,REVIEW,0,6
198721,0,0,0,0,0,0,0,0,0,REVIEW,0,0
188997,1,6,7,0,0,0,0,1,6,REVIEW,0,7
894710,0,5,5,0,0,0,0,0,5,REVIEW,0,5
667915,0,5,5,0,0,0,0,0,5,REVIEW,0,5
55511,0,5,5,0,0,0,0,0,5,REVIEW,0,5
36117,0,6,6,0,0,0,0,0,6,REVIEW,0,6
44019,0,5,5,0,0,0,0,0,5,REVIEW,0,5
40165,1,6,7,0,0,0,0,1,6,REVIEW,0,7
551139,1,6,7,0,0,0,0,1,6,REVIEW,0,7
46547,0,6,6,0,0,0,0,0,6,REVIEW,0,6
31106,0,6,6,0,0,0,0,0,6,REVIEW,0,6
189359,0,5,5,0,0,0,0,0,5,REVIEW,0,5
