sku_number,promo_cover_order_units,base_stock_replenishment_units,full_target_order_units_after,raw_model_order_units,commercial_recommended_order_units_after,recommended_promo_cover_order_units,recommended_base_stock_order_units,remaining_promo_cover_gap_units,remaining_base_stock_gap_units,decision,commercial_recommended_order_units_before,full_target_order_units_before
188857,6,33,39,0,0,0,0,6,33,REVIEW,0,39
186369,6,33,39,0,0,0,0,6,33,REVIEW,0,39
93336,4,32,36,0,0,0,0,4,32,REVIEW,0,36
93951,0,24,24,0,0,0,0,0,24,REVIEW,0,24
194048,2,32,34,0,0,0,0,2,32,REVIEW,0,34
200956,2,32,34,0,0,0,0,2,32,REVIEW,0,34
193212,5,32,37,0,0,0,0,5,32,REVIEW,0,37
88081,2,31,33,0,0,0,0,2,31,REVIEW,0,33
28287,4,30,34,0,0,0,0,4,30,REVIEW,0,34
98024,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91912,6,30,36,7,7,6,1,0,29,REVIEW,7,36
88392,4,30,34,7,7,4,3,0,27,REVIEW,7,34
96487,6,30,36,7,7,6,1,0,29,REVIEW,7,36
96605,3,30,33,7,7,3,4,0,26,REVIEW,7,33
96624,6,30,36,7,7,6,1,0,29,REVIEW,7,36
96604,6,30,36,7,7,6,1,0,29,REVIEW,7,36
91068,6,30,36,7,7,6,1,0,29,REVIEW,7,36
91067,7,30,37,7,7,7,0,0,30,REVIEW,7,37
96469,3,30,33,7,7,3,4,0,26,REVIEW,7,33
96473,3,30,33,7,7,3,4,0,26,REVIEW,7,33
90457,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91037,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91874,7,30,37,7,7,7,0,0,30,REVIEW,7,37
97132,4,30,34,7,7,4,3,0,27,REVIEW,7,34
91950,5,30,35,7,7,5,2,0,28,REVIEW,7,35
192363,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91013,5,30,35,7,7,5,2,0,28,REVIEW,7,35
91903,7,30,37,7,7,7,0,0,30,REVIEW,7,37
91073,4,30,34,7,7,4,3,0,27,REVIEW,7,34
