priority_rank,store_number,promotion_name,promotion_start_date,promotion_end_date,promotion_days,prediction_date,days_until_promotion_start,sku_number,sku_description,decision,order_strategy,recommended_order_basis,promo_units_expected_to_sell,stock_needed_for_promo_sales,stock_needed_to_finish_with_target_cover,order_needed_to_cover_promo_sales,order_needed_to_reach_full_stock_target,full_target_order_units,recommended_promo_cover_order_units,recommended_base_stock_order_units,commercial_recommended_order_units,recommended_order_units,remaining_promo_sales_stock_gap,remaining_end_stock_gap,remaining_shortfall_after_commercial_recommendation_units,remaining_day_one_shortfall_units,commercial_coverage_ratio,recommendation_coverage_ratio,raw_model_order_units,operator_review_order_low_units,operator_review_order_high_units,target_day_one_soh_units,projected_day_one_soh_before_order_units,projected_day_one_soh_after_recommended_order_units,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,target_stock_on_hand_at_promo_end_units,total_expected_demand_to_promo_end_units,projected_stock_on_hand_at_promo_end_units,discount_percent,avg_promo_demand_same_discount_units,expected_gp_dollars,capital_at_risk_dollars,confidence_score,confidence_label,data_quality_score,data_quality_label,decision_quality_label,stock_target_conflict_flag,reason_demand,reason_stock,reason_order,reason_risk,reason_rejection_or_hold,human_review_required,review_reason,model_status,production_ordering_approved,customer_report_release_approved,operator_decision,operator_recommended_units,operator_notes,promo_portion_visible,base_portion_visible,partial_or_full,gap_explained
11,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,192046,Lrp Cicaplast Baume B5+ 100Ml,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,73.0,73.0,2.0,66,2,68,0,0,0,0,66,2,68,68,0.0,0.0,0,0,68,75.0,6.964,6.964,7,0,0.036,2.0,73.036,-66.036,40.0,73.0,6.38,41.27,41,LOW,70.0,HIGH,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 7.0; promo cover required 73.0 units; base-stock required 2.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 66 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation does not fully cover expected promo sales; buyer review required.,Promo sales stock gap remains after recommendation,,YES,risk_or_review_flag; missing_sku_specific_30_day_cover_used_floor_2; promo_period_demand_fallback; stock_target_conflict; promo_cover_not_fully_covered,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
12,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,192083,Cerave Renew Peptide Crm 48G,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,35.0,35.0,150.0,32,150,182,0,0,0,0,32,150,182,182,0.0,0.0,0,0,182,185.0,3.0,3.0,8,0,5.0,150.0,40.0,-32.0,40.0,35.0,0.35,112.7,35,LOW,80.0,HIGH,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.0; promo cover required 35.0 units; base-stock required 150.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 32 units; base-stock replenishment gap 150 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation does not fully cover expected promo sales; buyer review required.,Promo sales stock gap remains after recommendation,,YES,risk_or_review_flag; promo_period_demand_fallback; stock_target_conflict; promo_cover_not_fully_covered,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
13,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188712,Cerave Moist Cream 340G,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,30.0,30.0,128.571,30,129,159,0,0,0,0,30,129,159,159,0.0,0.0,0,0,159,158.571,0.0,0.0,2,0,4.286,128.571,34.286,-30.0,40.0,30.0,0.02,12.48,48,LOW,86.0,VERY_HIGH,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 30.0 units; base-stock required 128.6 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 30 units; base-stock replenishment gap 129 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation does not fully cover expected promo sales; buyer review required.,Promo sales stock gap remains after recommendation,,YES,promo_period_demand_fallback; projected_start_stock_floored_flag; stock_target_conflict; promo_cover_not_fully_covered,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
14,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188711,Cerave Moist Cream 177Ml,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,27.0,27.0,115.714,27,116,143,0,0,0,0,27,116,143,143,0.0,0.0,0,0,143,142.714,0.143,0.143,4,0,3.857,115.714,30.857,-26.857,40.0,27.0,0.02,12.95,49,LOW,86.0,VERY_HIGH,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.1; promo cover required 27.0 units; base-stock required 115.7 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 27 units; base-stock replenishment gap 116 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation does not fully cover expected promo sales; buyer review required.,Promo sales stock gap remains after recommendation,,YES,promo_period_demand_fallback; stock_target_conflict; promo_cover_not_fully_covered,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
15,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188710,Cerave Moist Lotion 473Ml,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,27.0,27.0,115.714,24,116,140,0,0,0,0,24,116,140,140,0.0,0.0,0,0,140,142.714,3.143,3.143,7,0,3.857,115.714,30.857,-23.857,40.0,27.0,0.01,53.29,43,LOW,80.0,HIGH,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.1; promo cover required 27.0 units; base-stock required 115.7 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 24 units; base-stock replenishment gap 116 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation does not fully cover expected promo sales; buyer review required.,Promo sales stock gap remains after recommendation,,YES,risk_or_review_flag; promo_period_demand_fallback; stock_target_conflict; promo_cover_not_fully_covered,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
16,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188721,Cerave Sa Smooth Clns 473Ml,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,27.0,27.0,115.714,27,116,143,0,0,0,0,27,116,143,143,0.0,0.0,0,0,143,142.714,0.143,0.143,4,0,3.857,115.714,30.857,-26.857,40.0,27.0,0.19,30.84,36,LOW,80.0,HIGH,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.1; promo cover required 27.0 units; base-stock required 115.7 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 27 units; base-stock replenishment gap 116 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation does not fully cover expected promo sales; buyer review required.,Promo sales stock gap remains after recommendation,,YES,risk_or_review_flag; promo_period_demand_fallback; stock_target_conflict; promo_cover_not_fully_covered,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
17,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,188715,Cerave Moist Pm 52Ml,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,27.0,27.0,115.714,24,116,140,0,0,0,0,24,116,140,140,0.0,0.0,0,0,140,142.714,3.143,3.143,7,0,3.857,115.714,30.857,-23.857,40.0,27.0,0.25,63.57,35,LOW,80.0,HIGH,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.1; promo cover required 27.0 units; base-stock required 115.7 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 24 units; base-stock replenishment gap 116 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation does not fully cover expected promo sales; buyer review required.,Promo sales stock gap remains after recommendation,,YES,risk_or_review_flag; promo_period_demand_fallback; stock_target_conflict; promo_cover_not_fully_covered,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
18,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,654921,Lrp Anth Fluid Spf50 50Ml,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,27.0,27.0,2.0,16,2,18,0,0,0,0,16,2,18,18,0.0,0.0,0,0,18,29.0,10.982,10.982,11,0,0.018,2.0,27.018,-16.018,40.0,27.0,0.92,97.64,49,LOW,76.0,HIGH,REVIEW_STOCK_GAP,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 11.0; promo cover required 27.0 units; base-stock required 2.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 16 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation does not fully cover expected promo sales; buyer review required.,Promo sales stock gap remains after recommendation,,YES,missing_sku_specific_30_day_cover_used_floor_2; promo_period_demand_fallback; promo_cover_not_fully_covered,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
19,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,189553,Lrp Cicaplast Baume B5 40Ml,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,26.667,26.667,2.0,19,2,21,0,0,0,0,19,2,21,21,0.0,0.0,0,0,21,28.667,7.982,7.982,8,0,0.018,2.0,26.685,-18.685,40.0,26.667,0.35,47.04,27,VERY_LOW,70.0,HIGH,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 8.0; promo cover required 26.7 units; base-stock required 2.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 19 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation does not fully cover expected promo sales; buyer review required.,Promo sales stock gap remains after recommendation,,YES,risk_or_review_flag; missing_sku_specific_30_day_cover_used_floor_2; promo_period_demand_fallback; stock_target_conflict; promo_cover_not_fully_covered,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
20,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,94902,Lrp Hyaluron Serum 50Ml,REVIEW,PARTIAL_PROMO_COVER_REVIEW,none,26.0,26.0,111.429,26,111,137,0,0,0,0,26,111,137,137,0.0,0.0,0,0,137,137.429,0.0,0.0,2,0,3.714,111.429,29.714,-26.0,40.0,26.0,2.24,61.32,38,LOW,86.0,VERY_HIGH,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 26.0 units; base-stock required 111.4 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 26 units; base-stock replenishment gap 111 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation does not fully cover expected promo sales; buyer review required.,Promo sales stock gap remains after recommendation,,YES,promo_period_demand_fallback; projected_start_stock_floored_flag; stock_target_conflict; promo_cover_not_fully_covered,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
