priority_rank,store_number,promotion_name,promotion_start_date,promotion_end_date,promotion_days,prediction_date,days_until_promotion_start,sku_number,sku_description,decision,order_strategy,recommended_order_basis,promo_units_expected_to_sell,stock_needed_for_promo_sales,stock_needed_to_finish_with_target_cover,order_needed_to_cover_promo_sales,order_needed_to_reach_full_stock_target,full_target_order_units,recommended_promo_cover_order_units,recommended_base_stock_order_units,commercial_recommended_order_units,recommended_order_units,remaining_promo_sales_stock_gap,remaining_end_stock_gap,remaining_shortfall_after_commercial_recommendation_units,remaining_day_one_shortfall_units,commercial_coverage_ratio,recommendation_coverage_ratio,raw_model_order_units,operator_review_order_low_units,operator_review_order_high_units,target_day_one_soh_units,projected_day_one_soh_before_order_units,projected_day_one_soh_after_recommended_order_units,current_soh_units,on_order_units,estimated_demand_before_promo_start_units,target_stock_on_hand_at_promo_end_units,total_expected_demand_to_promo_end_units,projected_stock_on_hand_at_promo_end_units,discount_percent,avg_promo_demand_same_discount_units,expected_gp_dollars,capital_at_risk_dollars,confidence_score,confidence_label,data_quality_score,data_quality_label,decision_quality_label,stock_target_conflict_flag,reason_demand,reason_stock,reason_order,reason_risk,reason_rejection_or_hold,human_review_required,review_reason,model_status,production_ordering_approved,customer_report_release_approved,operator_decision,operator_recommended_units,operator_notes,promo_portion_visible,base_portion_visible,partial_or_full,gap_explained
520,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,41572,May Tat El Gel Pncil Bld Brwn,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,9,9,0,0,0,0,0,9,9,9,0.0,0.0,0,0,9,12.333,3.667,3.667,4,0,0.333,10.0,2.666,1.334,50.0,2.333,0.01,6.56,64,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 9 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
521,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,51157,Bondi Spf50+ Lotion 150Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,1,10,11,0,0,0,0,1,10,11,11,0.0,0.0,0,0,11,12.333,1.667,1.667,2,0,0.333,10.0,2.666,-0.666,50.0,2.333,0.0,5.94,62,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.7; promo cover required 2.3 units; base-stock required 10.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
522,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,55458,Ogx Arg Oil H/Pro Spry 177Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,1,10,11,0,0,0,0,1,10,11,11,0.0,0.0,0,0,11,12.333,1.667,1.667,2,0,0.333,10.0,2.666,-0.666,50.0,2.333,0.0,6.86,61,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.7; promo cover required 2.3 units; base-stock required 10.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
523,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,59859,Benzac Ac Gel 10% 60G,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,10,10,0,0,0,0,0,10,10,10,0.0,0.0,0,0,10,12.333,2.667,2.667,3,0,0.333,10.0,2.666,0.334,30.0,2.333,0.01,14.17,58,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
524,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,198463,Hada Labo Prem Lotion Intense,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,9,9,0,0,0,0,0,9,9,9,0.0,0.0,0,0,9,12.333,3.667,3.667,4,0,0.333,10.0,2.666,1.334,40.0,2.333,0.05,36.29,41,LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 9 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
525,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,688304,Neut H/B Night Concentrate 50G,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,9,9,0,0,0,0,0,9,9,9,0.0,0.0,0,0,9,12.333,3.667,3.667,4,0,0.333,10.0,2.666,1.334,40.0,2.333,0.02,37.64,30,LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 9 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
526,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,298034,Nivea Body Nourish Moist 400Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,9,9,0,0,0,0,0,9,9,9,0.0,0.0,0,0,9,12.333,3.667,3.667,4,0,0.333,10.0,2.666,1.334,40.0,2.333,0.0,9.67,29,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 9 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
527,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,298018,Nivea Body Nourish Moist 250Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,10,10,0,0,0,0,0,10,10,10,0.0,0.0,0,0,10,12.333,2.667,2.667,3,0,0.333,10.0,2.666,0.334,40.1,2.333,0.0,4.53,29,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
528,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,233048,Nivea Apd R/O Prl&Beauty 50Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,7,7,0,0,0,0,0,7,7,7,0.0,0.0,0,0,7,12.333,5.667,5.667,6,0,0.333,10.0,2.666,3.334,50.1,2.333,0.0,7.45,28,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 5.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 7 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
529,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,342483,Nivea Apd B&W Pure 150Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,9,9,0,0,0,0,0,9,9,9,0.0,0.0,0,0,9,12.333,3.667,3.667,4,0,0.333,10.0,2.666,1.334,50.1,2.333,0.01,5.72,28,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 9 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
530,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,23449,Bondi Sands Eraser Foam 200Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,10,10,0,0,0,0,0,10,10,10,0.0,0.0,0,0,10,12.333,2.667,2.667,3,0,0.333,10.0,2.666,0.334,50.0,2.333,0.01,10.98,26,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
531,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,190121,E/Pure Buffing Body Mitt,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,8,8,0,0,0,0,0,8,8,8,0.0,0.0,0,0,8,12.333,4.667,4.667,5,0,0.333,10.0,2.666,2.334,30.1,2.333,0.03,5.17,26,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 4.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 8 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
532,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,42901,Moogoo Milk Wash 1L,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,9,9,0,0,0,0,0,9,9,9,0.0,0.0,0,0,9,12.333,3.667,3.667,1,3,0.333,10.0,2.666,1.334,25.0,2.333,0.01,34.21,25,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 9 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
533,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,933619,Ego Qv Face Foaming Cleanser,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,0,10,10,0,0,0,0,0,10,10,10,0.0,0.0,0,0,10,12.333,2.667,2.667,3,0,0.333,10.0,2.666,0.334,20.0,2.333,0.01,12.89,25,VERY_LOW,80.0,HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.7; promo cover required 2.3 units; base-stock required 10.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,risk_or_review_flag; promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
534,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,42806,Lrp Eff K+ Anti-Blackhead Care,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.333,2.333,10.0,1,10,11,0,0,0,0,1,10,11,11,0.0,0.0,0,0,11,12.333,1.667,1.667,2,0,0.333,10.0,2.666,-0.666,40.0,2.333,0.05,23.89,25,VERY_LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.7; promo cover required 2.3 units; base-stock required 10.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
535,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,198932,Illi F/Tape Clear Strips 36Pk,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.3,2.3,9.857,0,4,4,0,0,0,0,0,4,4,4,0.0,0.0,0,0,4,12.157,7.671,7.671,8,0,0.329,9.857,2.629,5.371,20.0,2.3,0.05,19.74,51,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 7.7; promo cover required 2.3 units; base-stock required 9.9 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 4 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
536,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,195424,Npmu Fat Oil Slick Going Viral,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,raw_model_order,2.294,2.294,30.0,0,29,29,0,7,7,7,0,22,22,22,0.241,0.241,7,7,29,32.294,3.0,10.0,4,0,1.0,30.0,3.294,7.706,50.0,2.294,15.64,17.78,66,MEDIUM,68.0,MEDIUM,REVIEW_STOCK_GAP,1,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.0; promo cover required 2.3 units; base-stock required 30.0 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 29 units; raw model 7; commercial recommended promo 0 + base 7 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,YES,risk_or_review_flag; unsafe_pre_promo_source_rejected; promo_period_demand_fallback; stock_target_conflict,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,partial,True
537,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,43716,Batiste Volume Dry Spoo 200Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.286,2.286,9.796,2,10,12,0,0,0,0,2,10,12,12,0.0,0.0,0,0,12,12.082,0.673,0.673,1,0,0.327,9.796,2.613,-1.613,40.1,2.286,0.01,7.07,32,LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.7; promo cover required 2.3 units; base-stock required 9.8 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 2 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
538,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,65914,Batiste Trop Dry Shampoo 350Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.286,2.286,9.796,1,10,11,0,0,0,0,1,10,11,11,0.0,0.0,0,0,11,12.082,1.673,1.673,2,0,0.327,9.796,2.613,-0.613,40.0,2.286,0.02,10.17,31,LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.7; promo cover required 2.3 units; base-stock required 9.8 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
539,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,67890,Dv Sun Sensitive Spf50+ 100G,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.286,2.286,9.796,1,10,11,0,0,0,0,1,10,11,11,0.0,0.0,0,0,11,12.082,1.673,1.673,2,0,0.327,9.796,2.613,-0.613,40.0,2.286,0.01,10.61,28,VERY_LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.7; promo cover required 2.3 units; base-stock required 9.8 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
540,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,184733,Batiste Vol Dry Shampoo 350Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.286,2.286,9.796,1,10,11,0,0,0,0,1,10,11,11,0.0,0.0,0,0,11,12.082,1.673,1.673,2,0,0.327,9.796,2.613,-0.613,40.0,2.286,0.01,11.48,24,VERY_LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.7; promo cover required 2.3 units; base-stock required 9.8 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
541,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,90014,Olay Super Collagen Cream 45G,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.273,2.273,9.74,0,2,2,0,0,0,0,0,2,2,2,0.0,0.0,0,0,2,12.013,9.675,9.675,10,0,0.325,9.74,2.598,7.402,50.0,2.273,0.03,121.65,63,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 9.7; promo cover required 2.3 units; base-stock required 9.7 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 2 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
542,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,191662,Rexona W Dv R/O Watrmel 50Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.273,2.273,9.74,0,5,5,0,0,0,0,0,5,5,5,0.0,0.0,0,0,5,12.013,6.675,6.675,7,0,0.325,9.74,2.598,4.402,50.1,2.273,0.0,5.01,60,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 6.7; promo cover required 2.3 units; base-stock required 9.7 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 5 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
543,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,36997,C/Counc Moist S/Scrn 50+ 110Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.267,2.267,9.714,1,10,11,0,0,0,0,1,10,11,11,0.0,0.0,0,0,11,11.981,1.676,1.676,2,0,0.324,9.714,2.591,-0.591,40.0,2.267,0.01,11.0,27,VERY_LOW,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.7; promo cover required 2.3 units; base-stock required 9.7 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
544,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,198703,May Lash Sensa Firework Wsh,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.263,2.263,9.699,0,9,9,0,0,0,0,0,9,9,9,0.0,0.0,0,0,9,11.962,2.677,2.677,3,0,0.323,9.699,2.586,0.414,50.0,2.263,0.01,7.04,64,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.7; promo cover required 2.3 units; base-stock required 9.7 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 9 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
545,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,56483,Sun Bum Face Spf50+ Lot 88Ml,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.25,2.25,9.643,1,10,11,0,0,0,0,1,10,11,11,0.0,0.0,0,0,11,11.893,1.679,1.679,2,0,0.321,9.643,2.571,-0.571,40.0,2.25,0.02,5.24,66,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.7; promo cover required 2.2 units; base-stock required 9.6 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 1 units; base-stock replenishment gap 10 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
546,772,SE01 skincare sales event,2026-07-23,2026-07-29,7,2026-07-22,1,96504,May Cloud Mte 09 Dreamy Dawn,REVIEW,BASE_STOCK_REPLENISHMENT_REVIEW,none,2.25,2.25,9.643,0,6,6,0,0,0,0,0,6,6,6,0.0,0.0,0,0,6,11.893,5.679,5.679,6,0,0.321,9.643,2.571,3.429,50.0,2.25,0.01,14.96,64,MEDIUM,86.0,VERY_HIGH,REVIEW_DEMAND_EVIDENCE,0,Promo-period demand uses same-discount historical average as evidence fallback; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 5.7; promo cover required 2.2 units; base-stock required 9.6 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 6 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Unsafe or fallback promo demand source,,YES,promo_period_demand_fallback,SHADOW_NOT_PRODUCTION,NO,NO,,,,True,True,none,True
