metric,value
target_over_stock_basis_share,0.6322429906542056
target_to_stock_basis_ratio_median,1.7
target_to_stock_basis_ratio_p95,11.9
shadow_to_stock_basis_ratio_median,1.5361698403728379
shadow_to_stock_basis_ratio_p95,9.244837085674524
