target_repair_basis,row_count,shadow_gt_stock_basis_share,target_gt_stock_basis_share,shadow_mean,target_mean,stock_basis_mean
,39,0.0,0.0,5.342275080181501,,
CLEAN_REALIZED,711,0.0,0.0,0.4626796743768613,0.5682137834036568,4.575246132208157
NO_REPAIR_INTEGRITY,10,0.3,0.0,6.316471558647004,,27.5
REPAIR_POST14_FOLLOWTHROUGH,66,0.8939393939393939,0.9696969696969697,10.387534347416285,6.23865,3.3181818181818183
REPAIR_SATURATED_SELLTHROUGH,129,0.7596899224806202,0.8062015503875969,7.209483951673838,3.0926356589147286,2.062015503875969
REPAIR_UNDERALLOCATION,1185,0.8987341772151899,1.0,9.021084294344682,11.597582769071062,3.7569620253164557
