sku_number,sku_description,current_soh_units,target_day_one_soh_units,target_order_units_to_hit_day_one_soh,recommended_order_units,remaining_day_one_shortfall_units,confidence_score,data_quality_score,proposed_corrected_decision
655084,Lrp Tol Dermo Cleanser 200Ml,7,54.619,49,0,49,41,80.0,REVIEW
55245,Garn Micellar Water Rose 400Ml,5,54.429,51,10,41,37,68.0,REVIEW
90934,Cetaphil Gen Ex Sa Lot 236M,2,52.929,53,9,44,25,68.0,REVIEW
93335,Lrp Cicaplast B5 Spray 100Ml,2,52.857,52,0,52,28,86.0,HOLD
93339,Lrp Mela B Serum 50Ml,3,52.857,51,0,51,32,80.0,REVIEW
199841,Tbh Rebound Toner 100Ml,6,52.857,48,0,48,59,86.0,HOLD
365033,Palmol Lhw Foam Pump Lime 250,6,52.196,48,8,40,52,49.0,REVIEW
323608,Cetaphil Eczema Bdy Mst 295Ml,2,51.829,52,9,43,28,68.0,REVIEW
32861,Neut H/B Gel Mask 30G,10,51.096,42,0,42,24,80.0,REVIEW
18512,Lrp Anth Fluid Tint Spf50 50Ml,14,51.096,38,0,38,25,80.0,REVIEW
193204,May Ls Sky High Wtp,2,49.013,48,0,48,26,86.0,HOLD
194014,Csc Dly Clarifying Soln 100Ml,4,48.893,46,8,38,54,49.0,REVIEW
11838,Avene Cicalfate Rest Skin Crm,8,48.232,42,0,42,56,86.0,HOLD
187118,G/Mane Hair Growth Spray 100Ml,3,47.571,46,0,46,39,80.0,REVIEW
187116,G/Mane 10 Min Hair Mask 220Ml,3,47.571,46,0,46,35,80.0,REVIEW
188719,Cerave Hyal Acid Serum 30Ml,4,47.571,45,0,45,40,80.0,REVIEW
87753,Innisfree Grn T Hyal Crm 50Ml,4,47.571,45,0,45,57,86.0,HOLD
94904,Lrp Hyalu Face Cream 50Ml,7,47.571,42,0,42,30,80.0,REVIEW
46889,May Fs Set Spray 100 Lst Fx,8,47.571,41,0,41,63,86.0,HOLD
198637,Avene Fluid Spf 50+ 50Ml,6,46.25,42,0,42,56,86.0,HOLD
93993,May Face Lift Stix 65 Nu Int,1,45.909,46,10,36,67,68.0,REVIEW
90462,Mf Mp Wow Liner Emerald Green,1,45.667,46,9,37,57,68.0,REVIEW
90432,Rim Wonder'Ink Liner Chestnut,2,45.429,45,10,35,64,68.0,REVIEW
192118,Olay Hyaluron Cream 50G,2,45.423,45,10,35,67,68.0,REVIEW
87755,Innisfree Grn T Hyal Srm 80Ml,8,44.929,38,0,38,56,86.0,HOLD
390763,U By Kotex U/T Reg Wing 14,6,44.4,40,0,40,27,80.0,REVIEW
16527,Loreal R/Lift Eye/Fl Tub 15Ml,3,44.107,43,8,35,28,68.0,REVIEW
495891,Lrp Cicaplast Lips 7.5Ml,2,44.047,43,0,43,25,86.0,HOLD
73263,Thayers Rose Petal Toner 355Ml,3,43.857,42,8,34,28,68.0,REVIEW
192838,Blistex Lip Cond 4.25G Spf30,18,43.041,26,0,26,62,86.0,HOLD
198880,Lrp Mela B3 Cleanser 200Ml,2,42.286,41,0,41,28,86.0,HOLD
92853,Cerave Blem Control Clns 473Ml,4,42.286,39,0,39,26,80.0,REVIEW
