sku_number,target_order_units_to_hit_day_one_soh,recommended_order_units,remaining_day_one_shortfall_units,recommendation_coverage_ratio,decision,proposed_decision,recommendation_type,reason_for_shortfall
90457,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91037,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91874,37,7,30,0.189,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
97132,34,7,27,0.206,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91950,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
192363,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91013,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91903,37,7,30,0.189,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91073,34,7,27,0.206,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91051,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91901,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91011,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91056,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91900,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91029,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91941,32,7,25,0.219,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91882,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
90999,33,7,26,0.212,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91063,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91953,35,7,28,0.2,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91866,36,7,29,0.194,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
91952,37,7,30,0.189,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
95886,31,7,24,0.226,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
92155,34,7,27,0.206,REVIEW,REVIEW,REVIEW_ONLY_ORDER_QUANTITY,best_seller_underorder_review
