store_number,promotion_id,promotion_name,promotion_start_date,promotion_end_date,sku_number,sku_description,department,shadow_candidate_class,shadow_candidate_score,shadow_candidate_rank,current_governed_action,current_governed_order_units,brain_validated_action_label,brain_validated_expected_value,action_difference_type,segment_historical_bias_pct,segment_historical_wape,economic_net_value_score,shadow_expected_learning_value,mission_sku_score,long_tail_sku_flag,basket_attachment_source_quality,stock_truth_quality,supplier_replenishment_regime,expected_shadow_learning_question,shadow_observation_plan
772,772|394289|2026-04-09|2026-04-22|772-394289-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,394289,0.0,BEAUTY ACCESSORIES,SHADOW_TOP_50_CANDIDATE,37.9,12,TOP_UP_TO_OPTIMAL,2.0,HOLD_FOR_REPLENISHMENT,-9.513,ACTION_MISMATCH,17.9,0.358,-16.304,58.0,12.0,YES,MEDIUM,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|55584|2026-04-09|2026-04-22|772-55584-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,55584,0.0,HAIRCARE,SHADOW_TOP_50_CANDIDATE,37.6,13,TOP_UP_TO_OPTIMAL,3.0,BUYER_REVIEW_REQUIRED,-7.427,ACTION_MISMATCH,17.9,0.358,-19.734,57.4,9.8,YES,LOW,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|399795|2026-02-19|2026-03-04|772-399795-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,399795,0.0,DIGESTIVE CARE,SHADOW_TOP_50_CANDIDATE,37.4,14,TOP_UP_TO_OPTIMAL,2.0,HOLD_FOR_REPLENISHMENT,-14.36,ACTION_MISMATCH,17.9,0.358,-30.385,56.9,7.7,YES,LOW,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|47021|2026-04-09|2026-04-22|772-47021-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,47021,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,36.0,15,TOP_UP_TO_OPTIMAL,3.0,BUYER_REVIEW_REQUIRED,7.754,ACTION_MISMATCH,-24.5,0.483,-6.778,56.6,14.5,YES,LOW,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|59330|2026-04-09|2026-04-22|772-59330-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,59330,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,34.3,16,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-16.589,ACTION_MISMATCH,-24.5,0.483,-23.568,57.1,16.4,YES,MEDIUM,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|90865|2026-04-09|2026-04-22|772-90865-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,90865,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,34.3,17,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-16.767,ACTION_MISMATCH,-24.5,0.483,-24.376,57.1,16.3,YES,MEDIUM,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|73950|2026-04-09|2026-04-22|772-73950-20260409|Allocation Report - WK41&42 SKINCARE GOODY BAG,unknown,2026-04-09,2026-04-22,73950,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,34.2,18,TOP_UP_TO_OPTIMAL,4.0,HOLD_FOR_REPLENISHMENT,-17.742,ACTION_MISMATCH,-24.5,0.483,-24.451,56.9,15.6,YES,MEDIUM,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|94922|2026-02-05|2026-02-18|772-94922-20260205|Allocation Report - WK32&33 BEAUTY BOX,unknown,2026-02-05,2026-02-18,94922,0.0,ORAL HEALTH,SHADOW_TOP_50_CANDIDATE,31.0,19,TOP_UP_TO_OPTIMAL,5.0,BLOCKED_UNSAFE,17.056,ACTION_MISMATCH,27.53,0.4157,41.797,33.8,15.1,NO,LOW,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|49493|2025-12-25|2026-01-14|772-49493-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,49493,0.0,BATH TOILETRIES,SHADOW_TOP_50_CANDIDATE,28.3,20,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-4.021,ACTION_MISMATCH,12.07,0.4692,3.042,32.9,11.7,NO,HIGH,LOW,OVERNIGHT_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|49817|2025-12-25|2026-01-14|772-49817-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,49817,0.0,BATH TOILETRIES,SHADOW_TOP_50_CANDIDATE,28.1,21,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,9.237,ACTION_MISMATCH,15.84,0.4767,-7.902,33.1,12.3,NO,LOW,LOW,OVERNIGHT_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|187759|2026-03-05|2026-03-18|772-187759-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,187759,0.0,HAIRCARE,SHADOW_TOP_50_CANDIDATE,27.2,22,TOP_UP_TO_OPTIMAL,4.0,HOLD_FOR_REPLENISHMENT,-20.449,ACTION_MISMATCH,9.1,0.367,-35.363,34.4,17.8,NO,MEDIUM,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|23075|2025-12-25|2026-01-14|772-23075-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,23075,0.0,BEAUTY ELECTRICAL,SHADOW_TOP_50_CANDIDATE,26.8,23,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-24.58,ACTION_MISMATCH,10.23,0.4521,-36.314,34.8,19.1,NO,MEDIUM,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|24919|2025-12-25|2026-01-14|772-24919-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,24919,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,26.8,24,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-13.939,ACTION_MISMATCH,1.54,0.4575,-12.622,35.0,20.1,NO,MEDIUM,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|90024|2026-03-05|2026-03-18|772-90024-20260305|Allocation Report - OP21 FEMALE FOUNDERS,unknown,2026-03-05,2026-03-18,90024,0.0,DIGESTIVE CARE,SHADOW_TOP_50_CANDIDATE,26.6,25,TOP_UP_TO_OPTIMAL,3.0,BLOCKED_UNSAFE,-25.398,ACTION_MISMATCH,9.1,0.367,-45.117,33.1,12.5,NO,LOW,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|92214|2025-12-25|2026-01-14|772-92214-20251225|Allocation Report - WK26-28 NEW YEAR NEW YOU,unknown,2025-12-25,2026-01-14,92214,0.0,SKINCARE,SHADOW_TOP_50_CANDIDATE,26.5,26,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,0.424,ACTION_MISMATCH,1.54,0.4575,-26.176,34.0,16.1,NO,MEDIUM,LOW,LONG_LEAD_COSMETICS,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|190082|2026-02-19|2026-03-04|772-190082-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,190082,0.0,BEAUTY ACCESSORIES,SHADOW_TOP_50_CANDIDATE,26.5,27,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-25.398,ACTION_MISMATCH,9.1,0.367,-45.445,32.7,10.8,NO,MEDIUM,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
772,772|190093|2026-02-19|2026-03-04|772-190093-20260219|Allocation Report - WK34&35 AUTUMN PART 1,unknown,2026-02-19,2026-03-04,190093,0.0,BEAUTY ACCESSORIES,SHADOW_TOP_50_CANDIDATE,26.5,28,TOP_UP_TO_OPTIMAL,3.0,HOLD_FOR_REPLENISHMENT,-20.806,ACTION_MISMATCH,9.1,0.367,-37.005,32.9,11.5,NO,LOW,LOW,UNKNOWN_REPLENISHMENT,Does basket attachment predict trust-sensitive demand?,Internal shadow observation only; compare brain vs buyer; no auto-order.
