regime_error_profile_key,stock_position_regime,sku_demand_regime,supplier_replenishment_regime,promo_convexity_regime,cash_efficiency_regime,customer_basket_trust_regime,release_ready_flag,promo_demand_source_quality,promo_start_soh_source_quality,row_count,actual_units_total,forecast_units_total,WAPE,bias_pct,MAE,RMSE,missed_demand_units,leftover_units,cash_tied_above_optimal,average_distance_to_optimal_before,average_distance_to_optimal_after,distance_to_optimal_improvement,release_ready_count,unsafe_count,constraint_block_count,unknown_soh_count,recommended_confidence_cap,candidate_count,segment_bias_control_status
SEVERELY_OVERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,SEVERELY_OVERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,7,22.0,4.025113999999999,0.8395560909090908,-81.70402727272727,2.6386048571428566,4.379299786574725,0.0,10.999,53.016,5.304142857142857,1.5712857142857144,3.7328571428571427,0,7,7,0,5.0,0,BIAS_DANGEROUS_BLOCK
SEVERELY_OVERSTOCKED|INTERMITTENT_LOW_VOLUME|UNKNOWN_REPLENISHMENT|LOW_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|HIGH|LOW,SEVERELY_OVERSTOCKED,INTERMITTENT_LOW_VOLUME,UNKNOWN_REPLENISHMENT,LOW_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,HIGH,LOW,7,69.0,35.648115,0.4872601014492754,-48.33606521739131,4.802992428571429,6.457641423695286,23.0,0.0,0.0,4.571428571428571,2.0,2.5714285714285716,0,0,7,0,5.0,0,BIAS_DANGEROUS_BLOCK
SEVERELY_OVERSTOCKED|STABLE_BASE_DEMAND|UNKNOWN_REPLENISHMENT|NORMAL|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|YES|HIGH|LOW,SEVERELY_OVERSTOCKED,STABLE_BASE_DEMAND,UNKNOWN_REPLENISHMENT,NORMAL,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,YES,HIGH,LOW,7,16.0,15.094687,0.2948349375,-5.658206249999997,0.6739084285714286,0.7730819465306193,0.0,8.502,40.98,3.407,1.3078571428571428,2.099142857142857,7,0,7,0,15.0,0,BIAS_CONTROLLED
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|YES|HIGH|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,YES,HIGH,LOW,7,11.0,32.171575999999995,1.924688727272727,192.4688727272727,3.024510857142857,3.0381332266502072,0.0,22.0,106.04000000000002,2.0,3.142857142857143,-1.1428571428571428,7,0,0,0,5.0,0,BIAS_DANGEROUS_BLOCK
OPTIMAL_LOW_VOLUME|INTERMITTENT_LOW_VOLUME|UNKNOWN_REPLENISHMENT|NORMAL|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,OPTIMAL_LOW_VOLUME,INTERMITTENT_LOW_VOLUME,UNKNOWN_REPLENISHMENT,NORMAL,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,7,8.0,10.657725000000001,0.508013625,33.22156250000001,0.5805870000000001,0.633152141768131,0.0,0.0,0.0,0.0,0.2857142857142857,-0.2857142857142857,0,7,7,0,5.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|INTERMITTENT_LOW_VOLUME|UNKNOWN_REPLENISHMENT|LOW_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|YES|HIGH|LOW,UNDERSTOCKED,INTERMITTENT_LOW_VOLUME,UNKNOWN_REPLENISHMENT,LOW_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,YES,HIGH,LOW,7,9.0,30.280608,2.445546,236.4512,3.1442734285714287,3.565336767486067,0.0,23.0,110.86,2.0112857142857146,3.5827142857142857,-1.5714285714285714,7,0,0,0,5.0,0,BIAS_DANGEROUS_BLOCK
OPTIMAL|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|HIGH_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|NO|UNSAFE|LOW,OPTIMAL,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,HIGH_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,NO,UNSAFE,LOW,7,8.0,18.800318,1.3500397499999999,135.003975,1.5429025714285713,1.8768599263266443,0.0,5.194,25.036,0.4417142857142856,0.7828571428571429,-0.34114285714285714,0,7,7,0,5.0,0,BIAS_DANGEROUS_BLOCK
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|HIGH_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|NO|HIGH|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,HIGH_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,NO,HIGH,LOW,7,49.0,93.06442000000001,1.400574612244898,89.92738775510206,9.804022285714286,16.344336924923812,7.0,40.57,195.547,5.025857142857142,7.760142857142857,-2.7342857142857144,0,0,2,0,5.0,0,BIAS_DANGEROUS_BLOCK
OVERSTOCKED|INTERMITTENT_LOW_VOLUME|LONG_LEAD_COSMETICS|HIGH_CONVEXITY|CAPITAL_EFFICIENT|BASKET_TRUST_STRONG|YES|HIGH|LOW,OVERSTOCKED,INTERMITTENT_LOW_VOLUME,LONG_LEAD_COSMETICS,HIGH_CONVEXITY,CAPITAL_EFFICIENT,BASKET_TRUST_STRONG,YES,HIGH,LOW,7,11.0,13.869280999999999,0.4171813636363636,26.08437272727272,0.6555707142857142,0.8430332262959745,0.0,0.0,0.0,1.0,0.5714285714285714,0.42857142857142855,7,0,7,0,5.0,0,BIAS_MODERATE_REVIEW
UNDERSTOCKED|STABLE_BASE_DEMAND|LONG_LEAD_COSMETICS|LOW_CONVEXITY|CASH_TIE_UP_RISK|BASKET_TRUST_STRONG|NO|LOW|LOW,UNDERSTOCKED,STABLE_BASE_DEMAND,LONG_LEAD_COSMETICS,LOW_CONVEXITY,CASH_TIE_UP_RISK,BASKET_TRUST_STRONG,NO,LOW,LOW,7,69.0,48.725142,0.3007916231884058,-29.383852173913045,2.9649460000000003,4.354917354466721,1.0,0.0,0.0,11.114,9.114,2.0,0,0,1,0,5.0,0,BIAS_DANGEROUS_BLOCK
