segment,unsafe_primary_reason,row_count,pct_of_unsafe_rows,pct_of_all_rows
department=NUTRITION WELLBEIN,actuals_censored_by_stockout,1,0.0022,0.0019
department=NUTRITION WELLBEIN,legacy_placeholder_detected,94,0.2081,0.1798
department=NUTRITION WELLBEIN,missing_baseline_daily_units,4,0.0089,0.0077
department=ORAL HEALTH,actuals_censored_by_stockout,52,0.1151,0.0995
department=ORAL HEALTH,legacy_placeholder_detected,803,1.7778,1.5358
department=ORAL HEALTH,missing_baseline_daily_units,49,0.1085,0.0937
department=PAPER COTTON,actuals_censored_by_stockout,2,0.0044,0.0038
department=PAPER COTTON,legacy_placeholder_detected,13,0.0288,0.0249
department=PAPER COTTON,missing_baseline_daily_units,6,0.0133,0.0115
department=SKINCARE,actuals_censored_by_stockout,421,0.9321,0.8052
department=SKINCARE,legacy_placeholder_detected,6048,13.39,11.5674
department=SKINCARE,missing_baseline_daily_units,316,0.6996,0.6044
department=SMOKING CESSATION,legacy_placeholder_detected,123,0.2723,0.2352
department=SMOKING CESSATION,missing_baseline_daily_units,3,0.0066,0.0057
department=SNACKS BEVERAGES,legacy_placeholder_detected,5,0.0111,0.0096
department=SNACKS BEVERAGES,missing_baseline_daily_units,3,0.0066,0.0057
department=SUNCARE,actuals_censored_by_stockout,52,0.1151,0.0995
department=SUNCARE,legacy_placeholder_detected,582,1.2885,1.1131
department=SUNCARE,missing_baseline_daily_units,27,0.0598,0.0516
department=TANNING,actuals_censored_by_stockout,16,0.0354,0.0306
department=TANNING,legacy_placeholder_detected,635,1.4059,1.2145
department=TANNING,missing_baseline_daily_units,17,0.0376,0.0325
department=VITAMIN SUPPLEMENT,actuals_censored_by_stockout,40,0.0886,0.0765
department=VITAMIN SUPPLEMENT,legacy_placeholder_detected,1976,4.3748,3.7793
department=VITAMIN SUPPLEMENT,missing_baseline_daily_units,89,0.197,0.1702
category=ACNE,actuals_censored_by_stockout,7,0.0155,0.0134
category=ACNE,legacy_placeholder_detected,259,0.5734,0.4954
category=ACNE,missing_baseline_daily_units,30,0.0664,0.0574
category=ADVANCED WOUNDCARE,legacy_placeholder_detected,8,0.0177,0.0153
category=AFTERSUN,legacy_placeholder_detected,28,0.062,0.0536
category=AFTERSUN,missing_baseline_daily_units,1,0.0022,0.0019
category=ALKALINE URINARY,legacy_placeholder_detected,14,0.031,0.0268
category=ALLERGY LIQUID,legacy_placeholder_detected,15,0.0332,0.0287
category=ALLERGY SPRAY,legacy_placeholder_detected,15,0.0332,0.0287
category=ALLERGY SPRAY,missing_baseline_daily_units,3,0.0066,0.0057
category=ALLERGY TABS CAPS,legacy_placeholder_detected,48,0.1063,0.0918
category=ALLERGY TABS CAPS,missing_baseline_daily_units,7,0.0155,0.0134
category=ANTACIDS,actuals_censored_by_stockout,3,0.0066,0.0057
category=ANTACIDS,legacy_placeholder_detected,62,0.1373,0.1186
category=ANTACIDS,missing_baseline_daily_units,8,0.0177,0.0153
category=ANTI FUNGAL,legacy_placeholder_detected,10,0.0221,0.0191
category=ANTI VIRAL,legacy_placeholder_detected,9,0.0199,0.0172
category=AT HOME WHITENING,actuals_censored_by_stockout,4,0.0089,0.0077
category=AT HOME WHITENING,legacy_placeholder_detected,87,0.1926,0.1664
category=AT HOME WHITENING,missing_baseline_daily_units,1,0.0022,0.0019
category=AUSTRALIS,actuals_censored_by_stockout,4,0.0089,0.0077
category=AUSTRALIS,legacy_placeholder_detected,466,1.0317,0.8913
category=AUSTRALIS,missing_baseline_daily_units,2,0.0044,0.0038
category=BABY FOOD,legacy_placeholder_detected,6,0.0133,0.0115
category=BABY NEEDS,actuals_censored_by_stockout,2,0.0044,0.0038
category=BABY NEEDS,legacy_placeholder_detected,168,0.3719,0.3213
category=BABY NEEDS,missing_baseline_daily_units,4,0.0089,0.0077
category=BARRY M,actuals_censored_by_stockout,1,0.0022,0.0019
category=BARRY M,legacy_placeholder_detected,920,2.0368,1.7596
category=BARRY M,missing_baseline_daily_units,12,0.0266,0.023
category=BATH ACCESSORIES,legacy_placeholder_detected,101,0.2236,0.1932
category=BATH ACCESSORIES,missing_baseline_daily_units,2,0.0044,0.0038
category=BATH BODY SEASONAL,legacy_placeholder_detected,97,0.2148,0.1855
category=BEAUTY FROM WITHIN,actuals_censored_by_stockout,5,0.0111,0.0096
category=BEAUTY FROM WITHIN,legacy_placeholder_detected,216,0.4782,0.4131
category=BEAUTY FROM WITHIN,missing_baseline_daily_units,8,0.0177,0.0153
category=BEAUTY TOOLS,actuals_censored_by_stockout,6,0.0133,0.0115
category=BEAUTY TOOLS,legacy_placeholder_detected,818,1.811,1.5645
category=BEAUTY TOOLS,missing_baseline_daily_units,13,0.0288,0.0249
category=BOWEL,actuals_censored_by_stockout,7,0.0155,0.0134
category=BOWEL,legacy_placeholder_detected,115,0.2546,0.2199
category=BOWEL,missing_baseline_daily_units,6,0.0133,0.0115
category=BRACE AND SUPPORT,legacy_placeholder_detected,6,0.0133,0.0115
category=BRACE AND SUPPORT,missing_baseline_daily_units,2,0.0044,0.0038
category=BROWS,actuals_censored_by_stockout,2,0.0044,0.0038
category=BROWS,legacy_placeholder_detected,94,0.2081,0.1798
category=BROWS,missing_baseline_daily_units,4,0.0089,0.0077
category=CATRICE,legacy_placeholder_detected,702,1.5542,1.3426
category=CATRICE,missing_baseline_daily_units,35,0.0775,0.0669
category=CCOLD TAB CAPS,legacy_placeholder_detected,26,0.0576,0.0497
category=CCOLD TAB CAPS,missing_baseline_daily_units,1,0.0022,0.0019
category=COLOR COS MNR BRND,actuals_censored_by_stockout,7,0.0155,0.0134
category=COLOR COS MNR BRND,legacy_placeholder_detected,87,0.1926,0.1664
category=COLOR COS MNR BRND,missing_baseline_daily_units,9,0.0199,0.0172
category=COLOURANTS,actuals_censored_by_stockout,18,0.0399,0.0344
category=COLOURANTS,legacy_placeholder_detected,1032,2.2848,1.9738
category=COLOURANTS,missing_baseline_daily_units,13,0.0288,0.0249
category=COS BAGS EVERYDAY,legacy_placeholder_detected,51,0.1129,0.0975
category=COS BAGS EVERYDAY,missing_baseline_daily_units,2,0.0044,0.0038
category=COS BAGS SEASONAL,legacy_placeholder_detected,5,0.0111,0.0096
category=COSMECEUTICAL,actuals_censored_by_stockout,92,0.2037,0.176
category=COSMECEUTICAL,legacy_placeholder_detected,1888,4.18,3.611
category=COSMECEUTICAL,missing_baseline_daily_units,47,0.1041,0.0899
category=COTTON PRODUCTS,actuals_censored_by_stockout,1,0.0022,0.0019
category=COTTON PRODUCTS,legacy_placeholder_detected,6,0.0133,0.0115
category=COTTON PRODUCTS,missing_baseline_daily_units,3,0.0066,0.0057
category=DAILY LIVING AIDS,legacy_placeholder_detected,1,0.0022,0.0019
category=DAILY WELLBEING SU,actuals_censored_by_stockout,8,0.0177,0.0153
category=DAILY WELLBEING SU,legacy_placeholder_detected,252,0.5579,0.482
category=DAILY WELLBEING SU,missing_baseline_daily_units,9,0.0199,0.0172
category=DENTAL CARE,actuals_censored_by_stockout,8,0.0177,0.0153
category=DENTAL CARE,legacy_placeholder_detected,73,0.1616,0.1396
category=DENTAL CARE,missing_baseline_daily_units,13,0.0288,0.0249
category=DERMA COS,actuals_censored_by_stockout,78,0.1727,0.1492
category=DERMA COS,legacy_placeholder_detected,719,1.5918,1.3752
category=DERMA COS,missing_baseline_daily_units,38,0.0841,0.0727
category=DIGESTIVE HLTH SUP,actuals_censored_by_stockout,5,0.0111,0.0096
category=DIGESTIVE HLTH SUP,legacy_placeholder_detected,229,0.507,0.438
category=DIGESTIVE HLTH SUP,missing_baseline_daily_units,10,0.0221,0.0191
category=DRY SHAMPOO,actuals_censored_by_stockout,6,0.0133,0.0115
category=DRY SHAMPOO,legacy_placeholder_detected,221,0.4893,0.4227
category=DRY SHAMPOO,missing_baseline_daily_units,5,0.0111,0.0096
category=EAR CARE,legacy_placeholder_detected,24,0.0531,0.0459
category=ELF,actuals_censored_by_stockout,1,0.0022,0.0019
category=ELF,legacy_placeholder_detected,715,1.583,1.3675
category=ELF,missing_baseline_daily_units,9,0.0199,0.0172
category=ESSENCE,actuals_censored_by_stockout,4,0.0089,0.0077
category=ESSENCE,legacy_placeholder_detected,635,1.4059,1.2145
category=ESSENCE,missing_baseline_daily_units,54,0.1196,0.1033
category=ESSIE,actuals_censored_by_stockout,4,0.0089,0.0077
category=ESSIE,legacy_placeholder_detected,440,0.9741,0.8415
category=ESSIE,missing_baseline_daily_units,17,0.0376,0.0325
category=EVERYDAY SKIN,actuals_censored_by_stockout,81,0.1793,0.1549
category=EVERYDAY SKIN,legacy_placeholder_detected,1289,2.8538,2.4653
category=EVERYDAY SKIN,missing_baseline_daily_units,74,0.1638,0.1415
category=EYECARE PRODUCTS,actuals_censored_by_stockout,4,0.0089,0.0077
category=EYECARE PRODUCTS,legacy_placeholder_detected,43,0.0952,0.0822
category=EYECARE PRODUCTS,missing_baseline_daily_units,7,0.0155,0.0134
category=EYEWEAR,legacy_placeholder_detected,325,0.7195,0.6216
category=EYEWEAR,missing_baseline_daily_units,2,0.0044,0.0038
category=FAM PLAN TESTS,legacy_placeholder_detected,23,0.0509,0.044
category=FAM PLAN TESTS,missing_baseline_daily_units,2,0.0044,0.0038
category=FASHION ACCESS,legacy_placeholder_detected,135,0.2989,0.2582
category=FASHION ACCESS,missing_baseline_daily_units,5,0.0111,0.0096
